QUARTER,TIME_REMAINING,NEW YORK_ACTION,INDIANA_ACTION,NEW YORK_SCORE,INDIANA_SCORE
1,11:36.0,Turnover by E. Freedom (3 sec),,0,0
1,11:21.0,,B. Bogdanović misses 2-pt jump shot from 4 ft,0,0
1,11:17.0,Defensive rebound by N. Vonleh,,0,0
1,11:06.0,Turnover by T. Hardaway (bad pass; steal by V. Oladipo),,0,0
1,11:04.0,,Turnover by V. Oladipo (bad pass; steal by K. Knox),0,0
1,10:50.0,K. Knox misses 3-pt jump shot from 27 ft,,0,0
1,10:46.0,Offensive rebound by E. Freedom,,0,0
1,10:40.0,E. Mudiay misses 2-pt jump shot from 11 ft,,0,0
1,10:35.0,Offensive rebound by E. Freedom,,0,0
1,10:35.0,E. Freedom misses 2-pt layup at rim,,0,0
1,10:35.0,Offensive rebound by E. Freedom,,0,0
1,10:34.0,E. Freedom makes 2-pt jump shot from 3 ft,,2,0
1,10:15.0,,V. Oladipo misses 3-pt jump shot from 23 ft,2,0
1,10:10.0,,Offensive rebound by B. Bogdanović,2,0
1,10:10.0,,B. Bogdanović makes 2-pt layup from 1 ft,2,2
1,9:49.0,E. Mudiay makes 3-pt jump shot from 26 ft (assist by N. Vonleh),,5,2
1,9:29.0,,M. Turner misses 2-pt jump shot from 17 ft,5,2
1,9:26.0,Defensive rebound by N. Vonleh,,5,2
1,9:10.0,K. Knox makes 2-pt jump shot from 6 ft,,7,2
1,8:55.0,,V. Oladipo makes 3-pt jump shot from 27 ft (assist by D. Collison),7,5
1,8:33.0,Turnover by E. Freedom (lost ball; steal by V. Oladipo),,7,5
1,8:19.0,,T. Young makes 2-pt layup from 4 ft,7,7
1,8:08.0,T. Hardaway misses 3-pt jump shot from 24 ft,,7,7
1,8:05.0,Offensive rebound by N. Vonleh,,7,7
1,8:02.0,K. Knox misses 3-pt jump shot from 27 ft,,7,7
1,8:01.0,,Defensive rebound by Team,7,7
1,7:39.0,,M. Turner misses 2-pt jump shot from 13 ft,7,7
1,7:36.0,Defensive rebound by T. Hardaway,,7,7
1,7:28.0,Turnover by E. Freedom (lost ball; steal by V. Oladipo),,7,7
1,7:22.0,,B. Bogdanović misses 2-pt jump shot from 14 ft,7,7
1,7:19.0,Defensive rebound by N. Vonleh,,7,7
1,7:07.0,K. Knox misses 2-pt jump shot from 14 ft,,7,7
1,7:03.0,,Defensive rebound by V. Oladipo,7,7
1,6:58.0,,M. Turner misses 3-pt jump shot from 28 ft,7,7
1,6:55.0,Defensive rebound by N. Vonleh,,7,7
1,6:39.0,T. Hardaway makes 2-pt jump shot from 20 ft,,9,7
1,6:24.0,,Shooting foul by K. Knox (drawn by B. Bogdanović),9,7
1,6:24.0,,Indiana full timeout,9,7
1,6:24.0,,B. Bogdanović makes free throw 1 of 3,9,8
1,6:24.0,,B. Bogdanović makes free throw 2 of 3,9,9
1,6:24.0,,B. Bogdanović makes free throw 3 of 3,9,10
1,6:03.0,K. Knox makes 3-pt jump shot from 27 ft (assist by T. Hardaway),,12,10
1,5:42.0,,M. Turner makes 2-pt dunk from 1 ft (assist by T. Young),12,12
1,5:20.0,N. Vonleh misses 3-pt jump shot from 25 ft,,12,12
1,5:18.0,,Defensive rebound by D. Collison,12,12
1,5:08.0,,T. Young misses 2-pt jump shot from 18 ft,12,12
1,5:05.0,Defensive rebound by N. Vonleh,,12,12
1,4:56.0,Shooting foul by D. Collison (drawn by E. Mudiay),,12,12
1,4:56.0,E. Mudiay misses free throw 1 of 3,,12,12
1,4:56.0,Offensive rebound by Team,,12,12
1,4:56.0,E. Mudiay misses free throw 2 of 3,,12,12
1,4:56.0,Offensive rebound by Team,,12,12
1,4:56.0,C. Lee enters the game for E. Freedom,,12,12
1,4:56.0,,D. Sabonis enters the game for T. Young,12,12
1,4:56.0,E. Mudiay makes free throw 3 of 3,,13,12
1,4:39.0,,D. Collison makes 3-pt jump shot from 23 ft (assist by V. Oladipo),13,15
1,4:26.0,N. Vonleh misses 2-pt hook shot from 6 ft,,13,15
1,4:24.0,,Defensive rebound by D. Collison,13,15
1,4:16.0,,V. Oladipo misses 2-pt layup from 1 ft,13,15
1,4:15.0,,Offensive rebound by Team,13,15
1,4:15.0,F. Ntilikina enters the game for E. Mudiay,,13,15
1,4:05.0,,M. Turner makes 2-pt jump shot from 8 ft (assist by D. Collison),13,17
1,3:50.0,N. Vonleh makes 2-pt dunk from 1 ft (assist by F. Ntilikina),,15,17
1,3:27.0,,D. Sabonis makes 2-pt layup from 2 ft (assist by D. Collison),15,19
1,3:14.0,Personal foul by V. Oladipo (drawn by N. Vonleh),,15,19
1,3:14.0,T. Burke enters the game for T. Hardaway,,15,19
1,3:14.0,L. Kornet enters the game for N. Vonleh,,15,19
1,3:14.0,,C. Joseph enters the game for B. Bogdanović,15,19
1,3:08.0,C. Lee makes 2-pt jump shot from 16 ft,,17,19
1,2:53.0,,Shooting foul by C. Lee (drawn by M. Turner),17,19
1,2:53.0,New York full timeout,,17,19
1,2:53.0,,D. McDermott enters the game for D. Collison,17,19
1,2:53.0,,M. Turner makes free throw 1 of 2,17,20
1,2:53.0,,M. Turner misses free throw 2 of 2,17,20
1,2:49.0,Defensive rebound by K. Knox,,17,20
1,2:35.0,F. Ntilikina misses 2-pt jump shot from 16 ft,,17,20
1,2:33.0,,Defensive rebound by D. Sabonis,17,20
1,2:22.0,,Shooting foul by L. Kornet (drawn by D. Sabonis),17,20
1,2:22.0,,D. Sabonis misses free throw 1 of 2,17,20
1,2:22.0,,Offensive rebound by Team,17,20
1,2:22.0,,A. Holiday enters the game for V. Oladipo,17,20
1,2:22.0,,D. Sabonis makes free throw 2 of 2,17,21
1,2:05.0,L. Kornet makes 2-pt layup from 3 ft (assist by T. Burke),,19,21
1,1:51.0,,D. McDermott misses 2-pt layup from 1 ft,19,21
1,1:48.0,,D. Sabonis makes 2-pt layup from 1 ft,19,23
1,1:48.0,,Offensive rebound by D. Sabonis,19,23
1,1:37.0,T. Burke makes 3-pt jump shot from 28 ft (assist by F. Ntilikina),,22,23
1,1:23.0,,C. Joseph misses 3-pt jump shot from 26 ft,22,23
1,1:19.0,Defensive rebound by L. Kornet,,22,23
1,1:06.0,K. Knox makes 2-pt layup from 1 ft,,24,23
1,1:06.0,,Violation by Team (def goaltending),24,23
1,0:44.0,,D. Sabonis makes 2-pt layup from 5 ft,24,25
1,0:38.0,Personal foul by A. Holiday (drawn by T. Burke),,24,25
1,0:32.0,T. Burke misses 2-pt jump shot from 13 ft,,24,25
1,0:29.0,,Defensive rebound by A. Holiday,24,25
1,0:26.0,,A. Holiday makes 2-pt layup at rim,24,27
1,0:26.0,,Shooting foul by L. Kornet (drawn by A. Holiday),24,27
1,0:26.0,,B. Bogdanović enters the game for M. Turner,24,27
1,0:26.0,,A. Holiday makes free throw 1 of 1,24,28
1,0:02.0,F. Ntilikina makes 2-pt jump shot from 15 ft,,26,28
1,0:01.0,,A. Holiday misses 3-pt jump shot from 28 ft,26,28
1,0:00.0,,Offensive rebound by Team,26,28
2,11:39.0,,A. Holiday misses 3-pt jump shot from 27 ft,26,28
2,11:35.0,Defensive rebound by T. Burke,,26,28
