QUARTER,TIME_REMAINING,ORLANDO_ACTION,SAN ANTONIO_ACTION,ORLANDO_SCORE,SAN ANTONIO_SCORE
1,11:47.0,N. Vučević misses 2-pt jump shot from 16 ft,,0,0
1,11:43.0,,Defensive rebound by D. Bertāns,0,0
1,11:35.0,,Turnover by L. Aldridge (traveling),0,0
1,11:18.0,A. Gordon makes 2-pt jump shot from 13 ft,,2,0
1,10:59.0,,Personal foul by E. Fournier (drawn by D. DeRozan),2,0
1,10:55.0,,Personal foul by W. Iwundu (drawn by L. Aldridge),2,0
1,10:46.0,,L. Aldridge makes 2-pt jump shot from 16 ft (assist by D. DeRozan),2,2
1,10:23.0,D. Augustin makes 2-pt jump shot from 21 ft,,4,2
1,10:08.0,,D. DeRozan misses 3-pt jump shot from 23 ft,4,2
1,10:05.0,Defensive rebound by A. Gordon,,4,2
1,9:58.0,A. Gordon misses 3-pt jump shot from 25 ft,,4,2
1,9:58.0,,Defensive rebound by D. DeRozan,4,2
1,9:51.0,,D. Bertāns makes 2-pt jump shot from 14 ft (assist by D. DeRozan),4,4
1,9:31.0,W. Iwundu misses 2-pt layup from 2 ft,,4,4
1,9:31.0,Offensive rebound by A. Gordon,,4,4
1,9:25.0,A. Gordon makes 2-pt dunk at rim,,6,4
1,9:14.0,,L. Aldridge makes 2-pt jump shot from 17 ft,6,6
1,9:08.0,Personal foul by B. Forbes (drawn by D. Augustin),,6,6
1,9:05.0,Personal foul by B. Forbes (drawn by D. Augustin),,6,6
1,9:05.0,,P. Mills enters the game for B. Forbes,6,6
1,8:48.0,N. Vučević makes 2-pt jump shot from 16 ft (assist by D. Augustin),,8,6
1,8:24.0,,D. DeRozan makes 3-pt jump shot from 23 ft (assist by L. Aldridge),8,9
1,8:04.0,W. Iwundu misses 2-pt jump shot from 20 ft,,8,9
1,8:02.0,,Defensive rebound by D. DeRozan,8,9
1,7:51.0,,D. DeRozan makes 2-pt jump shot from 8 ft,8,11
1,7:34.0,E. Fournier makes 2-pt jump shot from 7 ft (assist by D. Augustin),,10,11
1,7:21.0,,L. Aldridge misses 2-pt jump shot from 3 ft,10,11
1,7:19.0,Defensive rebound by N. Vučević,,10,11
1,7:18.0,Shooting foul by D. Cunningham (drawn by W. Iwundu),,10,11
1,7:18.0,W. Iwundu makes free throw 1 of 2,,11,11
1,7:18.0,W. Iwundu makes free throw 2 of 2,,12,11
1,7:03.0,,Personal foul by D. Augustin (drawn by P. Mills),12,11
1,6:53.0,,D. DeRozan makes 2-pt dunk from 1 ft (assist by L. Aldridge),12,13
1,6:33.0,E. Fournier makes 2-pt jump shot from 8 ft,,14,13
1,6:14.0,,San Antonio full timeout,14,13
1,6:11.0,,D. Bertāns misses 3-pt jump shot from 26 ft,14,13
1,6:06.0,Defensive rebound by A. Gordon,,14,13
1,6:00.0,Personal foul by D. Cunningham (drawn by A. Gordon),,14,13
1,6:00.0,T. Ross enters the game for W. Iwundu,,14,13
1,6:00.0,,M. Belinelli enters the game for L. Aldridge,14,13
1,6:00.0,,P. Gasol enters the game for D. Bertāns,14,13
1,6:00.0,,Q. Pondexter enters the game for D. Cunningham,14,13
1,5:53.0,Turnover by D. Augustin (bad pass; steal by D. DeRozan),,14,13
1,5:44.0,,Turnover by D. DeRozan (bad pass; steal by E. Fournier),14,13
1,5:38.0,E. Fournier makes 2-pt layup from 1 ft,,16,13
1,5:26.0,,P. Mills makes 2-pt jump shot from 18 ft,16,15
1,5:14.0,N. Vučević makes 2-pt layup from 2 ft (assist by T. Ross),,18,15
1,4:58.0,,P. Mills makes 2-pt jump shot from 20 ft (assist by P. Gasol),18,17
1,4:36.0,N. Vučević makes 2-pt jump shot from 13 ft (assist by D. Augustin),,20,17
1,4:16.0,,Q. Pondexter misses 3-pt jump shot from 26 ft,20,17
1,4:13.0,Defensive rebound by D. Augustin,,20,17
1,4:12.0,Personal foul by P. Gasol (drawn by D. Augustin),,20,17
1,4:12.0,D. Augustin misses free throw 1 of 2,,20,17
1,4:12.0,Offensive rebound by Team,,20,17
1,4:12.0,J. Martin enters the game for A. Gordon,,20,17
1,4:12.0,D. Augustin makes free throw 2 of 2,,21,17
1,4:00.0,,Offensive foul by Q. Pondexter (drawn by D. Augustin),21,17
1,4:00.0,,Turnover by Q. Pondexter (offensive foul),21,17
