QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,HOUSTON_ACTION,SAN ANTONIO_SCORE,HOUSTON_SCORE
1,11:42.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by E. Gordon),0,3
1,11:25.0,L. Aldridge makes 2-pt jump shot from 8 ft (assist by R. Gay),,2,3
1,11:14.0,,J. Harden misses 2-pt layup from 2 ft,2,3
1,11:12.0,,Offensive rebound by C. Capela,2,3
1,11:10.0,,C. Capela misses 2-pt layup from 2 ft (block by D. White),2,3
1,11:08.0,Defensive rebound by B. Forbes,,2,3
1,11:03.0,L. Aldridge makes 2-pt layup from 1 ft (assist by D. White),,4,3
1,10:47.0,,J. Harden makes 3-pt jump shot from 26 ft,4,6
1,10:26.0,L. Aldridge misses 2-pt jump shot from 12 ft,,4,6
1,10:25.0,,Defensive rebound by P. Tucker,4,6
1,10:13.0,,Shooting foul by D. DeRozan (drawn by C. Capela),4,6
1,10:13.0,,C. Capela misses free throw 1 of 2,4,6
1,10:13.0,,Offensive rebound by Team,4,6
1,10:13.0,,C. Capela makes free throw 2 of 2,4,7
1,9:55.0,Shooting foul by D. House (drawn by R. Gay),,4,7
1,9:55.0,R. Gay makes free throw 1 of 2,,5,7
1,9:55.0,R. Gay makes free throw 2 of 2,,6,7
1,9:46.0,,J. Harden misses 2-pt jump shot from 9 ft,6,7
1,9:45.0,,Offensive rebound by J. Harden,6,7
1,9:43.0,,J. Harden misses 2-pt layup from 3 ft (block by D. White),6,7
1,9:42.0,Defensive rebound by D. White,,6,7
1,9:34.0,B. Forbes makes 2-pt jump shot from 12 ft (assist by R. Gay),,8,7
1,9:22.0,,Shooting foul by R. Gay (drawn by C. Capela),8,7
1,9:22.0,,C. Capela misses free throw 1 of 2,8,7
1,9:22.0,,Offensive rebound by Team,8,7
1,9:22.0,,C. Capela misses free throw 2 of 2,8,7
1,9:22.0,Defensive rebound by L. Aldridge,,8,7
1,9:05.0,L. Aldridge misses 2-pt jump shot from 10 ft,,8,7
1,9:03.0,,Defensive rebound by D. House,8,7
1,8:54.0,,E. Gordon makes 2-pt layup from 1 ft (assist by P. Tucker),8,9
1,8:40.0,L. Aldridge misses 2-pt hook shot from 5 ft,,8,9
1,8:39.0,,Defensive rebound by J. Harden,8,9
1,8:37.0,,Turnover by J. Harden (lost ball; steal by D. White),8,9
1,8:31.0,B. Forbes makes 3-pt jump shot from 24 ft (assist by D. White),,11,9
1,8:24.0,,E. Gordon misses 3-pt jump shot from 25 ft,11,9
1,8:23.0,Defensive rebound by R. Gay,,11,9
1,8:06.0,Turnover by D. DeRozan (traveling),,11,9
1,7:43.0,,J. Harden makes 2-pt layup from 1 ft,11,11
1,7:34.0,D. DeRozan makes 2-pt layup from 1 ft,,13,11
1,7:16.0,,E. Gordon makes 3-pt jump shot from 28 ft (assist by P. Tucker),13,14
1,7:15.0,San Antonio full timeout,,13,14
1,7:15.0,,G. Green enters the game for D. House,13,14
1,7:08.0,D. DeRozan makes 2-pt jump shot from 17 ft,,15,14
1,6:59.0,,Turnover by C. Capela (dbl dribble),15,14
1,6:59.0,P. Mills enters the game for D. White,,15,14
1,6:38.0,P. Mills makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,18,14
1,6:21.0,,J. Harden makes 3-pt jump shot from 26 ft (assist by C. Capela),18,17
1,6:09.0,P. Mills misses 3-pt jump shot from 25 ft,,18,17
1,6:08.0,,Defensive rebound by P. Tucker,18,17
1,6:02.0,,Personal foul by R. Gay (drawn by J. Harden),18,17
1,6:02.0,,N. Hilário enters the game for C. Capela,18,17
1,5:47.0,,J. Harden misses 2-pt layup from 1 ft,18,17
1,5:43.0,,Offensive rebound by N. Hilário,18,17
1,5:43.0,,N. Hilário misses 2-pt layup at rim,18,17
1,5:43.0,Defensive rebound by Team,,18,17
1,5:43.0,D. Bertāns enters the game for R. Gay,,18,17
1,5:29.0,L. Aldridge makes 2-pt layup from 1 ft (assist by D. Bertāns),,20,17
1,5:20.0,,E. Gordon misses 3-pt jump shot from 27 ft,20,17
1,5:20.0,Defensive rebound by D. DeRozan,,20,17
1,5:00.0,D. Bertāns misses 2-pt jump shot from 21 ft,,20,17
1,4:58.0,,Defensive rebound by P. Tucker,20,17
1,4:54.0,,Shooting foul by B. Forbes (drawn by J. Harden),20,17
1,4:54.0,,J. Harden makes free throw 1 of 2,20,18
1,4:54.0,M. Belinelli enters the game for B. Forbes,,20,18
1,4:54.0,,B. Knight enters the game for E. Gordon,20,18
1,4:54.0,,J. Harden misses free throw 2 of 2,20,18
1,4:52.0,Defensive rebound by L. Aldridge,,20,18
1,4:37.0,P. Mills misses 3-pt jump shot from 26 ft,,20,18
1,4:34.0,,Defensive rebound by N. Hilário,20,18
1,4:13.0,,J. Harden misses 3-pt jump shot from 27 ft,20,18
1,4:11.0,Defensive rebound by Team,,20,18
1,3:55.0,Shooting foul by P. Tucker (drawn by D. DeRozan),,20,18
1,3:55.0,D. DeRozan makes free throw 1 of 2,,21,18
1,3:55.0,D. DeRozan makes free throw 2 of 2,,22,18
1,3:32.0,,B. Knight misses 3-pt jump shot from 26 ft,22,18
1,3:30.0,Defensive rebound by M. Belinelli,,22,18
1,3:23.0,M. Belinelli misses 3-pt jump shot from 25 ft,,22,18
1,3:21.0,,Defensive rebound by G. Green,22,18
1,3:14.0,,J. Harden makes 3-pt jump shot from 25 ft,22,21
1,2:59.0,D. DeRozan misses 2-pt jump shot from 5 ft,,22,21
1,2:58.0,,Defensive rebound by N. Hilário,22,21
1,2:44.0,,J. Harden misses 3-pt jump shot from 26 ft,22,21
1,2:41.0,,Offensive rebound by P. Tucker,22,21
1,2:39.0,,P. Tucker misses 2-pt hook shot from 3 ft,22,21
1,2:38.0,Defensive rebound by L. Aldridge,,22,21
1,2:29.0,Personal foul by B. Knight (drawn by L. Aldridge),,22,21
1,2:29.0,,Houston full timeout,22,21
1,2:29.0,J. Poeltl enters the game for L. Aldridge,,22,21
1,2:29.0,,C. Capela enters the game for N. Hilário,22,21
1,2:29.0,,D. House enters the game for P. Tucker,22,21
1,2:18.0,D. Bertāns makes 2-pt jump shot from 14 ft,,24,21
1,2:02.0,,C. Capela makes 2-pt dunk at rim (assist by J. Harden),24,23
1,1:42.0,D. DeRozan misses 2-pt layup from 2 ft (block by C. Capela),,24,23
1,1:42.0,Offensive rebound by Team,,24,23
1,1:42.0,R. Gay enters the game for D. DeRozan,,24,23
1,1:42.0,,E. Gordon enters the game for J. Harden,24,23
1,1:42.0,Personal foul by G. Green (drawn by J. Poeltl),,24,23
1,1:31.0,M. Belinelli misses 2-pt jump shot from 18 ft,,24,23
1,1:30.0,Offensive rebound by Team,,24,23
1,1:30.0,,Loose ball foul by D. House (drawn by J. Poeltl),24,23
1,1:30.0,J. Poeltl misses free throw 1 of 2,,24,23
1,1:30.0,Offensive rebound by Team,,24,23
1,1:30.0,J. Poeltl misses free throw 2 of 2,,24,23
1,1:30.0,,Defensive rebound by C. Capela,24,23
1,1:16.0,,G. Green misses 3-pt jump shot from 26 ft,24,23
1,1:15.0,,Offensive rebound by C. Capela,24,23
1,1:13.0,,G. Green misses 3-pt jump shot from 24 ft,24,23
1,1:13.0,Defensive rebound by J. Poeltl,,24,23
1,0:55.0,M. Belinelli misses 3-pt jump shot from 25 ft,,24,23
1,0:54.0,,Defensive rebound by G. Green,24,23
1,0:44.0,,B. Knight misses 3-pt jump shot from 24 ft,24,23
1,0:43.0,,Offensive rebound by C. Capela,24,23
1,0:38.0,,D. House makes 2-pt dunk from 1 ft (assist by C. Capela),24,25
1,0:30.0,R. Gay misses 2-pt layup from 4 ft,,24,25
1,0:29.0,,Defensive rebound by C. Capela,24,25
1,0:20.0,,C. Capela misses 2-pt layup from 4 ft,24,25
1,0:18.0,,Offensive rebound by E. Gordon,24,25
1,0:13.0,,G. Green makes 3-pt jump shot from 25 ft (assist by E. Gordon),24,28
1,0:00.0,R. Gay makes 2-pt jump shot from 15 ft,,26,28
2,11:42.0,R. Gay makes 3-pt jump shot from 26 ft (assist by P. Mills),,29,28
2,11:27.0,,G. Green misses 3-pt jump shot from 25 ft,29,28
2,11:26.0,Defensive rebound by R. Gay,,29,28
