QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,HOUSTON_ACTION,SACRAMENTO_SCORE,HOUSTON_SCORE
1,11:37.0,,J. Ennis misses 2-pt layup from 3 ft,0,0
1,11:34.0,,Offensive rebound by C. Capela,0,0
1,11:34.0,,C. Capela makes 2-pt layup from 1 ft,0,2
1,11:12.0,D. Fox makes 2-pt layup from 3 ft,,2,2
1,10:59.0,,J. Harden misses 3-pt jump shot from 26 ft,2,2
1,10:57.0,Defensive rebound by W. Cauley-Stein,,2,2
1,10:47.0,W. Cauley-Stein misses 2-pt jump shot from 8 ft (block by C. Capela),,2,2
1,10:47.0,Offensive rebound by Team,,2,2
1,10:45.0,Turnover by B. Hield (out of bounds lost ball),,2,2
1,10:32.0,,Turnover by C. Paul (bad pass; steal by I. Shumpert),2,2
1,10:27.0,D. Fox makes 2-pt dunk from 3 ft (assist by B. Hield),,4,2
1,10:19.0,,Shooting foul by N. Bjelica (drawn by J. Harden),4,2
1,10:19.0,,J. Harden makes free throw 1 of 2,4,3
1,10:19.0,,J. Harden makes free throw 2 of 2,4,4
1,10:08.0,I. Shumpert makes 3-pt jump shot from 27 ft,,7,4
1,9:50.0,,P. Tucker misses 2-pt jump shot from 9 ft,7,4
1,9:47.0,,Offensive rebound by C. Capela,7,4
1,9:46.0,,C. Capela makes 2-pt layup from 4 ft,7,6
1,9:30.0,B. Hield misses 2-pt layup from 3 ft,,7,6
1,9:28.0,,Defensive rebound by C. Capela,7,6
1,9:24.0,,C. Paul makes 3-pt jump shot from 25 ft,7,9
1,9:12.0,D. Fox misses 3-pt jump shot from 26 ft,,7,9
1,9:09.0,,Defensive rebound by J. Harden,7,9
1,9:05.0,,C. Capela misses 2-pt layup from 6 ft (block by W. Cauley-Stein),7,9
1,9:05.0,,Offensive rebound by Team,7,9
1,8:46.0,,J. Ennis makes 2-pt jump shot from 22 ft (assist by C. Paul),7,11
1,8:40.0,Sacramento full timeout,,7,11
1,8:29.0,D. Fox makes 3-pt jump shot from 22 ft (assist by W. Cauley-Stein),,10,11
1,8:04.0,,J. Harden misses 3-pt jump shot from 25 ft,10,11
1,8:01.0,Defensive rebound by B. Hield,,10,11
1,7:47.0,N. Bjelica misses 3-pt jump shot from 22 ft,,10,11
1,7:43.0,,Defensive rebound by J. Harden,10,11
1,7:37.0,,C. Paul misses 3-pt jump shot from 26 ft,10,11
1,7:34.0,Defensive rebound by I. Shumpert,,10,11
1,7:30.0,B. Hield makes 2-pt layup from 3 ft (assist by I. Shumpert),,12,11
1,7:09.0,,J. Harden makes 2-pt layup from 3 ft,12,13
1,7:09.0,,Shooting foul by B. Hield (drawn by J. Harden),12,13
1,7:09.0,M. Bagley enters the game for W. Cauley-Stein,,12,13
1,7:09.0,,E. Gordon enters the game for C. Paul,12,13
1,7:09.0,,J. Harden makes free throw 1 of 1,12,14
1,6:50.0,I. Shumpert misses 2-pt jump shot from 18 ft,,12,14
1,6:47.0,,Defensive rebound by C. Capela,12,14
1,6:42.0,,J. Ennis makes 2-pt layup from 2 ft (assist by J. Harden),12,16
1,6:38.0,Turnover by D. Fox (bad pass; steal by J. Harden),,12,16
1,6:38.0,,Personal foul by D. Fox (drawn by J. Harden),12,16
1,6:38.0,,G. Clark enters the game for J. Ennis,12,16
1,6:29.0,,J. Harden makes 2-pt layup from 3 ft,12,18
1,6:10.0,B. Hield makes 2-pt jump shot from 13 ft,,14,18
1,5:56.0,,P. Tucker makes 2-pt layup from 3 ft (assist by E. Gordon),14,20
1,5:51.0,Personal foul by E. Gordon (drawn by D. Fox),,14,20
1,5:51.0,T. Williams enters the game for N. Bjelica,,14,20
1,5:51.0,,G. Green enters the game for C. Capela,14,20
1,5:51.0,,I. Hartenstein enters the game for P. Tucker,14,20
1,5:35.0,Turnover by M. Bagley (bad pass),,14,20
1,5:30.0,,G. Green makes 3-pt jump shot from 23 ft (assist by I. Hartenstein),14,23
1,5:28.0,Sacramento full timeout,,14,23
1,5:28.0,B. Bogdanović enters the game for B. Hield,,14,23
1,5:14.0,T. Williams misses 3-pt jump shot from 27 ft,,14,23
1,5:12.0,Offensive rebound by M. Bagley,,14,23
1,5:02.0,M. Bagley makes 2-pt dunk from 2 ft (assist by B. Bogdanović),,16,23
1,4:44.0,,G. Green misses 3-pt jump shot from 23 ft,16,23
1,4:40.0,Defensive rebound by T. Williams,,16,23
1,4:35.0,D. Fox makes 2-pt jump shot from 19 ft (assist by B. Bogdanović),,18,23
1,4:15.0,,E. Gordon misses 3-pt jump shot from 26 ft,18,23
1,4:12.0,Defensive rebound by M. Bagley,,18,23
1,4:02.0,B. Bogdanović makes 2-pt jump shot from 13 ft,,20,23
1,3:54.0,,Personal foul by B. Bogdanović (drawn by J. Harden),20,23
1,3:53.0,,Offensive foul by J. Harden (drawn by B. Bogdanović),20,23
1,3:53.0,,Turnover by J. Harden (offensive foul),20,23
1,3:39.0,M. Bagley makes 2-pt dunk from 1 ft (assist by D. Fox),,22,23
1,3:23.0,,Turnover by J. Harden (out of bounds lost ball),22,23
1,3:19.0,D. Fox makes 2-pt layup from 5 ft,,24,23
1,3:19.0,Shooting foul by I. Hartenstein (drawn by D. Fox),,24,23
1,3:19.0,Y. Ferrell enters the game for I. Shumpert,,24,23
1,3:19.0,,C. Capela enters the game for J. Harden,24,23
1,3:19.0,,C. Paul enters the game for I. Hartenstein,24,23
1,3:19.0,D. Fox makes free throw 1 of 1,,25,23
1,3:02.0,,G. Clark misses 3-pt jump shot from 23 ft,25,23
1,2:59.0,,Offensive rebound by C. Capela,25,23
1,2:57.0,,E. Gordon misses 3-pt jump shot from 27 ft,25,23
1,2:54.0,,Offensive rebound by Team,25,23
1,2:54.0,Loose ball foul by D. Fox (drawn by G. Clark),,25,23
1,2:54.0,,G. Clark makes free throw 1 of 2,25,24
1,2:54.0,J. Jackson enters the game for D. Fox,,25,24
1,2:54.0,,G. Clark makes free throw 2 of 2,25,25
1,2:32.0,B. Bogdanović makes 2-pt layup from 3 ft,,27,25
1,2:12.0,,C. Paul makes 3-pt jump shot from 25 ft,27,28
1,2:02.0,Turnover by M. Bagley (traveling),,27,28
1,1:56.0,,Personal foul by Y. Ferrell (drawn by C. Paul),27,28
1,1:56.0,,C. Paul makes free throw 1 of 2,27,29
1,1:56.0,,C. Paul makes free throw 2 of 2,27,30
1,1:43.0,Personal foul by C. Capela (drawn by M. Bagley),,27,30
1,1:40.0,T. Williams misses 2-pt layup from 6 ft,,27,30
1,1:40.0,,Defensive rebound by Team,27,30
1,1:28.0,,Personal foul by T. Williams (drawn by C. Paul),27,30
1,1:28.0,,C. Paul misses free throw 1 of 2,27,30
1,1:28.0,,Offensive rebound by Team,27,30
