QUARTER,TIME_REMAINING,INDIANA_ACTION,ATLANTA_ACTION,INDIANA_SCORE,ATLANTA_SCORE
1,11:46.0,,D. Dedmon makes 3-pt jump shot from 23 ft (assist by K. Huerter),0,3
1,11:20.0,M. Turner misses 2-pt layup from 3 ft,,0,3
1,11:17.0,,Defensive rebound by D. Dedmon,0,3
1,11:11.0,,D. Dedmon misses 3-pt jump shot from 25 ft,0,3
1,11:06.0,,Offensive rebound by Team,0,3
1,10:52.0,,K. Huerter misses 2-pt jump shot from 9 ft,0,3
1,10:50.0,Defensive rebound by Team,,0,3
1,10:42.0,Turnover by V. Oladipo (lost ball; steal by K. Bazemore),,0,3
1,10:38.0,,K. Bazemore makes 2-pt dunk from 1 ft,0,5
1,10:20.0,Shooting foul by J. Collins (drawn by T. Young),,0,5
1,10:20.0,T. Young makes free throw 1 of 2,,1,5
1,10:20.0,T. Young makes free throw 2 of 2,,2,5
1,10:05.0,,J. Collins makes 3-pt jump shot from 23 ft (assist by T. Young),2,8
1,9:48.0,Loose ball foul by M. Turner (drawn by T. Young),,2,8
1,9:48.0,Turnover by M. Turner (turnover),,2,8
1,9:37.0,,D. Dedmon misses 3-pt jump shot from 23 ft,2,8
1,9:30.0,Defensive rebound by D. Collison,,2,8
1,9:24.0,T. Young misses 2-pt layup from 2 ft (block by J. Collins),,2,8
1,9:21.0,,Defensive rebound by K. Huerter,2,8
1,9:20.0,,K. Huerter misses 3-pt jump shot from 26 ft,2,8
1,9:18.0,,Offensive rebound by D. Dedmon,2,8
1,9:18.0,,Shooting foul by M. Turner (drawn by D. Dedmon),2,8
1,9:18.0,,D. Dedmon makes free throw 1 of 2,2,9
1,9:18.0,D. Sabonis enters the game for M. Turner,,2,9
1,9:18.0,,D. Dedmon makes free throw 2 of 2,2,10
1,9:07.0,V. Oladipo misses 3-pt jump shot from 25 ft,,2,10
1,9:03.0,,Defensive rebound by J. Collins,2,10
1,8:54.0,,K. Bazemore misses 3-pt jump shot from 23 ft,2,10
1,8:50.0,Defensive rebound by T. Young,,2,10
1,8:40.0,T. Young misses 2-pt layup from 1 ft,,2,10
1,8:38.0,Offensive rebound by D. Sabonis,,2,10
1,8:38.0,D. Sabonis misses 2-pt layup at rim,,2,10
1,8:38.0,Offensive rebound by D. Sabonis,,2,10
1,8:38.0,Shooting foul by J. Collins (drawn by D. Sabonis),,2,10
1,8:38.0,D. Sabonis misses free throw 1 of 2,,2,10
1,8:38.0,Offensive rebound by Team,,2,10
1,8:38.0,D. Sabonis misses free throw 2 of 2,,2,10
1,8:35.0,,Defensive rebound by D. Dedmon,2,10
1,8:19.0,,T. Young makes 2-pt jump shot from 3 ft (assist by K. Bazemore),2,12
1,8:13.0,Indiana full timeout,,2,12
1,8:13.0,,V. Carter enters the game for J. Collins,2,12
1,8:05.0,B. Bogdanović misses 2-pt jump shot from 12 ft,,2,12
1,8:02.0,,Defensive rebound by D. Dedmon,2,12
1,8:00.0,,T. Young misses 2-pt layup from 4 ft (block by D. Collison),2,12
1,8:00.0,Defensive rebound by Team,,2,12
1,8:00.0,,D. Bembry enters the game for K. Huerter,2,12
1,7:47.0,D. Sabonis misses 2-pt jump shot from 11 ft,,2,12
1,7:44.0,,Defensive rebound by D. Dedmon,2,12
1,7:24.0,,Turnover by V. Carter (bad pass; steal by V. Oladipo),2,12
1,7:19.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,2,12
1,7:15.0,Offensive rebound by D. Sabonis,,2,12
1,7:14.0,Shooting foul by V. Carter (drawn by B. Bogdanović),,2,12
1,7:14.0,B. Bogdanović makes free throw 1 of 2,,3,12
1,7:14.0,B. Bogdanović makes free throw 2 of 2,,4,12
1,7:05.0,,Turnover by T. Young (bad pass),4,12
1,6:55.0,T. Young makes 2-pt layup from 1 ft (assist by D. Collison),,6,12
1,6:46.0,,T. Young makes 2-pt layup from 1 ft,6,14
1,6:26.0,D. Collison makes 3-pt jump shot from 22 ft (assist by B. Bogdanović),,9,14
1,6:09.0,,K. Bazemore misses 2-pt layup from 8 ft,9,14
1,6:05.0,Defensive rebound by V. Oladipo,,9,14
1,6:02.0,D. Collison makes 2-pt layup from 1 ft,,11,14
1,6:00.0,,Atlanta full timeout,11,14
1,6:00.0,,K. Huerter enters the game for K. Bazemore,11,14
1,6:00.0,,J. Lin enters the game for D. Dedmon,11,14
1,6:00.0,,A. Poythress enters the game for T. Young,11,14
1,5:37.0,,K. Huerter makes 3-pt jump shot from 25 ft (assist by J. Lin),11,17
1,5:19.0,D. Sabonis misses 2-pt layup from 6 ft (block by V. Carter),,11,17
1,5:16.0,,Defensive rebound by V. Carter,11,17
1,5:14.0,,J. Lin makes 3-pt jump shot from 26 ft (assist by V. Carter),11,20
1,5:00.0,Shooting foul by A. Poythress (drawn by D. Sabonis),,11,20
1,5:00.0,D. Sabonis makes free throw 1 of 2,,12,20
1,5:00.0,D. Sabonis makes free throw 2 of 2,,13,20
1,4:46.0,,Turnover by D. Bembry (lost ball; steal by D. Collison),13,20
1,4:41.0,D. Collison makes 2-pt jump shot from 16 ft (assist by V. Oladipo),,15,20
1,4:27.0,,Turnover by D. Bembry (bad pass; steal by D. Sabonis),15,20
1,4:15.0,D. Sabonis makes 2-pt layup from 1 ft (assist by V. Oladipo),,17,20
1,4:15.0,Shooting foul by A. Poythress (drawn by D. Sabonis),,17,20
1,4:15.0,C. Joseph enters the game for B. Bogdanović,,17,20
1,4:15.0,D. Sabonis makes free throw 1 of 1,,18,20
1,4:03.0,,Turnover by K. Huerter (back court),18,20
1,3:49.0,V. Oladipo makes 2-pt layup from 1 ft,,20,20
1,3:49.0,Shooting foul by V. Carter (drawn by V. Oladipo),,20,20
1,3:49.0,,D. Dedmon enters the game for A. Poythress,20,20
1,3:49.0,V. Oladipo makes free throw 1 of 1,,21,20
1,3:29.0,,V. Carter misses 2-pt jump shot from 15 ft,21,20
1,3:26.0,Defensive rebound by V. Oladipo,,21,20
1,3:25.0,Shooting foul by D. Bembry (drawn by V. Oladipo),,21,20
1,3:25.0,V. Oladipo makes free throw 1 of 2,,22,20
1,3:25.0,,O. Spellman enters the game for V. Carter,22,20
1,3:25.0,V. Oladipo misses free throw 2 of 2,,22,20
1,3:23.0,,Defensive rebound by O. Spellman,22,20
1,3:11.0,,D. Dedmon makes 2-pt dunk from 1 ft (assist by K. Huerter),22,22
1,2:56.0,D. Sabonis makes 2-pt layup from 2 ft (assist by C. Joseph),,24,22
1,2:37.0,,O. Spellman misses 3-pt jump shot from 23 ft,24,22
1,2:34.0,Defensive rebound by D. Sabonis,,24,22
1,2:27.0,Turnover by T. Young (traveling),,24,22
1,2:27.0,T. Evans enters the game for D. Collison,,24,22
1,2:27.0,D. McDermott enters the game for V. Oladipo,,24,22
1,2:13.0,,Turnover by K. Huerter (lost ball; steal by T. Young),24,22
1,2:09.0,D. McDermott misses 2-pt layup from 2 ft (block by J. Lin),,24,22
1,2:06.0,Offensive rebound by T. Evans,,24,22
1,2:05.0,T. Evans makes 2-pt layup from 2 ft,,26,22
1,1:54.0,,D. Bembry makes 3-pt jump shot from 23 ft (assist by J. Lin),26,25
1,1:37.0,D. Sabonis makes 2-pt jump shot from 20 ft (assist by T. Evans),,28,25
1,1:19.0,,Shooting foul by C. Joseph (drawn by O. Spellman),28,25
1,1:19.0,,O. Spellman makes free throw 1 of 2,28,26
1,1:19.0,,O. Spellman makes free throw 2 of 2,28,27
1,1:05.0,Turnover by D. Sabonis (traveling),,28,27
1,0:54.0,,J. Lin makes 2-pt layup from 1 ft,28,29
1,0:34.0,T. Young makes 2-pt layup from 1 ft (assist by C. Joseph),,30,29
1,0:25.0,,Turnover by D. Bembry (lost ball; steal by C. Joseph),30,29
1,0:21.0,Shooting foul by J. Lin (drawn by C. Joseph),,30,29
1,0:21.0,C. Joseph makes free throw 1 of 2,,31,29
1,0:21.0,C. Joseph makes free throw 2 of 2,,32,29
1,0:03.0,,J. Lin makes 2-pt jump shot from 12 ft,32,31
1,0:00.0,C. Joseph misses 3-pt jump shot from 32 ft,,32,31
1,0:00.0,Offensive rebound by Team,,32,31
2,11:45.0,D. McDermott makes 2-pt layup from 1 ft (assist by D. Sabonis),,34,31
2,11:24.0,,D. Dedmon makes 2-pt hook shot from 8 ft (assist by K. Bazemore),34,33
2,11:11.0,D. Sabonis misses 2-pt jump shot from 16 ft,,34,33
2,11:08.0,,Defensive rebound by D. Dedmon,34,33
2,10:58.0,,K. Bazemore makes 2-pt jump shot from 17 ft,34,35
2,10:51.0,T. Evans makes 2-pt layup from 1 ft (assist by C. Joseph),,36,35
2,10:34.0,,K. Huerter misses 3-pt jump shot from 25 ft,36,35
2,10:31.0,Defensive rebound by C. Joseph,,36,35
2,10:25.0,D. McDermott misses 3-pt jump shot from 23 ft,,36,35
2,10:21.0,,Defensive rebound by D. Dedmon,36,35
2,10:09.0,,K. Huerter misses 2-pt jump shot from 6 ft,36,35
2,10:05.0,Defensive rebound by D. Sabonis,,36,35
2,9:59.0,T. Evans makes 3-pt jump shot from 25 ft (assist by D. Sabonis),,39,35
2,9:39.0,,Shooting foul by T. Evans (drawn by K. Bazemore),39,35
2,9:39.0,,K. Bazemore misses free throw 1 of 2,39,35
2,9:39.0,,Offensive rebound by Team,39,35
2,9:39.0,,K. Bazemore misses free throw 2 of 2,39,35
2,9:37.0,,Offensive rebound by Team,39,35
2,9:28.0,,Shooting foul by T. Evans (drawn by T. Young),39,35
2,9:28.0,,T. Young makes free throw 1 of 2,39,36
2,9:28.0,,T. Young makes free throw 2 of 2,39,37
2,9:19.0,Shooting foul by K. Bazemore (drawn by T. Evans),,39,37
2,9:19.0,T. Evans misses free throw 1 of 2,,39,37
2,9:19.0,Offensive rebound by Team,,39,37
2,9:19.0,T. Evans makes free throw 2 of 2,,40,37
2,9:06.0,,J. Collins misses 2-pt layup from 5 ft (block by D. Sabonis),40,37
2,9:02.0,,Offensive rebound by J. Collins,40,37
2,8:59.0,,K. Bazemore makes 3-pt jump shot from 25 ft (assist by K. Huerter),40,40
