QUARTER,TIME_REMAINING,WASHINGTON_ACTION,LA CLIPPERS_ACTION,WASHINGTON_SCORE,LA CLIPPERS_SCORE
1,11:39.0,,D. Gallinari misses 2-pt layup from 1 ft,0,0
1,11:37.0,Defensive rebound by I. Mahinmi,,0,0
1,11:29.0,M. Morris misses 3-pt jump shot from 23 ft,,0,0
1,11:26.0,,Defensive rebound by P. Beverley,0,0
1,11:10.0,,A. Bradley makes 3-pt jump shot from 23 ft (assist by D. Gallinari),0,3
1,10:59.0,Turnover by I. Mahinmi (offensive foul),,0,3
1,10:59.0,Offensive foul by I. Mahinmi (drawn by A. Bradley),,0,3
1,10:49.0,,A. Bradley makes 2-pt layup from 1 ft (assist by P. Beverley),0,5
1,10:26.0,J. Wall misses 2-pt jump shot from 19 ft,,0,5
1,10:22.0,,Defensive rebound by T. Harris,0,5
1,10:15.0,,T. Harris makes 2-pt jump shot from 6 ft,0,7
1,10:03.0,O. Porter misses 3-pt jump shot from 25 ft,,0,7
1,9:59.0,,Defensive rebound by M. Gortat,0,7
1,9:41.0,,P. Beverley misses 2-pt jump shot from 5 ft,0,7
1,9:39.0,Defensive rebound by M. Morris,,0,7
1,9:37.0,B. Beal makes 2-pt jump shot from 16 ft,,2,7
1,9:19.0,,D. Gallinari misses 3-pt jump shot from 26 ft,2,7
1,9:15.0,Defensive rebound by O. Porter,,2,7
1,9:10.0,J. Wall misses 2-pt layup from 3 ft (block by D. Gallinari),,2,7
1,9:10.0,Offensive rebound by Team,,2,7
1,9:06.0,O. Porter misses 2-pt jump shot from 9 ft,,2,7
1,9:01.0,Offensive rebound by I. Mahinmi,,2,7
1,9:01.0,I. Mahinmi makes 2-pt layup at rim,,4,7
1,8:54.0,,A. Bradley makes 3-pt jump shot from 25 ft (assist by P. Beverley),4,10
1,8:37.0,J. Wall misses 2-pt jump shot from 11 ft,,4,10
1,8:33.0,Offensive rebound by J. Wall,,4,10
1,8:31.0,Personal foul by P. Beverley (drawn by J. Wall),,4,10
1,8:24.0,I. Mahinmi misses 2-pt jump shot from 14 ft,,4,10
1,8:21.0,,Defensive rebound by D. Gallinari,4,10
1,8:05.0,,A. Bradley misses 3-pt jump shot from 25 ft,4,10
1,8:03.0,Defensive rebound by B. Beal,,4,10
1,7:57.0,B. Beal makes 2-pt jump shot from 11 ft,,6,10
1,7:40.0,,A. Bradley misses 3-pt jump shot from 23 ft,6,10
1,7:34.0,,T. Harris makes 2-pt layup from 1 ft,6,12
1,7:34.0,,Offensive rebound by T. Harris,6,12
1,7:22.0,J. Wall makes 2-pt jump shot from 14 ft,,8,12
1,7:07.0,,Personal foul by M. Morris (drawn by D. Gallinari),8,12
1,6:55.0,,D. Gallinari misses 3-pt jump shot from 31 ft,8,12
1,6:53.0,Defensive rebound by Team,,8,12
1,6:53.0,,LA Clippers full timeout,8,12
1,6:41.0,I. Mahinmi makes 2-pt dunk from 1 ft (assist by J. Wall),,10,12
1,6:24.0,,Turnover by T. Harris (lost ball; steal by J. Wall),10,12
1,6:12.0,M. Morris misses 2-pt hook shot from 5 ft,,10,12
1,6:09.0,,Defensive rebound by T. Harris,10,12
1,6:05.0,,P. Beverley misses 3-pt jump shot from 25 ft,10,12
1,6:01.0,Defensive rebound by O. Porter,,10,12
1,5:58.0,B. Beal misses 3-pt jump shot from 25 ft,,10,12
1,5:54.0,,Defensive rebound by T. Harris,10,12
1,5:54.0,,Personal foul by B. Beal (drawn by T. Harris),10,12
1,5:42.0,,D. Gallinari makes 2-pt dunk from 1 ft (assist by M. Gortat),10,14
1,5:25.0,J. Wall misses 2-pt jump shot from 15 ft,,10,14
1,5:21.0,Offensive rebound by I. Mahinmi,,10,14
1,5:16.0,O. Porter makes 2-pt jump shot from 10 ft,,12,14
1,4:58.0,,A. Bradley makes 3-pt jump shot from 25 ft (assist by P. Beverley),12,17
1,4:49.0,Shooting foul by M. Gortat (drawn by I. Mahinmi),,12,17
1,4:49.0,I. Mahinmi makes free throw 1 of 2,,13,17
1,4:49.0,I. Mahinmi makes free throw 2 of 2,,14,17
1,4:37.0,,P. Beverley misses 3-pt jump shot from 25 ft,14,17
1,4:33.0,Defensive rebound by I. Mahinmi,,14,17
1,4:26.0,B. Beal makes 2-pt layup from 1 ft,,16,17
1,4:11.0,,M. Gortat misses 2-pt jump shot from 17 ft,16,17
1,4:08.0,Defensive rebound by I. Mahinmi,,16,17
