QUARTER,TIME_REMAINING,ORLANDO_ACTION,BOSTON_ACTION,ORLANDO_SCORE,BOSTON_SCORE
1,11:45.0,,K. Irving misses 3-pt jump shot from 26 ft,0,0
1,11:44.0,Defensive rebound by J. Isaac,,0,0
1,11:27.0,D. Augustin misses 3-pt jump shot from 27 ft,,0,0
1,11:25.0,,Defensive rebound by J. Tatum,0,0
1,11:17.0,,J. Brown misses 2-pt layup from 4 ft,0,0
1,11:15.0,Defensive rebound by Team,,0,0
1,11:09.0,Personal foul by G. Hayward (drawn by A. Gordon),,0,0
1,11:02.0,Turnover by D. Augustin (bad pass; steal by G. Hayward),,0,0
1,10:56.0,,A. Horford misses 3-pt jump shot from 27 ft,0,0
1,10:54.0,Defensive rebound by N. Vučević,,0,0
1,10:36.0,E. Fournier makes 2-pt dunk from 2 ft (assist by D. Augustin),,2,0
1,10:17.0,,Shooting foul by N. Vučević (drawn by A. Horford),2,0
1,10:17.0,,A. Horford makes free throw 1 of 2,2,1
1,10:17.0,,A. Horford makes free throw 2 of 2,2,2
1,10:02.0,J. Isaac makes 2-pt dunk from 2 ft (assist by A. Gordon),,4,2
1,9:43.0,,A. Horford misses 3-pt jump shot from 25 ft,4,2
1,9:42.0,Defensive rebound by J. Isaac,,4,2
1,9:33.0,N. Vučević makes 2-pt jump shot from 15 ft,,6,2
1,9:24.0,,Personal foul by E. Fournier (drawn by K. Irving),6,2
1,9:14.0,,J. Brown misses 3-pt jump shot from 23 ft,6,2
1,9:13.0,Defensive rebound by N. Vučević,,6,2
1,8:55.0,E. Fournier misses 3-pt jump shot from 27 ft,,6,2
1,8:54.0,,Defensive rebound by J. Brown,6,2
1,8:43.0,,J. Tatum misses 2-pt jump shot from 15 ft,6,2
1,8:42.0,Defensive rebound by N. Vučević,,6,2
1,8:35.0,N. Vučević makes 2-pt hook shot from 12 ft (assist by D. Augustin),,8,2
1,8:20.0,,G. Hayward makes 3-pt jump shot from 26 ft,8,5
1,7:52.0,D. Augustin misses 2-pt layup from 1 ft,,8,5
1,7:51.0,Offensive rebound by J. Isaac,,8,5
1,7:51.0,J. Isaac makes 2-pt layup at rim,,10,5
1,7:41.0,,A. Horford misses 2-pt layup from 5 ft,10,5
1,7:41.0,Defensive rebound by D. Augustin,,10,5
1,7:31.0,D. Augustin misses 2-pt jump shot from 8 ft (block by K. Irving),,10,5
1,7:27.0,,Defensive rebound by K. Irving,10,5
1,7:25.0,,G. Hayward makes 3-pt jump shot from 26 ft (assist by J. Brown),10,8
1,7:07.0,N. Vučević makes 2-pt layup from 3 ft (assist by E. Fournier),,12,8
1,7:07.0,Shooting foul by J. Tatum (drawn by N. Vučević),,12,8
1,7:07.0,N. Vučević misses free throw 1 of 1,,12,8
1,7:07.0,,Defensive rebound by G. Hayward,12,8
1,6:55.0,,A. Horford makes 2-pt layup from 1 ft (assist by J. Brown),12,10
1,6:31.0,J. Isaac makes 3-pt jump shot from 24 ft (assist by D. Augustin),,15,10
1,6:07.0,,Turnover by K. Irving (bad pass; steal by N. Vučević),15,10
1,6:03.0,J. Isaac makes 2-pt dunk from 3 ft (assist by D. Augustin),,17,10
1,5:55.0,,Turnover by G. Hayward (bad pass; steal by N. Vučević),17,10
1,5:45.0,A. Gordon misses 3-pt jump shot from 28 ft,,17,10
1,5:44.0,,Defensive rebound by K. Irving,17,10
1,5:38.0,,A. Horford makes 2-pt jump shot from 17 ft (assist by K. Irving),17,12
1,5:28.0,Orlando full timeout,,17,12
1,5:28.0,M. Bamba enters the game for A. Gordon,,17,12
1,5:28.0,T. Ross enters the game for J. Isaac,,17,12
1,5:28.0,,M. Morris enters the game for G. Hayward,17,12
1,5:28.0,,M. Smart enters the game for J. Tatum,17,12
1,5:14.0,T. Ross makes 2-pt jump shot from 16 ft (assist by M. Bamba),,19,12
1,4:59.0,,M. Morris makes 2-pt jump shot from 15 ft (assist by J. Brown),19,14
1,4:42.0,D. Augustin makes 3-pt jump shot from 24 ft (assist by E. Fournier),,22,14
1,4:14.0,,K. Irving misses 2-pt jump shot from 14 ft,22,14
1,4:13.0,Defensive rebound by M. Bamba,,22,14
1,3:56.0,T. Ross misses 3-pt jump shot from 23 ft,,22,14
1,3:53.0,,Defensive rebound by A. Horford,22,14
1,3:48.0,,K. Irving misses 2-pt layup from 3 ft,22,14
1,3:47.0,Defensive rebound by N. Vučević,,22,14
1,3:36.0,D. Augustin misses 2-pt layup from 3 ft,,22,14
1,3:35.0,Offensive rebound by N. Vučević,,22,14
1,3:35.0,N. Vučević makes 2-pt layup at rim,,24,14
1,3:24.0,,J. Brown misses 3-pt jump shot from 25 ft,24,14
1,3:21.0,Defensive rebound by D. Augustin,,24,14
