QUARTER,TIME_REMAINING,BROOKLYN_ACTION,CLEVELAND_ACTION,BROOKLYN_SCORE,CLEVELAND_SCORE
1,11:44.0,D. Russell misses 2-pt layup from 1 ft,,0,0
1,11:41.0,,Defensive rebound by D. Nwaba,0,0
1,11:37.0,,C. Sexton makes 2-pt layup from 1 ft (assist by D. Nwaba),0,2
1,11:17.0,J. Harris makes 3-pt jump shot from 24 ft,,3,2
1,10:55.0,,D. Nwaba makes 3-pt jump shot from 28 ft (assist by C. Sexton),3,5
1,10:45.0,J. Harris makes 3-pt jump shot from 25 ft (assist by D. Russell),,6,5
1,10:23.0,,C. Osman misses 2-pt layup from 2 ft,6,5
1,10:21.0,Defensive rebound by R. Hollis-Jefferson,,6,5
1,10:17.0,R. Hollis-Jefferson makes 2-pt layup from 2 ft,,8,5
1,9:56.0,,C. Osman makes 2-pt jump shot from 5 ft (assist by B. Knight),8,7
1,9:45.0,Turnover by R. Hollis-Jefferson (out of bounds lost ball),,8,7
1,9:27.0,,C. Sexton misses 2-pt jump shot from 12 ft,8,7
1,9:24.0,Defensive rebound by J. Allen,,8,7
1,9:19.0,Personal foul by C. Sexton (drawn by J. Allen),,8,7
1,9:15.0,D. Russell misses 3-pt jump shot from 29 ft,,8,7
1,9:12.0,,Defensive rebound by B. Knight,8,7
1,9:05.0,,B. Knight makes 2-pt jump shot from 21 ft,8,9
1,9:00.0,Turnover by D. Russell (out of bounds lost ball),,8,9
1,8:42.0,,B. Knight makes 2-pt jump shot from 21 ft,8,11
1,8:28.0,R. Hollis-Jefferson makes 2-pt jump shot from 8 ft (assist by J. Harris),,10,11
1,8:28.0,Shooting foul by C. Osman (drawn by R. Hollis-Jefferson),,10,11
1,8:28.0,R. Hollis-Jefferson makes free throw 1 of 1,,11,11
1,8:18.0,,C. Sexton misses 2-pt jump shot from 19 ft,11,11
1,8:15.0,Defensive rebound by J. Harris,,11,11
1,8:13.0,Turnover by C. LeVert (traveling),,11,11
1,7:58.0,,C. Osman makes 3-pt jump shot from 26 ft (assist by C. Sexton),11,14
1,7:46.0,J. Allen makes 2-pt dunk from 1 ft (assist by C. LeVert),,13,14
1,7:35.0,,C. Sexton misses 3-pt jump shot from 27 ft,13,14
1,7:32.0,Defensive rebound by C. LeVert,,13,14
1,7:27.0,C. LeVert misses 3-pt jump shot from 26 ft,,13,14
1,7:23.0,,Defensive rebound by C. Osman,13,14
1,7:10.0,,A. Žižić makes 2-pt hook shot from 12 ft (assist by C. Osman),13,16
1,6:55.0,R. Hollis-Jefferson misses 3-pt jump shot from 25 ft,,13,16
1,6:52.0,,Defensive rebound by A. Žižić,13,16
1,6:44.0,,Shooting foul by C. LeVert (drawn by C. Osman),13,16
1,6:44.0,,Cleveland full timeout,13,16
1,6:44.0,,J. Clarkson enters the game for B. Knight,13,16
1,6:44.0,,C. Osman makes free throw 1 of 2,13,17
1,6:44.0,,C. Osman misses free throw 2 of 2,13,17
1,6:44.0,Defensive rebound by J. Allen,,13,17
1,6:28.0,Turnover by D. Russell (lost ball; steal by J. Clarkson),,13,17
1,6:28.0,,Turnover by J. Clarkson (traveling),13,17
1,6:18.0,D. Russell misses 3-pt jump shot from 27 ft,,13,17
1,6:15.0,,Defensive rebound by C. Osman,13,17
1,6:05.0,,Shooting foul by J. Allen (drawn by C. Sexton),13,17
1,6:05.0,,C. Sexton makes free throw 1 of 2,13,18
1,6:05.0,D. Carroll enters the game for R. Hollis-Jefferson,,13,18
1,6:05.0,A. Crabbe enters the game for C. LeVert,,13,18
1,6:05.0,,C. Sexton makes free throw 2 of 2,13,19
1,5:46.0,D. Russell misses 2-pt jump shot from 2 ft,,13,19
1,5:44.0,,Defensive rebound by D. Nwaba,13,19
1,5:32.0,,C. Sexton misses 2-pt dunk at rim (block by J. Allen),13,19
1,5:28.0,Defensive rebound by J. Harris,,13,19
1,5:22.0,D. Carroll misses 2-pt layup at rim,,13,19
1,5:21.0,Offensive rebound by J. Allen,,13,19
1,5:19.0,J. Harris makes 3-pt jump shot from 29 ft (assist by J. Allen),,16,19
1,5:19.0,,Cleveland full timeout,16,19
1,5:19.0,S. Napier enters the game for D. Russell,,16,19
1,5:19.0,,L. Nance enters the game for C. Osman,16,19
1,5:19.0,,N. Stauskas enters the game for A. Žižić,16,19
1,5:02.0,,J. Clarkson makes 3-pt jump shot from 28 ft,16,22
1,4:50.0,J. Harris makes 2-pt layup from 1 ft (assist by S. Napier),,18,22
1,4:34.0,,Personal foul by A. Crabbe (drawn by L. Nance),18,22
1,4:34.0,E. Davis enters the game for J. Allen,,18,22
1,4:23.0,,D. Nwaba makes 2-pt layup from 2 ft (assist by L. Nance),18,24
1,4:04.0,S. Napier misses 3-pt jump shot from 26 ft,,18,24
1,4:02.0,Offensive rebound by E. Davis,,18,24
1,4:01.0,Personal foul by D. Nwaba (drawn by D. Carroll),,18,24
1,4:01.0,,M. Chriss enters the game for D. Nwaba,18,24
1,4:01.0,,M. Dellavedova enters the game for C. Sexton,18,24
1,3:57.0,Personal foul by M. Chriss (drawn by J. Harris),,18,24
1,3:55.0,S. Napier makes 2-pt layup at rim (assist by J. Harris),,20,24
1,3:43.0,,Personal foul by J. Harris (drawn by L. Nance),20,24
1,3:39.0,,J. Clarkson misses 3-pt jump shot from 24 ft,20,24
1,3:35.0,Defensive rebound by A. Crabbe,,20,24
1,3:27.0,D. Carroll misses 2-pt jump shot from 12 ft (block by L. Nance),,20,24
1,3:23.0,,Defensive rebound by M. Dellavedova,20,24
1,3:21.0,,M. Chriss misses 3-pt jump shot from 24 ft,20,24
1,3:17.0,Defensive rebound by S. Napier,,20,24
1,3:12.0,E. Davis makes 2-pt dunk from 1 ft (assist by S. Napier),,22,24
1,2:51.0,,L. Nance makes 3-pt jump shot from 24 ft (assist by M. Dellavedova),22,27
1,2:35.0,D. Carroll misses 2-pt jump shot from 6 ft,,22,27
1,2:31.0,,Defensive rebound by L. Nance,22,27
1,2:28.0,,Turnover by J. Clarkson (out of bounds lost ball),22,27
1,2:28.0,D. Russell enters the game for J. Harris,,22,27
1,2:13.0,Turnover by D. Russell (bad pass),,22,27
1,1:54.0,,Shooting foul by A. Crabbe (drawn by N. Stauskas),22,27
1,1:54.0,,N. Stauskas makes free throw 1 of 2,22,28
1,1:54.0,,N. Stauskas makes free throw 2 of 2,22,29
1,1:39.0,D. Russell makes 2-pt layup from 1 ft,,24,29
1,1:23.0,,Offensive foul by J. Clarkson (drawn by E. Davis),24,29
1,1:23.0,,Turnover by J. Clarkson (offensive foul),24,29
1,1:12.0,A. Crabbe makes 3-pt jump shot from 25 ft (assist by S. Napier),,27,29
1,0:59.0,,M. Chriss misses 2-pt dunk from 1 ft (block by E. Davis),27,29
1,0:55.0,Defensive rebound by A. Crabbe,,27,29
1,0:52.0,A. Crabbe makes 3-pt jump shot from 27 ft (assist by S. Napier),,30,29
1,0:39.0,,L. Nance misses 2-pt jump shot from 16 ft,30,29
1,0:37.0,Defensive rebound by D. Russell,,30,29
1,0:32.0,Turnover by E. Davis (bad pass),,30,29
1,0:18.0,,L. Nance misses 2-pt jump shot from 9 ft (block by E. Davis),30,29
1,0:14.0,Defensive rebound by A. Crabbe,,30,29
2,11:47.0,,J. Clarkson misses 3-pt jump shot from 22 ft,30,29
2,11:44.0,Defensive rebound by S. Napier,,30,29
2,11:35.0,Turnover by S. Napier (bad pass; steal by M. Dellavedova),,30,29
2,11:28.0,,L. Nance makes 2-pt dunk from 1 ft (assist by M. Dellavedova),30,31
2,11:27.0,Brooklyn full timeout,,30,31
2,11:18.0,Turnover by D. Russell (traveling),,30,31
2,11:01.0,,L. Nance misses 2-pt jump shot from 6 ft,30,31
2,11:00.0,,Offensive rebound by M. Chriss,30,31
2,10:53.0,,J. Clarkson makes 2-pt hook shot from 10 ft,30,33
2,10:40.0,Shooting foul by N. Stauskas (drawn by A. Crabbe),,30,33
2,10:40.0,A. Crabbe makes free throw 1 of 3,,31,33
2,10:40.0,A. Crabbe misses free throw 2 of 3,,31,33
2,10:40.0,Offensive rebound by Team,,31,33
2,10:40.0,A. Crabbe makes free throw 3 of 3,,32,33
2,10:32.0,,Turnover by M. Dellavedova (bad pass; steal by S. Napier),32,33
2,10:28.0,S. Napier misses 2-pt layup at rim,,32,33
2,10:22.0,Offensive rebound by E. Davis,,32,33
2,10:22.0,E. Davis misses 2-pt layup from 1 ft,,32,33
2,10:21.0,,Defensive rebound by L. Nance,32,33
2,10:17.0,,J. Clarkson makes 2-pt layup from 1 ft (assist by M. Dellavedova),32,35
2,10:10.0,D. Carroll misses 3-pt jump shot from 27 ft,,32,35
2,10:07.0,,Defensive rebound by M. Chriss,32,35
2,9:59.0,,J. Clarkson makes 2-pt jump shot from 6 ft,32,37
2,9:46.0,Shooting foul by M. Chriss (drawn by E. Davis),,32,37
2,9:46.0,E. Davis makes free throw 1 of 2,,33,37
2,9:46.0,R. Hollis-Jefferson enters the game for S. Napier,,33,37
2,9:46.0,E. Davis makes free throw 2 of 2,,34,37
2,9:36.0,,M. Chriss misses 3-pt jump shot from 22 ft,34,37
2,9:31.0,,Offensive rebound by L. Nance,34,37
2,9:31.0,,L. Nance misses 2-pt dunk at rim,34,37
2,9:29.0,,Offensive rebound by L. Nance,34,37
2,9:26.0,,J. Clarkson makes 3-pt jump shot from 24 ft (assist by M. Dellavedova),34,40
2,9:04.0,D. Russell misses 3-pt jump shot from 26 ft,,34,40
2,9:02.0,,Defensive rebound by L. Nance,34,40
2,8:52.0,,M. Chriss makes 3-pt jump shot from 23 ft (assist by J. Clarkson),34,43
2,8:33.0,Turnover by D. Russell (bad pass; steal by N. Stauskas),,34,43
2,8:29.0,,J. Clarkson makes 2-pt jump shot from 6 ft (assist by M. Dellavedova),34,45
2,8:29.0,Brooklyn full timeout,,34,45
2,8:29.0,S. Napier enters the game for D. Russell,,34,45
2,8:29.0,,A. Žižić enters the game for M. Chriss,34,45
2,8:15.0,A. Crabbe misses 3-pt jump shot from 27 ft,,34,45
2,8:13.0,Offensive rebound by E. Davis,,34,45
2,8:11.0,E. Davis misses 2-pt hook shot from 9 ft,,34,45
2,8:11.0,,Defensive rebound by J. Clarkson,34,45
2,8:01.0,,L. Nance misses 2-pt layup from 6 ft (block by S. Napier),34,45
2,7:55.0,Defensive rebound by E. Davis,,34,45
2,7:48.0,D. Carroll makes 3-pt jump shot from 25 ft (assist by S. Napier),,37,45
