QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,SAN ANTONIO_ACTION,NEW ORLEANS_SCORE,SAN ANTONIO_SCORE
1,11:41.0,J. Holiday makes 2-pt jump shot from 11 ft,,2,0
1,11:21.0,,L. Aldridge misses 2-pt jump shot from 12 ft,2,0
1,11:20.0,Defensive rebound by S. Hill,,2,0
1,11:10.0,F. Jackson misses 3-pt jump shot from 24 ft,,2,0
1,11:07.0,,Defensive rebound by L. Aldridge,2,0
1,10:59.0,,D. White misses 3-pt jump shot from 26 ft,2,0
1,10:57.0,,Offensive rebound by L. Aldridge,2,0
1,10:45.0,,D. DeRozan misses 2-pt jump shot from 7 ft,2,0
1,10:43.0,Defensive rebound by J. Holiday,,2,0
1,10:40.0,S. Hill misses 2-pt layup from 2 ft,,2,0
1,10:37.0,,Defensive rebound by D. DeRozan,2,0
1,10:19.0,,L. Aldridge makes 2-pt jump shot from 8 ft (assist by B. Forbes),2,2
1,10:06.0,J. Holiday misses 3-pt jump shot from 25 ft,,2,2
1,10:04.0,,Defensive rebound by L. Aldridge,2,2
1,9:51.0,,B. Forbes makes 2-pt jump shot from 6 ft (assist by D. DeRozan),2,4
1,9:37.0,D. Miller misses 3-pt jump shot from 24 ft,,2,4
1,9:34.0,,Defensive rebound by D. White,2,4
1,9:27.0,,R. Gay makes 2-pt dunk from 1 ft (assist by D. White),2,6
1,9:11.0,J. Okafor misses 2-pt jump shot from 10 ft,,2,6
1,9:10.0,,Defensive rebound by D. White,2,6
1,8:57.0,,L. Aldridge misses 2-pt jump shot from 10 ft,2,6
1,8:56.0,Defensive rebound by Team,,2,6
1,8:48.0,J. Okafor makes 2-pt layup from 4 ft (assist by J. Holiday),,4,6
1,8:33.0,,L. Aldridge makes 2-pt hook shot from 10 ft,4,8
1,8:11.0,J. Okafor misses 2-pt jump shot from 11 ft (block by D. DeRozan),,4,8
1,8:08.0,,Defensive rebound by D. White,4,8
1,8:06.0,,D. White makes 2-pt layup at rim,4,10
1,7:54.0,F. Jackson makes 2-pt layup from 2 ft (assist by J. Okafor),,6,10
1,7:38.0,,B. Forbes misses 3-pt jump shot from 23 ft,6,10
1,7:35.0,Defensive rebound by J. Holiday,,6,10
1,7:23.0,S. Hill misses 3-pt jump shot from 23 ft,,6,10
1,7:20.0,,Defensive rebound by D. DeRozan,6,10
1,7:11.0,,R. Gay makes 3-pt jump shot from 23 ft (assist by D. White),6,13
1,6:42.0,S. Hill misses 2-pt jump shot from 2 ft,,6,13
1,6:38.0,,Defensive rebound by L. Aldridge,6,13
1,6:27.0,,D. White misses 2-pt dunk from 3 ft (block by J. Okafor),6,13
1,6:24.0,Defensive rebound by S. Hill,,6,13
1,6:21.0,D. Miller misses 3-pt jump shot from 25 ft,,6,13
1,6:21.0,,Defensive rebound by L. Aldridge,6,13
1,6:13.0,,San Antonio full timeout,6,13
1,6:13.0,K. Williams enters the game for S. Hill,,6,13
1,6:07.0,,B. Forbes makes 3-pt jump shot from 25 ft (assist by D. White),6,16
1,6:07.0,,Shooting foul by F. Jackson (drawn by B. Forbes),6,16
1,6:07.0,,B. Forbes makes free throw 1 of 1,6,17
1,5:49.0,F. Jackson misses 3-pt jump shot from 23 ft,,6,17
1,5:49.0,Offensive rebound by J. Holiday,,6,17
1,5:45.0,D. Miller misses 3-pt jump shot from 26 ft,,6,17
1,5:42.0,,Defensive rebound by D. White,6,17
1,5:34.0,,Shooting foul by K. Williams (drawn by D. DeRozan),6,17
1,5:34.0,,D. DeRozan makes free throw 1 of 2,6,18
