QUARTER,TIME_REMAINING,DETROIT_ACTION,CLEVELAND_ACTION,DETROIT_SCORE,CLEVELAND_SCORE
1,11:44.0,Offensive foul by W. Ellington (drawn by C. Sexton),,0,0
1,11:44.0,Turnover by W. Ellington (offensive foul),,0,0
1,11:30.0,,C. Osman misses 2-pt jump shot from 10 ft,0,0
1,11:28.0,,Offensive rebound by B. Knight,0,0
1,11:26.0,,B. Knight misses 3-pt jump shot from 26 ft,0,0
1,11:26.0,Defensive rebound by A. Drummond,,0,0
1,11:13.0,Turnover by T. Maker (lost ball; steal by D. Nwaba),,0,0
1,11:03.0,,D. Nwaba makes 2-pt jump shot from 10 ft (assist by C. Osman),0,2
1,10:52.0,A. Drummond misses 2-pt hook shot from 16 ft,,0,2
1,10:50.0,,Defensive rebound by D. Nwaba,0,2
1,10:46.0,,A. Žižić makes 2-pt layup from 2 ft (assist by D. Nwaba),0,4
1,10:26.0,W. Ellington misses 3-pt jump shot from 23 ft,,0,4
1,10:26.0,,Defensive rebound by C. Osman,0,4
1,10:17.0,,A. Žižić misses 2-pt layup from 1 ft,0,4
1,10:14.0,Defensive rebound by A. Drummond,,0,4
1,10:11.0,R. Jackson makes 2-pt jump shot from 15 ft,,2,4
1,9:47.0,,A. Žižić misses 2-pt hook shot from 8 ft,2,4
1,9:47.0,Defensive rebound by A. Drummond,,2,4
1,9:34.0,T. Maker makes 3-pt jump shot from 23 ft (assist by R. Jackson),,5,4
1,9:23.0,,C. Sexton misses 2-pt layup from 9 ft,5,4
1,9:23.0,Defensive rebound by A. Drummond,,5,4
1,9:13.0,Turnover by R. Jackson (lost ball; steal by C. Sexton),,5,4
1,9:10.0,,C. Sexton makes 2-pt layup from 1 ft,5,6
1,8:58.0,W. Ellington makes 2-pt layup from 1 ft (assist by A. Drummond),,7,6
1,8:40.0,,C. Sexton misses 2-pt jump shot from 8 ft (block by B. Brown),7,6
1,8:37.0,Defensive rebound by B. Brown,,7,6
1,8:28.0,W. Ellington misses 2-pt layup from 14 ft (block by D. Nwaba),,7,6
1,8:24.0,,Defensive rebound by B. Knight,7,6
1,8:20.0,,B. Knight makes 2-pt jump shot from 13 ft,7,8
1,8:03.0,R. Jackson makes 3-pt jump shot from 28 ft (assist by B. Brown),,10,8
1,7:47.0,,C. Sexton makes 3-pt jump shot from 25 ft (assist by A. Žižić),10,11
1,7:28.0,W. Ellington misses 3-pt jump shot from 26 ft,,10,11
1,7:25.0,,Defensive rebound by A. Žižić,10,11
1,7:16.0,,C. Osman makes 2-pt jump shot from 12 ft (assist by B. Knight),10,13
1,7:03.0,R. Jackson makes 2-pt jump shot from 10 ft,,12,13
1,6:43.0,,Shooting foul by T. Maker (drawn by D. Nwaba),12,13
1,6:43.0,,Cleveland full timeout,12,13
1,6:43.0,,M. Chriss enters the game for B. Knight,12,13
1,6:43.0,,J. Clarkson enters the game for A. Žižić,12,13
1,6:43.0,,D. Nwaba makes free throw 1 of 2,12,14
1,6:43.0,,D. Nwaba makes free throw 2 of 2,12,15
1,6:23.0,Turnover by W. Ellington (traveling),,12,15
1,6:01.0,,C. Osman misses 2-pt jump shot from 19 ft,12,15
1,5:57.0,,Offensive rebound by M. Chriss,12,15
1,5:55.0,,D. Nwaba misses 2-pt jump shot from 9 ft,12,15
1,5:55.0,,Offensive rebound by Team,12,15
1,5:54.0,,J. Clarkson makes 2-pt jump shot from 16 ft (assist by C. Osman),12,17
1,5:34.0,W. Ellington makes 3-pt jump shot from 26 ft (assist by A. Drummond),,15,17
1,5:19.0,,Shooting foul by A. Drummond (drawn by C. Sexton),15,17
1,5:19.0,,C. Sexton makes free throw 1 of 2,15,18
1,5:19.0,L. Kennard enters the game for B. Brown,,15,18
1,5:19.0,,N. Stauskas enters the game for D. Nwaba,15,18
1,5:19.0,,C. Sexton makes free throw 2 of 2,15,19
1,5:07.0,R. Jackson makes 2-pt dunk from 1 ft,,17,19
1,4:40.0,,C. Sexton misses 2-pt jump shot from 8 ft (block by L. Kennard),17,19
1,4:36.0,Defensive rebound by T. Maker,,17,19
1,4:34.0,A. Drummond misses 2-pt layup from 3 ft (block by M. Chriss),,17,19
1,4:34.0,Offensive rebound by Team,,17,19
1,4:34.0,G. Robinson enters the game for T. Maker,,17,19
1,4:34.0,,B. Knight enters the game for C. Sexton,17,19
1,4:18.0,A. Drummond misses 2-pt jump shot from 7 ft,,17,19
1,4:14.0,Offensive rebound by A. Drummond,,17,19
1,4:12.0,A. Drummond misses 2-pt layup at rim,,17,19
1,4:11.0,,Defensive rebound by M. Chriss,17,19
1,4:03.0,,C. Osman makes 2-pt jump shot from 11 ft (assist by B. Knight),17,21
1,3:55.0,L. Kennard misses 3-pt jump shot from 26 ft,,17,21
1,3:51.0,Offensive rebound by W. Ellington,,17,21
1,3:50.0,A. Drummond makes 2-pt dunk from 6 ft (assist by W. Ellington),,19,21
1,3:37.0,,B. Knight misses 2-pt layup from 1 ft,19,21
1,3:37.0,Defensive rebound by A. Drummond,,19,21
1,3:29.0,G. Robinson makes 2-pt layup from 2 ft (assist by W. Ellington),,21,21
1,3:10.0,,J. Clarkson misses 3-pt jump shot from 23 ft,21,21
1,3:07.0,Defensive rebound by L. Kennard,,21,21
1,3:00.0,A. Drummond makes 2-pt layup from 1 ft (assist by L. Kennard),,23,21
1,3:00.0,,Cleveland full timeout,23,21
1,3:00.0,L. Galloway enters the game for W. Ellington,,23,21
1,3:00.0,I. Smith enters the game for R. Jackson,,23,21
1,2:46.0,,M. Chriss makes 2-pt layup from 1 ft (assist by J. Clarkson),23,23
1,2:30.0,A. Drummond misses 2-pt jump shot from 11 ft,,23,23
1,2:28.0,,Defensive rebound by M. Chriss,23,23
1,2:20.0,,M. Chriss misses 3-pt jump shot from 26 ft,23,23
1,2:18.0,Defensive rebound by L. Kennard,,23,23
1,2:14.0,Personal foul by M. Chriss (drawn by A. Drummond),,23,23
1,2:06.0,A. Drummond makes 2-pt dunk from 1 ft (assist by I. Smith),,25,23
1,1:45.0,,B. Knight makes 2-pt jump shot from 16 ft,25,25
1,1:32.0,L. Galloway makes 2-pt layup from 1 ft (assist by A. Drummond),,27,25
1,1:10.0,,N. Stauskas misses 3-pt jump shot from 26 ft,27,25
1,1:08.0,Defensive rebound by A. Drummond,,27,25
1,0:54.0,Personal foul by B. Knight (drawn by G. Robinson),,27,25
1,0:46.0,I. Smith makes 2-pt jump shot from 19 ft,,29,25
1,0:36.0,,J. Clarkson misses 2-pt jump shot from 1 ft,29,25
1,0:32.0,,Offensive rebound by M. Chriss,29,25
1,0:32.0,,M. Chriss misses 2-pt layup from 1 ft,29,25
1,0:31.0,Defensive rebound by A. Drummond,,29,25
1,0:21.0,Shooting foul by J. Clarkson (drawn by L. Kennard),,29,25
1,0:21.0,L. Kennard makes free throw 1 of 3,,30,25
1,0:21.0,L. Kennard makes free throw 2 of 3,,31,25
1,0:21.0,L. Kennard makes free throw 3 of 3,,32,25
1,0:08.0,,Personal foul by I. Smith (drawn by B. Knight),32,25
