QUARTER,TIME_REMAINING,BROOKLYN_ACTION,OKLAHOMA CITY_ACTION,BROOKLYN_SCORE,OKLAHOMA CITY_SCORE
1,11:46.0,Turnover by A. Crabbe (bad pass; steal by R. Westbrook),,0,0
1,11:30.0,,S. Adams misses 2-pt layup from 2 ft,0,0
1,11:27.0,,Offensive rebound by S. Adams,0,0
1,11:27.0,,S. Adams misses 2-pt layup from 1 ft,0,0
1,11:26.0,,Offensive rebound by S. Adams,0,0
1,11:26.0,,S. Adams misses 2-pt layup from 1 ft,0,0
1,11:26.0,,Offensive rebound by S. Adams,0,0
1,11:24.0,,S. Adams misses 2-pt layup from 1 ft,0,0
1,11:23.0,Defensive rebound by R. Kurucs,,0,0
1,11:07.0,A. Crabbe makes 2-pt jump shot from 12 ft (assist by J. Allen),,2,0
1,10:46.0,,P. George misses 2-pt jump shot from 18 ft,2,0
1,10:41.0,Defensive rebound by J. Harris,,2,0
1,10:26.0,J. Harris misses 2-pt layup from 1 ft,,2,0
1,10:21.0,Offensive rebound by J. Harris,,2,0
1,10:20.0,A. Crabbe makes 3-pt jump shot from 26 ft (assist by J. Harris),,5,0
1,10:04.0,,J. Grant misses 2-pt layup from 5 ft (block by R. Kurucs),5,0
1,10:02.0,,Offensive rebound by Team,5,0
1,9:54.0,,R. Westbrook misses 2-pt jump shot from 14 ft,5,0
1,9:52.0,Defensive rebound by J. Allen,,5,0
1,9:45.0,D. Russell makes 2-pt jump shot from 12 ft,,7,0
1,9:34.0,,Turnover by R. Westbrook (lost ball; steal by D. Russell),7,0
1,9:31.0,D. Russell misses 3-pt jump shot from 26 ft,,7,0
1,9:27.0,,Defensive rebound by P. George,7,0
1,9:18.0,,Turnover by P. George (lost ball; steal by R. Kurucs),7,0
1,9:16.0,R. Kurucs makes 2-pt dunk from 1 ft (assist by D. Russell),,9,0
1,9:00.0,,Turnover by R. Westbrook (bad pass; steal by R. Kurucs),9,0
1,8:52.0,D. Russell misses 2-pt jump shot from 20 ft,,9,0
1,8:49.0,,Defensive rebound by R. Westbrook,9,0
1,8:41.0,,Shooting foul by R. Kurucs (drawn by S. Adams),9,0
1,8:41.0,,S. Adams makes free throw 1 of 2,9,1
1,8:41.0,,S. Adams misses free throw 2 of 2,9,1
1,8:36.0,Defensive rebound by D. Russell,,9,1
1,8:23.0,R. Kurucs makes 2-pt dunk from 1 ft (assist by A. Crabbe),,11,1
1,7:59.0,,T. Ferguson misses 2-pt layup from 1 ft,11,1
1,7:58.0,,Offensive rebound by T. Ferguson,11,1
1,7:56.0,,R. Westbrook makes 3-pt jump shot from 26 ft (assist by T. Ferguson),11,4
1,7:34.0,A. Crabbe misses 3-pt jump shot from 25 ft,,11,4
1,7:32.0,,Defensive rebound by T. Ferguson,11,4
1,7:20.0,,J. Grant misses 2-pt jump shot from 9 ft,11,4
1,7:19.0,Defensive rebound by Team,,11,4
1,7:19.0,,Loose ball foul by S. Adams (drawn by J. Allen),11,4
1,7:03.0,D. Russell misses 3-pt jump shot from 26 ft,,11,4
1,7:01.0,,Defensive rebound by R. Westbrook,11,4
1,6:53.0,,P. George misses 2-pt jump shot from 14 ft,11,4
1,6:51.0,Defensive rebound by J. Harris,,11,4
1,6:41.0,R. Kurucs misses 3-pt jump shot from 25 ft,,11,4
1,6:39.0,,Defensive rebound by T. Ferguson,11,4
1,6:30.0,,Personal foul by R. Kurucs (drawn by S. Adams),11,4
1,6:30.0,,Oklahoma City full timeout,11,4
1,6:30.0,S. Dinwiddie enters the game for A. Crabbe,,11,4
1,6:17.0,,R. Westbrook makes 2-pt layup from 2 ft,11,6
1,6:01.0,R. Kurucs makes 3-pt jump shot from 23 ft (assist by J. Harris),,14,6
1,5:49.0,,R. Westbrook misses 2-pt layup at rim,14,6
1,5:46.0,,Offensive rebound by J. Grant,14,6
1,5:46.0,,J. Grant makes 2-pt dunk from 1 ft,14,8
1,5:29.0,J. Harris misses 3-pt jump shot from 24 ft,,14,8
1,5:27.0,,Defensive rebound by J. Grant,14,8
1,5:20.0,,S. Adams misses 2-pt jump shot from 8 ft,14,8
1,5:17.0,,Offensive rebound by Team,14,8
1,5:17.0,,D. Schröder enters the game for P. George,14,8
1,5:08.0,,Turnover by S. Adams (bad pass; steal by D. Russell),14,8
1,4:54.0,J. Allen makes 2-pt layup from 1 ft (assist by S. Dinwiddie),,16,8
1,4:46.0,,D. Schröder misses 2-pt jump shot from 20 ft,16,8
1,4:43.0,Defensive rebound by R. Kurucs,,16,8
1,4:22.0,D. Russell makes 3-pt jump shot from 26 ft,,19,8
1,4:04.0,,J. Grant makes 2-pt layup from 1 ft (assist by T. Ferguson),19,10
1,3:48.0,S. Dinwiddie misses 2-pt layup from 1 ft,,19,10
1,3:48.0,,Defensive rebound by Team,19,10
1,3:48.0,Loose ball foul by J. Allen (drawn by T. Ferguson),,19,10
1,3:48.0,A. Crabbe enters the game for J. Allen,,19,10
1,3:48.0,E. Davis enters the game for R. Kurucs,,19,10
1,3:48.0,C. LeVert enters the game for D. Russell,,19,10
1,3:48.0,,N. Noel enters the game for S. Adams,19,10
1,3:40.0,,R. Westbrook makes 3-pt jump shot from 26 ft,19,13
1,3:20.0,S. Dinwiddie makes 2-pt layup from 1 ft (assist by C. LeVert),,21,13
1,3:09.0,,R. Westbrook misses 2-pt jump shot from 17 ft,21,13
1,3:07.0,Defensive rebound by C. LeVert,,21,13
1,3:00.0,Brooklyn full timeout,,21,13
1,3:00.0,J. Dudley enters the game for J. Harris,,21,13
1,2:49.0,S. Dinwiddie misses 2-pt jump shot from 9 ft,,21,13
1,2:47.0,,Defensive rebound by J. Grant,21,13
1,2:31.0,,R. Westbrook makes 2-pt jump shot from 14 ft,21,15
1,2:08.0,E. Davis misses 2-pt layup from 3 ft,,21,15
1,2:06.0,,Defensive rebound by J. Grant,21,15
1,1:57.0,,R. Westbrook misses 2-pt jump shot from 13 ft,21,15
1,1:54.0,Defensive rebound by C. LeVert,,21,15
1,1:43.0,S. Dinwiddie makes 2-pt layup from 2 ft,,23,15
1,1:43.0,Shooting foul by T. Ferguson (drawn by S. Dinwiddie),,23,15
1,1:43.0,,D. Burton enters the game for T. Ferguson,23,15
1,1:43.0,,P. George enters the game for J. Grant,23,15
1,1:43.0,,A. Nader enters the game for R. Westbrook,23,15
1,1:43.0,S. Dinwiddie makes free throw 1 of 1,,24,15
1,1:31.0,,Shooting foul by A. Crabbe (drawn by P. George),24,15
1,1:31.0,,P. George makes free throw 1 of 2,24,16
1,1:31.0,,P. George makes free throw 2 of 2,24,17
1,1:15.0,C. LeVert makes 2-pt jump shot from 9 ft,,26,17
1,1:15.0,Shooting foul by A. Nader (drawn by C. LeVert),,26,17
1,1:15.0,C. LeVert makes free throw 1 of 1,,27,17
1,1:03.0,,Offensive foul by A. Nader (drawn by A. Crabbe),27,17
1,1:03.0,,Turnover by A. Nader (offensive foul),27,17
1,0:43.0,C. LeVert misses 2-pt jump shot from 17 ft,,27,17
1,0:41.0,,Defensive rebound by N. Noel,27,17
1,0:35.0,,P. George makes 2-pt jump shot from 12 ft,27,19
1,0:11.0,Turnover by S. Dinwiddie (bad pass; steal by P. George),,27,19
1,0:03.0,,D. Burton misses 2-pt layup from 2 ft,27,19
1,0:01.0,,Offensive rebound by P. George,27,19
1,0:01.0,,N. Noel misses 2-pt layup from 1 ft,27,19
1,0:01.0,,Offensive rebound by N. Noel,27,19
2,11:42.0,,D. Burton makes 3-pt jump shot from 26 ft (assist by P. George),27,22
2,11:22.0,D. Russell misses 3-pt jump shot from 22 ft,,27,22
2,11:20.0,,Defensive rebound by P. George,27,22
2,11:13.0,,P. George misses 2-pt jump shot from 17 ft,27,22
2,11:12.0,Defensive rebound by E. Davis,,27,22
2,10:55.0,C. LeVert misses 2-pt jump shot from 5 ft,,27,22
2,10:52.0,,Defensive rebound by D. Schröder,27,22
2,10:41.0,,Turnover by P. George (lost ball; steal by E. Davis),27,22
2,10:37.0,J. Dudley makes 3-pt jump shot from 25 ft (assist by D. Russell),,30,22
2,10:10.0,,P. George misses 3-pt jump shot from 25 ft,30,22
2,10:07.0,Defensive rebound by E. Davis,,30,22
2,10:00.0,D. Russell misses 2-pt jump shot from 21 ft,,30,22
2,9:58.0,Offensive rebound by Team,,30,22
2,9:58.0,,Loose ball foul by A. Nader (drawn by E. Davis),30,22
2,9:58.0,,R. Felton enters the game for A. Nader,30,22
2,9:42.0,C. LeVert misses 2-pt layup from 1 ft,,30,22
2,9:39.0,Offensive rebound by E. Davis,,30,22
2,9:38.0,E. Davis misses 2-pt layup from 2 ft,,30,22
2,9:36.0,Offensive rebound by E. Davis,,30,22
2,9:31.0,A. Crabbe misses 3-pt jump shot from 25 ft,,30,22
2,9:27.0,,Defensive rebound by D. Burton,30,22
2,9:16.0,,Turnover by D. Schröder (bad pass; steal by J. Dudley),30,22
2,9:09.0,Turnover by D. Russell (bad pass),,30,22
2,9:03.0,,P. George misses 3-pt jump shot from 28 ft,30,22
2,9:00.0,Defensive rebound by E. Davis,,30,22
2,8:48.0,E. Davis makes 2-pt jump shot from 5 ft (assist by C. LeVert),,32,22
2,8:33.0,,R. Felton misses 2-pt jump shot from 22 ft,32,22
2,8:31.0,Defensive rebound by A. Crabbe,,32,22
2,8:22.0,E. Davis makes 2-pt dunk from 1 ft (assist by C. LeVert),,34,22
2,8:07.0,,D. Schröder makes 2-pt layup from 2 ft,34,24
2,7:50.0,A. Crabbe misses 2-pt layup from 1 ft,,34,24
2,7:47.0,,Defensive rebound by D. Burton,34,24
2,7:42.0,,D. Schröder misses 2-pt jump shot from 11 ft,34,24
2,7:38.0,Defensive rebound by E. Davis,,34,24
2,7:26.0,E. Davis makes 2-pt layup from 1 ft (assist by D. Russell),,36,24
2,7:26.0,,Oklahoma City full timeout,36,24
2,7:26.0,J. Allen enters the game for E. Davis,,36,24
2,7:26.0,S. Dinwiddie enters the game for C. LeVert,,36,24
2,7:26.0,,S. Adams enters the game for D. Burton,36,24
2,7:26.0,,J. Grant enters the game for P. George,36,24
2,7:26.0,,R. Westbrook enters the game for N. Noel,36,24
2,7:18.0,,J. Grant misses 3-pt jump shot from 24 ft,36,24
2,7:15.0,Defensive rebound by D. Russell,,36,24
2,7:02.0,D. Russell makes 2-pt layup from 1 ft,,38,24
2,6:50.0,,R. Westbrook misses 3-pt jump shot from 26 ft,38,24
2,6:48.0,Defensive rebound by D. Russell,,38,24
2,6:33.0,Turnover by J. Dudley (traveling),,38,24
2,6:25.0,,Offensive foul by R. Westbrook (drawn by J. Dudley),38,24
2,6:25.0,,Turnover by R. Westbrook (offensive foul),38,24
2,6:25.0,J. Harris enters the game for A. Crabbe,,38,24
2,6:25.0,,T. Ferguson enters the game for D. Schröder,38,24
2,6:08.0,J. Allen makes 2-pt layup from 1 ft (assist by D. Russell),,40,24
2,5:58.0,,R. Westbrook misses 2-pt jump shot from 6 ft,40,24
2,5:57.0,Defensive rebound by S. Dinwiddie,,40,24
2,5:36.0,J. Dudley misses 2-pt layup from 4 ft (block by R. Felton),,40,24
2,5:36.0,Offensive rebound by Team,,40,24
2,5:36.0,,P. George enters the game for R. Felton,40,24
2,5:33.0,D. Russell misses 2-pt jump shot from 20 ft,,40,24
2,5:32.0,,Defensive rebound by R. Westbrook,40,24
2,5:27.0,,Shooting foul by J. Dudley (drawn by J. Grant),40,24
2,5:27.0,,J. Grant misses free throw 1 of 2,40,24
2,5:27.0,,Offensive rebound by Team,40,24
2,5:27.0,R. Kurucs enters the game for J. Dudley,,40,24
2,5:27.0,,J. Grant makes free throw 2 of 2,40,25
2,5:07.0,J. Allen makes 2-pt layup from 2 ft (assist by S. Dinwiddie),,42,25
2,4:59.0,,J. Grant misses 3-pt jump shot from 25 ft,42,25
2,4:54.0,,Offensive rebound by R. Westbrook,42,25
2,4:54.0,,R. Westbrook makes 2-pt layup from 1 ft,42,27
2,4:38.0,Offensive foul by J. Harris (drawn by P. George),,42,27
2,4:38.0,Turnover by J. Harris (offensive foul),,42,27
2,4:38.0,,D. Schröder enters the game for J. Grant,42,27
2,4:20.0,,P. George makes 2-pt jump shot from 9 ft (assist by R. Westbrook),42,29
2,4:20.0,,Shooting foul by S. Dinwiddie (drawn by P. George),42,29
2,4:20.0,,P. George makes free throw 1 of 1,42,30
2,4:02.0,D. Russell makes 2-pt jump shot from 14 ft,,44,30
2,3:51.0,,P. George misses 2-pt jump shot from 16 ft,44,30
2,3:49.0,Defensive rebound by S. Dinwiddie,,44,30
2,3:31.0,S. Dinwiddie misses 3-pt jump shot from 26 ft,,44,30
2,3:28.0,,Defensive rebound by T. Ferguson,44,30
2,3:15.0,,Shooting foul by J. Allen (drawn by R. Westbrook),44,30
2,3:15.0,,R. Westbrook misses free throw 1 of 2,44,30
2,3:15.0,,Offensive rebound by Team,44,30
2,3:15.0,,R. Westbrook makes free throw 2 of 2,44,31
2,3:15.0,Brooklyn full timeout,,44,31
2,3:06.0,R. Kurucs misses 2-pt dunk from 1 ft (block by P. George),,44,31
2,3:04.0,,Defensive rebound by S. Adams,44,31
2,2:59.0,,R. Westbrook misses 2-pt layup from 5 ft (block by S. Dinwiddie),44,31
2,2:58.0,Defensive rebound by S. Dinwiddie,,44,31
