QUARTER,TIME_REMAINING,LA LAKERS_ACTION,ORLANDO_ACTION,LA LAKERS_SCORE,ORLANDO_SCORE
2,9:33.0,,M. Bamba misses 3-pt jump shot from 27 ft,32,31
2,9:29.0,,Offensive rebound by J. Grant,32,31
2,9:19.0,,J. Grant misses 2-pt jump shot from 13 ft (block by J. Hart),32,31
2,9:16.0,Defensive rebound by J. McGee,,32,31
2,9:13.0,J. Hart misses 2-pt layup from 4 ft,,32,31
2,9:09.0,,Defensive rebound by J. Simmons,32,31
2,9:05.0,,T. Ross makes 3-pt jump shot from 25 ft (assist by J. Simmons),32,34
2,9:04.0,LA Lakers full timeout,,32,34
2,9:04.0,L. James enters the game for L. Stephenson,,32,34
2,8:47.0,L. James misses 3-pt jump shot from 26 ft (block by J. Isaac),,32,34
2,8:45.0,,Defensive rebound by T. Ross,32,34
2,8:45.0,,Personal foul by B. Ingram (drawn by J. Isaac),32,34
2,8:38.0,,J. Isaac makes 3-pt jump shot from 26 ft (assist by J. Simmons),32,37
2,8:24.0,J. Hart makes 3-pt jump shot from 24 ft (assist by B. Ingram),,35,37
2,8:14.0,,M. Bamba makes 2-pt jump shot from 19 ft (assist by J. Simmons),35,39
2,8:00.0,L. James misses 2-pt layup from 4 ft (block by J. Isaac),,35,39
2,8:00.0,Offensive rebound by Team,,35,39
2,7:54.0,L. James misses 2-pt layup from 4 ft,,35,39
2,7:53.0,Offensive rebound by J. McGee,,35,39
2,7:52.0,J. McGee makes 2-pt layup from 1 ft,,37,39
2,7:32.0,,M. Bamba misses 3-pt jump shot from 25 ft,37,39
2,7:30.0,Defensive rebound by B. Ingram,,37,39
2,7:22.0,LA Lakers full timeout,,37,39
2,7:22.0,L. Ball enters the game for K. Caldwell-Pope,,37,39
2,7:22.0,K. Kuzma enters the game for B. Ingram,,37,39
2,7:10.0,L. James misses 2-pt jump shot from 14 ft,,37,39
2,7:06.0,,Defensive rebound by J. Simmons,37,39
2,7:01.0,,T. Ross makes 3-pt jump shot from 25 ft (assist by J. Simmons),37,42
2,6:46.0,J. Hart makes 2-pt jump shot from 12 ft (assist by L. James),,39,42
2,6:23.0,,T. Ross misses 2-pt jump shot from 14 ft,39,42
2,6:20.0,,Offensive rebound by J. Simmons,39,42
2,6:20.0,,J. Simmons makes 2-pt layup at rim,39,44
2,6:07.0,Shooting foul by J. Isaac (drawn by L. James),,39,44
2,6:07.0,L. James misses free throw 1 of 2,,39,44
2,6:07.0,Offensive rebound by Team,,39,44
2,6:07.0,T. Chandler enters the game for J. McGee,,39,44
2,6:07.0,,A. Gordon enters the game for J. Isaac,39,44
2,6:07.0,L. James makes free throw 2 of 2,,40,44
2,5:58.0,,Offensive foul by T. Ross (drawn by L. Ball),40,44
2,5:58.0,,Turnover by T. Ross (offensive foul),40,44
2,5:58.0,,D. Augustin enters the game for M. Bamba,40,44
2,5:58.0,,E. Fournier enters the game for J. Grant,40,44
2,5:58.0,,N. Vučević enters the game for T. Ross,40,44
2,5:41.0,Turnover by K. Kuzma (step out of bounds),,40,44
2,5:25.0,,J. Simmons misses 2-pt jump shot from 18 ft,40,44
2,5:22.0,Defensive rebound by T. Chandler,,40,44
2,5:13.0,L. James makes 2-pt dunk from 2 ft (assist by L. Ball),,42,44
2,4:56.0,,A. Gordon misses 3-pt jump shot from 26 ft,42,44
2,4:52.0,Defensive rebound by L. Ball,,42,44
2,4:50.0,Turnover by L. Ball (bad pass; steal by A. Gordon),,42,44
2,4:48.0,,Offensive foul by A. Gordon (drawn by L. James),42,44
2,4:48.0,,Turnover by A. Gordon (offensive foul),42,44
2,4:34.0,Offensive foul by K. Kuzma (drawn by E. Fournier),,42,44
2,4:34.0,Turnover by K. Kuzma (offensive foul),,42,44
2,4:21.0,,N. Vučević misses 2-pt jump shot from 19 ft,42,44
2,4:19.0,Defensive rebound by T. Chandler,,42,44
2,4:16.0,Turnover by L. James (out of bounds lost ball),,42,44
2,4:07.0,,D. Augustin makes 3-pt jump shot from 27 ft,42,47
2,3:48.0,L. James misses 2-pt hook shot from 7 ft,,42,47
2,3:47.0,,Defensive rebound by E. Fournier,42,47
2,3:41.0,,D. Augustin makes 3-pt jump shot from 23 ft (assist by A. Gordon),42,50
2,3:39.0,LA Lakers full timeout,,42,50
2,3:39.0,B. Ingram enters the game for J. Hart,,42,50
2,3:23.0,T. Chandler makes 2-pt dunk from 1 ft (assist by L. James),,44,50
2,3:10.0,,Personal foul by K. Kuzma (drawn by A. Gordon),44,50
2,3:05.0,,E. Fournier misses 3-pt jump shot from 25 ft,44,50
2,3:03.0,Defensive rebound by K. Kuzma,,44,50
2,2:48.0,B. Ingram makes 2-pt jump shot from 14 ft,,46,50
2,2:32.0,,E. Fournier misses 3-pt jump shot from 23 ft,46,50
2,2:29.0,Defensive rebound by K. Kuzma,,46,50
2,2:22.0,Personal foul by E. Fournier (drawn by L. James),,46,50
2,2:12.0,L. Ball misses 2-pt jump shot from 15 ft,,46,50
2,2:09.0,,Defensive rebound by N. Vučević,46,50
2,1:59.0,,Turnover by D. Augustin (bad pass),46,50
2,1:53.0,Turnover by K. Kuzma (out of bounds lost ball),,46,50
2,1:44.0,,D. Augustin makes 2-pt layup from 2 ft,46,52
2,1:44.0,,Shooting foul by L. Ball (drawn by D. Augustin),46,52
2,1:44.0,,D. Augustin makes free throw 1 of 1,46,53
2,1:31.0,K. Kuzma makes 2-pt dunk from 3 ft (assist by L. James),,48,53
2,1:07.0,,A. Gordon makes 2-pt jump shot from 16 ft (assist by D. Augustin),48,55
2,1:01.0,Personal foul by D. Augustin (drawn by L. James),,48,55
2,0:57.0,Turnover by L. Ball (lost ball; steal by A. Gordon),,48,55
2,0:54.0,,A. Gordon makes 2-pt dunk from 1 ft (assist by D. Augustin),48,57
2,0:43.0,K. Kuzma makes 2-pt jump shot from 11 ft (assist by L. James),,50,57
2,0:30.0,,A. Gordon misses 2-pt layup from 6 ft,50,57
2,0:29.0,,Offensive rebound by N. Vučević,50,57
2,0:29.0,,N. Vučević makes 2-pt layup at rim,50,59
2,0:09.0,L. James makes 3-pt jump shot from 26 ft,,53,59
2,0:01.0,,N. Vučević makes 3-pt jump shot from 25 ft (assist by J. Simmons),53,62
3,11:45.0,,N. Vučević misses 3-pt jump shot from 25 ft,53,62
3,11:42.0,Defensive rebound by L. James,,53,62
3,11:37.0,J. McGee makes 2-pt hook shot from 8 ft (assist by L. James),,55,62
3,11:16.0,,D. Augustin makes 3-pt jump shot from 22 ft (assist by E. Fournier),55,65
3,11:12.0,Turnover by J. McGee (out of bounds lost ball),,55,65
3,11:06.0,,E. Fournier makes 3-pt jump shot from 26 ft (assist by A. Gordon),55,68
3,10:48.0,Turnover by L. James (bad pass; steal by N. Vučević),,55,68
3,10:40.0,,N. Vučević makes 2-pt dunk from 2 ft (assist by D. Augustin),55,70
3,10:40.0,LA Lakers full timeout,,55,70
3,10:32.0,L. James misses 2-pt jump shot from 20 ft,,55,70
3,10:29.0,Offensive rebound by J. McGee,,55,70
3,10:29.0,J. McGee misses 2-pt layup at rim,,55,70
3,10:29.0,Offensive rebound by J. McGee,,55,70
3,10:29.0,Personal foul by E. Fournier (drawn by J. McGee),,55,70
3,10:18.0,B. Ingram makes 2-pt jump shot from 10 ft,,57,70
3,10:02.0,,Personal foul by J. McGee (drawn by E. Fournier),57,70
3,9:49.0,,A. Gordon misses 2-pt jump shot from 14 ft,57,70
3,9:47.0,Defensive rebound by L. James,,57,70
3,9:35.0,J. McGee makes 2-pt layup from 3 ft (assist by L. James),,59,70
3,9:16.0,,W. Iwundu misses 3-pt jump shot from 26 ft,59,70
3,9:14.0,Defensive rebound by B. Ingram,,59,70
3,9:06.0,B. Ingram makes 2-pt jump shot from 17 ft,,61,70
3,9:06.0,,Orlando full timeout,61,70
3,8:42.0,,D. Augustin misses 2-pt dunk from 3 ft (block by L. James),61,70
3,8:39.0,Defensive rebound by L. Ball,,61,70
3,8:38.0,L. James makes 2-pt layup from 3 ft (assist by B. Ingram),,63,70
3,8:23.0,,N. Vučević makes 2-pt hook shot from 9 ft (assist by E. Fournier),63,72
3,8:15.0,Shooting foul by E. Fournier (drawn by B. Ingram),,63,72
3,8:15.0,B. Ingram misses free throw 1 of 2,,63,72
3,8:15.0,Offensive rebound by Team,,63,72
3,8:15.0,B. Ingram makes free throw 2 of 2,,64,72
3,7:56.0,,N. Vučević makes 2-pt jump shot from 19 ft,64,74
3,7:44.0,B. Ingram makes 2-pt layup from 3 ft,,66,74
3,7:26.0,,N. Vučević makes 2-pt layup from 2 ft (assist by D. Augustin),66,76
3,7:17.0,Personal foul by D. Augustin (drawn by B. Ingram),,66,76
3,7:17.0,T. Chandler enters the game for J. McGee,,66,76
3,7:11.0,L. Ball misses 2-pt jump shot from 14 ft,,66,76
3,7:08.0,,Defensive rebound by E. Fournier,66,76
3,7:05.0,,E. Fournier misses 3-pt jump shot from 25 ft,66,76
3,6:58.0,,Offensive rebound by A. Gordon,66,76
3,6:58.0,,A. Gordon makes 2-pt dunk from 1 ft,66,78
3,6:37.0,L. James misses 2-pt jump shot from 22 ft,,66,78
3,6:35.0,,Defensive rebound by N. Vučević,66,78
3,6:27.0,,N. Vučević misses 3-pt jump shot from 25 ft,66,78
3,6:25.0,Defensive rebound by K. Kuzma,,66,78
3,6:19.0,Turnover by K. Kuzma (bad pass; steal by N. Vučević),,66,78
3,6:11.0,,N. Vučević makes 2-pt hook shot from 7 ft (assist by A. Gordon),66,80
3,5:53.0,Personal foul by W. Iwundu (drawn by B. Ingram),,66,80
3,5:53.0,K. Caldwell-Pope enters the game for L. Ball,,66,80
3,5:53.0,J. Hart enters the game for K. Kuzma,,66,80
3,5:46.0,L. James misses 3-pt jump shot from 28 ft,,66,80
3,5:43.0,,Defensive rebound by N. Vučević,66,80
3,5:33.0,,A. Gordon makes 3-pt jump shot from 23 ft (assist by D. Augustin),66,83
3,5:19.0,L. James makes 2-pt layup from 4 ft,,68,83
3,5:10.0,,D. Augustin makes 2-pt layup from 2 ft,68,85
3,4:55.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,68,85
3,4:54.0,,Defensive rebound by N. Vučević,68,85
3,4:36.0,,N. Vučević makes 2-pt layup from 1 ft (assist by W. Iwundu),68,87
3,4:17.0,B. Ingram misses 2-pt jump shot from 7 ft,,68,87
3,4:08.0,Offensive rebound by K. Caldwell-Pope,,68,87
3,4:08.0,K. Caldwell-Pope makes 2-pt layup at rim,,70,87
3,4:01.0,,D. Augustin makes 2-pt layup from 1 ft,70,89
3,3:46.0,L. James misses 2-pt layup from 4 ft,,70,89
3,3:43.0,,Defensive rebound by D. Augustin,70,89
3,3:36.0,,E. Fournier misses 3-pt jump shot from 25 ft,70,89
3,3:32.0,,Offensive rebound by E. Fournier,70,89
3,3:30.0,,E. Fournier misses 2-pt jump shot from 2 ft,70,89
3,3:28.0,Defensive rebound by L. James,,70,89
3,3:14.0,L. James makes 3-pt jump shot from 24 ft,,73,89
3,2:58.0,,D. Augustin makes 2-pt layup from 1 ft,73,91
3,2:45.0,L. James misses 3-pt jump shot from 28 ft,,73,91
3,2:44.0,,Defensive rebound by N. Vučević,73,91
3,2:44.0,,Orlando full timeout,73,91
3,2:44.0,L. Ball enters the game for T. Chandler,,73,91
3,2:44.0,K. Kuzma enters the game for B. Ingram,,73,91
3,2:44.0,L. Stephenson enters the game for L. James,,73,91
3,2:44.0,,T. Ross enters the game for D. Augustin,73,91
3,2:33.0,,N. Vučević misses 2-pt hook shot from 9 ft (block by K. Kuzma),73,91
3,2:29.0,,Offensive rebound by N. Vučević,73,91
3,2:27.0,,N. Vučević makes 2-pt hook shot from 3 ft,73,93
3,2:21.0,K. Kuzma misses 3-pt jump shot from 26 ft,,73,93
3,2:21.0,Offensive rebound by K. Caldwell-Pope,,73,93
3,2:16.0,K. Caldwell-Pope makes 2-pt layup at rim,,75,93
3,2:03.0,,E. Fournier makes 2-pt layup from 2 ft,75,95
3,1:52.0,L. Ball misses 3-pt jump shot from 26 ft,,75,95
3,1:49.0,,Defensive rebound by A. Gordon,75,95
3,1:35.0,,A. Gordon misses 2-pt layup from 5 ft (block by J. Hart),75,95
3,1:32.0,,Offensive rebound by A. Gordon,75,95
3,1:31.0,,A. Gordon misses 2-pt layup from 4 ft,75,95
3,1:26.0,,Offensive rebound by A. Gordon,75,95
3,1:26.0,,A. Gordon misses 2-pt layup from 1 ft,75,95
3,1:26.0,Defensive rebound by L. Ball,,75,95
3,1:19.0,K. Kuzma makes 3-pt jump shot from 28 ft (assist by J. Hart),,78,95
3,1:05.0,,Shooting foul by K. Caldwell-Pope (drawn by T. Ross),78,95
3,1:05.0,,T. Ross makes free throw 1 of 3,78,96
3,1:05.0,,T. Ross makes free throw 2 of 3,78,97
3,1:05.0,,J. Isaac enters the game for E. Fournier,78,97
3,1:05.0,,J. Simmons enters the game for A. Gordon,78,97
3,1:05.0,,T. Ross makes free throw 3 of 3,78,98
3,1:05.0,,J. Grant enters the game for W. Iwundu,78,98
3,0:53.0,Shooting foul by N. Vučević (drawn by K. Kuzma),,78,98
3,0:53.0,K. Kuzma makes free throw 1 of 2,,79,98
3,0:53.0,K. Kuzma misses free throw 2 of 2,,79,98
3,0:51.0,,Defensive rebound by N. Vučević,79,98
3,0:34.0,,N. Vučević makes 2-pt hook shot from 8 ft,79,100
3,0:25.0,Shooting foul by T. Ross (drawn by K. Caldwell-Pope),,79,100
3,0:25.0,K. Caldwell-Pope makes free throw 1 of 2,,80,100
3,0:25.0,K. Caldwell-Pope makes free throw 2 of 2,,81,100
3,0:06.0,,J. Simmons misses 2-pt layup from 7 ft (block by K. Kuzma),81,100
3,0:04.0,Defensive rebound by L. Ball,,81,100
3,0:02.0,K. Caldwell-Pope misses 2-pt dunk from 4 ft (block by J. Isaac),,81,100
3,0:02.0,,Defensive rebound by Team,81,100
3,0:00.0,,Turnover by J. Isaac (bad pass),81,100
3,0:00.0,L. Stephenson misses 3-pt jump shot from 62 ft,,81,100
3,0:00.0,Offensive rebound by Team,,81,100
4,11:41.0,K. Kuzma misses 2-pt layup from 3 ft,,81,100
4,11:39.0,,Defensive rebound by M. Bamba,81,100
4,11:30.0,,Turnover by J. Isaac (bad pass; steal by L. Stephenson),81,100
4,11:30.0,Personal foul by J. Simmons (drawn by L. Stephenson),,81,100
4,11:27.0,J. Hart makes 3-pt jump shot from 25 ft (assist by L. Ball),,84,100
4,11:10.0,,Personal foul by L. Ball (drawn by J. Grant),84,100
4,10:59.0,,J. Simmons makes 2-pt dunk from 1 ft (assist by J. Isaac),84,102
4,10:48.0,Turnover by L. Ball (bad pass; steal by J. Grant),,84,102
4,10:45.0,,Shooting foul by J. Hart (drawn by J. Simmons),84,102
4,10:45.0,,J. Simmons makes free throw 1 of 2,84,103
4,10:45.0,,J. Simmons makes free throw 2 of 2,84,104
4,10:38.0,Shooting foul by M. Bamba (drawn by L. Stephenson),,84,104
4,10:38.0,L. Stephenson makes free throw 1 of 2,,85,104
4,10:38.0,L. Stephenson makes free throw 2 of 2,,86,104
4,10:30.0,,Offensive foul by T. Ross (drawn by K. Kuzma),86,104
4,10:30.0,,Turnover by T. Ross (offensive foul),86,104
4,10:30.0,S. Mykhailiuk enters the game for J. Hart,,86,104
4,10:11.0,L. Stephenson makes 2-pt jump shot from 19 ft,,88,104
4,9:52.0,,Shooting foul by L. Ball (drawn by M. Bamba),88,104
4,9:52.0,,M. Bamba makes free throw 1 of 2,88,105
4,9:52.0,,M. Bamba makes free throw 2 of 2,88,106
4,9:39.0,K. Kuzma misses 3-pt jump shot from 25 ft,,88,106
4,9:37.0,,Defensive rebound by J. Isaac,88,106
4,9:16.0,,T. Ross makes 2-pt jump shot from 21 ft,88,108
4,9:04.0,Shooting foul by T. Ross (drawn by L. Stephenson),,88,108
4,9:04.0,L. Stephenson makes free throw 1 of 2,,89,108
4,9:04.0,M. Beasley enters the game for L. Ball,,89,108
4,9:04.0,B. Ingram enters the game for K. Kuzma,,89,108
4,9:04.0,,E. Fournier enters the game for T. Ross,89,108
4,9:04.0,L. Stephenson makes free throw 2 of 2,,90,108
4,8:45.0,,M. Bamba makes 2-pt hook shot from 6 ft (assist by E. Fournier),90,110
4,8:30.0,S. Mykhailiuk misses 3-pt jump shot from 23 ft,,90,110
4,8:29.0,,Defensive rebound by J. Isaac,90,110
4,8:29.0,,Personal foul by M. Beasley (drawn by M. Bamba),90,110
4,8:16.0,,J. Simmons misses 2-pt jump shot from 3 ft,90,110
4,8:16.0,Defensive rebound by Team,,90,110
4,8:16.0,,Loose ball foul by M. Bamba (drawn by S. Mykhailiuk),90,110
4,8:16.0,LA Lakers full timeout,,90,110
4,8:08.0,Personal foul by J. Simmons (drawn by S. Mykhailiuk),,90,110
4,8:08.0,S. Mykhailiuk makes free throw 1 of 2,,91,110
4,8:08.0,S. Mykhailiuk makes free throw 2 of 2,,92,110
4,7:52.0,,M. Bamba misses 3-pt jump shot from 26 ft,92,110
4,7:48.0,Defensive rebound by L. Stephenson,,92,110
4,7:41.0,K. Caldwell-Pope misses 2-pt jump shot from 4 ft (block by M. Bamba),,92,110
4,7:41.0,Offensive rebound by Team,,92,110
4,7:39.0,M. Beasley misses 2-pt jump shot from 19 ft,,92,110
4,7:37.0,,Defensive rebound by J. Isaac,92,110
4,7:24.0,,J. Isaac makes 2-pt layup from 2 ft,92,112
4,7:11.0,L. Stephenson makes 2-pt dunk at rim (assist by B. Ingram),,94,112
4,7:01.0,,Personal foul by K. Caldwell-Pope (drawn by E. Fournier),94,112
4,7:01.0,,E. Fournier makes free throw 1 of 2,94,113
4,7:01.0,,E. Fournier makes free throw 2 of 2,94,114
4,6:43.0,B. Ingram misses 2-pt jump shot from 16 ft,,94,114
4,6:40.0,Offensive rebound by L. Stephenson,,94,114
4,6:39.0,L. Stephenson makes 2-pt layup from 1 ft,,96,114
4,6:24.0,,Turnover by M. Bamba (bad pass; steal by L. Stephenson),96,114
4,6:19.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,96,114
4,6:15.0,,Defensive rebound by J. Grant,96,114
4,6:15.0,,Turnover by J. Grant (out of bounds lost ball),96,114
4,6:05.0,S. Mykhailiuk makes 3-pt jump shot from 27 ft (assist by L. Stephenson),,99,114
4,6:04.0,,Orlando full timeout,99,114
4,6:04.0,,D. Augustin enters the game for M. Bamba,99,114
4,6:04.0,,A. Gordon enters the game for J. Grant,99,114
4,6:04.0,,N. Vučević enters the game for J. Isaac,99,114
4,5:49.0,,J. Simmons misses 3-pt jump shot from 22 ft,99,114
4,5:45.0,Defensive rebound by B. Ingram,,99,114
4,5:35.0,B. Ingram makes 2-pt jump shot from 4 ft,,101,114
4,5:18.0,,E. Fournier misses 3-pt jump shot from 26 ft,101,114
4,5:15.0,Defensive rebound by L. Stephenson,,101,114
4,5:11.0,L. Stephenson makes 2-pt layup from 2 ft,,103,114
4,5:11.0,,Orlando full timeout,103,114
4,4:54.0,,Shooting foul by L. Stephenson (drawn by A. Gordon),103,114
4,4:54.0,,A. Gordon makes free throw 1 of 2,103,115
4,4:54.0,,A. Gordon misses free throw 2 of 2,103,115
4,4:52.0,Defensive rebound by B. Ingram,,103,115
