QUARTER,TIME_REMAINING,TORONTO_ACTION,NEW ORLEANS_ACTION,TORONTO_SCORE,NEW ORLEANS_SCORE
1,11:43.0,M. Gasol misses 2-pt hook shot from 4 ft,,0,0
1,11:41.0,,Defensive rebound by J. Randle,0,0
1,11:29.0,,J. Randle misses 3-pt jump shot from 26 ft,0,0
1,11:25.0,,Offensive rebound by K. Williams,0,0
1,11:21.0,,E. Payton makes 2-pt layup from 1 ft (assist by K. Williams),0,2
1,11:13.0,P. Siakam makes 3-pt jump shot from 23 ft (assist by D. Green),,3,2
1,10:56.0,,F. Jackson misses 2-pt jump shot from 3 ft,3,2
1,10:56.0,Defensive rebound by M. Gasol,,3,2
1,10:44.0,Turnover by D. Green (lost ball; steal by K. Williams),,3,2
1,10:39.0,,J. Randle makes 2-pt dunk from 2 ft (assist by K. Williams),3,4
1,10:37.0,,Violation by Team (delay of game),3,4
1,10:17.0,K. Leonard makes 2-pt hook shot from 8 ft,,5,4
1,10:15.0,,Turnover by J. Okafor (inbound),5,4
1,10:04.0,P. Siakam misses 3-pt jump shot from 23 ft,,5,4
1,10:04.0,,Defensive rebound by J. Okafor,5,4
1,9:55.0,,J. Okafor misses 2-pt layup from 3 ft,5,4
1,9:53.0,Defensive rebound by M. Gasol,,5,4
1,9:47.0,K. Leonard makes 2-pt layup from 2 ft (assist by P. Siakam),,7,4
1,9:37.0,,Shooting foul by M. Gasol (drawn by J. Randle),7,4
1,9:37.0,,J. Randle misses free throw 1 of 2,7,4
1,9:37.0,,Offensive rebound by Team,7,4
1,9:37.0,,J. Randle makes free throw 2 of 2,7,5
1,9:24.0,K. Leonard misses 3-pt jump shot from 26 ft,,7,5
1,9:21.0,,Defensive rebound by F. Jackson,7,5
1,9:09.0,,J. Okafor makes 2-pt hook shot from 7 ft,7,7
1,8:50.0,M. Gasol misses 2-pt hook shot from 3 ft,,7,7
1,8:48.0,,Defensive rebound by J. Okafor,7,7
1,8:38.0,,J. Randle makes 2-pt jump shot from 3 ft,7,9
1,8:37.0,M. Gasol misses 3-pt jump shot from 25 ft,,7,9
1,8:24.0,,Defensive rebound by E. Payton,7,9
1,8:18.0,,K. Williams misses 3-pt jump shot from 27 ft,7,9
1,8:15.0,Defensive rebound by M. Gasol,,7,9
1,8:09.0,Turnover by M. Gasol (bad pass; steal by K. Williams),,7,9
1,7:59.0,,Turnover by E. Payton (lost ball; steal by K. Lowry),7,9
1,7:50.0,K. Leonard makes 2-pt dunk at rim (assist by K. Lowry),,9,9
1,7:44.0,,New Orleans full timeout,9,9
1,7:44.0,,I. Clark enters the game for E. Payton,9,9
1,7:35.0,,Shooting foul by M. Gasol (drawn by J. Randle),9,9
1,7:35.0,,J. Randle makes free throw 1 of 2,9,10
1,7:35.0,S. Ibaka enters the game for M. Gasol,,9,10
1,7:35.0,,J. Randle makes free throw 2 of 2,9,11
1,7:21.0,S. Ibaka makes 2-pt jump shot from 11 ft (assist by K. Leonard),,11,11
1,7:03.0,,J. Okafor misses 2-pt jump shot from 12 ft,11,11
1,7:03.0,Defensive rebound by Team,,11,11
1,6:48.0,K. Leonard misses 3-pt jump shot from 26 ft,,11,11
1,6:44.0,,Defensive rebound by F. Jackson,11,11
1,6:26.0,,K. Williams misses 3-pt jump shot from 24 ft,11,11
1,6:22.0,Defensive rebound by K. Lowry,,11,11
1,6:18.0,K. Lowry misses 2-pt layup from 2 ft,,11,11
1,6:15.0,,Defensive rebound by K. Williams,11,11
1,6:10.0,,K. Williams misses 2-pt layup from 3 ft (block by P. Siakam),11,11
1,6:07.0,Defensive rebound by S. Ibaka,,11,11
1,6:05.0,K. Leonard makes 2-pt dunk from 1 ft (assist by P. Siakam),,13,11
1,5:50.0,,F. Jackson misses 3-pt jump shot from 25 ft,13,11
1,5:48.0,,Offensive rebound by F. Jackson,13,11
1,5:43.0,,I. Clark makes 3-pt jump shot from 22 ft (assist by K. Williams),13,14
1,5:25.0,S. Ibaka makes 2-pt dunk from 1 ft (assist by D. Green),,15,14
1,5:25.0,J. Lin enters the game for K. Lowry,,15,14
1,5:25.0,,C. Diallo enters the game for J. Okafor,15,14
1,5:07.0,,Personal foul by J. Lin (drawn by I. Clark),15,14
1,5:00.0,,K. Williams makes 3-pt jump shot from 26 ft (assist by J. Randle),15,17
1,4:44.0,D. Green misses 2-pt jump shot from 7 ft,,15,17
1,4:44.0,Offensive rebound by S. Ibaka,,15,17
1,4:39.0,K. Leonard makes 2-pt jump shot from 15 ft,,17,17
1,4:28.0,,I. Clark makes 2-pt jump shot from 9 ft,17,19
1,4:21.0,P. Siakam makes 2-pt layup from 2 ft (assist by J. Lin),,19,19
1,4:06.0,,I. Clark misses 2-pt jump shot from 21 ft,19,19
1,4:03.0,Defensive rebound by K. Leonard,,19,19
1,3:58.0,K. Leonard makes 2-pt layup from 1 ft,,21,19
1,3:40.0,,Def 3 sec tech foul by Team,21,19
1,3:40.0,,F. Jackson misses technical free throw,21,19
1,3:40.0,,Offensive rebound by Team,21,19
