QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,NEW YORK_ACTION,SAN ANTONIO_SCORE,NEW YORK_SCORE
1,11:45.0,,D. Dotson makes 3-pt jump shot from 25 ft (assist by D. Smith),0,3
1,11:25.0,L. Aldridge makes 2-pt hook shot from 14 ft,,2,3
1,11:13.0,,D. Smith makes 2-pt jump shot from 18 ft,2,5
1,10:59.0,L. Aldridge misses 2-pt jump shot from 18 ft,,2,5
1,10:59.0,Offensive rebound by B. Forbes,,2,5
1,10:59.0,B. Forbes makes 2-pt layup from 2 ft,,4,5
1,10:39.0,,L. Thomas makes 2-pt layup from 1 ft (assist by N. Vonleh),4,7
1,10:23.0,L. Aldridge misses 2-pt jump shot from 15 ft,,4,7
1,10:21.0,,Defensive rebound by N. Vonleh,4,7
1,10:11.0,,D. Smith misses 2-pt jump shot from 18 ft,4,7
1,10:09.0,Defensive rebound by D. DeRozan,,4,7
1,10:01.0,Shooting foul by N. Vonleh (drawn by L. Aldridge),,4,7
1,10:01.0,L. Aldridge makes free throw 1 of 2,,5,7
1,10:01.0,L. Aldridge makes free throw 2 of 2,,6,7
1,9:44.0,,D. Smith misses 2-pt layup from 1 ft,6,7
1,9:42.0,Defensive rebound by R. Gay,,6,7
1,9:37.0,D. Bertāns misses 3-pt jump shot from 26 ft,,6,7
1,9:35.0,,Defensive rebound by L. Thomas,6,7
1,9:25.0,,K. Knox misses 2-pt layup from 1 ft,6,7
1,9:23.0,Defensive rebound by L. Aldridge,,6,7
1,9:13.0,R. Gay misses 2-pt jump shot from 12 ft,,6,7
1,9:11.0,,Defensive rebound by N. Vonleh,6,7
1,9:01.0,,D. Dotson makes 3-pt jump shot from 25 ft (assist by D. Smith),6,10
1,8:46.0,D. Bertāns misses 3-pt jump shot from 28 ft,,6,10
1,8:44.0,,Defensive rebound by D. Dotson,6,10
1,8:38.0,,D. Dotson misses 3-pt jump shot from 26 ft,6,10
1,8:36.0,Defensive rebound by B. Forbes,,6,10
1,8:21.0,L. Aldridge makes 2-pt jump shot from 14 ft,,8,10
1,8:08.0,,K. Knox misses 3-pt jump shot from 26 ft,8,10
1,8:06.0,Defensive rebound by D. DeRozan,,8,10
1,7:55.0,L. Aldridge misses 2-pt jump shot from 16 ft,,8,10
1,7:53.0,,Defensive rebound by D. Dotson,8,10
1,7:47.0,,N. Vonleh misses 3-pt jump shot from 27 ft,8,10
1,7:45.0,Defensive rebound by B. Forbes,,8,10
1,7:27.0,B. Forbes misses 3-pt jump shot from 26 ft,,8,10
1,7:25.0,Offensive rebound by B. Forbes,,8,10
1,7:23.0,B. Forbes misses 3-pt jump shot from 27 ft,,8,10
1,7:21.0,,Defensive rebound by D. Smith,8,10
1,7:04.0,,N. Vonleh misses 2-pt layup from 3 ft (block by D. DeRozan),8,10
1,7:02.0,Defensive rebound by B. Forbes,,8,10
1,6:57.0,Offensive foul by L. Aldridge (drawn by D. Smith),,8,10
1,6:57.0,Turnover by L. Aldridge (offensive foul),,8,10
1,6:57.0,,New York full timeout,8,10
1,6:46.0,,D. Smith makes 2-pt layup from 1 ft,8,12
1,6:32.0,L. Aldridge misses 2-pt jump shot from 20 ft,,8,12
1,6:30.0,,Defensive rebound by D. Smith,8,12
1,6:24.0,,K. Knox misses 2-pt layup from 2 ft,8,12
1,6:23.0,,Offensive rebound by Team,8,12
1,6:23.0,P. Mills enters the game for B. Forbes,,8,12
1,6:18.0,,K. Knox misses 3-pt jump shot from 23 ft,8,12
1,6:16.0,Defensive rebound by D. DeRozan,,8,12
1,5:58.0,R. Gay makes 2-pt jump shot from 13 ft,,10,12
1,5:42.0,,D. Dotson misses 2-pt jump shot from 18 ft,10,12
1,5:40.0,,Offensive rebound by L. Thomas,10,12
1,5:40.0,,L. Thomas misses 2-pt layup at rim,10,12
1,5:38.0,Defensive rebound by R. Gay,,10,12
1,5:28.0,P. Mills makes 3-pt jump shot from 24 ft (assist by D. DeRozan),,13,12
1,5:27.0,,New York full timeout,13,12
1,5:27.0,M. Belinelli enters the game for R. Gay,,13,12
1,5:27.0,,M. Robinson enters the game for N. Vonleh,13,12
1,5:17.0,,K. Knox makes 2-pt jump shot from 11 ft,13,14
1,5:03.0,L. Aldridge makes 2-pt dunk from 1 ft (assist by P. Mills),,15,14
1,4:44.0,,D. Smith misses 2-pt jump shot from 7 ft,15,14
1,4:43.0,Defensive rebound by L. Aldridge,,15,14
1,4:43.0,Personal take foul by D. Smith (drawn by P. Mills),,15,14
1,4:26.0,Personal foul by M. Robinson (drawn by D. DeRozan),,15,14
1,4:26.0,,E. Mudiay enters the game for D. Smith,15,14
1,4:21.0,D. DeRozan makes 2-pt jump shot from 17 ft,,17,14
1,4:21.0,Shooting foul by M. Robinson (drawn by D. DeRozan),,17,14
1,4:21.0,D. DeRozan misses free throw 1 of 1,,17,14
1,4:19.0,,Defensive rebound by L. Thomas,17,14
1,4:01.0,,L. Thomas misses 2-pt jump shot from 5 ft,17,14
1,4:00.0,,Offensive rebound by M. Robinson,17,14
1,3:59.0,,M. Robinson misses 2-pt layup from 1 ft (block by D. Bertāns),17,14
1,3:57.0,Defensive rebound by P. Mills,,17,14
1,3:46.0,D. DeRozan misses 2-pt layup from 1 ft (block by M. Robinson),,17,14
1,3:44.0,,Defensive rebound by M. Robinson,17,14
1,3:39.0,,L. Thomas makes 3-pt jump shot from 24 ft (assist by E. Mudiay),17,17
1,3:25.0,D. DeRozan makes 2-pt jump shot from 3 ft,,19,17
1,3:14.0,,E. Mudiay makes 2-pt jump shot from 11 ft,19,19
1,3:00.0,Personal foul by D. Dotson (drawn by L. Aldridge),,19,19
1,3:00.0,L. Aldridge makes free throw 1 of 2,,20,19
1,3:00.0,B. Forbes enters the game for D. Bertāns,,20,19
1,3:00.0,,A. Trier enters the game for L. Thomas,20,19
1,3:00.0,L. Aldridge makes free throw 2 of 2,,21,19
1,2:48.0,,K. Knox makes 2-pt layup from 2 ft,21,21
1,2:48.0,,Shooting foul by L. Aldridge (drawn by K. Knox),21,21
1,2:48.0,R. Gay enters the game for L. Aldridge,,21,21
1,2:48.0,J. Poeltl enters the game for D. DeRozan,,21,21
1,2:48.0,,K. Knox makes free throw 1 of 1,21,22
1,2:41.0,P. Mills makes 3-pt jump shot from 27 ft,,24,22
1,2:26.0,,K. Knox makes 2-pt jump shot from 8 ft,24,24
1,2:23.0,M. Belinelli misses 3-pt jump shot from 27 ft,,24,24
1,2:21.0,,Defensive rebound by K. Knox,24,24
1,2:02.0,,E. Mudiay makes 2-pt jump shot from 18 ft,24,26
1,1:47.0,P. Mills misses 3-pt jump shot from 26 ft (block by M. Robinson),,24,26
1,1:45.0,,Defensive rebound by K. Knox,24,26
1,1:38.0,,A. Trier misses 3-pt jump shot from 25 ft,24,26
1,1:36.0,Defensive rebound by J. Poeltl,,24,26
1,1:25.0,J. Poeltl makes 2-pt layup at rim (assist by R. Gay),,26,26
1,1:01.0,,K. Knox makes 3-pt jump shot from 26 ft,26,29
1,0:39.0,B. Forbes misses 3-pt jump shot from 26 ft,,26,29
1,0:36.0,,Defensive rebound by M. Robinson,26,29
1,0:31.0,,Shooting foul by B. Forbes (drawn by D. Dotson),26,29
1,0:31.0,,D. Dotson makes free throw 1 of 2,26,30
1,0:31.0,,N. Vonleh enters the game for M. Robinson,26,30
1,0:31.0,,D. Dotson misses free throw 2 of 2,26,30
1,0:30.0,Defensive rebound by R. Gay,,26,30
1,0:11.0,P. Mills misses 2-pt jump shot from 9 ft,,26,30
1,0:07.0,,Defensive rebound by K. Knox,26,30
1,0:02.0,,E. Mudiay misses 3-pt jump shot from 25 ft,26,30
1,0:02.0,Defensive rebound by P. Mills,,26,30
2,11:48.0,M. Belinelli misses 2-pt jump shot from 16 ft (block by M. Robinson),,26,30
2,11:46.0,Offensive rebound by Team,,26,30
2,11:41.0,P. Mills misses 2-pt layup from 2 ft,,26,30
2,11:39.0,Offensive rebound by J. Poeltl,,26,30
2,11:39.0,J. Poeltl misses 2-pt layup from 1 ft,,26,30
2,11:37.0,Offensive rebound by J. Poeltl,,26,30
2,11:30.0,R. Gay misses 2-pt jump shot from 11 ft,,26,30
2,11:28.0,Offensive rebound by J. Poeltl,,26,30
