QUARTER,TIME_REMAINING,ORLANDO_ACTION,TORONTO_ACTION,ORLANDO_SCORE,TORONTO_SCORE
1,11:40.0,,K. Lowry makes 2-pt layup from 4 ft (assist by D. Green),0,2
1,11:28.0,N. Vučević misses 2-pt jump shot from 16 ft,,0,2
1,11:25.0,,Defensive rebound by P. Siakam,0,2
1,11:17.0,,Personal foul by N. Vučević (drawn by K. Lowry),0,2
1,11:02.0,,K. Leonard misses 2-pt jump shot from 10 ft,0,2
1,10:58.0,Defensive rebound by N. Vučević,,0,2
1,10:51.0,Def 3 sec tech foul by Team,,0,2
1,10:51.0,D. Augustin makes technical free throw,,1,2
1,10:45.0,D. Augustin misses 3-pt jump shot from 24 ft,,1,2
1,10:42.0,,Defensive rebound by K. Lowry,1,2
1,10:38.0,,K. Lowry makes 3-pt jump shot from 26 ft,1,5
1,10:21.0,N. Vučević misses 3-pt jump shot from 24 ft,,1,5
1,10:18.0,,Defensive rebound by K. Leonard,1,5
1,10:11.0,,K. Lowry makes 2-pt layup from 3 ft (assist by K. Leonard),1,7
1,10:00.0,Personal foul by M. Gasol (drawn by N. Vučević),,1,7
1,9:54.0,Personal foul by D. Green (drawn by N. Vučević),,1,7
1,9:41.0,J. Isaac misses 2-pt jump shot from 11 ft (block by P. Siakam),,1,7
1,9:37.0,,Defensive rebound by M. Gasol,1,7
1,9:35.0,,K. Lowry makes 2-pt layup from 2 ft,1,9
1,9:21.0,Offensive foul by A. Gordon (drawn by M. Gasol),,1,9
1,9:21.0,Turnover by A. Gordon (offensive foul),,1,9
1,9:07.0,,P. Siakam misses 3-pt jump shot from 23 ft,1,9
1,9:07.0,,Offensive rebound by K. Leonard,1,9
1,9:07.0,,K. Leonard makes 2-pt layup from 1 ft,1,11
1,9:07.0,,Shooting foul by A. Gordon (drawn by K. Leonard),1,11
1,9:07.0,,K. Leonard makes free throw 1 of 1,1,12
1,8:53.0,E. Fournier misses 2-pt layup from 3 ft,,1,12
1,8:50.0,,Defensive rebound by K. Lowry,1,12
1,8:44.0,,M. Gasol misses 3-pt jump shot from 26 ft,1,12
1,8:41.0,Defensive rebound by A. Gordon,,1,12
1,8:37.0,A. Gordon makes 2-pt layup from 1 ft,,3,12
1,8:36.0,Violation by Team (delay of game),,3,12
1,8:21.0,,K. Leonard misses 2-pt layup from 3 ft,3,12
1,8:19.0,Defensive rebound by N. Vučević,,3,12
1,8:03.0,N. Vučević misses 2-pt hook shot from 8 ft,,3,12
1,8:00.0,,Defensive rebound by P. Siakam,3,12
1,7:57.0,,P. Siakam misses 2-pt jump shot from 3 ft,3,12
1,7:54.0,,Offensive rebound by M. Gasol,3,12
1,7:51.0,,P. Siakam makes 2-pt layup from 2 ft (assist by D. Green),3,14
1,7:44.0,Orlando full timeout,,3,14
1,7:44.0,T. Ross enters the game for A. Gordon,,3,14
1,7:32.0,D. Augustin misses 3-pt jump shot from 23 ft,,3,14
1,7:29.0,,Defensive rebound by M. Gasol,3,14
1,7:12.0,,M. Gasol makes 2-pt jump shot from 9 ft (assist by P. Siakam),3,16
1,6:59.0,N. Vučević misses 3-pt jump shot from 24 ft,,3,16
1,6:56.0,,Defensive rebound by K. Lowry,3,16
1,6:42.0,,Shooting foul by N. Vučević (drawn by M. Gasol),3,16
1,6:42.0,,M. Gasol makes free throw 1 of 2,3,17
1,6:42.0,,M. Gasol makes free throw 2 of 2,3,18
1,6:36.0,Offensive foul by N. Vučević (drawn by K. Lowry),,3,18
1,6:36.0,Turnover by N. Vučević (offensive foul),,3,18
1,6:36.0,Technical foul by T. Ross,,3,18
1,6:36.0,,K. Leonard makes technical free throw,3,19
1,6:36.0,K. Birch enters the game for N. Vučević,,3,19
1,6:23.0,,Turnover by K. Lowry (bad pass; steal by E. Fournier),3,19
1,6:13.0,Turnover by J. Isaac (lost ball; steal by K. Leonard),,3,19
1,6:05.0,,D. Green misses 3-pt jump shot from 23 ft,3,19
1,6:02.0,,Offensive rebound by K. Leonard,3,19
1,5:59.0,,Turnover by K. Leonard (out of bounds lost ball),3,19
1,5:39.0,J. Isaac misses 2-pt jump shot from 11 ft,,3,19
