QUARTER,TIME_REMAINING,CLEVELAND_ACTION,MINNESOTA_ACTION,CLEVELAND_SCORE,MINNESOTA_SCORE
1,11:43.0,,K. Towns makes 2-pt jump shot from 11 ft (assist by J. Teague),0,2
1,11:29.0,K. Love misses 2-pt jump shot from 21 ft,,0,2
1,11:26.0,,Defensive rebound by J. Teague,0,2
1,11:05.0,,A. Wiggins misses 2-pt jump shot from 13 ft,0,2
1,11:03.0,Defensive rebound by K. Love,,0,2
1,10:54.0,K. Love misses 3-pt jump shot from 26 ft,,0,2
1,10:50.0,,Defensive rebound by J. Butler,0,2
1,10:47.0,,Personal foul by K. Love (drawn by T. Gibson),0,2
1,10:39.0,,T. Gibson misses 2-pt jump shot from 20 ft,0,2
1,10:37.0,Defensive rebound by T. Thompson,,0,2
1,10:32.0,C. Osman misses 2-pt layup from 2 ft,,0,2
1,10:30.0,Offensive rebound by K. Love,,0,2
1,10:30.0,K. Love makes 2-pt layup from 1 ft,,2,2
1,10:11.0,,T. Gibson misses 2-pt layup from 4 ft,2,2
1,10:11.0,Defensive rebound by R. Hood,,2,2
1,10:04.0,T. Thompson makes 2-pt layup from 4 ft (assist by G. Hill),,4,2
1,9:52.0,,J. Teague misses 3-pt jump shot from 25 ft,4,2
1,9:52.0,Defensive rebound by K. Love,,4,2
1,9:46.0,Turnover by K. Love (bad pass; steal by J. Butler),,4,2
1,9:43.0,,T. Gibson makes 2-pt layup from 1 ft (assist by J. Butler),4,4
1,9:24.0,Turnover by R. Hood (bad pass),,4,4
1,9:09.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by A. Wiggins),4,7
1,8:53.0,R. Hood makes 2-pt jump shot from 7 ft (assist by G. Hill),,6,7
1,8:46.0,,J. Teague misses 2-pt layup from 1 ft,6,7
1,8:44.0,Defensive rebound by K. Love,,6,7
1,8:35.0,K. Love makes 3-pt jump shot from 26 ft (assist by C. Osman),,9,7
1,8:21.0,,K. Towns misses 2-pt hook shot from 6 ft,9,7
1,8:19.0,Defensive rebound by K. Love,,9,7
1,8:10.0,C. Osman misses 3-pt jump shot from 25 ft,,9,7
1,8:08.0,,Defensive rebound by T. Gibson,9,7
1,7:53.0,,J. Butler makes 2-pt layup from 2 ft (assist by K. Towns),9,9
1,7:41.0,G. Hill misses 3-pt jump shot from 25 ft,,9,9
1,7:39.0,Offensive rebound by C. Osman,,9,9
1,7:36.0,G. Hill makes 2-pt layup from 1 ft (assist by C. Osman),,11,9
1,7:32.0,,Turnover by K. Towns (bad pass; steal by C. Osman),11,9
1,7:27.0,T. Thompson makes 2-pt jump shot from 12 ft (assist by C. Osman),,13,9
1,7:07.0,,A. Wiggins misses 3-pt jump shot from 23 ft,13,9
1,7:04.0,Defensive rebound by K. Love,,13,9
1,7:01.0,G. Hill makes 2-pt layup from 2 ft (assist by K. Love),,15,9
1,6:57.0,,Minnesota full timeout,15,9
1,6:47.0,,A. Wiggins makes 2-pt jump shot from 7 ft (assist by J. Teague),15,11
1,6:31.0,K. Love makes 2-pt layup from 1 ft (assist by C. Osman),,17,11
1,6:14.0,,Turnover by J. Butler (traveling),17,11
1,6:14.0,,D. Rose enters the game for J. Butler,17,11
1,5:52.0,Shooting foul by A. Wiggins (drawn by R. Hood),,17,11
1,5:52.0,R. Hood makes free throw 1 of 2,,18,11
1,5:52.0,R. Hood makes free throw 2 of 2,,19,11
1,5:37.0,,D. Rose makes 2-pt jump shot from 18 ft,19,13
1,5:16.0,T. Thompson makes 2-pt layup from 3 ft (assist by C. Osman),,21,13
1,5:05.0,,T. Gibson makes 2-pt layup from 2 ft (assist by J. Teague),21,15
1,4:58.0,Turnover by C. Osman (step out of bounds),,21,15
