QUARTER,TIME_REMAINING,ATLANTA_ACTION,MIAMI_ACTION,ATLANTA_SCORE,MIAMI_SCORE
1,11:42.0,,H. Whiteside misses 2-pt layup from 2 ft (block by J. Collins),0,0
1,11:38.0,Defensive rebound by T. Prince,,0,0
1,11:33.0,T. Prince makes 2-pt layup at rim,,2,0
1,11:22.0,,J. Richardson makes 2-pt layup from 2 ft,2,2
1,11:05.0,Turnover by K. Huerter (lost ball; steal by W. Ellington),,2,2
1,10:59.0,,W. Ellington makes 3-pt jump shot from 25 ft (assist by J. Richardson),2,5
1,10:45.0,T. Young misses 2-pt jump shot from 11 ft,,2,5
1,10:43.0,,Defensive rebound by H. Whiteside,2,5
1,10:35.0,,W. Ellington makes 3-pt jump shot from 24 ft (assist by J. Johnson),2,8
1,10:21.0,J. Collins misses 3-pt jump shot from 23 ft,,2,8
1,10:19.0,,Defensive rebound by R. McGruder,2,8
1,10:18.0,,Shooting foul by J. Collins (drawn by J. Richardson),2,8
1,10:18.0,,J. Richardson misses free throw 1 of 2,2,8
1,10:18.0,,Offensive rebound by Team,2,8
1,10:18.0,,J. Richardson makes free throw 2 of 2,2,9
1,10:05.0,Shooting foul by W. Ellington (drawn by T. Prince),,2,9
1,10:05.0,T. Prince makes free throw 1 of 2,,3,9
1,10:05.0,T. Prince makes free throw 2 of 2,,4,9
1,9:40.0,,J. Johnson misses 3-pt jump shot from 23 ft,4,9
1,9:38.0,Defensive rebound by T. Prince,,4,9
1,9:30.0,J. Collins makes 2-pt layup from 1 ft (assist by K. Huerter),,6,9
1,9:18.0,,R. McGruder makes 2-pt jump shot from 12 ft,6,11
1,8:58.0,D. Dedmon makes 3-pt jump shot from 26 ft (assist by T. Young),,9,11
1,8:46.0,,J. Johnson misses 2-pt jump shot from 15 ft,9,11
1,8:44.0,Defensive rebound by T. Young,,9,11
1,8:43.0,K. Huerter makes 2-pt dunk from 1 ft (assist by T. Young),,11,11
1,8:30.0,,R. McGruder makes 2-pt jump shot from 6 ft (assist by J. Richardson),11,13
1,8:20.0,Offensive foul by D. Dedmon (drawn by J. Richardson),,11,13
1,8:20.0,Turnover by D. Dedmon (offensive foul),,11,13
1,8:07.0,,J. Richardson misses 2-pt jump shot from 13 ft,11,13
1,8:05.0,,Offensive rebound by H. Whiteside,11,13
1,8:03.0,,H. Whiteside makes 2-pt layup from 2 ft,11,15
1,7:55.0,Personal foul by H. Whiteside (drawn by D. Dedmon),,11,15
1,7:46.0,J. Collins makes 2-pt layup from 2 ft (assist by T. Young),,13,15
1,7:32.0,,Shooting foul by D. Dedmon (drawn by H. Whiteside),13,15
1,7:32.0,,H. Whiteside misses free throw 1 of 2,13,15
1,7:32.0,,Offensive rebound by Team,13,15
1,7:32.0,A. Len enters the game for D. Dedmon,,13,15
1,7:32.0,,H. Whiteside makes free throw 2 of 2,13,16
