QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,TORONTO_ACTION,MILWAUKEE_SCORE,TORONTO_SCORE
1,11:40.0,,Turnover by K. Lowry (bad pass),0,0
1,11:24.0,K. Middleton misses 3-pt jump shot from 25 ft,,0,0
1,11:22.0,,Defensive rebound by P. Siakam,0,0
1,11:12.0,,Turnover by P. Siakam (lost ball; steal by G. Antetokounmpo),0,0
1,11:07.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,2,0
1,10:51.0,,M. Gasol misses 3-pt jump shot from 25 ft,2,0
1,10:48.0,Defensive rebound by G. Antetokounmpo,,2,0
1,10:42.0,N. Mirotić makes 3-pt jump shot from 29 ft (assist by G. Antetokounmpo),,5,0
1,10:25.0,,D. Green makes 2-pt layup from 1 ft (assist by M. Gasol),5,2
1,10:17.0,G. Antetokounmpo misses 3-pt jump shot from 26 ft,,5,2
1,10:13.0,Offensive rebound by K. Middleton,,5,2
1,10:05.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by N. Mirotić),,7,2
1,9:55.0,,Personal foul by N. Mirotić (drawn by M. Gasol),7,2
1,9:46.0,,K. Lowry makes 3-pt jump shot from 27 ft (assist by M. Gasol),7,5
1,9:33.0,B. Lopez makes 3-pt jump shot from 24 ft (assist by K. Middleton),,10,5
1,9:18.0,,M. Gasol misses 2-pt jump shot from 8 ft,10,5
1,9:16.0,Defensive rebound by E. Bledsoe,,10,5
1,9:10.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),,12,5
1,9:09.0,,Toronto full timeout,12,5
1,9:09.0,G. Hill enters the game for E. Bledsoe,,12,5
1,8:50.0,,K. Lowry makes 3-pt jump shot from 23 ft (assist by M. Gasol),12,8
1,8:38.0,Turnover by B. Lopez (step out of bounds),,12,8
1,8:32.0,,Shooting foul by B. Lopez (drawn by K. Lowry),12,8
1,8:32.0,,K. Lowry makes free throw 1 of 2,12,9
1,8:32.0,,K. Lowry makes free throw 2 of 2,12,10
1,8:08.0,G. Hill makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),,15,10
1,7:58.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by K. Lowry),15,13
1,7:49.0,Personal foul by D. Green (drawn by G. Antetokounmpo),,15,13
1,7:49.0,E. İlyasova enters the game for B. Lopez,,15,13
1,7:47.0,Turnover by N. Mirotić (bad pass; steal by D. Green),,15,13
1,7:43.0,,K. Lowry makes 2-pt layup from 1 ft (assist by D. Green),15,15
1,7:26.0,N. Mirotić makes 2-pt jump shot from 15 ft,,17,15
1,7:09.0,,K. Lowry makes 2-pt jump shot from 18 ft,17,17
1,6:56.0,K. Middleton makes 2-pt jump shot from 15 ft (assist by E. İlyasova),,19,17
1,6:34.0,,K. Lowry misses 3-pt jump shot from 26 ft,19,17
1,6:34.0,Defensive rebound by G. Antetokounmpo,,19,17
1,6:25.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,21,17
1,6:10.0,,K. Leonard makes 2-pt jump shot from 15 ft,21,19
1,5:56.0,G. Antetokounmpo misses 2-pt jump shot from 4 ft (block by K. Leonard),,21,19
1,5:51.0,Offensive rebound by G. Antetokounmpo,,21,19
1,5:46.0,G. Antetokounmpo misses 2-pt jump shot from 20 ft,,21,19
1,5:45.0,Offensive rebound by E. İlyasova,,21,19
1,5:45.0,Shooting foul by P. Siakam (drawn by E. İlyasova),,21,19
1,5:45.0,E. İlyasova makes free throw 1 of 2,,22,19
1,5:45.0,E. Bledsoe enters the game for G. Antetokounmpo,,22,19
1,5:45.0,M. Brogdon enters the game for K. Middleton,,22,19
1,5:45.0,B. Lopez enters the game for N. Mirotić,,22,19
1,5:45.0,,S. Ibaka enters the game for D. Green,22,19
1,5:45.0,,N. Powell enters the game for K. Leonard,22,19
1,5:45.0,E. İlyasova misses free throw 2 of 2,,22,19
1,5:42.0,,Defensive rebound by P. Siakam,22,19
1,5:30.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by P. Siakam),22,22
1,5:04.0,E. Bledsoe makes 2-pt jump shot from 4 ft (assist by B. Lopez),,24,22
1,4:46.0,,Shooting foul by E. İlyasova (drawn by S. Ibaka),24,22
1,4:46.0,,S. Ibaka makes free throw 1 of 2,24,23
1,4:46.0,,S. Ibaka makes free throw 2 of 2,24,24
1,4:39.0,Personal foul by N. Powell (drawn by E. Bledsoe),,24,24
1,4:25.0,E. İlyasova misses 3-pt jump shot from 26 ft,,24,24
1,4:20.0,,Defensive rebound by M. Gasol,24,24
1,4:10.0,,M. Gasol misses 3-pt jump shot from 25 ft,24,24
1,4:06.0,,Offensive rebound by P. Siakam,24,24
1,4:05.0,,Turnover by P. Siakam (bad pass; steal by E. İlyasova),24,24
1,3:59.0,E. Bledsoe misses 2-pt layup from 1 ft,,24,24
1,3:57.0,,Defensive rebound by K. Lowry,24,24
1,3:49.0,,S. Ibaka misses 2-pt hook shot from 5 ft,24,24
1,3:47.0,Defensive rebound by B. Lopez,,24,24
1,3:39.0,B. Lopez makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),,27,24
1,3:15.0,,S. Ibaka misses 3-pt jump shot from 26 ft,27,24
1,3:12.0,Defensive rebound by G. Hill,,27,24
1,3:07.0,M. Brogdon misses 3-pt jump shot from 28 ft,,27,24
1,3:04.0,,Defensive rebound by S. Ibaka,27,24
1,2:57.0,,Personal foul by M. Brogdon (drawn by K. Lowry),27,24
1,2:57.0,Milwaukee full timeout,,27,24
1,2:57.0,G. Antetokounmpo enters the game for G. Hill,,27,24
1,2:57.0,K. Middleton enters the game for E. İlyasova,,27,24
1,2:57.0,,K. Leonard enters the game for M. Gasol,27,24
1,2:57.0,,F. VanVleet enters the game for K. Lowry,27,24
1,2:49.0,,F. VanVleet makes 3-pt jump shot from 26 ft (assist by P. Siakam),27,27
1,2:24.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,27,27
1,2:22.0,,Defensive rebound by N. Powell,27,27
1,2:14.0,,K. Leonard misses 2-pt jump shot from 7 ft,27,27
1,2:12.0,,Offensive rebound by S. Ibaka,27,27
1,2:07.0,,N. Powell misses 2-pt layup from 2 ft (block by G. Antetokounmpo),27,27
1,2:07.0,,Offensive rebound by Team,27,27
1,2:07.0,P. Connaughton enters the game for E. Bledsoe,,27,27
1,2:07.0,N. Mirotić enters the game for B. Lopez,,27,27
1,2:07.0,,D. Green enters the game for P. Siakam,27,27
1,2:02.0,,K. Leonard misses 2-pt jump shot from 20 ft,27,27
1,1:59.0,Defensive rebound by G. Antetokounmpo,,27,27
1,1:57.0,Shooting foul by K. Leonard (drawn by G. Antetokounmpo),,27,27
1,1:57.0,G. Antetokounmpo misses free throw 1 of 2,,27,27
1,1:57.0,Offensive rebound by Team,,27,27
1,1:57.0,G. Antetokounmpo makes free throw 2 of 2,,28,27
1,1:43.0,,Personal foul by K. Middleton (drawn by N. Powell),28,27
1,1:43.0,,N. Powell misses free throw 1 of 2,28,27
1,1:43.0,,Offensive rebound by Team,28,27
1,1:43.0,,N. Powell makes free throw 2 of 2,28,28
1,1:28.0,Turnover by P. Connaughton (lost ball; steal by S. Ibaka),,28,28
1,1:23.0,,K. Leonard misses 3-pt jump shot from 26 ft,28,28
1,1:21.0,Defensive rebound by K. Middleton,,28,28
1,1:11.0,Def 3 sec tech foul by Team,,28,28
1,1:11.0,K. Middleton makes technical free throw,,29,28
1,1:06.0,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by P. Connaughton),,31,28
1,0:54.0,,N. Powell makes 3-pt jump shot from 27 ft (assist by S. Ibaka),31,31
1,0:40.0,M. Brogdon misses 2-pt layup from 2 ft,,31,31
1,0:39.0,,Defensive rebound by K. Leonard,31,31
1,0:33.0,,D. Green misses 3-pt jump shot from 23 ft,31,31
1,0:30.0,,Offensive rebound by K. Leonard,31,31
1,0:24.0,,Personal foul by M. Brogdon (drawn by K. Leonard),31,31
1,0:24.0,,K. Leonard makes free throw 1 of 2,31,32
1,0:24.0,G. Hill enters the game for M. Brogdon,,31,32
1,0:24.0,,K. Leonard misses free throw 2 of 2,31,32
1,0:22.0,Defensive rebound by G. Antetokounmpo,,31,32
1,0:02.0,N. Mirotić misses 3-pt jump shot from 31 ft,,31,32
1,0:02.0,Offensive rebound by Team,,31,32
2,11:43.0,Turnover by G. Antetokounmpo (bad pass; steal by K. Leonard),,31,32
2,11:27.0,,N. Powell misses 3-pt jump shot from 24 ft (block by P. Connaughton),31,32
2,11:27.0,,Offensive rebound by Team,31,32
2,11:19.0,,D. Green misses 3-pt jump shot from 25 ft,31,32
2,11:15.0,,Offensive rebound by S. Ibaka,31,32
2,11:14.0,,S. Ibaka makes 2-pt hook shot from 1 ft,31,34
2,11:02.0,G. Antetokounmpo misses 2-pt jump shot from 8 ft,,31,34
2,11:00.0,,Defensive rebound by S. Ibaka,31,34
2,10:53.0,,D. Green makes 2-pt layup from 1 ft (assist by F. VanVleet),31,36
2,10:53.0,Violation by Team (def goaltending),,31,36
2,10:31.0,G. Hill misses 3-pt jump shot from 24 ft,,31,36
2,10:29.0,,Defensive rebound by F. VanVleet,31,36
2,10:27.0,,N. Powell makes 2-pt layup from 2 ft (assist by F. VanVleet),31,38
2,10:27.0,,Shooting foul by N. Mirotić (drawn by N. Powell),31,38
2,10:27.0,,N. Powell makes free throw 1 of 1,31,39
2,10:18.0,N. Mirotić misses 3-pt jump shot from 28 ft,,31,39
2,10:15.0,,Defensive rebound by S. Ibaka,31,39
2,10:03.0,,N. Powell misses 3-pt jump shot from 23 ft,31,39
2,10:00.0,,Offensive rebound by D. Green,31,39
