QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,TORONTO_ACTION,GOLDEN STATE_SCORE,TORONTO_SCORE
1,11:46.0,,Turnover by P. Siakam (traveling),0,0
1,11:32.0,S. Curry makes 3-pt jump shot from 25 ft (assist by A. Iguodala),,3,0
1,11:16.0,,M. Gasol makes 2-pt jump shot from 6 ft (assist by K. Leonard),3,2
1,11:02.0,K. Thompson misses 2-pt jump shot from 12 ft,,3,2
1,10:59.0,,Defensive rebound by M. Gasol,3,2
1,10:54.0,,P. Siakam misses 2-pt hook shot from 4 ft,3,2
1,10:52.0,Defensive rebound by K. Thompson,,3,2
1,10:46.0,S. Curry makes 2-pt layup from 1 ft (assist by D. Green),,5,2
1,10:29.0,,Turnover by K. Leonard (lost ball; steal by K. Thompson),5,2
1,10:19.0,K. Durant makes 3-pt jump shot from 26 ft (assist by S. Curry),,8,2
1,10:02.0,,Shooting foul by K. Durant (drawn by M. Gasol),8,2
1,10:02.0,,M. Gasol makes free throw 1 of 2,8,3
1,10:02.0,,M. Gasol misses free throw 2 of 2,8,3
1,10:01.0,,Offensive rebound by K. Leonard,8,3
1,9:53.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by K. Lowry),8,6
1,9:37.0,K. Durant makes 3-pt jump shot from 25 ft (assist by K. Thompson),,11,6
1,9:28.0,,Personal foul by K. Thompson (drawn by K. Leonard),11,6
1,9:20.0,,K. Leonard misses 2-pt jump shot from 7 ft,11,6
1,9:16.0,,Offensive rebound by Team,11,6
1,9:04.0,,K. Leonard misses 2-pt layup from 3 ft (block by A. Iguodala),11,6
1,9:01.0,,Offensive rebound by K. Leonard,11,6
1,8:59.0,,K. Leonard makes 2-pt layup from 2 ft,11,8
1,8:51.0,Turnover by S. Curry (lost ball; steal by D. Green),,11,8
1,8:47.0,,Turnover by K. Leonard (lost ball; steal by D. Green),11,8
1,8:33.0,S. Curry makes 2-pt layup from 3 ft (assist by D. Green),,13,8
1,8:16.0,,D. Green makes 2-pt jump shot from 21 ft (assist by K. Leonard),13,10
1,8:00.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry),,16,10
1,7:48.0,,P. Siakam makes 2-pt layup from 1 ft,16,12
1,7:35.0,K. Thompson misses 2-pt jump shot from 11 ft (block by K. Lowry),,16,12
1,7:35.0,Offensive rebound by D. Green,,16,12
1,7:29.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by D. Green),,19,12
1,7:11.0,,Shooting foul by K. Thompson (drawn by M. Gasol),19,12
1,7:11.0,,M. Gasol makes free throw 1 of 2,19,13
1,7:11.0,Golden State full timeout,,19,13
1,7:11.0,K. Looney enters the game for A. Iguodala,,19,13
