QUARTER,TIME_REMAINING,MEMPHIS_ACTION,INDIANA_ACTION,MEMPHIS_SCORE,INDIANA_SCORE
1,11:44.0,,Turnover by T. Young (bad pass; steal by M. Conley),0,0
1,11:31.0,C. Parsons misses 3-pt jump shot from 25 ft,,0,0
1,11:28.0,,Defensive rebound by T. Young,0,0
1,11:19.0,,B. Bogdanović makes 2-pt jump shot from 8 ft,0,2
1,10:58.0,G. Temple misses 2-pt layup from 1 ft,,0,2
1,10:56.0,,Defensive rebound by M. Turner,0,2
1,10:54.0,,Offensive foul by D. Collison (drawn by C. Parsons),0,2
1,10:54.0,,Turnover by D. Collison (offensive foul),0,2
1,10:34.0,M. Gasol misses 2-pt jump shot from 15 ft,,0,2
1,10:30.0,,Defensive rebound by V. Oladipo,0,2
1,10:21.0,,T. Young misses 3-pt jump shot from 23 ft,0,2
1,10:18.0,,Offensive rebound by M. Turner,0,2
1,10:14.0,,Personal foul by C. Parsons (drawn by D. Collison),0,2
1,10:10.0,,Turnover by M. Turner (bad pass),0,2
1,9:56.0,J. Green makes 2-pt jump shot from 20 ft (assist by G. Temple),,2,2
1,9:41.0,,V. Oladipo misses 2-pt jump shot from 20 ft (block by G. Temple),2,2
1,9:40.0,,Offensive rebound by Team,2,2
1,9:35.0,,B. Bogdanović makes 2-pt jump shot from 18 ft (assist by D. Collison),2,4
1,9:13.0,G. Temple misses 3-pt jump shot from 26 ft,,2,4
1,9:09.0,,Defensive rebound by M. Turner,2,4
1,8:59.0,,B. Bogdanović makes 2-pt layup from 2 ft (assist by M. Turner),2,6
1,8:52.0,Personal foul by V. Oladipo (drawn by G. Temple),,2,6
1,8:47.0,M. Conley makes 2-pt layup from 1 ft (assist by M. Gasol),,4,6
1,8:42.0,,Personal foul by G. Temple (drawn by V. Oladipo),4,6
1,8:33.0,,Turnover by V. Oladipo (lost ball; steal by M. Gasol),4,6
1,8:26.0,M. Conley misses 2-pt jump shot from 13 ft,,4,6
1,8:24.0,,Defensive rebound by V. Oladipo,4,6
