QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,NEW ORLEANS_ACTION,CHARLOTTE_SCORE,NEW ORLEANS_SCORE
1,11:43.0,M. Bridges makes 2-pt layup from 2 ft,,2,0
1,11:25.0,,E. Payton misses 2-pt jump shot from 6 ft,2,0
1,11:22.0,Defensive rebound by M. Kidd-Gilchrist,,2,0
1,11:17.0,M. Kidd-Gilchrist misses 2-pt layup from 2 ft (block by J. Okafor),,2,0
1,11:13.0,,Defensive rebound by E. Payton,2,0
1,11:09.0,,J. Randle makes 2-pt layup from 1 ft (assist by I. Clark),2,2
1,10:53.0,D. Bacon makes 3-pt jump shot from 23 ft (assist by M. Bridges),,5,2
1,10:41.0,,Turnover by E. Payton (bad pass; steal by B. Biyombo),5,2
1,10:35.0,M. Kidd-Gilchrist misses 3-pt jump shot from 25 ft,,5,2
1,10:31.0,,Defensive rebound by J. Randle,5,2
1,10:16.0,,J. Randle makes 2-pt jump shot from 15 ft (assist by E. Payton),5,4
1,9:59.0,D. Bacon misses 3-pt jump shot from 24 ft,,5,4
1,9:56.0,,Defensive rebound by J. Okafor,5,4
1,9:45.0,,J. Randle misses 2-pt layup from 3 ft,5,4
1,9:42.0,,Offensive rebound by K. Williams,5,4
1,9:41.0,,E. Payton misses 3-pt jump shot from 26 ft,5,4
1,9:38.0,,Offensive rebound by J. Okafor,5,4
1,9:32.0,,J. Okafor makes 2-pt hook shot from 5 ft,5,6
1,9:20.0,K. Walker makes 2-pt layup from 2 ft,,7,6
1,9:06.0,,K. Williams misses 3-pt jump shot from 23 ft,7,6
1,9:03.0,Defensive rebound by M. Kidd-Gilchrist,,7,6
1,8:56.0,M. Kidd-Gilchrist misses 2-pt layup from 2 ft (block by J. Okafor),,7,6
1,8:53.0,,Defensive rebound by J. Okafor,7,6
1,8:51.0,,I. Clark misses 3-pt jump shot from 25 ft,7,6
1,8:48.0,Defensive rebound by M. Bridges,,7,6
1,8:39.0,D. Bacon misses 2-pt layup from 2 ft,,7,6
1,8:39.0,Offensive rebound by Team,,7,6
1,8:39.0,,Loose ball foul by J. Okafor (drawn by B. Biyombo),7,6
1,8:32.0,K. Walker misses 2-pt jump shot from 19 ft,,7,6
1,8:29.0,,Defensive rebound by J. Okafor,7,6
1,8:07.0,,K. Williams makes 3-pt jump shot from 23 ft (assist by E. Payton),7,9
1,7:46.0,Turnover by K. Walker (bad pass; steal by I. Clark),,7,9
1,7:42.0,,I. Clark misses 2-pt layup from 2 ft (block by D. Bacon),7,9
1,7:38.0,,Offensive rebound by K. Williams,7,9
1,7:35.0,,Turnover by K. Williams (bad pass; steal by B. Biyombo),7,9
1,7:31.0,M. Kidd-Gilchrist makes 2-pt dunk at rim (assist by K. Walker),,9,9
1,7:19.0,,J. Okafor makes 2-pt dunk from 1 ft,9,11
1,7:18.0,Charlotte full timeout,,9,11
1,7:18.0,J. Lamb enters the game for D. Bacon,,9,11
1,7:01.0,Shooting foul by K. Williams (drawn by M. Bridges),,9,11
1,7:01.0,M. Bridges makes free throw 1 of 2,,10,11
1,7:01.0,M. Bridges makes free throw 2 of 2,,11,11
1,6:54.0,,Shooting foul by M. Kidd-Gilchrist (drawn by J. Randle),11,11
1,6:54.0,,J. Randle makes free throw 1 of 2,11,12
1,6:54.0,,J. Randle makes free throw 2 of 2,11,13
1,6:42.0,M. Bridges misses 2-pt layup from 2 ft,,11,13
1,6:40.0,Offensive rebound by M. Bridges,,11,13
1,6:38.0,Turnover by M. Bridges (bad pass; steal by K. Williams),,11,13
1,6:33.0,,Turnover by J. Okafor (lost ball; steal by K. Walker),11,13
1,6:30.0,Turnover by K. Walker (bad pass),,11,13
1,6:12.0,,K. Williams misses 2-pt jump shot from 8 ft,11,13
1,6:10.0,Defensive rebound by B. Biyombo,,11,13
1,6:05.0,,Violation by Team (kicked ball),11,13
1,6:05.0,W. Hernangómez enters the game for B. Biyombo,,11,13
1,6:01.0,J. Lamb misses 2-pt layup from 1 ft,,11,13
1,5:55.0,,Defensive rebound by K. Williams,11,13
1,5:50.0,,K. Williams misses 3-pt jump shot from 29 ft,11,13
1,5:46.0,Defensive rebound by M. Kidd-Gilchrist,,11,13
1,5:42.0,K. Walker misses 3-pt jump shot from 24 ft,,11,13
1,5:33.0,Offensive rebound by M. Bridges,,11,13
1,5:33.0,M. Bridges makes 2-pt layup at rim,,13,13
1,5:26.0,,J. Randle makes 3-pt jump shot from 25 ft (assist by K. Williams),13,16
1,5:11.0,K. Walker makes 2-pt jump shot from 11 ft,,15,16
1,4:58.0,,I. Clark misses 3-pt jump shot from 26 ft,15,16
1,4:54.0,Defensive rebound by W. Hernangómez,,15,16
1,4:49.0,Personal foul by J. Okafor (drawn by K. Walker),,15,16
1,4:49.0,F. Kaminsky enters the game for M. Kidd-Gilchrist,,15,16
1,4:49.0,,C. Diallo enters the game for J. Okafor,15,16
1,4:44.0,F. Kaminsky misses 3-pt jump shot from 25 ft,,15,16
1,4:40.0,,Defensive rebound by K. Williams,15,16
1,4:30.0,,J. Randle misses 2-pt jump shot from 4 ft,15,16
1,4:28.0,Defensive rebound by W. Hernangómez,,15,16
1,4:16.0,J. Lamb misses 3-pt jump shot from 25 ft,,15,16
1,4:12.0,,Defensive rebound by J. Randle,15,16
1,4:06.0,,I. Clark misses 3-pt jump shot from 23 ft,15,16
1,4:02.0,,Offensive rebound by C. Diallo,15,16
1,3:52.0,,Turnover by E. Payton (traveling),15,16
1,3:43.0,Shooting foul by I. Clark (drawn by K. Walker),,15,16
1,3:43.0,K. Walker makes free throw 1 of 3,,16,16
1,3:43.0,K. Walker makes free throw 2 of 3,,17,16
1,3:43.0,M. Monk enters the game for M. Bridges,,17,16
1,3:43.0,,S. Hill enters the game for E. Payton,17,16
1,3:43.0,,S. Johnson enters the game for J. Randle,17,16
1,3:43.0,,C. Wood enters the game for K. Williams,17,16
1,3:43.0,K. Walker makes free throw 3 of 3,,18,16
1,3:29.0,,C. Wood makes 2-pt layup from 2 ft (assist by C. Diallo),18,18
1,3:03.0,M. Monk misses 3-pt jump shot from 23 ft,,18,18
1,3:01.0,,Defensive rebound by C. Wood,18,18
1,2:47.0,,I. Clark misses 2-pt jump shot from 7 ft,18,18
1,2:45.0,Defensive rebound by M. Monk,,18,18
1,2:38.0,W. Hernangómez misses 2-pt layup from 2 ft,,18,18
1,2:31.0,,Defensive rebound by C. Diallo,18,18
1,2:27.0,,C. Diallo misses 2-pt jump shot from 9 ft,18,18
1,2:25.0,Defensive rebound by J. Lamb,,18,18
1,2:22.0,J. Lamb misses 2-pt jump shot from 17 ft,,18,18
1,2:14.0,Offensive rebound by M. Monk,,18,18
1,2:14.0,M. Monk makes 2-pt dunk at rim,,20,18
1,2:03.0,,S. Hill makes 3-pt jump shot from 26 ft (assist by C. Diallo),20,21
1,1:50.0,Shooting foul by C. Diallo (drawn by K. Walker),,20,21
1,1:50.0,,New Orleans full timeout,20,21
1,1:50.0,,D. Bertāns enters the game for I. Clark,20,21
1,1:50.0,K. Walker makes free throw 1 of 2,,21,21
1,1:50.0,K. Walker makes free throw 2 of 2,,22,21
1,1:41.0,,D. Bertāns misses 3-pt jump shot from 27 ft,22,21
1,1:38.0,Defensive rebound by W. Hernangómez,,22,21
1,1:31.0,J. Lamb misses 2-pt layup from 3 ft,,22,21
1,1:29.0,,Defensive rebound by C. Diallo,22,21
1,1:19.0,,Turnover by C. Wood (lost ball; steal by F. Kaminsky),22,21
1,1:14.0,M. Monk makes 2-pt layup from 1 ft (assist by K. Walker),,24,21
1,0:59.0,,S. Hill misses 3-pt jump shot from 26 ft,24,21
1,0:55.0,Defensive rebound by M. Monk,,24,21
1,0:47.0,F. Kaminsky misses 3-pt jump shot from 26 ft,,24,21
1,0:43.0,,Defensive rebound by D. Bertāns,24,21
1,0:38.0,,Turnover by S. Hill (bad pass; steal by W. Hernangómez),24,21
1,0:27.0,K. Walker misses 2-pt layup from 1 ft,,24,21
1,0:25.0,,Defensive rebound by C. Wood,24,21
1,0:18.0,,S. Johnson misses 2-pt jump shot from 9 ft,24,21
