QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MEMPHIS_ACTION,SACRAMENTO_SCORE,MEMPHIS_SCORE
1,11:45.0,B. Hield makes 2-pt layup from 1 ft (assist by I. Shumpert),,2,0
1,11:19.0,,J. Jackson makes 2-pt layup from 1 ft,2,2
1,10:54.0,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by I. Shumpert),,4,2
1,10:40.0,,G. Temple misses 3-pt jump shot from 25 ft,4,2
1,10:37.0,Defensive rebound by I. Shumpert,,4,2
1,10:31.0,I. Shumpert misses 2-pt jump shot from 17 ft,,4,2
1,10:28.0,,Defensive rebound by J. Holiday,4,2
1,10:09.0,,Offensive foul by M. Gasol (drawn by I. Shumpert),4,2
1,10:09.0,,Turnover by M. Gasol (offensive foul),4,2
1,9:49.0,B. Hield misses 2-pt jump shot from 17 ft (block by J. Holiday),,4,2
1,9:46.0,,Defensive rebound by M. Conley,4,2
1,9:40.0,,M. Conley misses 2-pt layup from 1 ft,4,2
1,9:37.0,Defensive rebound by N. Bjelica,,4,2
1,9:30.0,Shooting foul by J. Jackson (drawn by N. Bjelica),,4,2
1,9:30.0,N. Bjelica misses free throw 1 of 2,,4,2
1,9:30.0,Offensive rebound by Team,,4,2
1,9:30.0,N. Bjelica misses free throw 2 of 2,,4,2
1,9:28.0,,Defensive rebound by G. Temple,4,2
1,9:09.0,,M. Gasol makes 2-pt jump shot from 10 ft (assist by M. Conley),4,4
1,8:56.0,Turnover by D. Fox (bad pass; steal by J. Holiday),,4,4
1,8:52.0,,G. Temple makes 2-pt layup from 1 ft (assist by J. Holiday),4,6
1,8:39.0,Personal foul by G. Temple (drawn by D. Fox),,4,6
1,8:29.0,N. Bjelica misses 2-pt jump shot from 7 ft,,4,6
1,8:25.0,,Defensive rebound by M. Gasol,4,6
1,8:20.0,,Personal foul by N. Bjelica (drawn by J. Jackson),4,6
1,8:07.0,,J. Jackson makes 2-pt hook shot from 8 ft,4,8
1,7:54.0,Turnover by D. Fox (lost ball; steal by G. Temple),,4,8
1,7:47.0,,J. Jackson misses 2-pt hook shot from 7 ft (block by N. Bjelica),4,8
1,7:44.0,Defensive rebound by N. Bjelica,,4,8
1,7:43.0,Personal foul by J. Jackson (drawn by I. Shumpert),,4,8
1,7:43.0,,J. Green enters the game for J. Jackson,4,8
1,7:33.0,D. Fox misses 3-pt jump shot from 25 ft,,4,8
1,7:29.0,,Defensive rebound by M. Gasol,4,8
1,7:26.0,,Personal foul by B. Hield (drawn by J. Green),4,8
1,7:20.0,,M. Conley misses 3-pt jump shot from 26 ft,4,8
1,7:16.0,Defensive rebound by B. Hield,,4,8
1,7:12.0,N. Bjelica makes 3-pt jump shot from 28 ft (assist by D. Fox),,7,8
1,6:57.0,,Turnover by J. Holiday (bad pass; steal by W. Cauley-Stein),7,8
1,6:50.0,D. Fox makes 2-pt jump shot from 20 ft (assist by W. Cauley-Stein),,9,8
1,6:50.0,,Memphis full timeout,9,8
1,6:37.0,,M. Gasol misses 2-pt jump shot from 4 ft,9,8
1,6:34.0,Defensive rebound by N. Bjelica,,9,8
1,6:28.0,Turnover by D. Fox (traveling),,9,8
1,6:16.0,,Turnover by M. Conley (lost ball; steal by W. Cauley-Stein),9,8
1,5:56.0,N. Bjelica makes 2-pt layup from 1 ft (assist by D. Fox),,11,8
1,5:56.0,Shooting foul by M. Gasol (drawn by N. Bjelica),,11,8
1,5:56.0,,O. Casspi enters the game for M. Gasol,11,8
1,5:56.0,N. Bjelica makes free throw 1 of 1,,12,8
1,5:43.0,,M. Conley misses 2-pt jump shot from 9 ft,12,8
1,5:41.0,,Offensive rebound by Team,12,8
1,5:41.0,M. Bagley enters the game for N. Bjelica,,12,8
1,5:41.0,,J. Noah enters the game for J. Holiday,12,8
1,5:33.0,,J. Noah makes 2-pt dunk at rim (assist by M. Conley),12,10
1,5:14.0,D. Fox misses 3-pt jump shot from 23 ft,,12,10
1,5:12.0,,Defensive rebound by O. Casspi,12,10
1,5:10.0,,Turnover by O. Casspi (bad pass),12,10
1,5:10.0,B. Bogdanović enters the game for I. Shumpert,,12,10
1,4:57.0,B. Hield makes 2-pt jump shot from 17 ft (assist by D. Fox),,14,10
1,4:48.0,,Personal foul by M. Bagley (drawn by J. Green),14,10
1,4:37.0,,J. Green makes 3-pt jump shot from 25 ft (assist by M. Conley),14,13
1,4:15.0,M. Bagley misses 2-pt layup from 1 ft (block by M. Conley),,14,13
1,4:14.0,,Defensive rebound by J. Noah,14,13
1,4:14.0,,Personal foul by B. Bogdanović (drawn by J. Noah),14,13
1,4:04.0,,G. Temple misses 3-pt jump shot from 26 ft,14,13
1,4:00.0,Defensive rebound by D. Fox,,14,13
1,3:54.0,Turnover by M. Bagley (traveling),,14,13
1,3:39.0,Violation by Team (kicked ball),,14,13
1,3:39.0,,S. Mack enters the game for M. Conley,14,13
1,3:25.0,,O. Casspi makes 2-pt jump shot from 9 ft (assist by S. Mack),14,15
1,3:11.0,Turnover by B. Bogdanović (lost ball; steal by J. Green),,14,15
1,3:06.0,,O. Casspi makes 2-pt dunk at rim (assist by J. Green),14,17
1,3:02.0,Sacramento full timeout,,14,17
1,3:02.0,N. Bjelica enters the game for W. Cauley-Stein,,14,17
1,2:52.0,M. Bagley misses 2-pt jump shot from 15 ft,,14,17
1,2:48.0,,Defensive rebound by O. Casspi,14,17
1,2:38.0,,O. Casspi misses 2-pt jump shot from 1 ft,14,17
1,2:35.0,Defensive rebound by N. Bjelica,,14,17
1,2:29.0,Turnover by D. Fox (bad pass; steal by O. Casspi),,14,17
1,2:24.0,,O. Casspi makes 2-pt dunk from 1 ft,14,19
1,2:03.0,M. Bagley makes 2-pt jump shot from 17 ft (assist by B. Hield),,16,19
1,1:43.0,,Shooting foul by M. Bagley (drawn by J. Green),16,19
1,1:43.0,,J. Green makes free throw 1 of 2,16,20
1,1:43.0,Y. Ferrell enters the game for D. Fox,,16,20
1,1:43.0,J. Jackson enters the game for B. Hield,,16,20
1,1:43.0,,J. Green makes free throw 2 of 2,16,21
