QUARTER,TIME_REMAINING,DALLAS_ACTION,LA CLIPPERS_ACTION,DALLAS_SCORE,LA CLIPPERS_SCORE
1,11:36.0,,M. Gortat makes 2-pt hook shot from 5 ft (assist by D. Gallinari),0,2
1,11:17.0,L. Dončić misses 2-pt jump shot from 11 ft,,0,2
1,11:11.0,Offensive rebound by L. Dončić,,0,2
1,11:11.0,L. Dončić makes 2-pt layup at rim,,2,2
1,11:01.0,,S. Gilgeous-Alexander misses 2-pt layup from 1 ft,2,2
1,10:59.0,Defensive rebound by D. Jordan,,2,2
1,10:55.0,J. Brunson misses 2-pt jump shot from 10 ft,,2,2
1,10:49.0,,Defensive rebound by S. Gilgeous-Alexander,2,2
1,10:47.0,,T. Harris misses 3-pt jump shot from 26 ft,2,2
1,10:43.0,Defensive rebound by D. Jordan,,2,2
1,10:34.0,Shooting foul by S. Gilgeous-Alexander (drawn by H. Barnes),,2,2
1,10:34.0,H. Barnes makes free throw 1 of 2,,3,2
1,10:34.0,H. Barnes misses free throw 2 of 2,,3,2
1,10:31.0,,Defensive rebound by T. Harris,3,2
1,10:20.0,,Turnover by M. Gortat (bad pass),3,2
1,10:13.0,Personal foul by M. Gortat (drawn by D. Jordan),,3,2
1,10:06.0,Turnover by J. Brunson (bad pass; steal by S. Gilgeous-Alexander),,3,2
1,9:58.0,,A. Bradley misses 3-pt jump shot from 25 ft,3,2
1,9:53.0,Defensive rebound by H. Barnes,,3,2
1,9:44.0,H. Barnes misses 2-pt jump shot from 5 ft,,3,2
1,9:42.0,Offensive rebound by D. Jordan,,3,2
1,9:35.0,Turnover by L. Dončić (out of bounds lost ball),,3,2
1,9:23.0,,Turnover by T. Harris (lost ball; steal by H. Barnes),3,2
1,9:20.0,H. Barnes makes 2-pt layup from 1 ft,,5,2
1,9:17.0,,LA Clippers full timeout,5,2
1,8:58.0,,A. Bradley makes 2-pt jump shot from 14 ft,5,4
1,8:39.0,W. Matthews misses 3-pt jump shot from 25 ft,,5,4
1,8:36.0,Offensive rebound by D. Jordan,,5,4
1,8:30.0,L. Dončić misses 2-pt jump shot from 9 ft,,5,4
1,8:28.0,,Defensive rebound by M. Gortat,5,4
1,8:20.0,,A. Bradley misses 3-pt jump shot from 23 ft,5,4
1,8:16.0,,Offensive rebound by M. Gortat,5,4
1,8:14.0,,M. Gortat misses 2-pt hook shot from 2 ft,5,4
1,8:12.0,Defensive rebound by D. Jordan,,5,4
1,8:05.0,H. Barnes makes 3-pt jump shot from 26 ft (assist by J. Brunson),,8,4
1,7:50.0,,T. Harris misses 2-pt jump shot from 13 ft,8,4
1,7:47.0,Defensive rebound by D. Jordan,,8,4
1,7:28.0,L. Dončić makes 3-pt jump shot from 27 ft (assist by H. Barnes),,11,4
1,7:13.0,,D. Gallinari makes 3-pt jump shot from 26 ft (assist by S. Gilgeous-Alexander),11,7
1,6:55.0,Shooting foul by S. Gilgeous-Alexander (drawn by J. Brunson),,11,7
1,6:55.0,J. Brunson makes free throw 1 of 2,,12,7
1,6:55.0,,P. Beverley enters the game for S. Gilgeous-Alexander,12,7
1,6:55.0,J. Brunson makes free throw 2 of 2,,13,7
1,6:38.0,,Shooting foul by D. Jordan (drawn by D. Gallinari),13,7
1,6:38.0,,D. Gallinari makes free throw 1 of 2,13,8
1,6:38.0,,D. Gallinari makes free throw 2 of 2,13,9
1,6:23.0,L. Dončić misses 2-pt jump shot from 14 ft,,13,9
1,6:18.0,,Defensive rebound by P. Beverley,13,9
1,6:05.0,,P. Beverley makes 2-pt layup from 3 ft,13,11
1,5:39.0,D. Jordan makes 2-pt dunk from 1 ft (assist by W. Matthews),,15,11
1,5:23.0,,Turnover by D. Gallinari (bad pass; steal by L. Dončić),15,11
1,5:11.0,Turnover by L. Dončić (bad pass; steal by T. Harris),,15,11
1,5:09.0,,Personal take foul by L. Dončić (drawn by T. Harris),15,11
1,5:09.0,,M. Harrell enters the game for M. Gortat,15,11
1,4:56.0,,D. Gallinari misses 2-pt layup from 3 ft,15,11
1,4:54.0,,Offensive rebound by M. Harrell,15,11
1,4:51.0,,M. Harrell misses 2-pt layup from 9 ft,15,11
1,4:51.0,,Offensive rebound by P. Beverley,15,11
1,4:51.0,,Shooting foul by W. Matthews (drawn by P. Beverley),15,11
1,4:51.0,,P. Beverley misses free throw 1 of 2,15,11
1,4:51.0,,Offensive rebound by Team,15,11
1,4:51.0,J. Barea enters the game for J. Brunson,,15,11
1,4:51.0,,P. Beverley makes free throw 2 of 2,15,12
