QUARTER,TIME_REMAINING,ORLANDO_ACTION,NEW YORK_ACTION,ORLANDO_SCORE,NEW YORK_SCORE
1,11:39.0,,F. Ntilikina misses 3-pt jump shot from 25 ft,0,0
1,11:37.0,Defensive rebound by N. Vučević,,0,0
1,11:25.0,W. Iwundu misses 3-pt jump shot from 25 ft,,0,0
1,11:23.0,,Defensive rebound by F. Ntilikina,0,0
1,11:17.0,,T. Hardaway misses 3-pt jump shot from 26 ft,0,0
1,11:15.0,Defensive rebound by E. Fournier,,0,0
1,11:01.0,N. Vučević makes 2-pt hook shot from 3 ft,,2,0
1,10:46.0,,Turnover by N. Vonleh (lost ball; steal by J. Martin),2,0
1,10:42.0,E. Fournier makes 3-pt jump shot from 25 ft (assist by W. Iwundu),,5,0
1,10:32.0,,Personal foul by E. Fournier (drawn by T. Hardaway),5,0
1,10:25.0,,T. Hardaway misses 2-pt jump shot from 20 ft,5,0
1,10:25.0,Defensive rebound by D. Augustin,,5,0
1,10:16.0,D. Augustin misses 2-pt jump shot from 17 ft (block by M. Robinson),,5,0
1,10:14.0,,Defensive rebound by M. Robinson,5,0
1,10:05.0,,F. Ntilikina misses 2-pt jump shot from 14 ft,5,0
1,10:03.0,Defensive rebound by N. Vučević,,5,0
1,9:49.0,Personal foul by M. Robinson (drawn by N. Vučević),,5,0
1,9:43.0,Personal foul by M. Robinson (drawn by E. Fournier),,5,0
1,9:43.0,,E. Freedom enters the game for M. Robinson,5,0
1,9:40.0,E. Fournier misses 3-pt jump shot from 28 ft,,5,0
1,9:38.0,,Defensive rebound by N. Vonleh,5,0
1,9:29.0,,Turnover by T. Hardaway (bad pass),5,0
1,9:15.0,Turnover by N. Vučević (traveling),,5,0
1,8:52.0,,Turnover by D. Dotson (bad pass; steal by N. Vučević),5,0
1,8:48.0,W. Iwundu misses 2-pt layup from 3 ft,,5,0
1,8:46.0,Offensive rebound by J. Martin,,5,0
1,8:43.0,J. Martin misses 2-pt layup from 3 ft,,5,0
1,8:41.0,,Defensive rebound by N. Vonleh,5,0
1,8:37.0,,F. Ntilikina misses 3-pt jump shot from 26 ft,5,0
1,8:36.0,Defensive rebound by J. Martin,,5,0
1,8:22.0,Personal foul by E. Freedom (drawn by N. Vučević),,5,0
1,8:14.0,W. Iwundu makes 3-pt jump shot from 22 ft (assist by J. Martin),,8,0
1,8:01.0,,T. Hardaway misses 2-pt jump shot from 15 ft,8,0
1,7:59.0,Defensive rebound by N. Vučević,,8,0
1,7:51.0,E. Fournier misses 2-pt layup from 1 ft (block by F. Ntilikina),,8,0
1,7:49.0,,Defensive rebound by T. Hardaway,8,0
1,7:45.0,,Offensive foul by F. Ntilikina (drawn by D. Augustin),8,0
1,7:45.0,,Turnover by F. Ntilikina (offensive foul),8,0
1,7:27.0,N. Vučević makes 2-pt hook shot from 8 ft,,10,0
1,7:22.0,,New York full timeout,10,0
1,7:22.0,,M. Hezonja enters the game for N. Vonleh,10,0
1,7:19.0,,Personal foul by J. Martin (drawn by D. Dotson),10,0
1,7:10.0,,M. Hezonja misses 2-pt hook shot from 7 ft,10,0
1,7:08.0,,Offensive rebound by E. Freedom,10,0
1,7:08.0,,E. Freedom makes 2-pt layup from 1 ft,10,2
1,6:49.0,E. Fournier makes 2-pt layup from 2 ft (assist by N. Vučević),,12,2
1,6:39.0,,Turnover by F. Ntilikina (bad pass; steal by E. Fournier),12,2
1,6:37.0,E. Fournier makes 2-pt dunk from 1 ft,,14,2
1,6:23.0,,M. Hezonja misses 3-pt jump shot from 26 ft,14,2
1,6:21.0,Defensive rebound by W. Iwundu,,14,2
1,6:15.0,Turnover by W. Iwundu (palming),,14,2
1,6:15.0,T. Ross enters the game for W. Iwundu,,14,2
1,6:15.0,,K. Knox enters the game for D. Dotson,14,2
1,6:15.0,,E. Mudiay enters the game for F. Ntilikina,14,2
1,5:59.0,,E. Freedom misses 2-pt hook shot from 10 ft,14,2
1,5:57.0,Defensive rebound by T. Ross,,14,2
1,5:45.0,D. Augustin misses 3-pt jump shot from 25 ft,,14,2
1,5:43.0,,Defensive rebound by E. Freedom,14,2
1,5:37.0,,Turnover by E. Freedom (lost ball; steal by J. Martin),14,2
1,5:21.0,T. Ross misses 3-pt jump shot from 26 ft,,14,2
1,5:19.0,,Defensive rebound by T. Hardaway,14,2
1,5:09.0,,T. Hardaway makes 2-pt jump shot from 7 ft,14,4
1,4:57.0,E. Fournier makes 2-pt layup from 2 ft (assist by D. Augustin),,16,4
1,4:47.0,,E. Mudiay misses 2-pt jump shot from 13 ft,16,4
1,4:45.0,Defensive rebound by N. Vučević,,16,4
1,4:29.0,D. Augustin makes 3-pt jump shot from 25 ft (assist by E. Fournier),,19,4
1,4:22.0,,New York full timeout,19,4
1,4:22.0,J. Simmons enters the game for E. Fournier,,19,4
1,4:22.0,,A. Trier enters the game for T. Hardaway,19,4
