QUARTER,TIME_REMAINING,NEW YORK_ACTION,WASHINGTON_ACTION,NEW YORK_SCORE,WASHINGTON_SCORE
1,11:51.0,Turnover by T. Hardaway (bad pass; steal by K. Oubre),,0,0
1,11:47.0,,B. Beal makes 2-pt layup from 2 ft (assist by K. Oubre),0,2
1,11:28.0,Shooting foul by B. Beal (drawn by T. Hardaway),,0,2
1,11:28.0,T. Hardaway misses free throw 1 of 2,,0,2
1,11:28.0,Offensive rebound by Team,,0,2
1,11:28.0,T. Hardaway makes free throw 2 of 2,,1,2
1,11:04.0,,J. Wall makes 3-pt jump shot from 25 ft,1,5
1,10:36.0,T. Hardaway makes 3-pt jump shot from 24 ft (assist by N. Vonleh),,4,5
1,10:27.0,,M. Morris makes 2-pt jump shot from 17 ft,4,7
1,10:17.0,Turnover by N. Vonleh (bad pass; steal by J. Wall),,4,7
1,10:13.0,,J. Wall makes 2-pt layup from 2 ft (assist by M. Morris),4,9
1,9:53.0,D. Dotson misses 3-pt jump shot from 26 ft,,4,9
1,9:51.0,,Defensive rebound by M. Morris,4,9
1,9:47.0,,M. Morris misses 3-pt jump shot from 26 ft,4,9
1,9:45.0,,Offensive rebound by Team,4,9
1,9:45.0,Loose ball foul by N. Vonleh (drawn by D. Howard),,4,9
1,9:42.0,,D. Howard misses 2-pt jump shot from 19 ft (block by M. Robinson),4,9
1,9:40.0,Defensive rebound by M. Robinson,,4,9
1,9:39.0,Shooting foul by D. Howard (drawn by M. Robinson),,4,9
1,9:39.0,M. Robinson makes free throw 1 of 2,,5,9
1,9:39.0,M. Robinson makes free throw 2 of 2,,6,9
1,9:33.0,,B. Beal makes 2-pt layup from 2 ft,6,11
1,9:20.0,Turnover by F. Ntilikina (lost ball; steal by J. Wall),,6,11
1,9:15.0,,J. Wall misses 2-pt jump shot from 18 ft,6,11
1,9:10.0,Defensive rebound by N. Vonleh,,6,11
1,8:50.0,D. Dotson misses 3-pt jump shot from 29 ft,,6,11
1,8:48.0,,Defensive rebound by K. Oubre,6,11
1,8:44.0,,Shooting foul by N. Vonleh (drawn by K. Oubre),6,11
1,8:44.0,L. Thomas enters the game for N. Vonleh,,6,11
1,8:44.0,,K. Oubre makes free throw 1 of 2,6,12
1,8:44.0,,K. Oubre misses free throw 2 of 2,6,12
1,8:42.0,Defensive rebound by T. Hardaway,,6,12
1,8:27.0,T. Hardaway misses 2-pt jump shot from 16 ft,,6,12
1,8:24.0,Offensive rebound by M. Robinson,,6,12
1,8:23.0,M. Robinson misses 2-pt layup at rim,,6,12
1,8:21.0,,Defensive rebound by M. Morris,6,12
1,8:16.0,,B. Beal misses 3-pt jump shot from 25 ft,6,12
1,8:13.0,Defensive rebound by D. Dotson,,6,12
1,8:06.0,New York full timeout,,6,12
1,8:00.0,T. Hardaway misses 2-pt jump shot from 17 ft,,6,12
1,7:56.0,,Defensive rebound by K. Oubre,6,12
1,7:36.0,,J. Wall misses 3-pt jump shot from 24 ft,6,12
1,7:32.0,Defensive rebound by M. Robinson,,6,12
1,7:23.0,D. Dotson makes 2-pt layup from 2 ft (assist by F. Ntilikina),,8,12
1,7:12.0,,M. Morris misses 3-pt jump shot from 26 ft,8,12
1,7:09.0,Defensive rebound by F. Ntilikina,,8,12
1,7:05.0,Turnover by F. Ntilikina (bad pass; steal by J. Wall),,8,12
1,7:00.0,,B. Beal misses 2-pt jump shot from 4 ft (block by L. Thomas),8,12
1,7:00.0,,Offensive rebound by B. Beal,8,12
1,6:47.0,,K. Oubre misses 2-pt jump shot from 12 ft (block by F. Ntilikina),8,12
1,6:43.0,Defensive rebound by D. Dotson,,8,12
1,6:40.0,T. Hardaway misses 3-pt jump shot from 28 ft,,8,12
1,6:37.0,Offensive rebound by D. Dotson,,8,12
1,6:36.0,D. Dotson misses 2-pt jump shot from 17 ft,,8,12
1,6:36.0,,Defensive rebound by B. Beal,8,12
1,6:26.0,,D. Howard makes 2-pt layup from 2 ft (assist by M. Morris),8,14
1,6:08.0,L. Thomas misses 2-pt jump shot from 11 ft,,8,14
1,6:06.0,,Defensive rebound by D. Howard,8,14
1,5:59.0,,B. Beal misses 3-pt jump shot from 23 ft,8,14
1,5:55.0,Defensive rebound by L. Thomas,,8,14
1,5:51.0,F. Ntilikina misses 3-pt jump shot from 27 ft,,8,14
1,5:47.0,,Defensive rebound by B. Beal,8,14
1,5:44.0,,K. Oubre makes 2-pt dunk from 1 ft (assist by J. Wall),8,16
1,5:27.0,L. Thomas makes 2-pt jump shot from 17 ft (assist by T. Hardaway),,10,16
1,5:09.0,,M. Morris misses 3-pt jump shot from 25 ft,10,16
1,5:06.0,Defensive rebound by T. Hardaway,,10,16
1,5:03.0,T. Hardaway misses 2-pt layup from 3 ft (block by B. Beal),,10,16
1,5:00.0,,Defensive rebound by M. Morris,10,16
1,4:54.0,,Turnover by B. Beal (out of bounds lost ball),10,16
1,4:54.0,E. Freedom enters the game for T. Hardaway,,10,16
1,4:54.0,E. Mudiay enters the game for F. Ntilikina,,10,16
1,4:54.0,A. Trier enters the game for M. Robinson,,10,16
1,4:54.0,,J. Green enters the game for M. Morris,10,16
1,4:54.0,New York full timeout,,10,16
1,4:35.0,E. Freedom makes 2-pt layup from 1 ft (assist by D. Dotson),,12,16
1,4:20.0,,Personal foul by A. Trier (drawn by D. Howard),12,16
1,4:20.0,,T. Satoranský enters the game for K. Oubre,12,16
1,4:14.0,,D. Howard misses 2-pt hook shot from 8 ft,12,16
1,4:12.0,Defensive rebound by L. Thomas,,12,16
1,3:59.0,E. Freedom misses 2-pt hook shot from 7 ft,,12,16
1,3:59.0,,Defensive rebound by Team,12,16
1,3:42.0,,J. Green misses 3-pt jump shot from 23 ft,12,16
1,3:39.0,,Offensive rebound by D. Howard,12,16
1,3:39.0,,D. Howard misses 2-pt layup from 1 ft,12,16
1,3:39.0,,Offensive rebound by Team,12,16
1,3:39.0,Loose ball foul by L. Thomas (drawn by D. Howard),,12,16
1,3:26.0,,T. Satoranský misses 2-pt jump shot from 11 ft,12,16
1,3:24.0,,Offensive rebound by J. Green,12,16
1,3:22.0,,J. Green misses 2-pt layup from 5 ft,12,16
1,3:21.0,,Offensive rebound by D. Howard,12,16
1,3:21.0,,D. Howard makes 2-pt layup from 2 ft,12,18
1,2:57.0,L. Thomas misses 3-pt jump shot from 26 ft,,12,18
1,2:54.0,Offensive rebound by Team,,12,18
1,2:54.0,M. Hezonja enters the game for D. Dotson,,12,18
1,2:54.0,,A. Rivers enters the game for B. Beal,12,18
1,2:41.0,L. Thomas misses 3-pt jump shot from 26 ft,,12,18
1,2:38.0,,Defensive rebound by A. Rivers,12,18
1,2:35.0,,J. Wall misses 3-pt jump shot from 28 ft,12,18
1,2:31.0,Defensive rebound by E. Freedom,,12,18
1,2:20.0,E. Freedom misses 2-pt layup from 3 ft (block by D. Howard),,12,18
1,2:18.0,Offensive rebound by E. Mudiay,,12,18
1,2:16.0,E. Mudiay misses 2-pt jump shot from 10 ft,,12,18
1,2:14.0,,Defensive rebound by T. Satoranský,12,18
1,2:06.0,,J. Wall misses 2-pt layup from 2 ft,12,18
1,2:05.0,Defensive rebound by L. Thomas,,12,18
1,2:00.0,L. Thomas makes 3-pt jump shot from 27 ft (assist by E. Mudiay),,15,18
1,1:41.0,,J. Green misses 3-pt jump shot from 26 ft,15,18
1,1:37.0,Defensive rebound by E. Freedom,,15,18
1,1:24.0,L. Thomas misses 2-pt jump shot from 19 ft,,15,18
1,1:21.0,,Defensive rebound by D. Howard,15,18
1,1:10.0,,J. Wall makes 2-pt layup from 1 ft,15,20
1,0:57.0,Offensive foul by A. Trier (drawn by J. Wall),,15,20
1,0:57.0,Turnover by A. Trier (offensive foul),,15,20
1,0:57.0,T. Burke enters the game for L. Thomas,,15,20
1,0:45.0,,J. Green makes 2-pt layup from 1 ft (assist by A. Rivers),15,22
1,0:32.0,E. Mudiay misses 2-pt jump shot from 13 ft,,15,22
1,0:30.0,,Defensive rebound by Team,15,22
1,0:06.0,,J. Green makes 2-pt jump shot from 19 ft (assist by J. Wall),15,24
1,0:00.0,A. Trier makes 2-pt layup from 2 ft,,17,24
2,11:40.0,,Shooting foul by E. Freedom (drawn by J. Green),17,24
2,11:40.0,,J. Green makes free throw 1 of 2,17,25
2,11:40.0,,J. Green makes free throw 2 of 2,17,26
2,11:35.0,Personal foul by K. Oubre (drawn by T. Burke),,17,26
2,11:27.0,Offensive foul by A. Trier (drawn by A. Rivers),,17,26
2,11:27.0,Turnover by A. Trier (offensive foul),,17,26
2,11:17.0,,Turnover by A. Rivers (out of bounds lost ball),17,26
2,11:14.0,Offensive foul by E. Mudiay (drawn by K. Oubre),,17,26
2,11:14.0,Turnover by E. Mudiay (offensive foul),,17,26
2,11:14.0,D. Dotson enters the game for A. Trier,,17,26
2,11:05.0,,K. Oubre misses 2-pt hook shot from 4 ft,17,26
2,11:04.0,Defensive rebound by E. Freedom,,17,26
2,10:54.0,T. Burke misses 2-pt layup from 4 ft,,17,26
2,10:53.0,Offensive rebound by E. Freedom,,17,26
2,10:53.0,E. Freedom misses 2-pt layup at rim,,17,26
2,10:53.0,Offensive rebound by T. Burke,,17,26
2,10:53.0,Turnover by T. Burke (step out of bounds),,17,26
2,10:41.0,,A. Rivers makes 3-pt jump shot from 26 ft (assist by T. Satoranský),17,29
2,10:35.0,New York full timeout,,17,29
2,10:24.0,M. Hezonja misses 3-pt jump shot from 26 ft (block by K. Oubre),,17,29
2,10:23.0,Offensive rebound by E. Freedom,,17,29
2,10:23.0,T. Burke makes 3-pt jump shot from 26 ft (assist by E. Mudiay),,20,29
2,9:56.0,,Shooting foul by M. Hezonja (drawn by M. Morris),20,29
2,9:56.0,,M. Morris makes free throw 1 of 2,20,30
2,9:56.0,,M. Morris makes free throw 2 of 2,20,31
2,9:45.0,T. Burke misses 3-pt jump shot from 27 ft,,20,31
2,9:45.0,Offensive rebound by E. Freedom,,20,31
2,9:43.0,E. Freedom misses 2-pt layup from 2 ft,,20,31
2,9:43.0,,Defensive rebound by J. Green,20,31
2,9:34.0,,J. Green misses 2-pt layup from 2 ft,20,31
2,9:32.0,,Offensive rebound by J. Green,20,31
2,9:31.0,,J. Green misses 2-pt layup from 2 ft,20,31
2,9:30.0,Defensive rebound by E. Freedom,,20,31
2,9:26.0,M. Hezonja makes 2-pt layup from 6 ft (assist by T. Burke),,22,31
2,9:20.0,,Shooting foul by D. Dotson (drawn by A. Rivers),22,31
2,9:20.0,,A. Rivers misses free throw 1 of 2,22,31
2,9:20.0,,Offensive rebound by Team,22,31
2,9:20.0,,A. Rivers makes free throw 2 of 2,22,32
2,9:02.0,Turnover by D. Dotson (bad pass; steal by A. Rivers),,22,32
2,8:58.0,,K. Oubre makes 2-pt dunk from 2 ft (assist by A. Rivers),22,34
2,8:42.0,E. Freedom makes 2-pt layup from 2 ft (assist by T. Burke),,24,34
2,8:25.0,,Turnover by J. Green (bad pass; steal by M. Hezonja),24,34
