QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,UTAH_ACTION,OKLAHOMA CITY_SCORE,UTAH_SCORE
1,11:43.0,,R. Gobert misses 2-pt layup from 1 ft,0,0
1,11:41.0,Defensive rebound by S. Adams,,0,0
1,11:37.0,P. George misses 3-pt jump shot from 26 ft,,0,0
1,11:34.0,,Defensive rebound by R. O'Neale,0,0
1,11:27.0,,D. Mitchell makes 2-pt layup from 2 ft,0,2
1,11:13.0,Turnover by P. George (bad pass; steal by D. Favors),,0,2
1,11:03.0,,R. O'Neale misses 2-pt dunk from 2 ft,0,2
1,11:03.0,Defensive rebound by Team,,0,2
1,11:00.0,Personal foul by R. O'Neale (drawn by R. Westbrook),,0,2
1,10:48.0,J. Grant makes 2-pt jump shot from 21 ft (assist by R. Westbrook),,2,2
1,10:22.0,,J. Ingles misses 3-pt jump shot from 26 ft,2,2
1,10:18.0,Defensive rebound by R. Westbrook,,2,2
1,10:05.0,J. Grant misses 2-pt hook shot from 8 ft,,2,2
1,10:00.0,Offensive rebound by Team,,2,2
1,9:55.0,R. Westbrook makes 2-pt jump shot from 19 ft,,4,2
1,9:40.0,,Turnover by D. Mitchell (traveling),4,2
1,9:29.0,T. Ferguson misses 3-pt jump shot from 23 ft,,4,2
1,9:26.0,,Defensive rebound by J. Ingles,4,2
1,9:11.0,,Turnover by J. Ingles (bad pass; steal by S. Adams),4,2
1,9:08.0,Turnover by S. Adams (bad pass),,4,2
1,8:49.0,,D. Favors misses 3-pt jump shot from 24 ft,4,2
1,8:46.0,Defensive rebound by R. Westbrook,,4,2
1,8:41.0,R. Westbrook misses 2-pt jump shot from 18 ft,,4,2
1,8:38.0,,Defensive rebound by R. O'Neale,4,2
1,8:29.0,,R. Gobert makes 2-pt dunk from 15 ft (assist by D. Mitchell),4,4
1,8:21.0,Personal foul by R. Gobert (drawn by S. Adams),,4,4
1,8:14.0,Def 3 sec tech foul by Team,,4,4
1,8:14.0,P. George makes technical free throw,,5,4
1,8:09.0,P. George misses 2-pt layup from 2 ft,,5,4
1,8:08.0,,Defensive rebound by D. Favors,5,4
1,7:59.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by J. Ingles),5,6
1,7:36.0,S. Adams makes 2-pt hook shot from 3 ft,,7,6
1,7:13.0,,D. Mitchell misses 2-pt jump shot from 9 ft,7,6
1,7:12.0,Defensive rebound by J. Grant,,7,6
1,7:05.0,R. Westbrook misses 2-pt jump shot from 10 ft,,7,6
1,7:03.0,,Defensive rebound by D. Mitchell,7,6
1,6:54.0,,Personal foul by T. Ferguson (drawn by D. Mitchell),7,6
1,6:54.0,,Utah full timeout,7,6
1,6:54.0,,J. Crowder enters the game for D. Favors,7,6
1,6:54.0,,K. Korver enters the game for R. O'Neale,7,6
1,6:42.0,,J. Crowder misses 3-pt jump shot from 25 ft,7,6
1,6:39.0,Defensive rebound by J. Grant,,7,6
1,6:28.0,T. Ferguson misses 3-pt jump shot from 24 ft,,7,6
1,6:25.0,,Defensive rebound by R. Gobert,7,6
1,6:18.0,,D. Mitchell makes 2-pt layup from 2 ft,7,8
1,6:08.0,Shooting foul by J. Ingles (drawn by P. George),,7,8
1,6:08.0,P. George makes free throw 1 of 2,,8,8
1,6:08.0,P. George makes free throw 2 of 2,,9,8
1,6:01.0,,K. Korver misses 3-pt jump shot from 26 ft,9,8
1,5:58.0,Defensive rebound by J. Grant,,9,8
1,5:54.0,S. Adams makes 2-pt dunk from 2 ft (assist by R. Westbrook),,11,8
1,5:39.0,,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Ingles),11,10
1,5:39.0,,Shooting foul by J. Grant (drawn by R. Gobert),11,10
1,5:39.0,D. Schröder enters the game for P. George,,11,10
1,5:39.0,,R. O'Neale enters the game for J. Ingles,11,10
1,5:39.0,,R. Gobert makes free throw 1 of 1,11,11
1,5:29.0,,Defensive rebound by D. Mitchell,11,11
1,5:29.0,J. Grant misses 2-pt jump shot from 12 ft (block by D. Mitchell),,11,11
1,5:19.0,,K. Korver misses 2-pt jump shot from 21 ft,11,11
1,5:14.0,Defensive rebound by S. Adams,,11,11
1,5:09.0,S. Adams makes 2-pt hook shot from 2 ft (assist by R. Westbrook),,13,11
1,4:52.0,,D. Mitchell misses 2-pt jump shot from 14 ft,13,11
1,4:49.0,Defensive rebound by T. Ferguson,,13,11
1,4:27.0,D. Schröder misses 2-pt jump shot from 13 ft (block by R. Gobert),,13,11
1,4:24.0,Offensive rebound by J. Grant,,13,11
1,4:24.0,J. Grant makes 3-pt jump shot from 25 ft,,16,11
1,4:14.0,,K. Korver misses 3-pt jump shot from 25 ft,16,11
1,4:11.0,Defensive rebound by T. Ferguson,,16,11
1,4:11.0,Turnover by T. Ferguson (step out of bounds),,16,11
1,4:06.0,,J. Crowder misses 3-pt jump shot from 25 ft,16,11
1,4:02.0,Defensive rebound by D. Schröder,,16,11
1,3:56.0,D. Schröder makes 2-pt jump shot from 16 ft,,18,11
1,3:40.0,,D. Mitchell misses 3-pt jump shot from 25 ft,18,11
1,3:37.0,Defensive rebound by D. Schröder,,18,11
1,3:28.0,T. Ferguson makes 2-pt dunk from 2 ft (assist by D. Schröder),,20,11
