QUARTER,TIME_REMAINING,PHOENIX_ACTION,LA CLIPPERS_ACTION,PHOENIX_SCORE,LA CLIPPERS_SCORE
1,11:40.0,,L. Shamet makes 2-pt layup from 2 ft (assist by D. Gallinari),0,2
1,11:21.0,D. Ayton makes 2-pt hook shot from 3 ft (assist by D. Booker),,2,2
1,11:05.0,,D. Gallinari makes 2-pt layup from 3 ft,2,4
1,10:44.0,J. Jackson makes 2-pt jump shot from 3 ft (assist by M. Bridges),,4,4
1,10:34.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 15 ft,4,4
1,10:31.0,Defensive rebound by D. Booker,,4,4
1,10:20.0,J. Jackson makes 2-pt hook shot from 3 ft (assist by M. Bridges),,6,4
1,10:05.0,,Turnover by P. Beverley (bad pass; steal by T. Johnson),6,4
1,9:58.0,M. Bridges misses 3-pt jump shot from 26 ft,,6,4
1,9:54.0,,Defensive rebound by I. Zubac,6,4
1,9:47.0,,D. Gallinari misses 3-pt jump shot from 26 ft,6,4
1,9:43.0,Defensive rebound by D. Booker,,6,4
1,9:37.0,Shooting foul by S. Gilgeous-Alexander (drawn by D. Ayton),,6,4
1,9:37.0,D. Ayton makes free throw 1 of 2,,7,4
1,9:37.0,D. Ayton misses free throw 2 of 2,,7,4
1,9:35.0,,Defensive rebound by I. Zubac,7,4
1,9:22.0,,I. Zubac makes 2-pt hook shot from 1 ft (assist by D. Gallinari),7,6
1,8:59.0,Turnover by J. Jackson (bad pass; steal by P. Beverley),,7,6
1,8:47.0,,L. Shamet makes 3-pt jump shot from 26 ft (assist by S. Gilgeous-Alexander),7,9
1,8:30.0,T. Johnson misses 2-pt jump shot from 8 ft,,7,9
1,8:27.0,,Defensive rebound by I. Zubac,7,9
1,8:20.0,,D. Gallinari misses 2-pt layup from 3 ft,7,9
1,8:18.0,Defensive rebound by D. Ayton,,7,9
1,8:10.0,J. Jackson misses 3-pt jump shot from 23 ft,,7,9
1,8:06.0,,Defensive rebound by P. Beverley,7,9
1,7:53.0,,Personal foul by J. Jackson (drawn by D. Gallinari),7,9
1,7:40.0,,S. Gilgeous-Alexander makes 2-pt layup from 1 ft (assist by L. Shamet),7,11
1,7:18.0,Turnover by J. Jackson (lost ball; steal by L. Shamet),,7,11
1,7:14.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,7,13
1,7:14.0,Phoenix full timeout,,7,13
1,6:50.0,D. Booker misses 2-pt jump shot from 11 ft,,7,13
1,6:48.0,,Defensive rebound by D. Gallinari,7,13
1,6:39.0,,I. Zubac misses 2-pt dunk from 1 ft,7,13
1,6:35.0,,Offensive rebound by S. Gilgeous-Alexander,7,13
1,6:34.0,,P. Beverley misses 3-pt jump shot from 23 ft,7,13
1,6:34.0,Defensive rebound by D. Booker,,7,13
1,6:20.0,D. Ayton makes 2-pt hook shot from 10 ft,,9,13
1,5:56.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 25 ft,9,13
1,5:52.0,Defensive rebound by D. Ayton,,9,13
1,5:42.0,D. Ayton misses 2-pt hook shot from 6 ft,,9,13
1,5:39.0,,Defensive rebound by S. Gilgeous-Alexander,9,13
1,5:33.0,,Shooting foul by T. Johnson (drawn by I. Zubac),9,13
1,5:33.0,,I. Zubac makes free throw 1 of 2,9,14
1,5:33.0,K. Oubre enters the game for M. Bridges,,9,14
1,5:33.0,,J. Green enters the game for D. Gallinari,9,14
1,5:33.0,,I. Zubac makes free throw 2 of 2,9,15
1,5:21.0,D. Ayton makes 2-pt jump shot from 15 ft (assist by D. Booker),,11,15
1,4:55.0,,Shooting foul by D. Ayton (drawn by I. Zubac),11,15
1,4:55.0,,I. Zubac makes free throw 1 of 2,11,16
1,4:55.0,,I. Zubac makes free throw 2 of 2,11,17
1,4:44.0,D. Booker misses 3-pt jump shot from 27 ft,,11,17
1,4:40.0,,Defensive rebound by L. Shamet,11,17
1,4:19.0,,L. Shamet misses 2-pt jump shot from 14 ft,11,17
1,4:15.0,Defensive rebound by D. Ayton,,11,17
1,4:06.0,K. Oubre makes 2-pt layup from 2 ft,,13,17
1,4:01.0,,LA Clippers full timeout,13,17
1,4:01.0,R. Holmes enters the game for D. Ayton,,13,17
1,4:01.0,E. Okobo enters the game for T. Johnson,,13,17
1,4:01.0,,M. Harrell enters the game for S. Gilgeous-Alexander,13,17
1,4:01.0,,L. Williams enters the game for I. Zubac,13,17
1,3:49.0,,L. Shamet misses 3-pt jump shot from 26 ft,13,17
1,3:48.0,Defensive rebound by R. Holmes,,13,17
1,3:48.0,Personal foul by L. Williams (drawn by D. Booker),,13,17
1,3:48.0,,G. Temple enters the game for L. Shamet,13,17
1,3:37.0,J. Jackson makes 2-pt jump shot from 5 ft (assist by K. Oubre),,15,17
1,3:25.0,,L. Williams makes 2-pt jump shot from 4 ft (assist by M. Harrell),15,19
1,3:11.0,Turnover by J. Jackson (bad pass; steal by P. Beverley),,15,19
1,2:52.0,,M. Harrell makes 2-pt layup from 3 ft (assist by L. Williams),15,21
1,2:35.0,Personal foul by G. Temple (drawn by R. Holmes),,15,21
1,2:28.0,R. Holmes misses 2-pt layup from 2 ft (block by G. Temple),,15,21
1,2:26.0,Offensive rebound by Team,,15,21
1,2:20.0,D. Booker misses 2-pt jump shot from 6 ft (block by P. Beverley),,15,21
1,2:19.0,,Defensive rebound by J. Green,15,21
1,2:19.0,,Personal foul by D. Booker (drawn by P. Beverley),15,21
1,2:19.0,M. Bridges enters the game for D. Booker,,15,21
1,2:19.0,J. Crawford enters the game for J. Jackson,,15,21
1,2:19.0,,T. Wallace enters the game for P. Beverley,15,21
1,2:13.0,,L. Williams makes 2-pt jump shot from 19 ft (assist by M. Harrell),15,23
1,1:55.0,Turnover by K. Oubre (lost ball; steal by T. Wallace),,15,23
1,1:52.0,,T. Wallace makes 2-pt layup from 2 ft (assist by L. Williams),15,25
1,1:52.0,Phoenix full timeout,,15,25
1,1:30.0,R. Holmes misses 2-pt jump shot from 8 ft,,15,25
1,1:27.0,,Defensive rebound by M. Harrell,15,25
1,1:19.0,,L. Williams makes 2-pt jump shot from 3 ft,15,27
1,1:00.0,J. Crawford makes 3-pt jump shot from 26 ft (assist by K. Oubre),,18,27
1,0:42.0,,T. Wallace misses 2-pt layup from 3 ft,18,27
1,0:42.0,Defensive rebound by M. Bridges,,18,27
1,0:38.0,Shooting foul by J. Green (drawn by M. Bridges),,18,27
1,0:38.0,M. Bridges misses free throw 1 of 2,,18,27
1,0:38.0,Offensive rebound by Team,,18,27
1,0:38.0,M. Bridges makes free throw 2 of 2,,19,27
1,0:29.0,,L. Williams makes 3-pt jump shot from 28 ft,19,30
1,0:12.0,J. Crawford makes 3-pt jump shot from 27 ft,,22,30
1,0:07.0,,Personal foul by M. Bridges (drawn by L. Williams),22,30
1,0:07.0,,L. Williams makes free throw 1 of 2,22,31
1,0:07.0,D. Booker enters the game for E. Okobo,,22,31
1,0:07.0,,P. Beverley enters the game for T. Wallace,22,31
1,0:07.0,,L. Williams makes free throw 2 of 2,22,32
1,0:00.0,D. Booker misses 3-pt jump shot from 25 ft,,22,32
1,0:00.0,Offensive rebound by Team,,22,32
2,11:45.0,K. Oubre makes 2-pt dunk from 2 ft,,24,32
2,11:45.0,Shooting foul by G. Temple (drawn by K. Oubre),,24,32
2,11:45.0,K. Oubre makes free throw 1 of 1,,25,32
2,11:32.0,,M. Harrell makes 2-pt jump shot from 2 ft (assist by L. Williams),25,34
2,11:10.0,J. Crawford misses 3-pt jump shot from 27 ft,,25,34
2,11:06.0,Offensive rebound by M. Bridges,,25,34
2,11:05.0,M. Bridges misses 2-pt layup at rim (block by J. Green),,25,34
2,11:01.0,,Defensive rebound by L. Williams,25,34
2,10:59.0,,Turnover by L. Williams (bad pass; steal by J. Crawford),25,34
2,10:55.0,M. Bridges makes 2-pt layup from 1 ft (assist by J. Crawford),,27,34
2,10:47.0,,M. Harrell makes 2-pt dunk from 3 ft (assist by L. Williams),27,36
2,10:33.0,K. Oubre misses 3-pt jump shot from 26 ft,,27,36
2,10:29.0,,Defensive rebound by M. Harrell,27,36
2,10:11.0,,M. Harrell misses 2-pt layup from 2 ft,27,36
2,10:09.0,Defensive rebound by J. Crawford,,27,36
2,10:04.0,R. Holmes misses 2-pt hook shot from 8 ft,,27,36
2,10:00.0,,Defensive rebound by J. Green,27,36
2,9:54.0,,L. Williams makes 3-pt jump shot from 26 ft,27,39
2,9:41.0,Personal foul by T. Wallace (drawn by J. Crawford),,27,39
