QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MEMPHIS_ACTION,WASHINGTON_SCORE,MEMPHIS_SCORE
1,11:38.0,,G. Temple misses 3-pt jump shot from 26 ft,0,0
1,11:33.0,,Offensive rebound by K. Anderson,0,0
1,11:21.0,,M. Conley misses 2-pt jump shot from 19 ft,0,0
1,11:16.0,Defensive rebound by J. Wall,,0,0
1,11:04.0,J. Green misses 2-pt jump shot from 13 ft,,0,0
1,11:01.0,,Defensive rebound by K. Anderson,0,0
1,10:52.0,,J. Jackson misses 2-pt hook shot from 12 ft,0,0
1,10:49.0,Defensive rebound by I. Mahinmi,,0,0
1,10:44.0,Shooting foul by J. Jackson (drawn by B. Beal),,0,0
1,10:44.0,B. Beal makes free throw 1 of 2,,1,0
1,10:44.0,B. Beal makes free throw 2 of 2,,2,0
1,10:30.0,,G. Temple misses 2-pt layup from 4 ft (block by B. Beal),2,0
1,10:30.0,,Offensive rebound by G. Temple,2,0
1,10:30.0,,Turnover by G. Temple (bad pass; steal by J. Wall),2,0
1,10:23.0,O. Porter makes 3-pt jump shot from 23 ft (assist by B. Beal),,5,0
1,10:05.0,,G. Temple makes 3-pt jump shot from 25 ft (assist by K. Anderson),5,3
1,9:48.0,B. Beal makes 2-pt layup from 1 ft (assist by J. Wall),,7,3
1,9:27.0,,G. Temple misses 2-pt layup from 2 ft,7,3
1,9:23.0,Defensive rebound by J. Green,,7,3
1,9:12.0,Personal foul by K. Anderson (drawn by I. Mahinmi),,7,3
1,9:06.0,O. Porter misses 3-pt jump shot from 24 ft,,7,3
1,9:02.0,,Defensive rebound by M. Conley,7,3
1,8:55.0,,Shooting foul by O. Porter (drawn by M. Conley),7,3
1,8:55.0,,M. Conley misses free throw 1 of 2,7,3
1,8:55.0,,Offensive rebound by Team,7,3
1,8:55.0,,M. Conley misses free throw 2 of 2,7,3
1,8:53.0,Defensive rebound by I. Mahinmi,,7,3
1,8:38.0,Turnover by B. Beal (bad pass; steal by M. Gasol),,7,3
1,8:33.0,,Turnover by K. Anderson (lost ball; steal by J. Wall),7,3
1,8:28.0,B. Beal misses 3-pt jump shot from 24 ft,,7,3
1,8:23.0,,Defensive rebound by K. Anderson,7,3
1,8:18.0,,Offensive foul by J. Jackson (drawn by J. Green),7,3
1,8:18.0,,Turnover by J. Jackson (offensive foul),7,3
1,8:18.0,,W. Selden enters the game for J. Jackson,7,3
1,8:06.0,O. Porter misses 2-pt jump shot from 18 ft,,7,3
1,8:00.0,,Defensive rebound by G. Temple,7,3
1,7:45.0,,M. Gasol misses 2-pt jump shot from 15 ft,7,3
1,7:43.0,Defensive rebound by O. Porter,,7,3
1,7:37.0,I. Mahinmi makes 2-pt layup from 1 ft (assist by O. Porter),,9,3
1,7:37.0,,Memphis full timeout,9,3
1,7:37.0,,D. Brooks enters the game for K. Anderson,9,3
1,7:22.0,,D. Brooks makes 2-pt layup from 1 ft (assist by M. Gasol),9,5
1,7:01.0,I. Mahinmi misses 2-pt layup from 2 ft,,9,5
1,6:59.0,,Defensive rebound by D. Brooks,9,5
1,6:54.0,,G. Temple makes 3-pt jump shot from 26 ft (assist by D. Brooks),9,8
1,6:36.0,B. Beal makes 3-pt jump shot from 23 ft (assist by J. Wall),,12,8
1,6:18.0,,D. Brooks misses 2-pt layup from 2 ft,12,8
1,6:15.0,Defensive rebound by J. Green,,12,8
1,6:02.0,J. Wall makes 2-pt jump shot from 15 ft,,14,8
1,5:45.0,,W. Selden makes 3-pt jump shot from 25 ft (assist by D. Brooks),14,11
1,5:32.0,Turnover by J. Wall (bad pass; steal by M. Conley),,14,11
1,5:23.0,,W. Selden misses 2-pt jump shot from 8 ft,14,11
1,5:20.0,Defensive rebound by J. Green,,14,11
1,5:12.0,J. Wall makes 2-pt layup from 2 ft,,16,11
1,4:48.0,,M. Conley misses 2-pt layup from 2 ft (block by J. Green),16,11
1,4:48.0,,Offensive rebound by Team,16,11
1,4:48.0,,O. Casspi enters the game for M. Conley,16,11
1,4:48.0,,S. Mack enters the game for G. Temple,16,11
1,4:44.0,,W. Selden misses 3-pt jump shot from 26 ft,16,11
1,4:42.0,Defensive rebound by I. Mahinmi,,16,11
1,4:32.0,J. Wall misses 3-pt jump shot from 26 ft,,16,11
1,4:29.0,,Defensive rebound by O. Casspi,16,11
1,4:26.0,,S. Mack misses 3-pt jump shot from 24 ft,16,11
1,4:22.0,Defensive rebound by I. Mahinmi,,16,11
1,4:15.0,O. Porter misses 2-pt jump shot from 19 ft,,16,11
1,4:12.0,,Defensive rebound by M. Gasol,16,11
1,4:09.0,,W. Selden misses 3-pt jump shot from 25 ft,16,11
1,4:04.0,Defensive rebound by J. Green,,16,11
1,3:50.0,O. Porter makes 2-pt layup from 1 ft (assist by J. Wall),,18,11
1,3:50.0,,Memphis full timeout,18,11
1,3:50.0,K. Oubre enters the game for O. Porter,,18,11
1,3:50.0,A. Rivers enters the game for J. Wall,,18,11
1,3:50.0,,M. Brooks enters the game for W. Selden,18,11
1,3:30.0,,Shooting foul by I. Mahinmi (drawn by M. Gasol),18,11
