QUARTER,TIME_REMAINING,ATLANTA_ACTION,MINNESOTA_ACTION,ATLANTA_SCORE,MINNESOTA_SCORE
1,11:46.0,,K. Towns makes 2-pt layup from 1 ft (assist by D. Rose),0,2
1,11:29.0,Shooting foul by R. Covington (drawn by D. Dedmon),,0,2
1,11:29.0,D. Dedmon misses free throw 1 of 2,,0,2
1,11:29.0,Offensive rebound by Team,,0,2
1,11:29.0,D. Dedmon makes free throw 2 of 2,,1,2
1,11:20.0,,Turnover by D. Rose (bad pass; steal by D. Dedmon),1,2
1,11:17.0,D. Dedmon makes 2-pt dunk from 1 ft,,3,2
1,11:04.0,,Personal foul by D. Dedmon (drawn by K. Towns),3,2
1,11:01.0,,D. Rose misses 2-pt jump shot from 20 ft,3,2
1,10:59.0,Defensive rebound by D. Dedmon,,3,2
1,10:49.0,J. Collins makes 2-pt layup from 2 ft (assist by T. Young),,5,2
1,10:33.0,,T. Gibson makes 2-pt layup from 1 ft (assist by R. Covington),5,4
1,10:20.0,Turnover by J. Collins (out of bounds lost ball),,5,4
1,10:08.0,,Personal foul by D. Dedmon (drawn by K. Towns),5,4
1,10:08.0,A. Poythress enters the game for D. Dedmon,,5,4
1,10:05.0,,D. Rose makes 2-pt layup from 2 ft (assist by K. Towns),5,6
1,9:54.0,A. Poythress makes 3-pt jump shot from 23 ft (assist by T. Young),,8,6
1,9:47.0,,A. Wiggins misses 2-pt layup from 2 ft (block by K. Huerter),8,6
1,9:43.0,Defensive rebound by J. Collins,,8,6
1,9:41.0,K. Bazemore makes 3-pt jump shot from 23 ft (assist by T. Young),,11,6
1,9:31.0,,Personal foul by J. Collins (drawn by T. Gibson),11,6
1,9:22.0,,K. Towns misses 2-pt hook shot from 7 ft,11,6
1,9:18.0,Defensive rebound by A. Poythress,,11,6
1,9:14.0,A. Poythress makes 2-pt layup from 1 ft (assist by T. Young),,13,6
1,9:14.0,Shooting foul by R. Covington (drawn by A. Poythress),,13,6
1,9:14.0,A. Poythress makes free throw 1 of 1,,14,6
1,8:57.0,,T. Gibson makes 2-pt dunk from 3 ft,14,8
1,8:33.0,K. Huerter makes 2-pt jump shot from 7 ft (assist by J. Collins),,16,8
1,8:16.0,,Turnover by T. Gibson (bad pass; steal by K. Bazemore),16,8
1,8:09.0,K. Bazemore misses 3-pt jump shot from 23 ft,,16,8
1,8:04.0,,Defensive rebound by R. Covington,16,8
1,7:58.0,,A. Wiggins makes 3-pt jump shot from 22 ft (assist by R. Covington),16,11
1,7:39.0,K. Bazemore misses 2-pt jump shot from 6 ft (block by T. Gibson),,16,11
1,7:36.0,Offensive rebound by J. Collins,,16,11
1,7:35.0,K. Bazemore makes 3-pt jump shot from 23 ft (assist by J. Collins),,19,11
1,7:25.0,,D. Rose makes 2-pt layup from 1 ft,19,13
1,7:08.0,Turnover by K. Bazemore (bad pass),,19,13
1,6:57.0,,Shooting foul by J. Collins (drawn by K. Towns),19,13
1,6:57.0,,Minnesota full timeout,19,13
1,6:57.0,D. Bembry enters the game for J. Collins,,19,13
1,6:57.0,V. Carter enters the game for K. Huerter,,19,13
1,6:57.0,,K. Towns makes free throw 1 of 2,19,14
1,6:57.0,,K. Towns misses free throw 2 of 2,19,14
1,6:55.0,Defensive rebound by A. Poythress,,19,14
1,6:41.0,Turnover by D. Bembry (traveling),,19,14
1,6:32.0,,Personal foul by A. Poythress (drawn by K. Towns),19,14
1,6:32.0,,K. Towns makes free throw 1 of 2,19,15
1,6:32.0,,K. Towns misses free throw 2 of 2,19,15
1,6:29.0,Defensive rebound by A. Poythress,,19,15
