QUARTER,TIME_REMAINING,BROOKLYN_ACTION,HOUSTON_ACTION,BROOKLYN_SCORE,HOUSTON_SCORE
1,11:45.0,J. Allen makes 2-pt dunk from 2 ft (assist by D. Russell),,2,0
1,11:32.0,,P. Tucker makes 3-pt jump shot from 25 ft (assist by E. Gordon),2,3
1,11:16.0,J. Allen misses 2-pt layup from 4 ft (block by A. Rivers),,2,3
1,11:14.0,,Defensive rebound by J. Harden,2,3
1,11:08.0,,J. Harden makes 2-pt layup from 1 ft,2,5
1,11:01.0,D. Russell misses 3-pt jump shot from 28 ft,,2,5
1,10:59.0,,Defensive rebound by G. Clark,2,5
1,10:47.0,,Turnover by P. Tucker (bad pass),2,5
1,10:39.0,J. Allen misses 2-pt hook shot from 3 ft,,2,5
1,10:38.0,,Defensive rebound by J. Harden,2,5
1,10:25.0,,Turnover by J. Harden (lost ball; steal by R. Kurucs),2,5
1,10:22.0,R. Kurucs makes 2-pt layup from 1 ft,,4,5
1,10:16.0,,P. Tucker misses 3-pt jump shot from 30 ft,4,5
1,10:13.0,Defensive rebound by J. Harris,,4,5
1,10:06.0,D. Russell misses 3-pt jump shot from 26 ft,,4,5
1,10:03.0,Offensive rebound by J. Allen,,4,5
1,10:01.0,J. Harris makes 2-pt layup from 2 ft (assist by J. Allen),,6,5
1,9:47.0,,J. Harden makes 2-pt layup from 1 ft,6,7
1,9:47.0,,Shooting foul by T. Graham (drawn by J. Harden),6,7
1,9:47.0,,J. Harden makes free throw 1 of 1,6,8
1,9:35.0,J. Allen makes 2-pt dunk from 2 ft (assist by J. Harris),,8,8
1,9:19.0,,E. Gordon makes 2-pt dunk from 2 ft,8,10
1,9:10.0,R. Kurucs makes 2-pt dunk from 3 ft (assist by D. Russell),,10,10
1,8:44.0,,G. Clark misses 3-pt jump shot from 26 ft,10,10
1,8:41.0,Defensive rebound by J. Allen,,10,10
1,8:33.0,J. Harris makes 2-pt jump shot from 15 ft (assist by D. Russell),,12,10
1,8:11.0,,E. Gordon misses 3-pt jump shot from 26 ft,12,10
1,8:09.0,,Offensive rebound by G. Clark,12,10
1,8:01.0,,E. Gordon misses 3-pt jump shot from 27 ft,12,10
1,7:59.0,Defensive rebound by D. Russell,,12,10
1,7:59.0,,G. Green enters the game for E. Gordon,12,10
1,7:46.0,J. Harris makes 3-pt jump shot from 25 ft (assist by R. Kurucs),,15,10
1,7:30.0,,Turnover by J. Harden (lost ball; steal by D. Russell),15,10
1,7:28.0,Turnover by R. Kurucs (lost ball; steal by A. Rivers),,15,10
1,7:25.0,,P. Tucker makes 2-pt dunk at rim (assist by A. Rivers),15,12
1,7:04.0,R. Kurucs makes 2-pt layup from 1 ft (assist by J. Harris),,17,12
1,6:54.0,,J. Harden misses 3-pt jump shot from 27 ft,17,12
1,6:52.0,Defensive rebound by J. Allen,,17,12
1,6:39.0,J. Allen makes 2-pt dunk from 2 ft (assist by D. Russell),,19,12
1,6:39.0,,Houston full timeout,19,12
1,6:20.0,,J. Harden makes 2-pt layup from 2 ft,19,14
1,6:09.0,D. Russell misses 2-pt layup from 2 ft,,19,14
1,6:08.0,Offensive rebound by J. Allen,,19,14
1,6:07.0,J. Allen makes 2-pt layup from 1 ft,,21,14
1,5:52.0,,J. Harden misses 3-pt jump shot from 30 ft,21,14
1,5:51.0,Defensive rebound by Team,,21,14
1,5:37.0,Shooting foul by J. Harden (drawn by T. Graham),,21,14
1,5:37.0,T. Graham makes free throw 1 of 2,,22,14
1,5:37.0,D. Carroll enters the game for R. Kurucs,,22,14
1,5:37.0,S. Dinwiddie enters the game for D. Russell,,22,14
1,5:37.0,,M. Chriss enters the game for G. Clark,22,14
1,5:37.0,T. Graham misses free throw 2 of 2,,22,14
1,5:36.0,,Defensive rebound by Team,22,14
