QUARTER,TIME_REMAINING,UTAH_ACTION,LA CLIPPERS_ACTION,UTAH_SCORE,LA CLIPPERS_SCORE
1,11:31.0,G. Allen makes 2-pt layup from 1 ft,,2,0
1,11:12.0,,D. Gallinari makes 2-pt jump shot from 12 ft,2,2
1,10:58.0,Turnover by G. Allen (bad pass; steal by D. Gallinari),,2,2
1,10:50.0,,Turnover by I. Zubac (lost ball; steal by J. Ingles),2,2
1,10:43.0,J. Crowder makes 3-pt jump shot from 25 ft (assist by J. Ingles),,5,2
1,10:25.0,,L. Shamet misses 2-pt layup from 3 ft,5,2
1,10:22.0,Defensive rebound by J. Ingles,,5,2
1,10:13.0,J. Crowder misses 3-pt jump shot from 27 ft,,5,2
1,10:08.0,,Defensive rebound by L. Shamet,5,2
1,10:07.0,,P. Beverley makes 3-pt jump shot from 26 ft (assist by L. Shamet),5,5
1,9:51.0,E. Udoh misses 2-pt layup from 2 ft (block by I. Zubac),,5,5
1,9:47.0,,Defensive rebound by P. Beverley,5,5
1,9:42.0,,Turnover by I. Zubac (out of bounds lost ball),5,5
1,9:32.0,J. Ingles misses 3-pt jump shot from 26 ft,,5,5
1,9:28.0,,Defensive rebound by P. Beverley,5,5
1,9:23.0,,Shooting foul by E. Udoh (drawn by D. Gallinari),5,5
1,9:23.0,,D. Gallinari makes free throw 1 of 2,5,6
1,9:23.0,,D. Gallinari misses free throw 2 of 2,5,6
1,9:20.0,Defensive rebound by E. Udoh,,5,6
1,9:02.0,Turnover by J. Crowder (lost ball; steal by P. Beverley),,5,6
1,8:58.0,,I. Zubac makes 2-pt dunk at rim (assist by L. Shamet),5,8
1,8:46.0,Offensive foul by J. Ingles (drawn by P. Beverley),,5,8
1,8:46.0,Turnover by J. Ingles (offensive foul),,5,8
1,8:30.0,,Turnover by P. Beverley (bad pass; steal by G. Allen),5,8
1,8:26.0,G. Allen misses 3-pt jump shot from 27 ft,,5,8
1,8:22.0,,Defensive rebound by L. Shamet,5,8
1,8:11.0,,P. Beverley makes 3-pt jump shot from 25 ft (assist by D. Gallinari),5,11
1,8:10.0,Utah full timeout,,5,11
1,7:56.0,G. Allen misses 3-pt jump shot from 28 ft,,5,11
1,7:52.0,,Defensive rebound by S. Gilgeous-Alexander,5,11
1,7:47.0,,S. Gilgeous-Alexander misses 2-pt layup from 1 ft,5,11
1,7:45.0,Defensive rebound by G. Allen,,5,11
1,7:34.0,J. Ingles misses 2-pt jump shot from 18 ft,,5,11
1,7:30.0,,Defensive rebound by P. Beverley,5,11
1,7:21.0,,I. Zubac makes 2-pt layup from 6 ft (assist by D. Gallinari),5,13
1,7:10.0,R. O'Neale misses 3-pt jump shot from 25 ft,,5,13
1,7:07.0,,Defensive rebound by P. Beverley,5,13
1,6:52.0,,D. Gallinari makes 2-pt jump shot from 13 ft,5,15
1,6:35.0,Shooting foul by D. Gallinari (drawn by J. Crowder),,5,15
1,6:35.0,J. Crowder makes free throw 1 of 2,,6,15
1,6:35.0,G. Niang enters the game for G. Allen,,6,15
1,6:35.0,T. Sefolosha enters the game for J. Ingles,,6,15
1,6:35.0,J. Crowder makes free throw 2 of 2,,7,15
1,6:18.0,,P. Beverley misses 2-pt jump shot from 5 ft,7,15
1,6:14.0,,Offensive rebound by I. Zubac,7,15
1,6:14.0,,I. Zubac makes 2-pt layup at rim,7,17
1,6:00.0,R. O'Neale makes 2-pt layup from 2 ft (assist by G. Niang),,9,17
1,5:47.0,,L. Shamet misses 3-pt jump shot from 25 ft,9,17
1,5:45.0,Defensive rebound by J. Crowder,,9,17
1,5:30.0,R. O'Neale makes 2-pt layup from 2 ft (assist by E. Udoh),,11,17
1,5:18.0,,Personal foul by J. Crowder (drawn by D. Gallinari),11,17
1,5:18.0,T. Bradley enters the game for R. O'Neale,,11,17
1,5:18.0,N. Mitrou-Long enters the game for E. Udoh,,11,17
1,5:09.0,,L. Shamet makes 3-pt jump shot from 28 ft (assist by P. Beverley),11,20
1,5:02.0,J. Crowder makes 3-pt jump shot from 25 ft (assist by T. Bradley),,14,20
1,5:02.0,Shooting foul by P. Beverley (drawn by J. Crowder),,14,20
1,5:02.0,,M. Harrell enters the game for I. Zubac,14,20
1,5:02.0,J. Crowder makes free throw 1 of 1,,15,20
1,4:41.0,,L. Shamet makes 2-pt layup from 4 ft (assist by M. Harrell),15,22
1,4:26.0,J. Crowder makes 2-pt jump shot from 21 ft (assist by N. Mitrou-Long),,17,22
1,4:14.0,,P. Beverley makes 3-pt jump shot from 26 ft (assist by M. Harrell),17,25
1,4:05.0,Turnover by N. Mitrou-Long (lost ball; steal by S. Gilgeous-Alexander),,17,25
1,4:00.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft (assist by P. Beverley),17,27
1,3:41.0,Turnover by N. Mitrou-Long (bad pass),,17,27
1,3:41.0,,LA Clippers full timeout,17,27
1,3:41.0,T. Cavanaugh enters the game for J. Crowder,,17,27
1,3:41.0,,J. Green enters the game for P. Beverley,17,27
1,3:41.0,,L. Williams enters the game for D. Gallinari,17,27
1,3:36.0,,L. Shamet makes 3-pt jump shot from 26 ft (assist by S. Gilgeous-Alexander),17,30
1,3:22.0,Turnover by G. Niang (bad pass; steal by S. Gilgeous-Alexander),,17,30
1,3:19.0,,Shooting foul by T. Cavanaugh (drawn by J. Green),17,30
1,3:19.0,,J. Green misses free throw 1 of 2,17,30
1,3:19.0,,Offensive rebound by Team,17,30
1,3:19.0,,J. Green makes free throw 2 of 2,17,31
1,3:05.0,T. Cavanaugh misses 2-pt layup from 5 ft,,17,31
1,3:03.0,Offensive rebound by T. Cavanaugh,,17,31
1,3:00.0,T. Sefolosha misses 2-pt jump shot from 21 ft,,17,31
1,2:56.0,,Defensive rebound by L. Shamet,17,31
1,2:51.0,,J. Green makes 2-pt layup from 3 ft (assist by M. Harrell),17,33
1,2:51.0,,Shooting foul by G. Niang (drawn by J. Green),17,33
1,2:51.0,,J. Green makes free throw 1 of 1,17,34
1,2:51.0,,G. Temple enters the game for S. Gilgeous-Alexander,17,34
1,2:32.0,T. Bradley makes 2-pt layup from 1 ft (assist by N. Mitrou-Long),,19,34
1,2:26.0,,Turnover by L. Williams (lost ball; steal by N. Mitrou-Long),19,34
1,2:26.0,Personal take foul by L. Shamet (drawn by N. Mitrou-Long),,19,34
1,2:26.0,G. Allen enters the game for N. Mitrou-Long,,19,34
1,2:26.0,,J. Robinson enters the game for L. Shamet,19,34
1,2:21.0,G. Allen makes 2-pt jump shot from 17 ft,,21,34
1,2:05.0,,Turnover by L. Williams (bad pass; steal by T. Sefolosha),21,34
1,2:00.0,G. Niang misses 2-pt jump shot from 23 ft,,21,34
1,1:58.0,,Defensive rebound by M. Harrell,21,34
1,1:53.0,,M. Harrell makes 2-pt layup from 1 ft,21,36
1,1:53.0,,Shooting foul by T. Cavanaugh (drawn by M. Harrell),21,36
1,1:53.0,,M. Harrell makes free throw 1 of 1,21,37
1,1:53.0,J. Ingles enters the game for T. Cavanaugh,,21,37
1,1:36.0,T. Sefolosha makes 3-pt jump shot from 28 ft (assist by J. Ingles),,24,37
1,1:18.0,,Offensive foul by J. Green (drawn by T. Sefolosha),24,37
1,1:18.0,,Turnover by J. Green (offensive foul),24,37
1,1:05.0,Turnover by G. Niang (bad pass),,24,37
1,0:51.0,,Turnover by M. Harrell (bad pass; steal by J. Ingles),24,37
1,0:45.0,T. Bradley misses 2-pt layup from 2 ft,,24,37
1,0:44.0,Offensive rebound by T. Bradley,,24,37
1,0:43.0,T. Bradley makes 2-pt layup from 2 ft,,26,37
1,0:37.0,,L. Williams misses 2-pt jump shot from 10 ft,26,37
1,0:32.0,,Offensive rebound by M. Harrell,26,37
1,0:30.0,,M. Harrell makes 2-pt dunk from 1 ft,26,39
1,0:24.0,T. Sefolosha misses 2-pt layup from 6 ft (block by M. Harrell),,26,39
1,0:24.0,,Defensive rebound by J. Robinson,26,39
1,0:05.0,,L. Williams misses 3-pt jump shot from 28 ft,26,39
1,0:01.0,Defensive rebound by G. Allen,,26,39
1,0:00.0,G. Allen misses 3-pt jump shot from 48 ft,,26,39
1,0:00.0,Offensive rebound by Team,,26,39
2,11:41.0,,Turnover by M. Harrell (off goaltending),26,39
2,11:27.0,G. Allen misses 2-pt jump shot from 14 ft,,26,39
2,11:22.0,Offensive rebound by T. Bradley,,26,39
2,11:19.0,Shooting foul by J. Robinson (drawn by G. Allen),,26,39
2,11:19.0,G. Allen makes free throw 1 of 2,,27,39
2,11:19.0,G. Allen makes free throw 2 of 2,,28,39
2,11:09.0,,L. Williams misses 2-pt jump shot from 14 ft,28,39
2,11:06.0,Defensive rebound by T. Sefolosha,,28,39
2,10:55.0,T. Bradley misses 2-pt jump shot from 14 ft,,28,39
2,10:52.0,,Defensive rebound by L. Williams,28,39
2,10:44.0,,Turnover by L. Williams (bad pass; steal by T. Bradley),28,39
2,10:36.0,R. O'Neale misses 3-pt jump shot from 24 ft,,28,39
2,10:33.0,,Defensive rebound by J. Robinson,28,39
2,10:26.0,,J. Green makes 3-pt jump shot from 26 ft (assist by J. Robinson),28,42
2,10:10.0,Personal foul by G. Temple (drawn by J. Ingles),,28,42
2,10:01.0,Shooting foul by M. Harrell (drawn by T. Bradley),,28,42
2,10:01.0,T. Bradley makes free throw 1 of 2,,29,42
2,10:01.0,T. Bradley misses free throw 2 of 2,,29,42
2,9:57.0,,Defensive rebound by M. Harrell,29,42
2,9:52.0,,Shooting foul by T. Bradley (drawn by M. Harrell),29,42
2,9:52.0,,M. Harrell makes free throw 1 of 2,29,43
2,9:52.0,E. Udoh enters the game for T. Bradley,,29,43
2,9:52.0,,M. Harrell misses free throw 2 of 2,29,43
2,9:50.0,Defensive rebound by T. Sefolosha,,29,43
2,9:35.0,E. Udoh makes 2-pt layup from 2 ft (assist by T. Sefolosha),,31,43
2,9:25.0,,L. Williams misses 2-pt layup from 2 ft (block by E. Udoh),31,43
2,9:21.0,Defensive rebound by E. Udoh,,31,43
2,9:13.0,R. O'Neale misses 3-pt jump shot from 26 ft,,31,43
2,9:10.0,,Defensive rebound by J. Green,31,43
2,9:04.0,,M. Harrell makes 2-pt dunk from 1 ft (assist by L. Williams),31,45
2,9:04.0,,Shooting foul by R. O'Neale (drawn by M. Harrell),31,45
2,9:04.0,G. Niang enters the game for J. Ingles,,31,45
2,9:04.0,,M. Harrell makes free throw 1 of 1,31,46
2,8:52.0,G. Allen misses 2-pt jump shot from 13 ft,,31,46
2,8:49.0,,Defensive rebound by J. Robinson,31,46
2,8:41.0,,M. Harrell makes 2-pt hook shot from 5 ft (assist by J. Green),31,48
2,8:25.0,T. Sefolosha makes 2-pt layup from 2 ft (assist by G. Allen),,33,48
2,8:11.0,,M. Harrell makes 2-pt layup from 2 ft (assist by L. Williams),33,50
2,7:57.0,G. Allen makes 2-pt jump shot from 13 ft,,35,50
2,7:48.0,,Shooting foul by R. O'Neale (drawn by L. Williams),35,50
2,7:48.0,,L. Williams misses free throw 1 of 2,35,50
2,7:48.0,,Offensive rebound by Team,35,50
2,7:48.0,J. Crowder enters the game for T. Sefolosha,,35,50
2,7:48.0,,P. Beverley enters the game for M. Harrell,35,50
2,7:48.0,,D. Gallinari enters the game for J. Robinson,35,50
2,7:48.0,,L. Williams makes free throw 2 of 2,35,51
2,7:38.0,R. O'Neale makes 2-pt layup from 2 ft (assist by J. Crowder),,37,51
2,7:23.0,,P. Beverley misses 3-pt jump shot from 26 ft,37,51
2,7:20.0,Defensive rebound by R. O'Neale,,37,51
2,7:14.0,G. Allen makes 3-pt jump shot from 23 ft (assist by E. Udoh),,40,51
2,7:14.0,,LA Clippers full timeout,40,51
2,7:14.0,N. Mitrou-Long enters the game for R. O'Neale,,40,51
2,7:14.0,,S. Gilgeous-Alexander enters the game for L. Williams,40,51
2,7:05.0,,J. Green makes 3-pt jump shot from 26 ft (assist by P. Beverley),40,54
2,6:48.0,J. Crowder misses 2-pt jump shot from 2 ft,,40,54
2,6:47.0,Offensive rebound by Team,,40,54
2,6:47.0,,L. Shamet enters the game for G. Temple,40,54
2,6:40.0,G. Allen misses 2-pt jump shot from 14 ft,,40,54
2,6:37.0,Offensive rebound by E. Udoh,,40,54
2,6:34.0,J. Crowder makes 3-pt jump shot from 25 ft (assist by G. Niang),,43,54
2,6:20.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 3 ft (assist by L. Shamet),43,56
2,6:09.0,N. Mitrou-Long misses 3-pt jump shot from 26 ft,,43,56
2,6:06.0,,Defensive rebound by P. Beverley,43,56
2,6:01.0,,D. Gallinari misses 2-pt layup from 2 ft,43,56
2,5:58.0,Defensive rebound by E. Udoh,,43,56
2,5:53.0,G. Allen makes 3-pt jump shot from 27 ft (assist by N. Mitrou-Long),,46,56
2,5:35.0,,P. Beverley makes 3-pt jump shot from 23 ft (assist by S. Gilgeous-Alexander),46,59
2,5:24.0,Shooting foul by J. Green (drawn by E. Udoh),,46,59
2,5:24.0,E. Udoh makes free throw 1 of 2,,47,59
2,5:24.0,J. Ingles enters the game for G. Allen,,47,59
2,5:24.0,,I. Zubac enters the game for J. Green,47,59
2,5:24.0,E. Udoh makes free throw 2 of 2,,48,59
2,5:07.0,,I. Zubac misses 2-pt layup from 1 ft (block by J. Crowder),48,59
2,5:04.0,,Offensive rebound by D. Gallinari,48,59
2,5:02.0,,P. Beverley misses 3-pt jump shot from 27 ft,48,59
2,5:00.0,,Offensive rebound by Team,48,59
2,4:55.0,,L. Shamet misses 3-pt jump shot from 23 ft,48,59
2,4:53.0,Defensive rebound by E. Udoh,,48,59
2,4:42.0,N. Mitrou-Long makes 3-pt jump shot from 27 ft,,51,59
2,4:22.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 20 ft (assist by P. Beverley),51,61
2,4:13.0,Personal foul by S. Gilgeous-Alexander (drawn by J. Ingles),,51,61
2,4:13.0,J. Ingles makes free throw 1 of 2,,52,61
2,4:13.0,J. Ingles makes free throw 2 of 2,,53,61
2,4:00.0,,Shooting foul by N. Mitrou-Long (drawn by L. Shamet),53,61
2,4:00.0,,L. Shamet makes free throw 1 of 2,53,62
2,4:00.0,G. Allen enters the game for G. Niang,,53,62
2,4:00.0,,L. Shamet misses free throw 2 of 2,53,62
2,3:57.0,Defensive rebound by Team,,53,62
2,3:48.0,J. Crowder misses 3-pt jump shot from 26 ft,,53,62
2,3:45.0,Offensive rebound by N. Mitrou-Long,,53,62
2,3:41.0,G. Allen misses 3-pt jump shot from 23 ft,,53,62
2,3:39.0,,Defensive rebound by D. Gallinari,53,62
2,3:30.0,,D. Gallinari misses 2-pt layup from 3 ft,53,62
2,3:26.0,,Offensive rebound by I. Zubac,53,62
2,3:26.0,,I. Zubac misses 2-pt layup at rim,53,62
2,3:25.0,Defensive rebound by E. Udoh,,53,62
2,3:22.0,J. Ingles makes 3-pt jump shot from 25 ft (assist by J. Crowder),,56,62
2,3:05.0,,P. Beverley misses 3-pt jump shot from 26 ft,56,62
2,3:03.0,Defensive rebound by J. Ingles,,56,62
2,2:51.0,J. Crowder makes 3-pt jump shot from 26 ft (assist by E. Udoh),,59,62
2,2:30.0,,D. Gallinari makes 2-pt jump shot from 21 ft (assist by P. Beverley),59,64
2,2:15.0,Turnover by G. Allen (traveling),,59,64
2,2:15.0,Utah full timeout,,59,64
2,2:15.0,,M. Harrell enters the game for S. Gilgeous-Alexander,59,64
2,2:15.0,,L. Williams enters the game for I. Zubac,59,64
2,2:01.0,,L. Williams makes 2-pt jump shot from 6 ft (assist by M. Harrell),59,66
2,1:56.0,Offensive foul by J. Ingles (drawn by P. Beverley),,59,66
2,1:56.0,Turnover by J. Ingles (offensive foul),,59,66
2,1:37.0,,P. Beverley makes 2-pt layup from 2 ft,59,68
2,1:30.0,Personal foul by P. Beverley (drawn by G. Allen),,59,68
2,1:30.0,G. Allen makes free throw 1 of 2,,60,68
2,1:30.0,G. Niang enters the game for J. Ingles,,60,68
2,1:30.0,G. Allen makes free throw 2 of 2,,61,68
2,1:13.0,,D. Gallinari makes 2-pt jump shot from 12 ft (assist by P. Beverley),61,70
2,1:00.0,G. Niang misses 2-pt layup from 3 ft,,61,70
2,0:57.0,,Defensive rebound by L. Shamet,61,70
2,0:51.0,,L. Williams misses 2-pt jump shot from 15 ft,61,70
2,0:49.0,Defensive rebound by J. Crowder,,61,70
2,0:36.0,E. Udoh makes 2-pt jump shot from 6 ft (assist by G. Allen),,63,70
2,0:31.0,,L. Williams misses 2-pt layup from 2 ft,63,70
2,0:28.0,Defensive rebound by N. Mitrou-Long,,63,70
2,0:13.0,G. Niang makes 2-pt layup from 3 ft (assist by G. Allen),,65,70
2,0:13.0,Shooting foul by P. Beverley (drawn by G. Niang),,65,70
2,0:13.0,G. Niang makes free throw 1 of 1,,66,70
2,0:03.0,,D. Gallinari misses 2-pt layup from 3 ft (block by J. Crowder),66,70
2,0:01.0,Defensive rebound by J. Crowder,,66,70
3,11:50.0,,D. Gallinari misses 3-pt jump shot from 25 ft,66,70
3,11:46.0,Defensive rebound by G. Niang,,66,70
3,11:34.0,E. Udoh makes 2-pt jump shot from 13 ft (assist by G. Niang),,68,70
3,11:21.0,,L. Shamet misses 2-pt jump shot from 14 ft,68,70
3,11:17.0,Defensive rebound by R. O'Neale,,68,70
3,11:07.0,Turnover by T. Sefolosha (traveling),,68,70
3,10:57.0,,D. Gallinari misses 2-pt layup from 1 ft,68,70
3,10:54.0,Defensive rebound by T. Sefolosha,,68,70
3,10:52.0,G. Allen makes 3-pt jump shot from 28 ft (assist by T. Sefolosha),,71,70
3,10:38.0,,Personal foul by R. O'Neale (drawn by S. Gilgeous-Alexander),71,70
3,10:24.0,,D. Gallinari makes 2-pt dunk from 3 ft,71,72
3,10:10.0,G. Niang makes 2-pt jump shot from 11 ft (assist by E. Udoh),,73,72
3,9:59.0,,S. Gilgeous-Alexander misses 2-pt layup from 4 ft (block by E. Udoh),73,72
3,9:58.0,Defensive rebound by G. Niang,,73,72
3,9:46.0,G. Allen misses 2-pt layup from 2 ft,,73,72
3,9:44.0,,Defensive rebound by I. Zubac,73,72
3,9:29.0,,L. Shamet makes 3-pt jump shot from 25 ft,73,75
3,9:15.0,G. Allen misses 2-pt jump shot from 10 ft,,73,75
3,9:13.0,Offensive rebound by G. Allen,,73,75
3,9:11.0,G. Niang misses 3-pt jump shot from 26 ft,,73,75
3,9:07.0,Offensive rebound by T. Sefolosha,,73,75
3,9:06.0,T. Sefolosha makes 2-pt jump shot from 17 ft,,75,75
3,8:53.0,,Shooting foul by E. Udoh (drawn by S. Gilgeous-Alexander),75,75
3,8:53.0,,S. Gilgeous-Alexander makes free throw 1 of 2,75,76
3,8:53.0,,S. Gilgeous-Alexander makes free throw 2 of 2,75,77
3,8:36.0,G. Allen misses 2-pt layup from 2 ft,,75,77
3,8:35.0,,Defensive rebound by P. Beverley,75,77
3,8:25.0,,I. Zubac makes 2-pt jump shot from 7 ft (assist by D. Gallinari),75,79
3,8:12.0,Personal foul by P. Beverley (drawn by G. Allen),,75,79
3,8:12.0,N. Mitrou-Long enters the game for R. O'Neale,,75,79
3,8:05.0,Personal foul by L. Shamet (drawn by E. Udoh),,75,79
3,7:50.0,T. Sefolosha misses 2-pt jump shot from 18 ft,,75,79
3,7:47.0,,Defensive rebound by S. Gilgeous-Alexander,75,79
3,7:40.0,,Turnover by S. Gilgeous-Alexander (bad pass; steal by T. Sefolosha),75,79
3,7:34.0,Shooting foul by S. Gilgeous-Alexander (drawn by E. Udoh),,75,79
3,7:34.0,E. Udoh makes free throw 1 of 2,,76,79
3,7:34.0,E. Udoh misses free throw 2 of 2,,76,79
3,7:32.0,,Defensive rebound by I. Zubac,76,79
3,7:22.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 18 ft,76,79
3,7:18.0,Defensive rebound by G. Allen,,76,79
3,7:10.0,G. Allen makes 2-pt jump shot from 16 ft,,78,79
3,6:57.0,,L. Shamet makes 2-pt jump shot from 5 ft (assist by I. Zubac),78,81
3,6:48.0,Shooting foul by I. Zubac (drawn by E. Udoh),,78,81
3,6:48.0,,LA Clippers full timeout,78,81
3,6:48.0,,L. Williams enters the game for P. Beverley,78,81
3,6:48.0,E. Udoh misses free throw 1 of 2,,78,81
3,6:48.0,Offensive rebound by Team,,78,81
3,6:48.0,E. Udoh makes free throw 2 of 2,,79,81
3,6:34.0,,L. Shamet misses 3-pt jump shot from 27 ft,79,81
3,6:32.0,Defensive rebound by T. Sefolosha,,79,81
3,6:25.0,G. Niang makes 2-pt jump shot from 11 ft,,81,81
3,6:09.0,,I. Zubac makes 2-pt layup from 1 ft (assist by D. Gallinari),81,83
3,5:57.0,G. Niang misses 3-pt jump shot from 26 ft,,81,83
3,5:54.0,,Defensive rebound by D. Gallinari,81,83
3,5:48.0,,L. Williams misses 2-pt jump shot from 4 ft,81,83
3,5:45.0,,Offensive rebound by L. Williams,81,83
3,5:36.0,,Shooting foul by G. Niang (drawn by D. Gallinari),81,83
3,5:36.0,,D. Gallinari makes free throw 1 of 2,81,84
3,5:36.0,T. Bradley enters the game for G. Allen,,81,84
3,5:36.0,R. O'Neale enters the game for E. Udoh,,81,84
3,5:36.0,,M. Harrell enters the game for I. Zubac,81,84
3,5:36.0,,D. Gallinari makes free throw 2 of 2,81,85
3,5:21.0,Shooting foul by S. Gilgeous-Alexander (drawn by N. Mitrou-Long),,81,85
3,5:21.0,N. Mitrou-Long makes free throw 1 of 2,,82,85
3,5:21.0,N. Mitrou-Long makes free throw 2 of 2,,83,85
3,5:05.0,,M. Harrell makes 2-pt layup from 2 ft (assist by D. Gallinari),83,87
3,4:52.0,G. Niang makes 3-pt jump shot from 26 ft (assist by N. Mitrou-Long),,86,87
3,4:42.0,,L. Williams makes 2-pt layup from 2 ft,86,89
3,4:33.0,T. Bradley makes 2-pt layup from 2 ft (assist by N. Mitrou-Long),,88,89
3,4:27.0,,Personal foul by N. Mitrou-Long (drawn by L. Williams),88,89
3,4:27.0,,G. Temple enters the game for S. Gilgeous-Alexander,88,89
3,4:17.0,,M. Harrell misses 2-pt layup from 2 ft,88,89
3,4:15.0,Defensive rebound by T. Sefolosha,,88,89
3,4:08.0,N. Mitrou-Long misses 3-pt jump shot from 28 ft,,88,89
3,4:05.0,,Defensive rebound by G. Temple,88,89
3,3:54.0,,D. Gallinari misses 2-pt jump shot from 12 ft,88,89
3,3:49.0,Defensive rebound by T. Bradley,,88,89
3,3:41.0,T. Bradley misses 2-pt jump shot from 9 ft,,88,89
3,3:39.0,Offensive rebound by T. Bradley,,88,89
3,3:31.0,T. Sefolosha misses 2-pt jump shot from 12 ft,,88,89
3,3:28.0,,Defensive rebound by D. Gallinari,88,89
3,3:19.0,,Shooting foul by N. Mitrou-Long (drawn by M. Harrell),88,89
3,3:19.0,,M. Harrell misses free throw 1 of 2,88,89
3,3:19.0,,Offensive rebound by Team,88,89
3,3:19.0,,J. Green enters the game for D. Gallinari,88,89
3,3:19.0,Utah full timeout,,88,89
3,3:19.0,,M. Harrell makes free throw 2 of 2,88,90
3,3:05.0,G. Niang makes 2-pt layup from 2 ft (assist by N. Mitrou-Long),,90,90
3,2:49.0,,L. Williams makes 3-pt jump shot from 24 ft (assist by M. Harrell),90,93
3,2:34.0,G. Niang misses 2-pt jump shot from 5 ft,,90,93
3,2:30.0,Offensive rebound by T. Bradley,,90,93
3,2:30.0,T. Bradley misses 2-pt layup at rim,,90,93
3,2:28.0,Offensive rebound by T. Bradley,,90,93
3,2:28.0,T. Bradley makes 2-pt layup at rim,,92,93
3,2:23.0,,Shooting foul by G. Niang (drawn by L. Williams),92,93
3,2:23.0,,L. Williams makes free throw 1 of 3,92,94
3,2:23.0,,L. Williams makes free throw 2 of 3,92,95
3,2:23.0,G. Allen enters the game for G. Niang,,92,95
3,2:23.0,T. Cavanaugh enters the game for T. Sefolosha,,92,95
3,2:23.0,,W. Chandler enters the game for L. Shamet,92,95
3,2:23.0,,L. Williams makes free throw 3 of 3,92,96
3,1:58.0,N. Mitrou-Long makes 2-pt layup from 3 ft (assist by G. Allen),,94,96
3,1:50.0,,L. Williams makes 2-pt layup from 2 ft,94,98
3,1:41.0,Personal foul by J. Green (drawn by G. Allen),,94,98
3,1:41.0,G. Allen makes free throw 1 of 2,,95,98
3,1:41.0,G. Allen misses free throw 2 of 2,,95,98
3,1:38.0,,Defensive rebound by M. Harrell,95,98
3,1:25.0,,M. Harrell makes 2-pt dunk from 1 ft (assist by L. Williams),95,100
3,1:04.0,T. Bradley makes 2-pt jump shot from 3 ft (assist by R. O'Neale),,97,100
3,0:56.0,,L. Williams misses 2-pt jump shot from 12 ft,97,100
3,0:51.0,,Offensive rebound by G. Temple,97,100
3,0:48.0,,M. Harrell misses 2-pt dunk from 1 ft (block by G. Allen),97,100
3,0:46.0,Defensive rebound by R. O'Neale,,97,100
3,0:46.0,Turnover by R. O'Neale (bad pass),,97,100
3,0:38.0,,J. Green misses 3-pt jump shot from 26 ft,97,100
3,0:33.0,,Offensive rebound by M. Harrell,97,100
3,0:33.0,,M. Harrell makes 2-pt layup from 1 ft,97,102
3,0:23.0,T. Bradley misses 2-pt layup from 3 ft,,97,102
3,0:20.0,,Defensive rebound by J. Green,97,102
3,0:05.0,,G. Temple misses 3-pt jump shot from 26 ft,97,102
3,0:02.0,Defensive rebound by N. Mitrou-Long,,97,102
3,0:01.0,G. Allen misses 3-pt jump shot from 37 ft,,97,102
3,0:00.0,Offensive rebound by Team,,97,102
4,11:53.0,Turnover by G. Allen (lost ball; steal by G. Temple),,97,102
4,11:47.0,,Shooting foul by G. Allen (drawn by G. Temple),97,102
4,11:47.0,N. Mitrou-Long enters the game for G. Allen,,97,102
4,11:47.0,T. Sefolosha enters the game for T. Cavanaugh,,97,102
4,11:47.0,,G. Temple makes free throw 1 of 2,97,103
4,11:47.0,,G. Temple makes free throw 2 of 2,97,104
4,11:36.0,Personal foul by W. Chandler (drawn by E. Udoh),,97,104
4,11:27.0,G. Niang misses 2-pt hook shot from 4 ft,,97,104
4,11:25.0,,Defensive rebound by L. Williams,97,104
4,11:19.0,,L. Williams misses 2-pt layup from 3 ft,97,104
4,11:17.0,,Offensive rebound by M. Harrell,97,104
4,11:17.0,,M. Harrell makes 2-pt dunk from 1 ft,97,106
4,11:05.0,Turnover by N. Mitrou-Long (bad pass; steal by G. Temple),,97,106
4,11:00.0,,M. Harrell misses 2-pt layup from 2 ft,97,106
4,10:57.0,Defensive rebound by G. Niang,,97,106
4,10:53.0,G. Niang misses 2-pt layup from 4 ft (block by J. Green),,97,106
4,10:49.0,Offensive rebound by G. Niang,,97,106
