QUARTER,TIME_REMAINING,NEW YORK_ACTION,SAN ANTONIO_ACTION,NEW YORK_SCORE,SAN ANTONIO_SCORE
1,11:48.0,,D. White makes 2-pt jump shot from 17 ft,0,2
1,11:24.0,K. Knox misses 2-pt hook shot from 10 ft,,0,2
1,11:22.0,,Defensive rebound by J. Poeltl,0,2
1,11:14.0,,D. White misses 2-pt jump shot from 9 ft,0,2
1,11:12.0,,Offensive rebound by D. White,0,2
1,11:06.0,,D. DeRozan makes 2-pt jump shot from 15 ft,0,4
1,10:44.0,N. Vonleh makes 2-pt jump shot from 16 ft,,2,4
1,10:22.0,,B. Forbes misses 3-pt jump shot from 28 ft,2,4
1,10:19.0,Defensive rebound by D. Jordan,,2,4
1,10:08.0,K. Knox makes 3-pt jump shot from 25 ft (assist by N. Vonleh),,5,4
1,9:54.0,,D. DeRozan misses 2-pt jump shot from 10 ft,5,4
1,9:50.0,,Offensive rebound by J. Poeltl,5,4
1,9:50.0,,J. Poeltl makes 2-pt layup from 1 ft,5,6
1,9:41.0,D. Dotson makes 2-pt layup from 2 ft (assist by D. Jordan),,7,6
1,9:30.0,,D. White misses 2-pt jump shot from 21 ft,7,6
1,9:27.0,Defensive rebound by D. Jordan,,7,6
1,9:16.0,D. Dotson misses 3-pt jump shot from 29 ft,,7,6
1,9:13.0,,Defensive rebound by J. Poeltl,7,6
1,9:00.0,,L. Aldridge misses 2-pt jump shot from 19 ft,7,6
1,8:56.0,Defensive rebound by D. Jordan,,7,6
1,8:39.0,E. Mudiay misses 2-pt jump shot from 15 ft,,7,6
1,8:35.0,,Defensive rebound by D. White,7,6
1,8:27.0,,D. DeRozan makes 2-pt layup from 3 ft (assist by D. White),7,8
1,8:04.0,E. Mudiay makes 2-pt layup from 1 ft (assist by D. Jordan),,9,8
1,7:43.0,,Shooting foul by N. Vonleh (drawn by L. Aldridge),9,8
1,7:43.0,,L. Aldridge makes free throw 1 of 2,9,9
1,7:43.0,,P. Mills enters the game for D. White,9,9
1,7:43.0,,L. Aldridge makes free throw 2 of 2,9,10
1,7:33.0,Turnover by E. Mudiay (bad pass; steal by D. DeRozan),,9,10
1,7:24.0,,Turnover by D. DeRozan (lost ball; steal by D. Dotson),9,10
1,7:19.0,E. Mudiay misses 3-pt jump shot from 23 ft,,9,10
1,7:15.0,,Defensive rebound by L. Aldridge,9,10
1,7:06.0,,B. Forbes makes 2-pt jump shot from 9 ft (assist by P. Mills),9,12
1,7:06.0,Violation by Team (def goaltending),,9,12
1,6:50.0,N. Vonleh makes 2-pt hook shot from 6 ft,,11,12
1,6:47.0,,San Antonio full timeout,11,12
1,6:47.0,,D. Bertāns enters the game for J. Poeltl,11,12
1,6:40.0,,B. Forbes makes 3-pt jump shot from 25 ft (assist by P. Mills),11,15
1,6:22.0,D. Dotson misses 2-pt layup from 2 ft,,11,15
1,6:19.0,,Defensive rebound by L. Aldridge,11,15
1,6:10.0,,L. Aldridge makes 2-pt dunk from 1 ft (assist by D. DeRozan),11,17
1,6:00.0,New York full timeout,,11,17
1,6:00.0,K. Allen enters the game for K. Knox,,11,17
1,6:00.0,A. Trier enters the game for E. Mudiay,,11,17
1,5:44.0,N. Vonleh misses 2-pt jump shot from 17 ft,,11,17
1,5:40.0,,Defensive rebound by D. DeRozan,11,17
1,5:31.0,,B. Forbes misses 3-pt jump shot from 26 ft,11,17
1,5:28.0,Defensive rebound by K. Allen,,11,17
1,5:22.0,K. Allen makes 2-pt hook shot from 6 ft,,13,17
1,5:05.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by D. DeRozan),13,19
1,4:36.0,K. Allen makes 2-pt layup from 1 ft (assist by A. Trier),,15,19
1,4:23.0,,D. Bertāns misses 3-pt jump shot from 26 ft,15,19
1,4:20.0,Defensive rebound by D. Jordan,,15,19
1,4:10.0,N. Vonleh misses 2-pt hook shot from 7 ft,,15,19
1,4:07.0,,Defensive rebound by L. Aldridge,15,19
1,3:57.0,,D. Bertāns misses 3-pt jump shot from 22 ft,15,19
1,3:57.0,Defensive rebound by K. Allen,,15,19
1,3:45.0,D. Dotson misses 2-pt jump shot from 13 ft,,15,19
1,3:40.0,,Defensive rebound by D. Bertāns,15,19
1,3:32.0,,D. DeRozan makes 2-pt layup at rim,15,21
1,3:32.0,,Shooting foul by D. Dotson (drawn by D. DeRozan),15,21
1,3:32.0,M. Robinson enters the game for D. Jordan,,15,21
1,3:32.0,L. Thomas enters the game for N. Vonleh,,15,21
1,3:32.0,,M. Belinelli enters the game for L. Aldridge,15,21
1,3:32.0,,J. Poeltl enters the game for B. Forbes,15,21
1,3:32.0,,D. DeRozan makes free throw 1 of 1,15,22
1,3:20.0,Shooting foul by J. Poeltl (drawn by M. Robinson),,15,22
1,3:20.0,M. Robinson misses free throw 1 of 2,,15,22
1,3:20.0,Offensive rebound by Team,,15,22
1,3:20.0,,R. Gay enters the game for D. DeRozan,15,22
1,3:20.0,M. Robinson makes free throw 2 of 2,,16,22
1,2:58.0,,D. Bertāns misses 2-pt jump shot from 18 ft,16,22
1,2:56.0,Defensive rebound by M. Robinson,,16,22
1,2:46.0,L. Thomas misses 3-pt jump shot from 24 ft,,16,22
1,2:44.0,,Defensive rebound by Team,16,22
1,2:44.0,Loose ball foul by L. Thomas (drawn by J. Poeltl),,16,22
1,2:44.0,J. Jenkins enters the game for D. Dotson,,16,22
1,2:31.0,,M. Belinelli misses 2-pt layup from 1 ft,16,22
1,2:28.0,Defensive rebound by A. Trier,,16,22
1,2:23.0,A. Trier makes 2-pt jump shot from 20 ft,,18,22
1,2:11.0,,P. Mills misses 2-pt jump shot from 20 ft,18,22
1,2:11.0,Defensive rebound by J. Jenkins,,18,22
1,1:54.0,Turnover by K. Allen (bad pass),,18,22
1,1:45.0,,P. Mills makes 2-pt jump shot from 21 ft,18,24
1,1:22.0,J. Jenkins makes 2-pt jump shot from 21 ft (assist by M. Robinson),,20,24
1,1:08.0,,R. Gay makes 2-pt jump shot from 6 ft,20,26
1,0:55.0,A. Trier misses 2-pt layup from 2 ft,,20,26
1,0:52.0,,Defensive rebound by D. Bertāns,20,26
1,0:45.0,,M. Belinelli makes 2-pt jump shot from 18 ft,20,28
1,0:33.0,A. Trier misses 2-pt layup from 2 ft (block by J. Poeltl),,20,28
1,0:30.0,,Defensive rebound by J. Poeltl,20,28
1,0:15.0,,P. Mills makes 3-pt jump shot from 25 ft,20,31
1,0:02.0,Personal take foul by M. Belinelli (drawn by A. Trier),,20,31
1,0:00.0,A. Trier misses 2-pt layup from 1 ft (block by J. Poeltl),,20,31
1,0:00.0,Offensive rebound by Team,,20,31
2,11:59.0,Turnover by E. Mudiay (out of bounds lost ball),,20,31
2,11:51.0,,D. White misses 2-pt jump shot from 9 ft (block by M. Robinson),20,31
2,11:48.0,Defensive rebound by M. Robinson,,20,31
2,11:45.0,J. Jenkins misses 3-pt jump shot from 23 ft,,20,31
2,11:38.0,Offensive rebound by M. Robinson,,20,31
2,11:38.0,M. Robinson misses 2-pt layup at rim,,20,31
2,11:37.0,,Defensive rebound by D. White,20,31
2,11:25.0,,R. Gay misses 2-pt jump shot from 9 ft,20,31
2,11:22.0,Defensive rebound by M. Robinson,,20,31
2,11:10.0,L. Thomas makes 2-pt dunk from 1 ft (assist by J. Jenkins),,22,31
2,10:44.0,,J. Poeltl makes 2-pt layup from 3 ft (assist by M. Belinelli),22,33
2,10:29.0,E. Mudiay misses 2-pt layup from 2 ft (block by D. White),,22,33
2,10:28.0,,Defensive rebound by D. White,22,33
2,10:25.0,,M. Belinelli misses 3-pt jump shot from 26 ft,22,33
2,10:19.0,Defensive rebound by J. Jenkins,,22,33
2,10:07.0,Offensive foul by A. Trier (drawn by D. White),,22,33
2,10:07.0,Turnover by A. Trier (offensive foul),,22,33
2,10:07.0,K. Knox enters the game for L. Thomas,,22,33
2,10:07.0,,D. Cunningham enters the game for D. Bertāns,22,33
2,10:07.0,,B. Forbes enters the game for R. Gay,22,33
2,9:53.0,,D. Cunningham misses 2-pt jump shot from 18 ft,22,33
2,9:50.0,Defensive rebound by M. Robinson,,22,33
2,9:41.0,J. Jenkins misses 2-pt jump shot from 16 ft,,22,33
2,9:37.0,,Defensive rebound by J. Poeltl,22,33
2,9:31.0,,J. Poeltl makes 2-pt dunk from 1 ft (assist by D. White),22,35
2,9:23.0,New York full timeout,,22,35
2,9:23.0,,L. Aldridge enters the game for J. Poeltl,22,35
2,9:13.0,Shooting foul by D. Cunningham (drawn by K. Knox),,22,35
2,9:13.0,K. Knox makes free throw 1 of 2,,23,35
2,9:13.0,K. Knox misses free throw 2 of 2,,23,35
2,9:11.0,,Defensive rebound by L. Aldridge,23,35
2,9:02.0,,L. Aldridge misses 2-pt jump shot from 20 ft,23,35
2,8:59.0,,Offensive rebound by D. Cunningham,23,35
2,8:46.0,,L. Aldridge misses 2-pt hook shot from 10 ft,23,35
2,8:43.0,Defensive rebound by A. Trier,,23,35
2,8:34.0,A. Trier makes 2-pt jump shot from 11 ft,,25,35
2,8:23.0,,Turnover by D. White (lost ball; steal by M. Robinson),25,35
2,8:14.0,M. Robinson misses 2-pt dunk from 2 ft,,25,35
2,8:12.0,,Defensive rebound by L. Aldridge,25,35
2,8:08.0,,M. Belinelli misses 3-pt jump shot from 23 ft,25,35
2,8:06.0,Defensive rebound by Team,,25,35
2,8:06.0,N. Vonleh enters the game for A. Trier,,25,35
2,7:50.0,N. Vonleh misses 2-pt dunk from 1 ft,,25,35
2,7:50.0,Offensive rebound by Team,,25,35
2,7:50.0,Turnover by N. Vonleh (off goaltending),,25,35
2,7:50.0,D. Jordan enters the game for M. Robinson,,25,35
2,7:50.0,,D. DeRozan enters the game for M. Belinelli,25,35
2,7:50.0,New York full timeout,,25,35
2,7:50.0,L. Thomas enters the game for J. Jenkins,,25,35
2,7:50.0,A. Trier enters the game for N. Vonleh,,25,35
2,7:34.0,,L. Aldridge makes 2-pt jump shot from 13 ft,25,37
2,7:14.0,K. Knox misses 2-pt jump shot from 19 ft,,25,37
2,7:11.0,,Defensive rebound by L. Aldridge,25,37
2,7:00.0,,D. DeRozan makes 2-pt layup from 1 ft,25,39
2,6:48.0,E. Mudiay misses 2-pt jump shot from 14 ft,,25,39
2,6:46.0,Offensive rebound by D. Jordan,,25,39
2,6:41.0,D. Jordan makes 2-pt dunk at rim,,27,39
2,6:36.0,,Offensive foul by D. DeRozan (drawn by A. Trier),27,39
2,6:36.0,,Turnover by D. DeRozan (offensive foul),27,39
2,6:24.0,K. Knox misses 2-pt jump shot from 13 ft,,27,39
2,6:24.0,,Defensive rebound by Team,27,39
2,6:24.0,Loose ball foul by D. Jordan (drawn by D. DeRozan),,27,39
2,6:24.0,D. Dotson enters the game for A. Trier,,27,39
2,6:01.0,,D. DeRozan makes 2-pt jump shot from 15 ft,27,41
2,5:39.0,E. Mudiay makes 3-pt jump shot from 25 ft (assist by D. Dotson),,30,41
2,5:23.0,,B. Forbes makes 3-pt jump shot from 26 ft (assist by D. White),30,44
2,5:12.0,E. Mudiay misses 2-pt jump shot from 16 ft,,30,44
2,5:09.0,,Defensive rebound by D. DeRozan,30,44
2,5:00.0,,L. Aldridge misses 2-pt hook shot from 3 ft,30,44
2,4:57.0,Defensive rebound by D. Jordan,,30,44
2,4:40.0,Offensive foul by D. Jordan (drawn by B. Forbes),,30,44
2,4:40.0,Turnover by D. Jordan (offensive foul),,30,44
2,4:40.0,K. Allen enters the game for L. Thomas,,30,44
2,4:40.0,,R. Gay enters the game for D. Cunningham,30,44
2,4:40.0,,P. Mills enters the game for D. White,30,44
2,4:32.0,,Turnover by P. Mills (lost ball; steal by K. Allen),30,44
2,4:27.0,K. Knox misses 3-pt jump shot from 25 ft,,30,44
2,4:24.0,Offensive rebound by D. Jordan,,30,44
2,4:18.0,K. Allen makes 3-pt jump shot from 25 ft (assist by E. Mudiay),,33,44
2,4:15.0,,San Antonio full timeout,33,44
2,3:55.0,,L. Aldridge makes 2-pt jump shot from 14 ft (assist by R. Gay),33,46
2,3:41.0,D. Dotson misses 2-pt jump shot from 18 ft,,33,46
2,3:39.0,,Defensive rebound by D. DeRozan,33,46
2,3:29.0,,Shooting foul by K. Knox (drawn by R. Gay),33,46
2,3:29.0,,R. Gay misses free throw 1 of 2,33,46
2,3:29.0,,Offensive rebound by Team,33,46
2,3:29.0,,M. Belinelli enters the game for B. Forbes,33,46
2,3:29.0,,R. Gay makes free throw 2 of 2,33,47
2,3:19.0,K. Allen misses 2-pt jump shot from 11 ft,,33,47
2,3:13.0,Offensive rebound by K. Allen,,33,47
2,3:13.0,K. Allen makes 2-pt layup at rim,,35,47
2,2:51.0,,R. Gay makes 2-pt jump shot from 20 ft (assist by M. Belinelli),35,49
2,2:28.0,E. Mudiay misses 2-pt layup from 3 ft,,35,49
2,2:24.0,Offensive rebound by D. Jordan,,35,49
2,2:24.0,D. Jordan makes 2-pt layup at rim,,37,49
2,2:11.0,,M. Belinelli misses 3-pt jump shot from 23 ft,37,49
2,2:08.0,,Offensive rebound by L. Aldridge,37,49
2,2:07.0,,Personal foul by K. Allen (drawn by D. DeRozan),37,49
2,2:07.0,,J. Poeltl enters the game for L. Aldridge,37,49
2,1:59.0,,Turnover by D. DeRozan (traveling),37,49
2,1:48.0,D. Dotson makes 2-pt layup from 1 ft (assist by D. Jordan),,39,49
2,1:32.0,,M. Belinelli makes 3-pt jump shot from 25 ft (assist by D. DeRozan),39,52
2,1:18.0,D. Jordan misses 2-pt hook shot from 1 ft,,39,52
2,1:18.0,,Defensive rebound by M. Belinelli,39,52
2,1:10.0,,P. Mills makes 2-pt layup at rim (assist by M. Belinelli),39,54
2,1:10.0,Violation by Team (def goaltending),,39,54
2,0:58.0,D. Dotson misses 3-pt jump shot from 25 ft,,39,54
2,0:56.0,,Defensive rebound by J. Poeltl,39,54
2,0:50.0,,Turnover by P. Mills (lost ball; steal by K. Allen),39,54
2,0:46.0,K. Allen makes 2-pt layup from 1 ft,,41,54
2,0:37.0,,M. Belinelli makes 2-pt layup at rim (assist by D. DeRozan),41,56
2,0:25.0,Personal foul by M. Belinelli (drawn by D. Dotson),,41,56
2,0:18.0,K. Knox misses 2-pt layup from 2 ft (block by J. Poeltl),,41,56
2,0:15.0,,Defensive rebound by R. Gay,41,56
2,0:00.0,,D. DeRozan misses 2-pt jump shot from 14 ft,41,56
2,0:00.0,,Offensive rebound by Team,41,56
3,11:41.0,K. Knox makes 2-pt layup at rim (assist by D. Jordan),,43,56
3,11:23.0,,D. DeRozan misses 2-pt jump shot from 11 ft,43,56
3,11:21.0,Defensive rebound by E. Mudiay,,43,56
3,11:16.0,Turnover by E. Mudiay (bad pass; steal by J. Poeltl),,43,56
3,11:10.0,,D. DeRozan misses 2-pt layup at rim (block by L. Kornet),43,56
3,11:10.0,,Offensive rebound by Team,43,56
3,11:06.0,,J. Poeltl misses 2-pt layup from 2 ft,43,56
3,11:03.0,,Offensive rebound by J. Poeltl,43,56
3,10:59.0,,J. Poeltl makes 2-pt layup from 1 ft (assist by D. White),43,58
3,10:46.0,D. Dotson misses 2-pt layup from 1 ft,,43,58
3,10:44.0,,Defensive rebound by D. DeRozan,43,58
3,10:27.0,,Turnover by B. Forbes (lost ball; steal by D. Dotson),43,58
3,10:24.0,D. Dotson misses 2-pt layup at rim,,43,58
3,10:24.0,Offensive rebound by Team,,43,58
3,10:17.0,D. Dotson makes 2-pt jump shot from 18 ft (assist by D. Jordan),,45,58
3,10:05.0,,L. Aldridge misses 2-pt jump shot from 21 ft,45,58
3,10:01.0,Defensive rebound by D. Jordan,,45,58
