QUARTER,TIME_REMAINING,HOUSTON_ACTION,MINNESOTA_ACTION,HOUSTON_SCORE,MINNESOTA_SCORE
1,11:42.0,,K. Towns makes 2-pt dunk from 1 ft (assist by J. Teague),0,2
1,11:22.0,J. Ennis makes 2-pt dunk from 1 ft (assist by J. Harden),,2,2
1,11:17.0,,Personal foul by C. Capela (drawn by K. Towns),2,2
1,11:07.0,,R. Covington makes 2-pt jump shot from 11 ft,2,4
1,10:57.0,J. Ennis misses 3-pt jump shot from 23 ft,,2,4
1,10:54.0,,Defensive rebound by R. Covington,2,4
1,10:41.0,,T. Gibson misses 2-pt layup from 2 ft (block by J. Harden),2,4
1,10:39.0,,Offensive rebound by T. Gibson,2,4
1,10:38.0,,T. Gibson misses 2-pt layup from 1 ft,2,4
1,10:37.0,Defensive rebound by C. Capela,,2,4
1,10:33.0,Shooting foul by K. Towns (drawn by J. Harden),,2,4
1,10:33.0,J. Harden makes free throw 1 of 2,,3,4
1,10:33.0,J. Harden makes free throw 2 of 2,,4,4
1,10:17.0,,A. Wiggins misses 2-pt jump shot from 14 ft,4,4
1,10:15.0,Defensive rebound by C. Capela,,4,4
1,10:10.0,C. Capela makes 2-pt dunk from 1 ft (assist by C. Paul),,6,4
1,9:46.0,,K. Towns makes 2-pt hook shot from 12 ft (assist by J. Teague),6,6
1,9:33.0,Turnover by J. Harden (bad pass; steal by J. Teague),,6,6
1,9:32.0,,Turnover by R. Covington (traveling),6,6
1,9:21.0,P. Tucker misses 3-pt jump shot from 23 ft,,6,6
1,9:17.0,,Defensive rebound by R. Covington,6,6
1,9:01.0,,K. Towns misses 2-pt jump shot from 12 ft,6,6
1,8:59.0,Defensive rebound by P. Tucker,,6,6
1,8:43.0,C. Paul misses 3-pt jump shot from 25 ft,,6,6
1,8:41.0,,Defensive rebound by R. Covington,6,6
1,8:32.0,,Shooting foul by J. Ennis (drawn by T. Gibson),6,6
1,8:32.0,,T. Gibson makes free throw 1 of 2,6,7
1,8:32.0,,T. Gibson makes free throw 2 of 2,6,8
1,8:13.0,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),,8,8
1,7:58.0,,Turnover by R. Covington (lost ball; steal by C. Paul),8,8
1,7:54.0,C. Capela makes 2-pt dunk from 1 ft (assist by C. Paul),,10,8
1,7:39.0,,R. Covington misses 3-pt jump shot from 33 ft,10,8
1,7:36.0,,Offensive rebound by K. Towns,10,8
1,7:28.0,,T. Gibson makes 2-pt jump shot from 7 ft (assist by R. Covington),10,10
1,7:28.0,Violation by Team (def goaltending),,10,10
1,7:15.0,Shooting foul by A. Wiggins (drawn by J. Harden),,10,10
1,7:15.0,Houston full timeout,,10,10
1,7:15.0,J. Harden misses free throw 1 of 2,,10,10
