QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,SACRAMENTO_ACTION,GOLDEN STATE_SCORE,SACRAMENTO_SCORE
1,11:39.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by K. Durant),,3,0
1,11:19.0,,B. Bogdanović misses 2-pt jump shot from 12 ft,3,0
1,11:16.0,Defensive rebound by K. Looney,,3,0
1,11:10.0,K. Thompson makes 2-pt jump shot from 19 ft (assist by D. Green),,5,0
1,11:02.0,,Shooting foul by S. Curry (drawn by D. Fox),5,0
1,11:02.0,,D. Fox makes free throw 1 of 2,5,1
1,11:02.0,,D. Fox makes free throw 2 of 2,5,2
1,10:48.0,Turnover by D. Green (bad pass; steal by B. Bogdanović),,5,2
1,10:43.0,,B. Hield misses 3-pt jump shot from 24 ft,5,2
1,10:37.0,Defensive rebound by K. Durant,,5,2
1,10:25.0,K. Thompson misses 3-pt jump shot from 23 ft,,5,2
1,10:22.0,,Defensive rebound by W. Cauley-Stein,5,2
1,10:16.0,,B. Hield makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),5,5
1,10:03.0,S. Curry misses 3-pt jump shot from 25 ft,,5,5
1,10:01.0,,Defensive rebound by W. Cauley-Stein,5,5
1,9:55.0,,B. Hield makes 2-pt jump shot from 17 ft,5,7
1,9:39.0,D. Green misses 2-pt layup from 1 ft,,5,7
1,9:35.0,Offensive rebound by K. Looney,,5,7
1,9:35.0,K. Looney makes 2-pt layup from 1 ft,,7,7
1,9:25.0,,D. Fox misses 2-pt jump shot from 4 ft (block by K. Looney),7,7
1,9:22.0,Defensive rebound by S. Curry,,7,7
1,9:20.0,S. Curry makes 3-pt jump shot from 25 ft,,10,7
1,9:04.0,,Shooting foul by K. Looney (drawn by W. Cauley-Stein),10,7
1,9:04.0,,W. Cauley-Stein misses free throw 1 of 2,10,7
1,9:04.0,,Offensive rebound by Team,10,7
1,9:04.0,,W. Cauley-Stein makes free throw 2 of 2,10,8
1,8:50.0,D. Green makes 2-pt layup from 2 ft,,12,8
1,8:47.0,,Sacramento full timeout,12,8
1,8:47.0,,Y. Ferrell enters the game for D. Fox,12,8
1,8:23.0,,B. Hield makes 2-pt jump shot from 22 ft,12,10
1,8:05.0,K. Durant makes 2-pt jump shot from 17 ft,,14,10
1,7:42.0,,B. Hield makes 2-pt jump shot from 17 ft,14,12
1,7:21.0,D. Green makes 2-pt layup from 2 ft,,16,12
1,7:05.0,,Personal foul by K. Thompson (drawn by B. Bogdanović),16,12
1,7:02.0,,Turnover by B. Bogdanović (bad pass; steal by K. Thompson),16,12
1,6:57.0,K. Thompson makes 2-pt layup from 1 ft,,18,12
1,6:39.0,,W. Cauley-Stein misses 2-pt layup from 3 ft,18,12
1,6:34.0,,Offensive rebound by N. Bjelica,18,12
1,6:34.0,,N. Bjelica misses 2-pt layup at rim,18,12
1,6:34.0,,Offensive rebound by W. Cauley-Stein,18,12
1,6:33.0,,B. Hield misses 3-pt jump shot from 25 ft,18,12
1,6:30.0,Defensive rebound by D. Green,,18,12
1,6:25.0,Turnover by S. Curry (bad pass; steal by N. Bjelica),,18,12
1,6:21.0,,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by N. Bjelica),18,14
1,5:56.0,Turnover by K. Thompson (lost ball; steal by Y. Ferrell),,18,14
1,5:51.0,,N. Bjelica makes 3-pt jump shot from 26 ft (assist by Y. Ferrell),18,17
1,5:34.0,K. Durant makes 2-pt layup from 2 ft (assist by D. Green),,20,17
1,5:19.0,,B. Bogdanović misses 2-pt jump shot from 23 ft,20,17
1,5:17.0,,Offensive rebound by W. Cauley-Stein,20,17
1,5:12.0,,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by N. Bjelica),20,20
1,5:05.0,K. Thompson makes 2-pt layup from 2 ft (assist by D. Green),,22,20
1,5:05.0,,Violation by Team (def goaltending),22,20
1,4:46.0,,B. Bogdanović misses 2-pt layup from 4 ft,22,20
1,4:43.0,,N. Bjelica makes 2-pt layup at rim,22,22
1,4:43.0,,Offensive rebound by N. Bjelica,22,22
1,4:40.0,Golden State full timeout,,22,22
1,4:40.0,J. Bell enters the game for D. Green,,22,22
1,4:40.0,A. Iguodala enters the game for K. Looney,,22,22
1,4:40.0,,J. Jackson enters the game for B. Bogdanović,22,22
1,4:33.0,S. Curry makes 3-pt jump shot from 25 ft (assist by K. Thompson),,25,22
1,4:10.0,,B. Hield misses 3-pt jump shot from 23 ft,25,22
1,4:06.0,Defensive rebound by K. Durant,,25,22
1,3:55.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by K. Durant),,28,22
1,3:35.0,,N. Bjelica misses 2-pt layup from 4 ft,28,22
1,3:32.0,Defensive rebound by J. Bell,,28,22
1,3:26.0,S. Curry makes 3-pt jump shot from 27 ft (assist by K. Durant),,31,22
1,3:25.0,,Sacramento full timeout,31,22
1,3:25.0,Q. Cook enters the game for S. Curry,,31,22
1,3:25.0,,D. Fox enters the game for W. Cauley-Stein,31,22
1,3:25.0,,H. Giles enters the game for Y. Ferrell,31,22
1,3:22.0,,Violation by Team (delay of game),31,22
1,3:15.0,,D. Fox misses 2-pt layup from 2 ft (block by K. Durant),31,22
1,3:12.0,Defensive rebound by Q. Cook,,31,22
1,3:06.0,Q. Cook makes 3-pt jump shot from 26 ft (assist by K. Durant),,34,22
1,3:06.0,Shooting foul by D. Fox (drawn by Q. Cook),,34,22
1,3:06.0,Q. Cook makes free throw 1 of 1,,35,22
1,2:52.0,,J. Jackson misses 3-pt jump shot from 23 ft,35,22
1,2:50.0,Defensive rebound by A. Iguodala,,35,22
1,2:45.0,K. Durant makes 2-pt dunk from 1 ft (assist by A. Iguodala),,37,22
1,2:31.0,,H. Giles misses 2-pt hook shot from 5 ft,37,22
1,2:29.0,Defensive rebound by Q. Cook,,37,22
1,2:15.0,Personal foul by H. Giles (drawn by J. Bell),,37,22
1,2:15.0,J. Jerebko enters the game for K. Thompson,,37,22
1,2:15.0,,B. Bogdanović enters the game for B. Hield,37,22
1,2:05.0,Q. Cook misses 2-pt jump shot from 4 ft,,37,22
1,2:02.0,Offensive rebound by J. Bell,,37,22
1,2:02.0,J. Bell misses 2-pt layup from 1 ft,,37,22
1,2:01.0,,Defensive rebound by J. Jackson,37,22
1,1:54.0,,Def 3 sec tech foul by Team,37,22
1,1:54.0,,B. Bogdanović makes technical free throw,37,23
1,1:48.0,,N. Bjelica makes 3-pt jump shot from 26 ft (assist by D. Fox),37,26
1,1:32.0,K. Durant misses 2-pt layup from 2 ft,,37,26
1,1:30.0,,Defensive rebound by J. Jackson,37,26
1,1:27.0,,Personal foul by Q. Cook (drawn by H. Giles),37,26
1,1:27.0,D. Green enters the game for J. Bell,,37,26
1,1:18.0,,Shooting foul by D. Green (drawn by B. Bogdanović),37,26
1,1:18.0,,B. Bogdanović misses free throw 1 of 2,37,26
1,1:18.0,,Offensive rebound by Team,37,26
1,1:18.0,,B. Bogdanović makes free throw 2 of 2,37,27
1,1:03.0,A. Iguodala misses 3-pt jump shot from 25 ft,,37,27
