QUARTER,TIME_REMAINING,BOSTON_ACTION,ORLANDO_ACTION,BOSTON_SCORE,ORLANDO_SCORE
1,11:45.0,J. Tatum misses 2-pt layup from 2 ft (block by A. Gordon),,0,0
1,11:43.0,Offensive rebound by J. Tatum,,0,0
1,11:43.0,Shooting foul by A. Gordon (drawn by J. Tatum),,0,0
1,11:43.0,J. Tatum makes free throw 1 of 2,,1,0
1,11:43.0,J. Tatum makes free throw 2 of 2,,2,0
1,11:24.0,,A. Gordon misses 2-pt jump shot from 19 ft,2,0
1,11:21.0,Defensive rebound by K. Irving,,2,0
1,11:16.0,K. Irving misses 3-pt jump shot from 26 ft,,2,0
1,11:14.0,Offensive rebound by A. Horford,,2,0
1,11:12.0,M. Morris makes 3-pt jump shot from 26 ft (assist by A. Horford),,5,0
1,10:52.0,,Offensive foul by A. Gordon (drawn by M. Morris),5,0
1,10:52.0,,Turnover by A. Gordon (offensive foul),5,0
1,10:38.0,Shooting foul by J. Isaac (drawn by M. Morris),,5,0
1,10:38.0,M. Morris misses free throw 1 of 2,,5,0
1,10:38.0,Offensive rebound by Team,,5,0
1,10:38.0,M. Morris misses free throw 2 of 2,,5,0
1,10:36.0,,Defensive rebound by J. Isaac,5,0
1,10:21.0,,E. Fournier misses 3-pt jump shot from 24 ft,5,0
1,10:16.0,,Offensive rebound by A. Gordon,5,0
1,10:16.0,,A. Gordon makes 2-pt layup from 1 ft,5,2
1,10:05.0,Offensive foul by J. Tatum (drawn by A. Gordon),,5,2
1,10:05.0,Turnover by J. Tatum (offensive foul),,5,2
1,10:05.0,Violation by Team (delay of game),,5,2
1,9:52.0,,N. Vučević misses 2-pt jump shot from 12 ft,5,2
1,9:50.0,Defensive rebound by M. Morris,,5,2
1,9:46.0,K. Irving misses 2-pt jump shot from 12 ft,,5,2
1,9:43.0,Offensive rebound by Team,,5,2
1,9:36.0,K. Irving misses 2-pt layup from 5 ft,,5,2
1,9:33.0,,Defensive rebound by N. Vučević,5,2
1,9:23.0,,N. Vučević misses 2-pt hook shot from 10 ft,5,2
1,9:20.0,Defensive rebound by K. Irving,,5,2
1,9:15.0,M. Smart makes 3-pt jump shot from 23 ft (assist by K. Irving),,8,2
1,9:01.0,,E. Fournier misses 3-pt jump shot from 25 ft,8,2
1,8:58.0,Defensive rebound by M. Morris,,8,2
1,8:44.0,J. Tatum misses 3-pt jump shot from 26 ft,,8,2
1,8:41.0,,Defensive rebound by N. Vučević,8,2
1,8:34.0,,J. Isaac makes 3-pt jump shot from 26 ft (assist by N. Vučević),8,5
1,8:15.0,,Violation by Team (kicked ball),8,5
1,8:09.0,A. Horford makes 2-pt jump shot from 17 ft (assist by M. Smart),,10,5
1,7:55.0,,A. Gordon misses 3-pt jump shot from 24 ft,10,5
1,7:53.0,,Offensive rebound by Team,10,5
1,7:49.0,,Turnover by N. Vučević (lost ball; steal by K. Irving),10,5
1,7:40.0,J. Tatum misses 3-pt jump shot from 26 ft,,10,5
1,7:40.0,,Defensive rebound by E. Fournier,10,5
1,7:14.0,,E. Fournier misses 3-pt jump shot from 25 ft,10,5
1,7:09.0,Defensive rebound by M. Smart,,10,5
1,7:04.0,K. Irving makes 2-pt jump shot from 10 ft,,12,5
1,6:52.0,,D. Augustin misses 2-pt layup from 3 ft (block by J. Tatum),12,5
1,6:49.0,Defensive rebound by K. Irving,,12,5
1,6:44.0,M. Morris misses 3-pt jump shot from 25 ft,,12,5
