QUARTER,TIME_REMAINING,MINNESOTA_ACTION,ORLANDO_ACTION,MINNESOTA_SCORE,ORLANDO_SCORE
1,11:46.0,,A. Gordon misses 2-pt jump shot from 18 ft,0,0
1,11:42.0,Defensive rebound by J. Okogie,,0,0
1,11:31.0,A. Wiggins misses 2-pt jump shot from 11 ft,,0,0
1,11:27.0,,Defensive rebound by J. Isaac,0,0
1,11:22.0,,N. Vučević misses 3-pt jump shot from 27 ft,0,0
1,11:20.0,,Offensive rebound by A. Gordon,0,0
1,11:12.0,,N. Vučević makes 2-pt hook shot from 7 ft,0,2
1,10:45.0,A. Wiggins misses 2-pt jump shot from 6 ft,,0,2
1,10:39.0,Offensive rebound by K. Towns,,0,2
1,10:39.0,K. Towns misses 2-pt layup from 1 ft (block by A. Gordon),,0,2
1,10:37.0,,Defensive rebound by J. Isaac,0,2
1,10:33.0,,A. Gordon misses 2-pt jump shot from 5 ft (block by A. Wiggins),0,2
1,10:29.0,Defensive rebound by J. Okogie,,0,2
1,10:23.0,Shooting foul by N. Vučević (drawn by T. Gibson),,0,2
1,10:23.0,T. Gibson makes free throw 1 of 2,,1,2
1,10:23.0,T. Gibson makes free throw 2 of 2,,2,2
1,10:04.0,,E. Fournier makes 2-pt jump shot from 15 ft,2,4
1,9:48.0,Personal foul by A. Gordon (drawn by K. Towns),,2,4
1,9:33.0,T. Gibson misses 2-pt layup from 3 ft,,2,4
1,9:27.0,Offensive rebound by K. Towns,,2,4
1,9:27.0,K. Towns makes 2-pt dunk from 1 ft,,4,4
1,9:14.0,,N. Vučević misses 2-pt jump shot from 21 ft,4,4
1,9:11.0,Defensive rebound by J. Bayless,,4,4
1,9:09.0,J. Okogie makes 2-pt layup from 1 ft (assist by J. Bayless),,6,4
1,8:57.0,,N. Vučević makes 2-pt layup from 1 ft (assist by A. Gordon),6,6
1,8:46.0,A. Wiggins makes 2-pt jump shot from 5 ft,,8,6
1,8:29.0,,A. Gordon makes 3-pt jump shot from 26 ft (assist by N. Vučević),8,9
1,8:29.0,,Shooting foul by T. Gibson (drawn by A. Gordon),8,9
1,8:29.0,,A. Gordon makes free throw 1 of 1,8,10
1,8:15.0,Turnover by J. Okogie (lost ball; steal by J. Isaac),,8,10
1,8:03.0,,D. Augustin misses 2-pt jump shot from 17 ft,8,10
1,7:57.0,,Offensive rebound by N. Vučević,8,10
1,7:57.0,,N. Vučević makes 2-pt layup at rim,8,12
1,7:50.0,Turnover by A. Wiggins (out of bounds lost ball),,8,12
1,7:28.0,,Turnover by A. Gordon (lost ball; steal by T. Gibson),8,12
1,7:20.0,,Violation by Team (kicked ball),8,12
1,7:12.0,J. Okogie makes 3-pt jump shot from 23 ft (assist by A. Wiggins),,11,12
1,6:51.0,,D. Augustin makes 2-pt layup from 2 ft,11,14
1,6:31.0,J. Okogie makes 2-pt layup from 1 ft (assist by K. Towns),,13,14
1,6:22.0,,A. Gordon makes 2-pt dunk from 1 ft (assist by D. Augustin),13,16
1,6:09.0,Offensive foul by K. Towns (drawn by J. Isaac),,13,16
1,6:09.0,Turnover by K. Towns (offensive foul),,13,16
1,6:09.0,,Orlando full timeout,13,16
1,6:09.0,,W. Iwundu enters the game for A. Gordon,13,16
1,5:58.0,,E. Fournier makes 2-pt layup from 2 ft,13,18
1,5:38.0,K. Towns makes 2-pt dunk from 1 ft (assist by J. Okogie),,15,18
1,5:23.0,,Turnover by E. Fournier (bad pass; steal by J. Okogie),15,18
1,5:22.0,Personal take foul by D. Augustin (drawn by J. Okogie),,15,18
1,5:08.0,K. Towns makes 3-pt jump shot from 25 ft (assist by J. Bayless),,18,18
1,4:49.0,,N. Vučević misses 2-pt jump shot from 14 ft,18,18
1,4:47.0,Defensive rebound by T. Gibson,,18,18
1,4:39.0,Turnover by J. Bayless (bad pass; steal by J. Isaac),,18,18
1,4:33.0,,E. Fournier makes 3-pt jump shot from 25 ft (assist by J. Isaac),18,21
1,4:18.0,A. Wiggins misses 2-pt layup from 2 ft (block by J. Isaac),,18,21
1,4:16.0,Offensive rebound by A. Wiggins,,18,21
1,4:15.0,A. Wiggins makes 2-pt dunk from 1 ft,,20,21
1,4:00.0,,J. Isaac misses 2-pt jump shot from 14 ft,20,21
1,4:00.0,Defensive rebound by K. Towns,,20,21
1,3:43.0,T. Gibson misses 2-pt hook shot from 6 ft,,20,21
1,3:43.0,,Defensive rebound by Team,20,21
1,3:43.0,Loose ball foul by T. Gibson (drawn by W. Iwundu),,20,21
1,3:43.0,L. Deng enters the game for T. Gibson,,20,21
1,3:43.0,D. Šarić enters the game for J. Okogie,,20,21
1,3:43.0,,I. Briscoe enters the game for D. Augustin,20,21
1,3:43.0,,T. Ross enters the game for E. Fournier,20,21
1,3:27.0,,T. Ross makes 3-pt jump shot from 26 ft (assist by W. Iwundu),20,24
1,3:09.0,A. Wiggins misses 3-pt jump shot from 25 ft,,20,24
1,3:05.0,Offensive rebound by D. Šarić,,20,24
1,3:04.0,J. Bayless misses 3-pt jump shot from 25 ft,,20,24
1,3:01.0,Offensive rebound by D. Šarić,,20,24
1,2:59.0,D. Šarić makes 2-pt jump shot from 16 ft,,22,24
1,2:51.0,,Orlando full timeout,22,24
1,2:51.0,I. Canaan enters the game for J. Bayless,,22,24
1,2:51.0,G. Dieng enters the game for K. Towns,,22,24
1,2:51.0,,K. Birch enters the game for J. Isaac,22,24
1,2:51.0,,A. Gordon enters the game for N. Vučević,22,24
1,2:39.0,,T. Ross makes 2-pt jump shot from 15 ft (assist by I. Briscoe),22,26
1,2:22.0,Personal foul by K. Birch (drawn by G. Dieng),,22,26
1,2:17.0,A. Wiggins makes 2-pt jump shot from 18 ft,,24,26
1,1:53.0,,T. Ross makes 2-pt layup from 2 ft (assist by I. Briscoe),24,28
1,1:40.0,D. Šarić makes 2-pt layup from 1 ft (assist by I. Canaan),,26,28
1,1:21.0,,A. Gordon misses 2-pt jump shot from 2 ft,26,28
1,1:17.0,Defensive rebound by A. Wiggins,,26,28
1,1:08.0,G. Dieng misses 2-pt jump shot from 16 ft,,26,28
1,1:07.0,Offensive rebound by A. Wiggins,,26,28
1,1:06.0,A. Wiggins makes 2-pt layup from 2 ft,,28,28
1,1:06.0,Shooting foul by W. Iwundu (drawn by A. Wiggins),,28,28
1,1:06.0,A. Wiggins makes free throw 1 of 1,,29,28
1,0:57.0,,Personal foul by L. Deng (drawn by T. Ross),29,28
1,0:53.0,,Personal foul by D. Šarić (drawn by K. Birch),29,28
1,0:53.0,,K. Birch makes free throw 1 of 2,29,29
1,0:53.0,,K. Birch makes free throw 2 of 2,29,30
1,0:45.0,Shooting foul by K. Birch (drawn by A. Wiggins),,29,30
1,0:45.0,A. Wiggins misses free throw 1 of 2,,29,30
1,0:45.0,Offensive rebound by Team,,29,30
1,0:45.0,A. Wiggins misses free throw 2 of 2,,29,30
1,0:43.0,,Defensive rebound by A. Gordon,29,30
1,0:37.0,,W. Iwundu misses 2-pt jump shot from 14 ft,29,30
1,0:34.0,Defensive rebound by D. Šarić,,29,30
1,0:27.0,I. Canaan makes 2-pt layup from 1 ft,,31,30
1,0:04.0,,T. Ross misses 3-pt jump shot from 26 ft,31,30
1,0:03.0,,K. Birch makes 2-pt dunk at rim,31,32
1,0:03.0,,Offensive rebound by K. Birch,31,32
1,0:00.0,A. Wiggins misses 2-pt jump shot from 20 ft,,31,32
1,0:00.0,Offensive rebound by Team,,31,32
2,11:49.0,Turnover by I. Canaan (bad pass; steal by K. Birch),,31,32
2,11:38.0,,T. Ross misses 3-pt jump shot from 27 ft,31,32
2,11:35.0,Defensive rebound by D. Šarić,,31,32
2,11:23.0,A. Tolliver misses 3-pt jump shot from 24 ft,,31,32
2,11:20.0,,Defensive rebound by I. Briscoe,31,32
2,11:03.0,,T. Ross makes 2-pt jump shot from 16 ft,31,34
2,10:34.0,D. Šarić misses 3-pt jump shot from 25 ft,,31,34
2,10:32.0,,Defensive rebound by E. Fournier,31,34
2,10:26.0,,E. Fournier misses 2-pt jump shot from 15 ft,31,34
2,10:22.0,Defensive rebound by A. Tolliver,,31,34
2,10:14.0,L. Deng misses 2-pt layup from 3 ft,,31,34
2,10:14.0,,Defensive rebound by K. Birch,31,34
2,10:09.0,,Personal take foul by G. Dieng (drawn by I. Briscoe),31,34
2,10:09.0,J. Okogie enters the game for L. Deng,,31,34
2,9:57.0,,A. Gordon misses 2-pt layup from 2 ft,31,34
2,9:55.0,Defensive rebound by A. Tolliver,,31,34
2,9:45.0,D. Šarić makes 2-pt layup from 2 ft (assist by G. Dieng),,33,34
2,9:28.0,,E. Fournier makes 2-pt jump shot from 8 ft (assist by T. Ross),33,36
2,9:28.0,Violation by Team (def goaltending),,33,36
2,9:15.0,D. Šarić makes 3-pt jump shot from 26 ft (assist by I. Canaan),,36,36
2,8:49.0,,I. Briscoe makes 2-pt layup from 1 ft,36,38
2,8:38.0,I. Canaan makes 3-pt jump shot from 27 ft,,39,38
2,8:25.0,,K. Birch misses 2-pt jump shot from 8 ft,39,38
2,8:21.0,Defensive rebound by J. Okogie,,39,38
2,8:17.0,J. Okogie misses 2-pt jump shot from 2 ft,,39,38
2,8:14.0,,Defensive rebound by K. Birch,39,38
2,8:08.0,,I. Briscoe makes 2-pt layup from 1 ft,39,40
