QUARTER,TIME_REMAINING,BOSTON_ACTION,LA LAKERS_ACTION,BOSTON_SCORE,LA LAKERS_SCORE
1,11:41.0,,K. Caldwell-Pope misses 2-pt jump shot from 16 ft,0,0
1,11:36.0,Defensive rebound by J. Tatum,,0,0
1,11:19.0,A. Horford makes 2-pt hook shot from 4 ft,,2,0
1,11:04.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,2,0
1,11:01.0,Defensive rebound by A. Horford,,2,0
1,10:51.0,A. Horford makes 2-pt jump shot from 15 ft (assist by M. Smart),,4,0
1,10:32.0,,K. Caldwell-Pope makes 2-pt layup from 2 ft (assist by M. Wagner),4,2
1,10:13.0,Turnover by A. Horford (lost ball; steal by R. Rondo),,4,2
1,10:07.0,,L. James makes 2-pt jump shot from 9 ft,4,4
1,9:55.0,A. Horford makes 2-pt jump shot from 20 ft (assist by K. Irving),,6,4
1,9:43.0,,M. Wagner misses 3-pt jump shot from 25 ft,6,4
1,9:40.0,Defensive rebound by M. Morris,,6,4
1,9:31.0,M. Morris makes 2-pt jump shot from 13 ft (assist by M. Smart),,8,4
1,9:12.0,,J. McGee makes 2-pt hook shot from 5 ft (assist by L. James),8,6
1,8:56.0,M. Morris makes 3-pt jump shot from 25 ft,,11,6
1,8:43.0,,Turnover by J. McGee (lost ball; steal by K. Irving),11,6
1,8:37.0,M. Morris misses 3-pt jump shot from 26 ft,,11,6
1,8:33.0,,Defensive rebound by L. James,11,6
1,8:31.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,11,6
1,8:31.0,Defensive rebound by J. Tatum,,11,6
1,8:24.0,J. Tatum misses 3-pt jump shot from 25 ft,,11,6
1,8:19.0,,Defensive rebound by M. Wagner,11,6
1,8:16.0,,L. James makes 2-pt dunk from 1 ft (assist by R. Rondo),11,8
1,8:05.0,K. Irving makes 3-pt jump shot from 27 ft (assist by J. Tatum),,14,8
1,7:41.0,,L. James misses 2-pt jump shot from 6 ft,14,8
1,7:38.0,Defensive rebound by M. Morris,,14,8
1,7:34.0,K. Irving misses 3-pt jump shot from 29 ft,,14,8
1,7:30.0,,Defensive rebound by J. McGee,14,8
1,7:08.0,,R. Rondo misses 2-pt hook shot from 10 ft,14,8
1,7:07.0,Defensive rebound by A. Horford,,14,8
1,6:52.0,J. Tatum misses 2-pt jump shot from 9 ft,,14,8
1,6:49.0,,Defensive rebound by J. McGee,14,8
1,6:41.0,,L. James makes 2-pt dunk from 1 ft (assist by R. Rondo),14,10
1,6:14.0,M. Morris misses 3-pt jump shot from 25 ft,,14,10
1,6:11.0,,Defensive rebound by J. McGee,14,10
1,6:00.0,,Shooting foul by M. Smart (drawn by J. McGee),14,10
1,6:00.0,,LA Lakers full timeout,14,10
1,6:00.0,A. Baynes enters the game for A. Horford,,14,10
1,6:00.0,J. Brown enters the game for M. Morris,,14,10
1,6:00.0,G. Hayward enters the game for J. Tatum,,14,10
1,6:00.0,,J. McGee makes free throw 1 of 2,14,11
1,6:00.0,,J. McGee makes free throw 2 of 2,14,12
1,5:45.0,M. Smart misses 3-pt jump shot from 25 ft,,14,12
1,5:44.0,,Defensive rebound by J. McGee,14,12
1,5:30.0,,L. James makes 2-pt jump shot from 14 ft,14,14
1,5:07.0,M. Smart misses 3-pt jump shot from 26 ft,,14,14
1,5:03.0,,Defensive rebound by R. Rondo,14,14
1,4:58.0,,M. Wagner makes 2-pt layup from 1 ft (assist by R. Rondo),14,16
1,4:56.0,Boston full timeout,,14,16
1,4:56.0,,J. Hart enters the game for L. James,14,16
1,4:39.0,,Violation by Team (kicked ball),14,16
1,4:30.0,J. Brown makes 2-pt jump shot from 20 ft (assist by M. Smart),,16,16
1,4:12.0,,J. McGee misses 2-pt hook shot from 5 ft,16,16
1,4:12.0,Defensive rebound by Team,,16,16
1,4:04.0,K. Irving makes 3-pt jump shot from 25 ft,,19,16
1,3:46.0,,R. Rondo makes 2-pt layup from 1 ft,19,18
1,3:30.0,M. Smart makes 2-pt jump shot from 10 ft,,21,18
1,3:17.0,,Offensive foul by M. Wagner (drawn by A. Baynes),21,18
1,3:17.0,,Turnover by M. Wagner (offensive foul),21,18
1,3:17.0,T. Rozier enters the game for M. Smart,,21,18
1,3:17.0,,R. Bullock enters the game for K. Caldwell-Pope,21,18
1,3:17.0,,J. Williams enters the game for J. McGee,21,18
1,3:08.0,A. Baynes misses 2-pt jump shot from 12 ft,,21,18
1,3:05.0,,Defensive rebound by R. Rondo,21,18
1,2:54.0,,M. Wagner misses 2-pt layup from 3 ft,21,18
1,2:51.0,,Offensive rebound by J. Williams,21,18
1,2:51.0,,J. Williams makes 2-pt layup at rim,21,20
1,2:42.0,J. Brown misses 3-pt jump shot from 30 ft,,21,20
1,2:39.0,,Defensive rebound by J. Williams,21,20
1,2:19.0,,Offensive foul by R. Rondo (drawn by K. Irving),21,20
1,2:19.0,,Turnover by R. Rondo (offensive foul),21,20
1,2:19.0,A. Horford enters the game for A. Baynes,,21,20
1,2:19.0,,A. Caruso enters the game for M. Wagner,21,20
1,2:04.0,G. Hayward makes 2-pt layup from 2 ft (assist by A. Horford),,23,20
1,1:53.0,,J. Williams misses 2-pt layup from 2 ft,23,20
1,1:51.0,Defensive rebound by K. Irving,,23,20
1,1:49.0,G. Hayward misses 3-pt jump shot from 25 ft,,23,20
1,1:44.0,,Defensive rebound by R. Rondo,23,20
1,1:40.0,,J. Williams makes 2-pt layup from 1 ft (assist by R. Rondo),23,22
1,1:38.0,J. Brown misses 2-pt jump shot from 10 ft,,23,22
1,1:24.0,Offensive rebound by A. Horford,,23,22
1,1:23.0,Shooting foul by J. Williams (drawn by A. Horford),,23,22
1,1:23.0,A. Horford makes free throw 1 of 2,,24,22
1,1:23.0,J. Tatum enters the game for K. Irving,,24,22
1,1:23.0,A. Horford makes free throw 2 of 2,,25,22
1,1:14.0,,R. Bullock misses 2-pt jump shot from 19 ft,25,22
1,1:11.0,Defensive rebound by A. Horford,,25,22
1,1:06.0,Turnover by A. Horford (bad pass),,25,22
1,0:46.0,,R. Rondo misses 2-pt jump shot from 9 ft,25,22
1,0:43.0,Defensive rebound by T. Rozier,,25,22
1,0:40.0,T. Rozier misses 3-pt jump shot from 26 ft,,25,22
1,0:35.0,Offensive rebound by Team,,25,22
1,0:29.0,Turnover by J. Tatum (out of bounds lost ball),,25,22
1,0:19.0,,A. Caruso makes 2-pt layup from 3 ft,25,24
1,0:19.0,Violation by Team (def goaltending),,25,24
2,11:42.0,J. Brown misses 3-pt jump shot from 27 ft,,25,24
2,11:38.0,,Defensive rebound by J. Williams,25,24
2,11:21.0,,J. Hart misses 3-pt jump shot from 27 ft,25,24
2,11:19.0,Defensive rebound by J. Brown,,25,24
2,11:12.0,J. Tatum makes 2-pt jump shot from 14 ft (assist by T. Rozier),,27,24
2,10:59.0,,J. Williams misses 2-pt jump shot from 16 ft,27,24
2,10:56.0,Defensive rebound by J. Tatum,,27,24
2,10:47.0,T. Rozier misses 2-pt jump shot from 18 ft,,27,24
2,10:44.0,,Defensive rebound by I. Bonga,27,24
2,10:39.0,,Turnover by I. Bonga (bad pass; steal by T. Rozier),27,24
2,10:34.0,J. Brown makes 2-pt layup from 5 ft,,29,24
2,10:34.0,Shooting foul by J. Hart (drawn by J. Brown),,29,24
2,10:34.0,,L. James enters the game for I. Bonga,29,24
2,10:34.0,J. Brown makes free throw 1 of 1,,30,24
2,10:23.0,,J. Williams misses 2-pt dunk from 3 ft (block by J. Brown),30,24
2,10:18.0,,Offensive rebound by J. Williams,30,24
2,10:18.0,,J. Williams makes 2-pt layup at rim,30,26
2,10:02.0,J. Tatum misses 2-pt layup from 3 ft,,30,26
2,10:02.0,Offensive rebound by Team,,30,26
2,10:02.0,,Loose ball foul by J. Hart (drawn by J. Tatum),30,26
2,10:02.0,A. Baynes enters the game for A. Horford,,30,26
2,9:51.0,G. Hayward makes 2-pt jump shot from 10 ft,,32,26
2,9:41.0,,J. Hart makes 2-pt jump shot from 8 ft (assist by L. James),32,28
2,9:29.0,Turnover by J. Brown (traveling),,32,28
2,9:23.0,,R. Bullock makes 3-pt jump shot from 26 ft (assist by L. James),32,31
2,9:13.0,T. Rozier makes 2-pt jump shot from 12 ft,,34,31
2,9:06.0,,Shooting foul by J. Brown (drawn by L. James),34,31
2,9:06.0,,L. James makes free throw 1 of 2,34,32
2,9:06.0,M. Morris enters the game for G. Hayward,,34,32
2,9:06.0,,L. James misses free throw 2 of 2,34,32
2,9:04.0,Defensive rebound by J. Tatum,,34,32
2,8:50.0,A. Baynes makes 2-pt hook shot from 9 ft (assist by J. Brown),,36,32
2,8:40.0,,L. James misses 3-pt jump shot from 22 ft,36,32
2,8:36.0,,Offensive rebound by J. Hart,36,32
2,8:36.0,,J. Hart misses 2-pt layup at rim,36,32
