QUARTER,TIME_REMAINING,HOUSTON_ACTION,MEMPHIS_ACTION,HOUSTON_SCORE,MEMPHIS_SCORE
1,11:36.0,J. Harden misses 3-pt jump shot from 23 ft,,0,0
1,11:36.0,,Defensive rebound by M. Conley,0,0
1,11:12.0,,B. Caboclo makes 3-pt jump shot from 26 ft (assist by M. Conley),0,3
1,10:57.0,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),,2,3
1,10:33.0,,M. Conley makes 3-pt jump shot from 23 ft,2,6
1,10:18.0,P. Tucker misses 2-pt layup from 1 ft,,2,6
1,10:16.0,,Defensive rebound by J. Valančiūnas,2,6
1,10:12.0,,Turnover by M. Conley (lost ball; steal by P. Tucker),2,6
1,10:03.0,P. Tucker makes 3-pt jump shot from 26 ft (assist by J. Harden),,5,6
1,9:37.0,,M. Conley makes 3-pt jump shot from 25 ft (assist by B. Caboclo),5,9
1,9:18.0,I. Shumpert misses 3-pt jump shot from 23 ft,,5,9
1,9:16.0,,Defensive rebound by J. Holiday,5,9
1,9:11.0,,M. Conley makes 3-pt jump shot from 25 ft,5,12
1,8:51.0,J. Harden misses 2-pt jump shot from 1 ft,,5,12
1,8:49.0,Offensive rebound by J. Harden,,5,12
1,8:42.0,J. Harden makes 3-pt jump shot from 26 ft (assist by C. Paul),,8,12
1,8:32.0,,D. Wright misses 2-pt jump shot from 8 ft (block by J. Harden),8,12
1,8:28.0,Defensive rebound by C. Paul,,8,12
1,8:21.0,J. Harden makes 2-pt jump shot from 5 ft,,10,12
1,8:04.0,,B. Caboclo makes 2-pt layup at rim (assist by D. Wright),10,14
1,7:51.0,C. Capela misses 2-pt layup from 3 ft,,10,14
1,7:51.0,,Defensive rebound by Team,10,14
1,7:38.0,,J. Valančiūnas makes 2-pt layup from 1 ft (assist by M. Conley),10,16
1,7:32.0,Turnover by J. Harden (bad pass),,10,16
1,7:15.0,,B. Caboclo misses 3-pt jump shot from 24 ft,10,16
1,7:12.0,Defensive rebound by J. Harden,,10,16
1,7:02.0,J. Harden misses 2-pt jump shot from 1 ft,,10,16
1,6:59.0,Offensive rebound by C. Capela,,10,16
1,6:59.0,C. Capela misses 2-pt layup from 1 ft,,10,16
1,6:59.0,,Defensive rebound by Team,10,16
1,6:59.0,,Memphis full timeout,10,16
1,6:59.0,D. House enters the game for C. Paul,,10,16
1,6:59.0,A. Rivers enters the game for P. Tucker,,10,16
1,6:37.0,,D. Wright misses 3-pt jump shot from 23 ft,10,16
1,6:32.0,,Offensive rebound by B. Caboclo,10,16
1,6:30.0,,J. Valančiūnas makes 2-pt jump shot from 1 ft (assist by B. Caboclo),10,18
1,6:10.0,J. Harden misses 2-pt jump shot from 6 ft,,10,18
1,6:10.0,,Defensive rebound by B. Caboclo,10,18
1,6:10.0,,Personal foul by J. Harden (drawn by M. Conley),10,18
