QUARTER,TIME_REMAINING,UTAH_ACTION,HOUSTON_ACTION,UTAH_SCORE,HOUSTON_SCORE
1,11:36.0,D. Mitchell misses 2-pt jump shot from 10 ft,,0,0
1,11:34.0,,Defensive rebound by C. Capela,0,0
1,11:20.0,,P. Tucker misses 3-pt jump shot from 24 ft,0,0
1,11:17.0,Defensive rebound by J. Ingles,,0,0
1,11:03.0,Personal foul by J. Harden (drawn by R. Gobert),,0,0
1,10:53.0,R. Rubio makes 2-pt jump shot from 14 ft (assist by J. Ingles),,2,0
1,10:34.0,,C. Capela misses 2-pt layup from 1 ft,2,0
1,10:34.0,Defensive rebound by R. Rubio,,2,0
1,10:25.0,R. Gobert makes 2-pt dunk at rim (assist by D. Favors),,4,0
1,10:12.0,,C. Capela makes 2-pt dunk at rim (assist by J. Harden),4,2
1,9:52.0,D. Mitchell makes 2-pt layup from 1 ft,,6,2
1,9:37.0,,P. Tucker misses 3-pt jump shot from 23 ft,6,2
1,9:33.0,,Offensive rebound by C. Capela,6,2
1,9:27.0,,P. Tucker makes 2-pt layup from 1 ft (assist by E. Gordon),6,4
1,9:15.0,Turnover by R. Rubio (traveling),,6,4
1,9:07.0,,Turnover by C. Paul (bad pass; steal by D. Favors),6,4
1,9:03.0,R. Rubio makes 2-pt layup at rim (assist by D. Favors),,8,4
1,8:56.0,,E. Gordon makes 3-pt jump shot from 26 ft (assist by J. Harden),8,7
1,8:56.0,,Shooting foul by J. Ingles (drawn by E. Gordon),8,7
1,8:56.0,,E. Gordon makes free throw 1 of 1,8,8
1,8:45.0,Shooting foul by P. Tucker (drawn by D. Favors),,8,8
1,8:45.0,D. Favors makes free throw 1 of 2,,9,8
1,8:45.0,D. Favors makes free throw 2 of 2,,10,8
1,8:25.0,,C. Capela misses 2-pt hook shot from 9 ft,10,8
1,8:23.0,Defensive rebound by R. Gobert,,10,8
1,8:06.0,Turnover by D. Mitchell (step out of bounds),,10,8
1,7:54.0,,C. Capela makes 2-pt layup from 1 ft (assist by P. Tucker),10,10
1,7:43.0,R. Rubio makes 2-pt jump shot from 10 ft,,12,10
1,7:33.0,,C. Paul makes 2-pt jump shot from 14 ft,12,12
1,7:14.0,Turnover by R. Rubio (step out of bounds),,12,12
1,7:02.0,,J. Harden makes 3-pt jump shot from 24 ft,12,15
1,6:36.0,D. Favors makes 2-pt dunk from 1 ft (assist by R. Rubio),,14,15
1,6:15.0,,E. Gordon makes 2-pt layup from 1 ft (assist by P. Tucker),14,17
1,6:15.0,Utah full timeout,,14,17
1,6:15.0,J. Crowder enters the game for D. Favors,,14,17
1,6:15.0,R. O'Neale enters the game for J. Ingles,,14,17
1,6:15.0,,D. House enters the game for E. Gordon,14,17
1,6:15.0,,A. Rivers enters the game for C. Paul,14,17
1,6:03.0,D. Mitchell makes 3-pt jump shot from 25 ft (assist by R. Rubio),,17,17
1,5:45.0,,J. Harden makes 3-pt jump shot from 27 ft,17,20
1,5:31.0,D. Mitchell misses 2-pt layup from 1 ft,,17,20
1,5:27.0,Offensive rebound by R. Gobert,,17,20
1,5:27.0,R. Gobert makes 2-pt layup from 1 ft,,19,20
1,5:11.0,,J. Harden makes 2-pt layup from 1 ft,19,22
1,5:00.0,R. Rubio misses 2-pt layup from 1 ft (block by D. House),,19,22
1,4:57.0,,Defensive rebound by A. Rivers,19,22
1,4:41.0,,J. Harden makes 2-pt jump shot from 2 ft,19,24
1,4:16.0,R. Rubio misses 2-pt jump shot from 7 ft,,19,24
1,4:13.0,,Defensive rebound by C. Capela,19,24
1,4:05.0,,D. House misses 3-pt jump shot from 24 ft,19,24
1,4:02.0,Defensive rebound by R. O'Neale,,19,24
1,3:48.0,D. Mitchell misses 3-pt jump shot from 23 ft,,19,24
1,3:42.0,,Defensive rebound by D. House,19,24
1,3:33.0,,J. Harden misses 2-pt jump shot from 5 ft,19,24
1,3:30.0,Defensive rebound by R. Gobert,,19,24
1,3:25.0,D. Mitchell misses 3-pt jump shot from 25 ft,,19,24
1,3:21.0,,Defensive rebound by P. Tucker,19,24
1,3:08.0,,J. Harden makes 2-pt jump shot from 6 ft (assist by C. Capela),19,26
1,2:54.0,Shooting foul by A. Rivers (drawn by R. Rubio),,19,26
1,2:54.0,,Houston full timeout,19,26
1,2:54.0,D. Favors enters the game for R. Gobert,,19,26
1,2:54.0,J. Ingles enters the game for D. Mitchell,,19,26
1,2:54.0,K. Korver enters the game for R. O'Neale,,19,26
1,2:54.0,,K. Faried enters the game for C. Capela,19,26
1,2:54.0,,G. Green enters the game for J. Harden,19,26
1,2:54.0,,C. Paul enters the game for P. Tucker,19,26
1,2:54.0,R. Rubio makes free throw 1 of 2,,20,26
1,2:54.0,R. Rubio makes free throw 2 of 2,,21,26
1,2:44.0,,Turnover by A. Rivers (traveling),21,26
1,2:44.0,R. Neto enters the game for R. Rubio,,21,26
1,2:27.0,Turnover by D. Favors (lost ball; steal by C. Paul),,21,26
1,2:20.0,,D. House misses 3-pt jump shot from 24 ft,21,26
1,2:19.0,,Offensive rebound by Team,21,26
1,2:19.0,Loose ball foul by K. Korver (drawn by G. Green),,21,26
1,2:12.0,,K. Faried makes 2-pt dunk at rim (assist by C. Paul),21,28
1,1:58.0,Turnover by J. Ingles (bad pass),,21,28
1,1:50.0,,Personal foul by R. Neto (drawn by C. Paul),21,28
1,1:41.0,,D. House makes 3-pt jump shot from 24 ft (assist by C. Paul),21,31
1,1:28.0,Shooting foul by D. House (drawn by J. Crowder),,21,31
1,1:28.0,J. Crowder makes free throw 1 of 3,,22,31
1,1:28.0,J. Crowder makes free throw 2 of 3,,23,31
1,1:28.0,J. Crowder makes free throw 3 of 3,,24,31
1,1:08.0,,D. House misses 3-pt jump shot from 26 ft,24,31
1,1:04.0,,Offensive rebound by C. Paul,24,31
1,1:01.0,,G. Green misses 3-pt jump shot from 24 ft,24,31
1,0:59.0,Defensive rebound by R. Neto,,24,31
1,0:44.0,J. Ingles misses 3-pt jump shot from 23 ft,,24,31
1,0:41.0,,Defensive rebound by D. House,24,31
1,0:26.0,,G. Green misses 2-pt layup from 1 ft,24,31
1,0:25.0,Defensive rebound by J. Crowder,,24,31
1,0:08.0,Offensive foul by D. Favors (drawn by D. House),,24,31
1,0:08.0,Turnover by D. Favors (offensive foul),,24,31
1,0:00.0,,C. Paul misses 3-pt jump shot from 26 ft,24,31
1,0:00.0,,Offensive rebound by Team,24,31
2,11:43.0,,Turnover by C. Paul (bad pass),24,31
2,11:21.0,R. Neto misses 2-pt jump shot from 16 ft,,24,31
2,11:17.0,,Defensive rebound by K. Faried,24,31
2,11:08.0,,G. Green makes 2-pt jump shot from 11 ft (assist by C. Paul),24,33
2,10:54.0,D. Favors makes 2-pt dunk from 1 ft (assist by J. Ingles),,26,33
2,10:30.0,,E. Gordon misses 2-pt layup from 3 ft (block by D. Favors),26,33
2,10:27.0,,Offensive rebound by E. Gordon,26,33
2,10:26.0,,E. Gordon misses 2-pt jump shot from 15 ft,26,33
2,10:25.0,Defensive rebound by D. Favors,,26,33
2,10:10.0,D. Favors makes 2-pt layup at rim (assist by R. Neto),,28,33
2,9:55.0,,C. Paul misses 2-pt jump shot from 15 ft,28,33
2,9:54.0,Defensive rebound by D. Favors,,28,33
2,9:45.0,Personal foul by K. Faried (drawn by D. Favors),,28,33
2,9:45.0,R. O'Neale enters the game for R. Neto,,28,33
2,9:45.0,,P. Tucker enters the game for D. House,28,33
2,9:37.0,J. Crowder misses 3-pt jump shot from 26 ft,,28,33
2,9:33.0,,Defensive rebound by G. Green,28,33
2,9:22.0,,Shooting foul by D. Favors (drawn by E. Gordon),28,33
2,9:22.0,,E. Gordon makes free throw 1 of 2,28,34
2,9:22.0,T. Sefolosha enters the game for J. Crowder,,28,34
2,9:22.0,,E. Gordon makes free throw 2 of 2,28,35
2,8:57.0,R. O'Neale makes 2-pt jump shot from 5 ft,,30,35
2,8:43.0,,P. Tucker misses 3-pt jump shot from 23 ft,30,35
2,8:40.0,Defensive rebound by R. O'Neale,,30,35
2,8:33.0,Shooting foul by G. Green (drawn by D. Favors),,30,35
2,8:33.0,D. Favors makes free throw 1 of 2,,31,35
2,8:33.0,D. Mitchell enters the game for J. Ingles,,31,35
2,8:33.0,R. Rubio enters the game for K. Korver,,31,35
2,8:33.0,,C. Capela enters the game for K. Faried,31,35
2,8:33.0,,J. Harden enters the game for G. Green,31,35
2,8:33.0,D. Favors misses free throw 2 of 2,,31,35
2,8:33.0,,Defensive rebound by J. Harden,31,35
2,8:21.0,,J. Harden misses 3-pt jump shot from 25 ft,31,35
2,8:18.0,Defensive rebound by D. Mitchell,,31,35
2,8:07.0,R. O'Neale misses 2-pt layup from 2 ft,,31,35
2,8:05.0,,Defensive rebound by J. Harden,31,35
2,8:00.0,,J. Harden misses 2-pt jump shot from 8 ft,31,35
2,7:59.0,,Offensive rebound by Team,31,35
2,7:59.0,R. Gobert enters the game for D. Favors,,31,35
2,7:50.0,,C. Paul makes 2-pt jump shot from 9 ft,31,37
2,7:41.0,Offensive foul by R. Gobert (drawn by C. Paul),,31,37
2,7:41.0,Turnover by R. Gobert (offensive foul),,31,37
2,7:17.0,,J. Harden misses 2-pt jump shot from 9 ft,31,37
2,7:17.0,,Offensive rebound by Team,31,37
2,7:17.0,,Turnover by Team (shot clock),31,37
2,6:54.0,T. Sefolosha misses 2-pt jump shot from 21 ft,,31,37
2,6:51.0,,Defensive rebound by J. Harden,31,37
2,6:41.0,,C. Paul makes 2-pt jump shot from 8 ft,31,39
2,6:41.0,Utah full timeout,,31,39
2,6:41.0,,D. House enters the game for C. Paul,31,39
2,6:28.0,Turnover by R. Gobert (lost ball; steal by P. Tucker),,31,39
2,6:22.0,,J. Harden makes 2-pt layup from 1 ft,31,41
2,6:02.0,D. Mitchell misses 2-pt jump shot from 13 ft,,31,41
2,6:00.0,,Defensive rebound by C. Capela,31,41
2,5:49.0,,D. House misses 3-pt jump shot from 23 ft,31,41
2,5:48.0,Defensive rebound by Team,,31,41
2,5:28.0,R. Rubio misses 2-pt layup from 1 ft,,31,41
2,5:27.0,,Defensive rebound by E. Gordon,31,41
2,5:21.0,,C. Capela misses 2-pt dunk from 1 ft,31,41
2,5:20.0,,Offensive rebound by J. Harden,31,41
2,5:20.0,,Personal foul by R. Rubio (drawn by J. Harden),31,41
2,5:12.0,,J. Harden misses 2-pt jump shot from 9 ft,31,41
2,5:10.0,Defensive rebound by R. O'Neale,,31,41
2,5:05.0,R. Rubio makes 3-pt jump shot from 23 ft (assist by T. Sefolosha),,34,41
2,4:46.0,,E. Gordon misses 2-pt jump shot from 7 ft,34,41
2,4:44.0,Defensive rebound by R. Gobert,,34,41
2,4:40.0,Personal foul by E. Gordon (drawn by R. O'Neale),,34,41
2,4:40.0,J. Ingles enters the game for R. O'Neale,,34,41
2,4:31.0,J. Ingles misses 3-pt jump shot from 26 ft,,34,41
2,4:28.0,,Defensive rebound by C. Capela,34,41
2,4:18.0,,P. Tucker makes 3-pt jump shot from 22 ft (assist by J. Harden),34,44
2,4:02.0,R. Gobert makes 2-pt layup at rim (assist by R. Rubio),,36,44
2,3:48.0,,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),36,46
2,3:48.0,Utah full timeout,,36,46
2,3:48.0,J. Crowder enters the game for T. Sefolosha,,36,46
2,3:48.0,,C. Paul enters the game for D. House,36,46
2,3:33.0,J. Crowder misses 2-pt jump shot from 18 ft,,36,46
2,3:31.0,,Defensive rebound by P. Tucker,36,46
2,3:23.0,,P. Tucker makes 3-pt jump shot from 24 ft (assist by J. Harden),36,49
2,3:07.0,Turnover by R. Gobert (bad pass; steal by P. Tucker),,36,49
2,2:59.0,,J. Harden makes 3-pt jump shot from 26 ft,36,52
2,2:43.0,D. Mitchell makes 2-pt layup from 1 ft,,38,52
2,2:32.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by J. Harden),38,55
2,2:13.0,J. Crowder makes 3-pt jump shot from 24 ft (assist by R. Gobert),,41,55
2,2:03.0,,Personal foul by R. Rubio (drawn by J. Harden),41,55
2,1:53.0,,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),41,57
2,1:37.0,D. Mitchell misses 2-pt layup from 3 ft (block by E. Gordon),,41,57
2,1:35.0,Offensive rebound by Team,,41,57
2,1:27.0,J. Crowder misses 3-pt jump shot from 24 ft (block by E. Gordon),,41,57
2,1:25.0,,Defensive rebound by E. Gordon,41,57
2,1:21.0,,Turnover by C. Paul (lost ball; steal by J. Ingles),41,57
2,1:19.0,Shooting foul by C. Paul (drawn by J. Crowder),,41,57
2,1:19.0,J. Crowder misses free throw 1 of 2,,41,57
2,1:19.0,Offensive rebound by Team,,41,57
2,1:19.0,J. Crowder makes free throw 2 of 2,,42,57
2,1:10.0,,J. Harden misses 2-pt jump shot from 8 ft,42,57
2,1:08.0,,Offensive rebound by C. Capela,42,57
2,1:07.0,,C. Capela misses 2-pt hook shot from 6 ft,42,57
2,1:02.0,Defensive rebound by R. Rubio,,42,57
2,1:02.0,Personal foul by P. Tucker (drawn by R. Rubio),,42,57
2,1:02.0,R. Rubio makes free throw 1 of 2,,43,57
2,1:02.0,R. Rubio makes free throw 2 of 2,,44,57
2,0:49.0,,E. Gordon misses 3-pt jump shot from 26 ft,44,57
2,0:44.0,,Offensive rebound by P. Tucker,44,57
2,0:42.0,,C. Capela makes 2-pt layup from 1 ft (assist by P. Tucker),44,59
2,0:33.0,D. Mitchell misses 2-pt layup from 2 ft (block by J. Harden),,44,59
2,0:32.0,Offensive rebound by Team,,44,59
2,0:22.0,J. Crowder misses 3-pt jump shot from 27 ft,,44,59
2,0:19.0,,Defensive rebound by C. Paul,44,59
2,0:01.0,,J. Harden misses 3-pt jump shot from 28 ft,44,59
2,0:01.0,Defensive rebound by J. Crowder,,44,59
3,11:47.0,,E. Gordon misses 3-pt jump shot from 24 ft,44,59
3,11:44.0,Defensive rebound by D. Favors,,44,59
3,11:32.0,Turnover by D. Mitchell (bad pass),,44,59
3,11:22.0,,Turnover by C. Paul (bad pass; steal by D. Mitchell),44,59
3,11:17.0,D. Mitchell misses 3-pt jump shot from 25 ft,,44,59
3,11:15.0,Offensive rebound by R. Gobert,,44,59
3,11:15.0,R. Gobert misses 2-pt layup from 1 ft,,44,59
3,11:14.0,Offensive rebound by R. Gobert,,44,59
3,11:10.0,R. Gobert makes 2-pt layup at rim,,46,59
3,11:02.0,,Turnover by J. Harden (bad pass; steal by R. Rubio),46,59
3,10:49.0,R. Gobert makes 2-pt layup from 1 ft (assist by J. Ingles),,48,59
3,10:32.0,,E. Gordon makes 2-pt layup at rim,48,61
3,10:32.0,,Shooting foul by R. Gobert (drawn by E. Gordon),48,61
3,10:32.0,,E. Gordon makes free throw 1 of 1,48,62
3,10:20.0,D. Favors misses 3-pt jump shot from 23 ft,,48,62
3,10:18.0,,Defensive rebound by C. Capela,48,62
3,10:10.0,,J. Harden misses 2-pt layup at rim,48,62
3,10:08.0,Defensive rebound by J. Ingles,,48,62
3,10:01.0,D. Favors misses 2-pt layup from 2 ft (block by C. Paul),,48,62
3,9:57.0,Offensive rebound by D. Favors,,48,62
3,9:56.0,D. Favors makes 2-pt layup from 1 ft,,50,62
3,9:49.0,,Turnover by E. Gordon (lost ball; steal by J. Ingles),50,62
