QUARTER,TIME_REMAINING,CHICAGO_ACTION,SACRAMENTO_ACTION,CHICAGO_SCORE,SACRAMENTO_SCORE
1,11:46.0,K. Dunn makes 2-pt jump shot from 8 ft,,2,0
1,11:23.0,,B. Hield misses 2-pt jump shot from 12 ft,2,0
1,11:22.0,,Offensive rebound by Team,2,0
1,11:13.0,,H. Barnes misses 2-pt jump shot from 12 ft,2,0
1,11:10.0,Defensive rebound by L. Markkanen,,2,0
1,11:07.0,Turnover by L. Markkanen (out of bounds lost ball),,2,0
1,11:02.0,,Turnover by H. Barnes (bad pass; steal by O. Porter),2,0
1,10:42.0,L. Markkanen makes 2-pt jump shot from 10 ft (assist by K. Dunn),,4,0
1,10:26.0,,D. Fox makes 2-pt jump shot from 9 ft (assist by W. Cauley-Stein),4,2
1,10:14.0,K. Dunn misses 2-pt layup from 5 ft,,4,2
1,10:14.0,Offensive rebound by Team,,4,2
1,10:14.0,Personal foul by D. Fox (drawn by K. Dunn),,4,2
1,10:08.0,O. Porter misses 2-pt layup from 4 ft,,4,2
1,10:06.0,Offensive rebound by Z. LaVine,,4,2
1,10:01.0,Turnover by L. Markkanen (bad pass; steal by B. Hield),,4,2
1,9:56.0,,W. Cauley-Stein makes 2-pt dunk from 5 ft (assist by N. Bjelica),4,4
1,9:31.0,K. Dunn misses 3-pt jump shot from 26 ft,,4,4
1,9:30.0,,Defensive rebound by Team,4,4
1,9:25.0,,Personal foul by K. Dunn (drawn by D. Fox),4,4
1,9:18.0,,D. Fox makes 2-pt layup from 8 ft,4,6
1,8:53.0,Turnover by R. Lopez (traveling),,4,6
1,8:41.0,,D. Fox misses 3-pt jump shot from 28 ft,4,6
1,8:40.0,,Offensive rebound by W. Cauley-Stein,4,6
1,8:38.0,,N. Bjelica makes 3-pt jump shot from 27 ft (assist by B. Hield),4,9
1,8:19.0,Z. LaVine makes 3-pt jump shot from 26 ft (assist by K. Dunn),,7,9
1,8:05.0,,W. Cauley-Stein makes 2-pt layup from 5 ft,7,11
1,7:47.0,O. Porter misses 3-pt jump shot from 28 ft,,7,11
1,7:47.0,Offensive rebound by Team,,7,11
1,7:47.0,Personal foul by W. Cauley-Stein (drawn by R. Lopez),,7,11
1,7:39.0,Z. LaVine makes 2-pt jump shot from 15 ft,,9,11
1,7:27.0,,Turnover by B. Hield (lost ball; steal by K. Dunn),9,11
1,7:20.0,K. Dunn makes 2-pt layup from 8 ft,,11,11
1,6:58.0,,W. Cauley-Stein misses 2-pt hook shot from 12 ft,11,11
1,6:55.0,Defensive rebound by R. Lopez,,11,11
1,6:46.0,L. Markkanen misses 3-pt jump shot from 23 ft,,11,11
1,6:43.0,,Defensive rebound by D. Fox,11,11
1,6:39.0,,D. Fox misses 2-pt layup from 7 ft (block by L. Markkanen),11,11
1,6:36.0,,Offensive rebound by B. Hield,11,11
1,6:36.0,,Turnover by B. Hield (bad pass; steal by Z. LaVine),11,11
1,6:30.0,Shooting foul by N. Bjelica (drawn by L. Markkanen),,11,11
1,6:30.0,,Sacramento full timeout,11,11
1,6:30.0,,B. Bogdanović enters the game for B. Hield,11,11
1,6:30.0,L. Markkanen makes free throw 1 of 2,,12,11
1,6:30.0,L. Markkanen makes free throw 2 of 2,,13,11
1,6:18.0,,D. Fox misses 2-pt layup from 7 ft,13,11
1,6:16.0,Defensive rebound by R. Lopez,,13,11
1,6:12.0,Z. LaVine makes 2-pt layup from 5 ft,,15,11
1,5:49.0,,W. Cauley-Stein misses 2-pt hook shot from 6 ft (block by R. Lopez),15,11
1,5:46.0,,Offensive rebound by H. Barnes,15,11
1,5:46.0,,Turnover by Team (shot clock),15,11
1,5:46.0,,H. Giles enters the game for W. Cauley-Stein,15,11
1,5:30.0,Z. LaVine misses 3-pt jump shot from 29 ft,,15,11
1,5:28.0,,Defensive rebound by D. Fox,15,11
1,5:17.0,,N. Bjelica makes 2-pt hook shot from 6 ft (assist by H. Giles),15,13
1,4:51.0,Turnover by Z. LaVine (bad pass; steal by D. Fox),,15,13
1,4:45.0,,H. Barnes misses 2-pt layup from 7 ft,15,13
1,4:42.0,Defensive rebound by R. Lopez,,15,13
1,4:30.0,O. Porter misses 2-pt jump shot from 20 ft,,15,13
1,4:27.0,,Defensive rebound by H. Giles,15,13
1,4:26.0,,D. Fox makes 2-pt dunk from 9 ft,15,15
1,4:21.0,Chicago full timeout,,15,15
1,4:21.0,R. Arcidiacono enters the game for K. Dunn,,15,15
1,4:21.0,W. Selden enters the game for L. Markkanen,,15,15
1,4:21.0,,M. Bagley enters the game for N. Bjelica,15,15
1,4:06.0,Z. LaVine misses 2-pt layup from 6 ft (block by H. Giles),,15,15
1,4:03.0,,Defensive rebound by M. Bagley,15,15
1,3:50.0,,Turnover by H. Barnes (traveling),15,15
1,3:34.0,O. Porter makes 2-pt hook shot from 8 ft (assist by Z. LaVine),,17,15
1,3:19.0,,H. Giles misses 2-pt hook shot from 7 ft,17,15
1,3:18.0,,Offensive rebound by B. Bogdanović,17,15
1,3:12.0,,H. Giles misses 2-pt jump shot from 12 ft,17,15
1,3:10.0,Defensive rebound by W. Selden,,17,15
1,2:57.0,Z. LaVine misses 2-pt jump shot from 8 ft,,17,15
1,2:55.0,,Defensive rebound by B. Bogdanović,17,15
1,2:41.0,,M. Bagley makes 2-pt jump shot from 15 ft,17,17
1,2:26.0,O. Porter misses 3-pt jump shot from 27 ft,,17,17
1,2:24.0,Offensive rebound by Z. LaVine,,17,17
1,2:14.0,R. Lopez misses 2-pt hook shot from 5 ft (block by M. Bagley),,17,17
1,2:11.0,,Defensive rebound by M. Bagley,17,17
1,2:08.0,,M. Bagley makes 2-pt layup from 5 ft,17,19
1,1:46.0,W. Selden makes 3-pt jump shot from 27 ft (assist by O. Porter),,20,19
1,1:28.0,Violation by Team (kicked ball),,20,19
1,1:28.0,T. Luwawu-Cabarrot enters the game for O. Porter,,20,19
1,1:28.0,,C. Brewer enters the game for H. Barnes,20,19
1,1:28.0,,B. Hield enters the game for D. Fox,20,19
1,1:18.0,,B. Hield misses 2-pt jump shot from 15 ft,20,19
1,1:16.0,,Offensive rebound by M. Bagley,20,19
1,1:12.0,,H. Giles makes 2-pt dunk from 4 ft,20,21
1,0:50.0,T. Luwawu-Cabarrot misses 2-pt jump shot from 19 ft,,20,21
1,0:49.0,Offensive rebound by Team,,20,21
1,0:49.0,Personal foul by H. Giles (drawn by R. Lopez),,20,21
1,0:44.0,Turnover by R. Arcidiacono (bad pass; steal by H. Giles),,20,21
1,0:44.0,,Personal foul by R. Arcidiacono (drawn by H. Giles),20,21
1,0:44.0,L. Markkanen enters the game for R. Lopez,,20,21
1,0:30.0,,Turnover by H. Giles (3 sec),20,21
1,0:06.0,L. Markkanen makes 3-pt jump shot from 24 ft (assist by Z. LaVine),,23,21
1,0:00.0,,B. Bogdanović makes 3-pt jump shot from 26 ft,23,24
2,11:41.0,,C. Brewer misses 3-pt jump shot from 22 ft,23,24
2,11:39.0,Defensive rebound by R. Arcidiacono,,23,24
2,11:23.0,W. Selden misses 3-pt jump shot from 26 ft,,23,24
2,11:21.0,,Defensive rebound by B. Bogdanović,23,24
2,11:09.0,,M. Bagley misses 3-pt jump shot from 27 ft,23,24
2,11:07.0,Defensive rebound by S. Harrison,,23,24
2,11:00.0,Turnover by S. Harrison (bad pass; steal by B. Bogdanović),,23,24
2,10:55.0,,B. Bogdanović misses 2-pt layup from 4 ft (block by W. Selden),23,24
2,10:52.0,Defensive rebound by S. Harrison,,23,24
2,10:39.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 23 ft,,23,24
2,10:37.0,,Defensive rebound by H. Giles,23,24
2,10:28.0,,H. Giles makes 2-pt layup from 4 ft (assist by B. Hield),23,26
2,10:07.0,L. Markkanen misses 3-pt jump shot from 26 ft,,23,26
2,10:06.0,,Defensive rebound by B. Bogdanović,23,26
2,9:52.0,,Shooting foul by T. Luwawu-Cabarrot (drawn by B. Hield),23,26
2,9:52.0,,B. Hield makes free throw 1 of 2,23,27
2,9:52.0,C. Felício enters the game for L. Markkanen,,23,27
2,9:52.0,O. Porter enters the game for W. Selden,,23,27
2,9:52.0,,W. Cauley-Stein enters the game for H. Giles,23,27
2,9:52.0,,B. Hield makes free throw 2 of 2,23,28
2,9:37.0,S. Harrison makes 2-pt layup from 7 ft,,25,28
2,9:23.0,,B. Hield makes 2-pt jump shot from 13 ft (assist by B. Bogdanović),25,30
2,9:06.0,Turnover by S. Harrison (bad pass; steal by W. Cauley-Stein),,25,30
2,8:48.0,,M. Bagley misses 3-pt jump shot from 30 ft,25,30
2,8:46.0,Defensive rebound by S. Harrison,,25,30
2,8:36.0,R. Arcidiacono makes 2-pt jump shot from 13 ft (assist by S. Harrison),,27,30
2,8:23.0,,Personal foul by O. Porter (drawn by M. Bagley),27,30
2,8:11.0,,B. Hield makes 3-pt jump shot from 27 ft (assist by W. Cauley-Stein),27,33
2,7:52.0,O. Porter misses 3-pt jump shot from 26 ft,,27,33
2,7:50.0,,Defensive rebound by B. Bogdanović,27,33
2,7:42.0,,B. Hield misses 3-pt jump shot from 28 ft,27,33
2,7:40.0,Defensive rebound by C. Felício,,27,33
2,7:30.0,R. Arcidiacono misses 3-pt jump shot from 26 ft,,27,33
2,7:29.0,,Defensive rebound by W. Cauley-Stein,27,33
2,7:14.0,,M. Bagley makes 2-pt jump shot from 6 ft,27,35
2,7:14.0,,Shooting foul by C. Felício (drawn by M. Bagley),27,35
2,7:14.0,K. Dunn enters the game for R. Arcidiacono,,27,35
2,7:14.0,,M. Bagley makes free throw 1 of 1,27,36
2,7:05.0,Personal foul by M. Bagley (drawn by C. Felício),,27,36
2,7:05.0,Z. LaVine enters the game for T. Luwawu-Cabarrot,,27,36
2,7:05.0,,H. Barnes enters the game for M. Bagley,27,36
2,6:55.0,Turnover by C. Felício (3 sec),,27,36
