QUARTER,TIME_REMAINING,DALLAS_ACTION,GOLDEN STATE_ACTION,DALLAS_SCORE,GOLDEN STATE_SCORE
1,11:46.0,,K. Durant misses 2-pt jump shot from 18 ft,0,0
1,11:45.0,Defensive rebound by L. Dončić,,0,0
1,11:30.0,D. Nowitzki makes 2-pt jump shot from 22 ft (assist by L. Dončić),,2,0
1,11:16.0,,K. Thompson misses 2-pt jump shot from 20 ft,2,0
1,11:15.0,Defensive rebound by L. Dončić,,2,0
1,10:56.0,D. Nowitzki makes 3-pt jump shot from 27 ft (assist by J. Jackson),,5,0
1,10:35.0,,K. Durant makes 2-pt jump shot from 10 ft,5,2
1,10:21.0,J. Brunson makes 2-pt hook shot from 8 ft (assist by L. Dončić),,7,2
1,10:11.0,,Q. Cook misses 2-pt hook shot from 10 ft,7,2
1,10:10.0,Defensive rebound by D. Powell,,7,2
1,9:52.0,L. Dončić makes 2-pt jump shot from 13 ft,,9,2
1,9:38.0,,D. Cousins misses 2-pt jump shot from 20 ft,9,2
1,9:33.0,Defensive rebound by L. Dončić,,9,2
1,9:29.0,J. Jackson misses 3-pt jump shot from 26 ft,,9,2
1,9:27.0,Offensive rebound by D. Powell,,9,2
1,9:23.0,D. Nowitzki makes 3-pt jump shot from 27 ft (assist by D. Powell),,12,2
1,9:21.0,,Golden State full timeout,12,2
1,9:11.0,,K. Durant misses 3-pt jump shot from 27 ft,12,2
1,9:08.0,Defensive rebound by L. Dončić,,12,2
1,9:01.0,Turnover by L. Dončić (bad pass; steal by K. Thompson),,12,2
1,8:57.0,,K. Thompson misses 3-pt jump shot from 27 ft,12,2
1,8:55.0,,Offensive rebound by D. Cousins,12,2
1,8:50.0,,K. Durant misses 3-pt jump shot from 26 ft,12,2
1,8:48.0,Defensive rebound by J. Brunson,,12,2
1,8:33.0,D. Nowitzki makes 2-pt jump shot from 17 ft (assist by L. Dončić),,14,2
1,8:19.0,,D. Cousins makes 3-pt jump shot from 31 ft (assist by D. Green),14,5
