QUARTER,TIME_REMAINING,HOUSTON_ACTION,SACRAMENTO_ACTION,HOUSTON_SCORE,SACRAMENTO_SCORE
1,11:39.0,J. Harden misses 3-pt jump shot from 25 ft,,0,0
1,11:35.0,,Defensive rebound by W. Cauley-Stein,0,0
1,11:20.0,,Turnover by H. Barnes (bad pass; steal by C. Capela),0,0
1,11:07.0,J. Harden makes 2-pt layup from 2 ft,,2,0
1,10:59.0,,Turnover by D. Fox (bad pass),2,0
1,10:45.0,C. Capela misses 2-pt jump shot from 5 ft,,2,0
1,10:41.0,,Defensive rebound by H. Barnes,2,0
1,10:36.0,,H. Barnes misses 2-pt jump shot from 23 ft,2,0
1,10:36.0,Defensive rebound by Team,,2,0
1,10:25.0,E. Gordon makes 3-pt jump shot from 23 ft (assist by C. Paul),,5,0
1,10:07.0,,H. Barnes makes 2-pt jump shot from 11 ft (assist by B. Hield),5,2
1,9:53.0,C. Paul misses 3-pt jump shot from 24 ft,,5,2
1,9:51.0,,Defensive rebound by H. Barnes,5,2
1,9:44.0,,D. Fox misses 3-pt jump shot from 25 ft,5,2
1,9:42.0,Defensive rebound by C. Capela,,5,2
1,9:35.0,E. Gordon misses 3-pt jump shot from 27 ft,,5,2
1,9:32.0,Offensive rebound by C. Capela,,5,2
1,9:21.0,Shooting foul by N. Bjelica (drawn by J. Harden),,5,2
1,9:21.0,Offensive rebound by Team,,5,2
1,9:21.0,J. Harden misses free throw 1 of 2,,5,2
1,9:21.0,J. Harden makes free throw 2 of 2,,6,2
1,8:59.0,,N. Bjelica makes 2-pt layup from 1 ft (assist by B. Hield),6,4
1,8:41.0,J. Harden makes 2-pt layup from 2 ft,,8,4
1,8:32.0,,W. Cauley-Stein misses 2-pt jump shot from 17 ft,8,4
1,8:29.0,Defensive rebound by C. Paul,,8,4
1,8:24.0,E. Gordon misses 3-pt jump shot from 28 ft,,8,4
1,8:21.0,,Defensive rebound by B. Hield,8,4
1,8:15.0,,N. Bjelica makes 2-pt layup from 2 ft (assist by B. Hield),8,6
1,8:05.0,Personal foul by N. Bjelica (drawn by J. Harden),,8,6
1,7:57.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by C. Paul),,11,6
1,7:48.0,,N. Bjelica makes 2-pt jump shot from 6 ft (assist by D. Fox),11,8
1,7:39.0,P. Tucker misses 3-pt jump shot from 26 ft,,11,8
1,7:35.0,,Defensive rebound by B. Hield,11,8
1,7:33.0,,B. Hield makes 3-pt jump shot from 25 ft,11,11
1,7:16.0,J. Harden misses 2-pt layup from 3 ft,,11,11
1,7:16.0,,Defensive rebound by Team,11,11
1,7:16.0,Loose ball foul by C. Capela (drawn by W. Cauley-Stein),,11,11
1,7:16.0,,M. Bagley enters the game for N. Bjelica,11,11
1,6:58.0,,B. Hield misses 3-pt jump shot from 25 ft,11,11
1,6:53.0,Defensive rebound by C. Capela,,11,11
1,6:50.0,E. Gordon misses 3-pt jump shot from 25 ft,,11,11
1,6:44.0,,Defensive rebound by D. Fox,11,11
1,6:42.0,,B. Hield misses 3-pt jump shot from 25 ft,11,11
1,6:39.0,Defensive rebound by C. Paul,,11,11
1,6:36.0,C. Capela makes 2-pt dunk from 2 ft (assist by C. Paul),,13,11
1,6:36.0,Shooting foul by B. Hield (drawn by C. Capela),,13,11
1,6:36.0,,Sacramento full timeout,13,11
1,6:36.0,D. House enters the game for E. Gordon,,13,11
1,6:36.0,I. Shumpert enters the game for C. Paul,,13,11
1,6:36.0,C. Capela makes free throw 1 of 1,,14,11
1,6:20.0,,M. Bagley misses 2-pt jump shot from 7 ft,14,11
1,6:17.0,Defensive rebound by C. Capela,,14,11
1,6:08.0,J. Harden misses 2-pt layup from 5 ft (block by D. Fox),,14,11
1,6:08.0,Offensive rebound by Team,,14,11
1,6:02.0,C. Capela makes 2-pt dunk from 2 ft (assist by J. Harden),,16,11
1,5:39.0,,B. Hield makes 3-pt jump shot from 23 ft (assist by H. Barnes),16,14
1,5:21.0,Shooting foul by D. Fox (drawn by J. Harden),,16,14
1,5:21.0,J. Harden makes free throw 1 of 3,,17,14
1,5:21.0,J. Harden makes free throw 2 of 3,,18,14
1,5:21.0,J. Harden makes free throw 3 of 3,,19,14
1,5:09.0,,W. Cauley-Stein misses 2-pt jump shot from 19 ft,19,14
1,5:08.0,,M. Bagley makes 2-pt layup at rim,19,16
1,5:08.0,,Offensive rebound by M. Bagley,19,16
1,5:08.0,,Shooting foul by P. Tucker (drawn by M. Bagley),19,16
1,5:08.0,,K. Koufos enters the game for W. Cauley-Stein,19,16
1,5:08.0,,M. Bagley makes free throw 1 of 1,19,17
1,4:51.0,P. Tucker makes 3-pt jump shot from 26 ft (assist by J. Harden),,22,17
1,4:41.0,,B. Hield misses 3-pt jump shot from 26 ft,22,17
1,4:40.0,,Offensive rebound by K. Koufos,22,17
1,4:40.0,,Personal foul by J. Harden (drawn by K. Koufos),22,17
1,4:40.0,A. Rivers enters the game for P. Tucker,,22,17
1,4:40.0,,B. Bogdanović enters the game for H. Barnes,22,17
1,4:31.0,,D. Fox misses 2-pt jump shot from 6 ft,22,17
1,4:26.0,Defensive rebound by C. Capela,,22,17
1,4:15.0,J. Harden misses 3-pt jump shot from 25 ft,,22,17
1,4:13.0,,Defensive rebound by K. Koufos,22,17
1,4:10.0,,B. Hield makes 2-pt layup from 2 ft (assist by D. Fox),22,19
1,4:10.0,K. Faried enters the game for C. Capela,,22,19
1,3:46.0,J. Harden makes 3-pt jump shot from 26 ft,,25,19
1,3:38.0,,Turnover by D. Fox (bad pass; steal by J. Harden),25,19
1,3:31.0,I. Shumpert makes 3-pt jump shot from 22 ft (assist by D. House),,28,19
1,3:31.0,,Sacramento full timeout,28,19
1,3:14.0,,B. Bogdanović misses 2-pt jump shot from 16 ft,28,19
1,3:11.0,,Offensive rebound by M. Bagley,28,19
1,3:09.0,,M. Bagley misses 2-pt jump shot from 6 ft,28,19
1,3:09.0,,Offensive rebound by B. Hield,28,19
1,3:04.0,,B. Hield makes 2-pt layup at rim,28,21
1,2:52.0,D. House makes 3-pt jump shot from 24 ft (assist by A. Rivers),,31,21
1,2:52.0,C. Paul enters the game for J. Harden,,31,21
1,2:52.0,,Y. Ferrell enters the game for D. Fox,31,21
1,2:32.0,,K. Koufos misses 2-pt hook shot from 10 ft,31,21
1,2:29.0,Defensive rebound by K. Faried,,31,21
1,2:24.0,D. House misses 2-pt layup from 3 ft,,31,21
1,2:22.0,Offensive rebound by K. Faried,,31,21
1,2:12.0,K. Faried makes 2-pt layup from 1 ft (assist by C. Paul),,33,21
1,1:58.0,,M. Bagley misses 3-pt jump shot from 25 ft,33,21
1,1:55.0,Defensive rebound by I. Shumpert,,33,21
1,1:47.0,I. Shumpert misses 2-pt jump shot from 14 ft (block by B. Hield),,33,21
1,1:43.0,,Defensive rebound by M. Bagley,33,21
1,1:37.0,,Y. Ferrell misses 3-pt jump shot from 24 ft,33,21
1,1:37.0,Defensive rebound by C. Paul,,33,21
1,1:17.0,C. Paul misses 3-pt jump shot from 26 ft,,33,21
