QUARTER,TIME_REMAINING,TORONTO_ACTION,DETROIT_ACTION,TORONTO_SCORE,DETROIT_SCORE
1,11:36.0,,B. Griffin misses 2-pt layup from 5 ft,0,0
1,11:34.0,Defensive rebound by D. Green,,0,0
1,11:30.0,K. Lowry misses 3-pt jump shot from 22 ft,,0,0
1,11:27.0,,Defensive rebound by R. Jackson,0,0
1,11:24.0,,B. Griffin makes 2-pt layup from 1 ft (assist by R. Jackson),0,2
1,11:07.0,P. Siakam misses 3-pt jump shot from 23 ft,,0,2
1,11:05.0,Offensive rebound by M. Gasol,,0,2
1,10:52.0,P. Siakam makes 2-pt jump shot from 14 ft (assist by J. Lin),,2,2
1,10:33.0,,B. Griffin makes 3-pt jump shot from 26 ft (assist by W. Ellington),2,5
1,10:10.0,M. Gasol misses 2-pt jump shot from 14 ft,,2,5
1,10:07.0,,Defensive rebound by B. Griffin,2,5
1,10:04.0,,Turnover by B. Griffin (bad pass; steal by K. Lowry),2,5
1,9:59.0,J. Lin misses 3-pt jump shot from 25 ft,,2,5
1,9:54.0,,Defensive rebound by B. Griffin,2,5
1,9:48.0,,Personal foul by P. Siakam (drawn by B. Griffin),2,5
1,9:36.0,,R. Jackson misses 3-pt jump shot from 28 ft,2,5
1,9:33.0,Defensive rebound by P. Siakam,,2,5
1,9:24.0,P. Siakam misses 2-pt jump shot from 16 ft,,2,5
1,9:21.0,,Defensive rebound by B. Brown,2,5
1,9:01.0,,A. Drummond misses 2-pt layup from 3 ft,2,5
1,8:58.0,Defensive rebound by M. Gasol,,2,5
1,8:55.0,J. Lin misses 3-pt jump shot from 24 ft,,2,5
1,8:49.0,,Defensive rebound by A. Drummond,2,5
1,8:35.0,,W. Ellington makes 3-pt jump shot from 25 ft,2,8
1,8:17.0,Turnover by D. Green (bad pass; steal by R. Jackson),,2,8
1,8:13.0,,R. Jackson makes 2-pt layup from 2 ft,2,10
1,7:57.0,Personal foul by A. Drummond (drawn by M. Gasol),,2,10
1,7:45.0,M. Gasol makes 2-pt hook shot from 8 ft (assist by D. Green),,4,10
1,7:29.0,,A. Drummond misses 2-pt layup from 5 ft,4,10
1,7:29.0,,Offensive rebound by Team,4,10
1,7:29.0,Loose ball foul by K. Lowry (drawn by A. Drummond),,4,10
1,7:14.0,,B. Brown misses 2-pt layup from 2 ft,4,10
1,7:14.0,,Offensive rebound by Team,4,10
1,7:14.0,,Turnover by Team (shot clock),4,10
1,6:57.0,M. Gasol misses 2-pt jump shot from 10 ft,,4,10
1,6:53.0,,Defensive rebound by A. Drummond,4,10
1,6:43.0,,R. Jackson makes 2-pt jump shot from 10 ft,4,12
1,6:43.0,Personal foul by A. Drummond (drawn by K. Lowry),,4,12
1,6:43.0,,Detroit full timeout,4,12
1,6:43.0,,Z. Pachulia enters the game for A. Drummond,4,12
1,6:30.0,P. Siakam makes 2-pt layup from 3 ft (assist by K. Lowry),,6,12
1,6:07.0,,B. Griffin makes 2-pt layup from 2 ft,6,14
1,5:57.0,Personal foul by B. Brown (drawn by K. Lowry),,6,14
1,5:48.0,J. Lin misses 3-pt jump shot from 23 ft,,6,14
1,5:45.0,,Defensive rebound by B. Brown,6,14
1,5:40.0,,R. Jackson makes 3-pt jump shot from 28 ft (assist by B. Brown),6,17
1,5:20.0,D. Green misses 2-pt jump shot from 20 ft,,6,17
1,5:18.0,,Defensive rebound by Z. Pachulia,6,17
1,5:07.0,,Z. Pachulia misses 2-pt jump shot from 9 ft,6,17
1,5:03.0,Defensive rebound by P. Siakam,,6,17
1,5:00.0,Turnover by P. Siakam (bad pass; steal by W. Ellington),,6,17
1,4:44.0,,Turnover by R. Jackson (bad pass; steal by J. Lin),6,17
1,4:42.0,Shooting foul by W. Ellington (drawn by J. Lin),,6,17
1,4:42.0,J. Lin misses free throw 1 of 2,,6,17
1,4:42.0,Offensive rebound by Team,,6,17
1,4:42.0,J. Lin makes free throw 2 of 2,,7,17
1,4:34.0,,R. Jackson misses 2-pt layup from 4 ft,7,17
1,4:32.0,Defensive rebound by K. Lowry,,7,17
1,4:27.0,J. Lin misses 2-pt layup from 2 ft,,7,17
1,4:25.0,,Defensive rebound by B. Griffin,7,17
1,4:21.0,,B. Griffin makes 2-pt layup from 5 ft,7,19
1,4:21.0,,Shooting foul by D. Green (drawn by B. Griffin),7,19
1,4:21.0,N. Powell enters the game for J. Lin,,7,19
1,4:21.0,,B. Griffin makes free throw 1 of 1,7,20
1,4:09.0,K. Lowry makes 2-pt jump shot from 18 ft,,9,20
1,4:09.0,S. Ibaka enters the game for M. Gasol,,9,20
1,3:42.0,,W. Ellington misses 3-pt jump shot from 26 ft,9,20
1,3:39.0,Defensive rebound by S. Ibaka,,9,20
1,3:27.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by S. Ibaka),,12,20
1,3:27.0,Shooting foul by B. Brown (drawn by K. Lowry),,12,20
1,3:27.0,,L. Galloway enters the game for B. Brown,12,20
1,3:27.0,,L. Kennard enters the game for W. Ellington,12,20
1,3:27.0,K. Lowry misses free throw 1 of 1,,12,20
1,3:25.0,,Defensive rebound by Z. Pachulia,12,20
1,3:09.0,,R. Jackson misses 2-pt jump shot from 13 ft,12,20
1,3:07.0,Defensive rebound by P. Siakam,,12,20
1,2:57.0,P. Siakam misses 2-pt jump shot from 12 ft,,12,20
1,2:54.0,,Defensive rebound by B. Griffin,12,20
1,2:49.0,,B. Griffin makes 3-pt jump shot from 25 ft,12,23
1,2:30.0,P. Siakam makes 2-pt layup from 5 ft (assist by N. Powell),,14,23
1,2:10.0,,Z. Pachulia misses 2-pt layup from 2 ft,14,23
1,2:08.0,Defensive rebound by S. Ibaka,,14,23
1,2:04.0,K. Lowry misses 2-pt layup from 1 ft,,14,23
1,1:58.0,Offensive rebound by P. Siakam,,14,23
1,1:58.0,P. Siakam makes 2-pt dunk at rim,,16,23
1,1:41.0,,Shooting foul by S. Ibaka (drawn by B. Griffin),16,23
1,1:41.0,Toronto full timeout,,16,23
1,1:41.0,O. Anunoby enters the game for D. Green,,16,23
1,1:41.0,M. Gasol enters the game for K. Lowry,,16,23
1,1:41.0,J. Lin enters the game for P. Siakam,,16,23
1,1:41.0,,I. Smith enters the game for R. Jackson,16,23
1,1:41.0,,B. Griffin misses free throw 1 of 2,16,23
1,1:41.0,,Offensive rebound by Team,16,23
1,1:41.0,,B. Griffin makes free throw 2 of 2,16,24
1,1:27.0,S. Ibaka makes 3-pt jump shot from 24 ft (assist by N. Powell),,19,24
1,1:12.0,,L. Galloway misses 3-pt jump shot from 24 ft,19,24
1,1:09.0,Defensive rebound by M. Gasol,,19,24
1,0:49.0,N. Powell misses 2-pt layup from 4 ft,,19,24
1,0:48.0,Offensive rebound by N. Powell,,19,24
