QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,NEW YORK_ACTION,SACRAMENTO_SCORE,NEW YORK_SCORE
4,6:36.0,,E. Mudiay misses 2-pt layup from 1 ft,87,86
4,6:34.0,Defensive rebound by H. Barnes,,87,86
4,6:28.0,Personal foul by A. Trier (drawn by B. Bogdanović),,87,86
4,6:28.0,,D. Smith enters the game for A. Trier,87,86
4,6:13.0,B. Bogdanović misses 3-pt jump shot from 27 ft (block by M. Robinson),,87,86
4,6:09.0,,Defensive rebound by E. Mudiay,87,86
4,6:06.0,,L. Kornet makes 3-pt jump shot from 27 ft (assist by E. Mudiay),87,89
4,5:54.0,D. Fox makes 2-pt jump shot from 13 ft,,89,89
4,5:29.0,,Turnover by E. Mudiay (lost ball; steal by D. Fox),89,89
4,5:24.0,B. Hield misses 2-pt layup from 2 ft,,89,89
4,5:21.0,,Defensive rebound by D. Smith,89,89
4,5:14.0,,Shooting foul by D. Fox (drawn by D. Smith),89,89
4,5:14.0,,D. Smith misses free throw 1 of 2,89,89
4,5:14.0,,Offensive rebound by Team,89,89
4,5:14.0,N. Bjelica enters the game for B. Bogdanović,,89,89
4,5:14.0,,D. Smith makes free throw 2 of 2,89,90
4,5:03.0,D. Fox makes 2-pt jump shot from 20 ft,,91,90
4,4:41.0,,E. Mudiay misses 2-pt jump shot from 7 ft,91,90
4,4:38.0,Defensive rebound by H. Barnes,,91,90
4,4:28.0,H. Barnes misses 3-pt jump shot from 26 ft,,91,90
4,4:25.0,,Defensive rebound by L. Kornet,91,90
4,4:09.0,,M. Robinson misses 2-pt layup from 1 ft (block by N. Bjelica),91,90
4,4:07.0,Defensive rebound by N. Bjelica,,91,90
4,4:02.0,B. Hield misses 3-pt jump shot from 26 ft,,91,90
4,3:58.0,,Defensive rebound by M. Robinson,91,90
4,3:44.0,,D. Smith misses 3-pt jump shot from 25 ft,91,90
4,3:41.0,Defensive rebound by D. Fox,,91,90
4,3:37.0,Turnover by B. Hield (out of bounds lost ball),,91,90
4,3:37.0,,D. Dotson enters the game for E. Mudiay,91,90
4,3:22.0,,J. Jenkins misses 2-pt layup from 2 ft (block by B. Hield),91,90
4,3:19.0,Defensive rebound by W. Cauley-Stein,,91,90
4,3:09.0,D. Fox makes 2-pt jump shot from 20 ft,,93,90
4,3:08.0,,New York full timeout,93,90
4,3:08.0,,D. Jordan enters the game for L. Kornet,93,90
4,3:08.0,,L. Thomas enters the game for M. Robinson,93,90
4,2:49.0,,D. Smith makes 2-pt layup from 2 ft,93,92
4,2:24.0,D. Fox makes 2-pt layup from 3 ft (assist by N. Bjelica),,95,92
4,2:24.0,Shooting foul by D. Jordan (drawn by D. Fox),,95,92
4,2:24.0,D. Fox makes free throw 1 of 1,,96,92
4,2:12.0,,D. Smith makes 2-pt layup from 1 ft,96,94
4,2:12.0,,Technical foul by D. Smith,96,94
4,2:12.0,B. Hield makes technical free throw,,97,94
4,1:50.0,H. Barnes makes 2-pt jump shot from 9 ft,,99,94
4,1:35.0,,L. Thomas misses 3-pt jump shot from 23 ft,99,94
4,1:32.0,Defensive rebound by H. Barnes,,99,94
4,1:22.0,D. Fox makes 2-pt layup from 2 ft,,101,94
4,1:22.0,Shooting foul by L. Thomas (drawn by D. Fox),,101,94
4,1:22.0,D. Fox makes free throw 1 of 1,,102,94
4,1:13.0,,D. Smith misses 2-pt layup from 2 ft,102,94
4,1:11.0,Defensive rebound by W. Cauley-Stein,,102,94
4,0:59.0,H. Barnes misses 2-pt jump shot from 15 ft,,102,94
4,0:56.0,,Defensive rebound by J. Jenkins,102,94
4,0:45.0,,J. Jenkins misses 2-pt jump shot from 16 ft,102,94
4,0:43.0,Defensive rebound by W. Cauley-Stein,,102,94
4,0:26.0,B. Hield misses 3-pt jump shot from 27 ft,,102,94
4,0:23.0,,Defensive rebound by D. Dotson,102,94
4,0:16.0,,D. Dotson misses 3-pt jump shot from 26 ft,102,94
4,0:14.0,Defensive rebound by W. Cauley-Stein,,102,94
