QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,NEW YORK_ACTION,SACRAMENTO_SCORE,NEW YORK_SCORE
1,5:35.0,Sacramento full timeout,,9,20
1,5:35.0,,A. Trier enters the game for D. Dotson,9,20
1,5:24.0,Personal foul by L. Thomas (drawn by H. Barnes),,9,20
1,5:15.0,B. Hield misses 3-pt jump shot from 24 ft,,9,20
1,5:13.0,,Defensive rebound by K. Knox,9,20
1,5:04.0,,K. Knox misses 2-pt layup from 1 ft,9,20
1,5:02.0,,Offensive rebound by D. Jordan,9,20
1,5:02.0,,D. Jordan makes 2-pt layup from 1 ft,9,22
1,4:56.0,Personal foul by L. Thomas (drawn by B. Hield),,9,22
1,4:56.0,H. Giles enters the game for W. Cauley-Stein,,9,22
1,4:56.0,,H. Ellenson enters the game for D. Jordan,9,22
1,4:56.0,,M. Robinson enters the game for L. Thomas,9,22
1,4:48.0,N. Bjelica misses 2-pt layup from 2 ft,,9,22
1,4:47.0,,Defensive rebound by M. Robinson,9,22
1,4:39.0,,M. Robinson makes 2-pt dunk from 2 ft (assist by D. Smith),9,24
1,4:30.0,N. Bjelica makes 3-pt jump shot from 27 ft (assist by B. Hield),,12,24
1,4:17.0,,D. Smith makes 2-pt layup from 2 ft,12,26
1,4:17.0,,Shooting foul by D. Fox (drawn by D. Smith),12,26
1,4:17.0,,D. Smith makes free throw 1 of 1,12,27
1,4:05.0,B. Hield misses 2-pt layup from 3 ft,,12,27
1,4:01.0,Offensive rebound by H. Giles,,12,27
1,4:01.0,H. Giles makes 2-pt dunk at rim,,14,27
1,3:59.0,,Turnover by K. Knox (step out of bounds),14,27
1,3:50.0,D. Fox misses 2-pt layup from 4 ft (block by M. Robinson),,14,27
1,3:48.0,,Defensive rebound by K. Knox,14,27
1,3:48.0,,D. Dotson enters the game for K. Knox,14,27
1,3:26.0,,D. Smith misses 3-pt jump shot from 28 ft,14,27
1,3:26.0,,Offensive rebound by Team,14,27
1,3:26.0,,Turnover by Team (shot clock),14,27
1,3:26.0,,E. Mudiay enters the game for D. Smith,14,27
1,3:15.0,H. Giles misses 2-pt layup from 3 ft,,14,27
1,3:15.0,Offensive rebound by Team,,14,27
1,3:03.0,D. Fox misses 2-pt jump shot from 12 ft,,14,27
1,2:58.0,B. Hield makes 2-pt dunk at rim,,16,27
1,2:58.0,Offensive rebound by B. Hield,,16,27
1,2:40.0,,H. Ellenson misses 3-pt jump shot from 23 ft,16,27
1,2:36.0,Defensive rebound by H. Giles,,16,27
1,2:31.0,B. Hield misses 3-pt jump shot from 25 ft,,16,27
1,2:27.0,,Defensive rebound by D. Dotson,16,27
1,2:21.0,,D. Dotson misses 2-pt layup from 2 ft,16,27
1,2:18.0,Defensive rebound by N. Bjelica,,16,27
1,2:18.0,Personal foul by E. Mudiay (drawn by D. Fox),,16,27
1,2:18.0,B. Bogdanović enters the game for H. Barnes,,16,27
1,2:18.0,C. Brewer enters the game for B. Hield,,16,27
1,2:18.0,D. Fox makes free throw 1 of 2,,17,27
1,2:18.0,D. Fox misses free throw 2 of 2,,17,27
1,2:17.0,Offensive rebound by N. Bjelica,,17,27
1,2:17.0,N. Bjelica makes 2-pt layup from 1 ft,,19,27
1,2:17.0,Shooting foul by H. Ellenson (drawn by N. Bjelica),,19,27
1,2:17.0,N. Bjelica makes free throw 1 of 1,,20,27
1,2:02.0,,A. Trier misses 2-pt jump shot from 21 ft,20,27
