QUARTER,TIME_REMAINING,DETROIT_ACTION,BOSTON_ACTION,DETROIT_SCORE,BOSTON_SCORE
1,11:43.0,R. Bullock misses 3-pt jump shot from 26 ft,,0,0
1,11:41.0,,Defensive rebound by G. Hayward,0,0
1,11:28.0,,A. Horford misses 2-pt jump shot from 21 ft,0,0
1,11:26.0,Defensive rebound by S. Johnson,,0,0
1,11:22.0,A. Drummond makes 2-pt layup from 4 ft (assist by S. Johnson),,2,0
1,11:11.0,,G. Hayward makes 2-pt dunk at rim (assist by A. Horford),2,2
1,10:54.0,S. Johnson misses 3-pt jump shot from 26 ft,,2,2
1,10:51.0,,Defensive rebound by J. Tatum,2,2
1,10:40.0,,K. Irving makes 2-pt jump shot from 21 ft (assist by J. Brown),2,4
1,10:20.0,R. Jackson misses 3-pt jump shot from 26 ft,,2,4
1,10:18.0,,Defensive rebound by Team,2,4
1,10:11.0,,Offensive foul by A. Horford (drawn by A. Drummond),2,4
1,10:11.0,,Turnover by A. Horford (offensive foul),2,4
1,9:56.0,A. Drummond misses 2-pt hook shot from 6 ft,,2,4
1,9:54.0,,Defensive rebound by A. Horford,2,4
1,9:38.0,,Shooting foul by R. Bullock (drawn by J. Tatum),2,4
1,9:38.0,,J. Tatum makes free throw 1 of 2,2,5
1,9:38.0,,J. Tatum makes free throw 2 of 2,2,6
1,9:24.0,A. Drummond makes 2-pt layup from 1 ft (assist by R. Jackson),,4,6
1,9:12.0,,J. Tatum misses 2-pt jump shot from 16 ft,4,6
1,9:08.0,Defensive rebound by A. Drummond,,4,6
1,8:58.0,Def 3 sec tech foul by Team,,4,6
1,8:58.0,R. Jackson makes technical free throw,,5,6
1,8:49.0,A. Drummond misses 2-pt layup from 3 ft (block by A. Horford),,5,6
1,8:45.0,,Defensive rebound by K. Irving,5,6
1,8:36.0,,J. Tatum makes 2-pt jump shot from 6 ft (assist by K. Irving),5,8
1,8:30.0,Turnover by R. Jackson (bad pass),,5,8
1,8:22.0,,K. Irving makes 2-pt layup from 2 ft,5,10
1,8:16.0,Detroit full timeout,,5,10
1,8:10.0,Shooting foul by A. Horford (drawn by B. Griffin),,5,10
1,8:10.0,B. Griffin makes free throw 1 of 2,,6,10
1,8:10.0,B. Griffin makes free throw 2 of 2,,7,10
1,7:58.0,,Turnover by G. Hayward (bad pass),7,10
1,7:45.0,A. Drummond misses 2-pt hook shot from 9 ft,,7,10
1,7:43.0,,Defensive rebound by A. Horford,7,10
1,7:34.0,,K. Irving makes 3-pt jump shot from 23 ft (assist by J. Tatum),7,13
1,7:19.0,Def 3 sec tech foul by Team,,7,13
1,7:19.0,R. Jackson makes technical free throw,,8,13
1,7:09.0,R. Jackson makes 2-pt hook shot from 8 ft,,10,13
1,7:09.0,Shooting foul by J. Brown (drawn by R. Jackson),,10,13
1,7:09.0,R. Jackson makes free throw 1 of 1,,11,13
1,7:00.0,,Turnover by A. Horford (bad pass; steal by A. Drummond),11,13
1,6:57.0,A. Drummond makes 2-pt dunk from 1 ft (assist by S. Johnson),,13,13
1,6:42.0,,G. Hayward misses 3-pt jump shot from 24 ft,13,13
1,6:40.0,,Offensive rebound by A. Horford,13,13
1,6:29.0,,Personal foul by B. Griffin (drawn by J. Brown),13,13
1,6:29.0,,A. Baynes enters the game for A. Horford,13,13
1,6:20.0,,A. Baynes makes 3-pt jump shot from 25 ft (assist by K. Irving),13,16
1,6:12.0,A. Drummond misses 2-pt layup from 2 ft,,13,16
1,6:10.0,,Defensive rebound by A. Baynes,13,16
1,6:02.0,,A. Baynes makes 2-pt layup from 1 ft (assist by G. Hayward),13,18
1,5:51.0,,Violation by Team (kicked ball),13,18
1,5:51.0,,M. Morris enters the game for J. Tatum,13,18
1,5:40.0,B. Griffin makes 2-pt layup from 3 ft,,15,18
1,5:25.0,,J. Brown misses 2-pt jump shot from 16 ft,15,18
1,5:22.0,Defensive rebound by Team,,15,18
1,5:13.0,A. Drummond makes 2-pt hook shot from 9 ft,,17,18
1,5:00.0,,K. Irving misses 2-pt jump shot from 13 ft,17,18
1,4:58.0,Defensive rebound by A. Drummond,,17,18
1,4:51.0,Turnover by R. Jackson (bad pass; steal by K. Irving),,17,18
1,4:43.0,,J. Brown misses 3-pt jump shot from 25 ft,17,18
1,4:41.0,Defensive rebound by A. Drummond,,17,18
1,4:36.0,Turnover by B. Griffin (lost ball; steal by J. Brown),,17,18
1,4:29.0,,G. Hayward makes 2-pt layup at rim (assist by J. Brown),17,20
1,4:26.0,Shooting foul by A. Baynes (drawn by B. Griffin),,17,20
1,4:26.0,B. Griffin makes free throw 1 of 2,,18,20
1,4:26.0,B. Brown enters the game for R. Jackson,,18,20
1,4:26.0,I. Smith enters the game for S. Johnson,,18,20
1,4:26.0,,T. Rozier enters the game for G. Hayward,18,20
1,4:26.0,,M. Smart enters the game for K. Irving,18,20
1,4:26.0,B. Griffin makes free throw 2 of 2,,19,20
1,4:15.0,,Personal foul by A. Drummond (drawn by A. Baynes),19,20
1,4:10.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by M. Smart),19,23
1,3:54.0,R. Bullock misses 2-pt jump shot from 9 ft,,19,23
1,3:52.0,,Defensive rebound by A. Baynes,19,23
1,3:44.0,,A. Baynes makes 2-pt hook shot from 2 ft (assist by M. Smart),19,25
1,3:21.0,Personal foul by M. Morris (drawn by B. Griffin),,19,25
1,3:11.0,R. Bullock misses 3-pt jump shot from 30 ft,,19,25
1,3:09.0,,Defensive rebound by M. Morris,19,25
1,2:57.0,,J. Brown misses 2-pt layup from 5 ft (block by B. Brown),19,25
1,2:55.0,Defensive rebound by I. Smith,,19,25
1,2:53.0,Shooting foul by M. Smart (drawn by R. Bullock),,19,25
1,2:53.0,,Boston full timeout,19,25
1,2:53.0,Z. Pachulia enters the game for A. Drummond,,19,25
1,2:53.0,R. Bullock makes free throw 1 of 2,,20,25
1,2:53.0,R. Bullock makes free throw 2 of 2,,21,25
1,2:37.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by T. Rozier),21,28
1,2:23.0,R. Bullock misses 2-pt jump shot from 22 ft,,21,28
1,2:20.0,,Defensive rebound by M. Smart,21,28
1,2:16.0,,M. Morris misses 3-pt jump shot from 26 ft,21,28
1,2:14.0,Defensive rebound by B. Brown,,21,28
1,2:07.0,B. Brown makes 2-pt layup from 4 ft (assist by R. Bullock),,23,28
1,1:50.0,,Shooting foul by B. Griffin (drawn by M. Morris),23,28
1,1:50.0,,M. Morris makes free throw 1 of 2,23,29
1,1:50.0,G. Robinson enters the game for R. Bullock,,23,29
1,1:50.0,,J. Tatum enters the game for J. Brown,23,29
1,1:50.0,,M. Morris misses free throw 2 of 2,23,29
1,1:50.0,Defensive rebound by B. Griffin,,23,29
1,1:30.0,G. Robinson misses 2-pt jump shot from 10 ft,,23,29
1,1:30.0,,Defensive rebound by Team,23,29
1,1:30.0,Loose ball foul by Z. Pachulia (drawn by A. Baynes),,23,29
1,1:30.0,,A. Baynes makes free throw 1 of 2,23,30
1,1:30.0,S. Johnson enters the game for B. Griffin,,23,30
1,1:30.0,,A. Baynes makes free throw 2 of 2,23,31
1,1:19.0,Personal foul by A. Baynes (drawn by G. Robinson),,23,31
1,1:19.0,G. Robinson makes free throw 1 of 2,,24,31
1,1:19.0,,R. Williams enters the game for A. Baynes,24,31
1,1:19.0,G. Robinson misses free throw 2 of 2,,24,31
1,1:17.0,Offensive rebound by G. Robinson,,24,31
1,1:07.0,S. Johnson makes 3-pt jump shot from 28 ft (assist by I. Smith),,27,31
1,0:48.0,,J. Tatum misses 3-pt jump shot from 25 ft,27,31
1,0:46.0,,Offensive rebound by M. Morris,27,31
1,0:35.0,,Turnover by M. Smart (bad pass; steal by Z. Pachulia),27,31
1,0:26.0,Personal foul by M. Smart (drawn by Z. Pachulia),,27,31
1,0:26.0,Z. Pachulia makes free throw 1 of 2,,28,31
1,0:26.0,,G. Hayward enters the game for R. Williams,28,31
1,0:26.0,Turnover by S. Johnson (lane violation),,28,31
1,0:04.0,,M. Morris misses 2-pt jump shot from 19 ft,28,31
1,0:02.0,,Offensive rebound by G. Hayward,28,31
1,0:01.0,,G. Hayward misses 2-pt jump shot from 18 ft,28,31
1,0:01.0,,Offensive rebound by Team,28,31
2,11:49.0,,Personal foul by G. Robinson (drawn by J. Tatum),28,31
2,11:42.0,,T. Rozier misses 2-pt layup from 5 ft,28,31
2,11:40.0,,Offensive rebound by J. Tatum,28,31
2,11:38.0,,T. Rozier misses 3-pt jump shot from 23 ft,28,31
2,11:36.0,Defensive rebound by S. Johnson,,28,31
2,11:29.0,Turnover by S. Johnson (bad pass; steal by T. Rozier),,28,31
2,11:22.0,,T. Rozier makes 2-pt jump shot from 15 ft,28,33
2,10:57.0,B. Brown makes 2-pt layup from 4 ft (assist by Z. Pachulia),,30,33
2,10:43.0,,A. Horford misses 3-pt jump shot from 25 ft,30,33
2,10:41.0,Defensive rebound by I. Smith,,30,33
2,10:25.0,B. Brown misses 3-pt jump shot from 27 ft,,30,33
2,10:22.0,,Defensive rebound by M. Smart,30,33
2,10:16.0,,Personal foul by B. Brown (drawn by M. Morris),30,33
2,10:04.0,,Personal foul by G. Robinson (drawn by M. Smart),30,33
2,10:04.0,R. Jackson enters the game for B. Brown,,30,33
2,9:53.0,,A. Horford makes 2-pt hook shot from 7 ft (assist by J. Tatum),30,35
2,9:36.0,Z. Pachulia makes 2-pt layup from 3 ft,,32,35
2,9:20.0,,M. Morris makes 2-pt hook shot from 7 ft (assist by A. Horford),32,37
2,9:10.0,I. Smith misses 2-pt layup from 4 ft,,32,37
2,9:08.0,,Defensive rebound by M. Morris,32,37
2,9:05.0,,M. Smart misses 3-pt jump shot from 23 ft,32,37
2,9:02.0,Defensive rebound by G. Robinson,,32,37
2,8:52.0,S. Johnson misses 3-pt jump shot from 24 ft,,32,37
2,8:49.0,,Defensive rebound by J. Tatum,32,37
2,8:30.0,,M. Morris makes 2-pt jump shot from 11 ft,32,39
2,8:17.0,Detroit full timeout,,32,39
2,8:17.0,R. Bullock enters the game for Z. Pachulia,,32,39
2,8:17.0,A. Drummond enters the game for G. Robinson,,32,39
2,8:17.0,,G. Hayward enters the game for M. Smart,32,39
2,8:17.0,,K. Irving enters the game for J. Tatum,32,39
2,8:05.0,I. Smith makes 2-pt layup from 3 ft,,34,39
2,7:49.0,,A. Horford makes 2-pt dunk from 1 ft (assist by G. Hayward),34,41
2,7:36.0,I. Smith makes 3-pt jump shot from 26 ft (assist by A. Drummond),,37,41
2,7:18.0,,G. Hayward misses 2-pt jump shot from 21 ft,37,41
