QUARTER,TIME_REMAINING,HOUSTON_ACTION,ORLANDO_ACTION,HOUSTON_SCORE,ORLANDO_SCORE
1,11:43.0,J. Harden misses 2-pt jump shot from 9 ft,,0,0
1,11:40.0,Offensive rebound by J. Harden,,0,0
1,11:31.0,J. Harden misses 3-pt jump shot from 25 ft,,0,0
1,11:28.0,,Defensive rebound by J. Isaac,0,0
1,11:23.0,,D. Augustin makes 2-pt layup from 1 ft,0,2
1,11:00.0,P. Tucker misses 3-pt jump shot from 27 ft,,0,2
1,10:57.0,,Defensive rebound by N. Vučević,0,2
1,10:44.0,,J. Isaac misses 2-pt jump shot from 13 ft,0,2
1,10:40.0,,Offensive rebound by A. Gordon,0,2
1,10:40.0,,A. Gordon misses 2-pt layup at rim,0,2
1,10:39.0,Defensive rebound by P. Tucker,,0,2
1,10:31.0,J. Harden makes 2-pt jump shot from 6 ft,,2,2
1,10:12.0,,N. Vučević makes 2-pt hook shot from 6 ft (assist by A. Gordon),2,4
1,9:55.0,D. House makes 3-pt jump shot from 27 ft (assist by J. Harden),,5,4
1,9:35.0,,N. Vučević misses 2-pt hook shot from 8 ft,5,4
1,9:32.0,Defensive rebound by P. Tucker,,5,4
1,9:29.0,C. Capela makes 2-pt layup from 2 ft (assist by J. Harden),,7,4
1,9:08.0,,A. Gordon misses 2-pt layup from 2 ft,7,4
1,9:07.0,,Offensive rebound by E. Fournier,7,4
1,8:54.0,,N. Vučević misses 2-pt jump shot from 9 ft,7,4
1,8:52.0,Defensive rebound by J. Harden,,7,4
1,8:46.0,J. Harden misses 3-pt jump shot from 27 ft,,7,4
1,8:44.0,,Defensive rebound by J. Isaac,7,4
1,8:31.0,,E. Fournier misses 3-pt jump shot from 28 ft,7,4
1,8:28.0,Defensive rebound by P. Tucker,,7,4
1,8:19.0,P. Tucker misses 3-pt jump shot from 26 ft,,7,4
1,8:15.0,Offensive rebound by A. Rivers,,7,4
1,8:13.0,A. Rivers makes 2-pt layup from 1 ft,,9,4
1,8:13.0,Shooting foul by E. Fournier (drawn by A. Rivers),,9,4
1,8:13.0,A. Rivers makes free throw 1 of 1,,10,4
1,8:02.0,,A. Gordon misses 3-pt jump shot from 26 ft,10,4
1,7:59.0,Defensive rebound by J. Harden,,10,4
1,7:46.0,J. Harden misses 3-pt jump shot from 27 ft,,10,4
1,7:43.0,,Defensive rebound by E. Fournier,10,4
1,7:34.0,,Turnover by A. Gordon (lost ball; steal by J. Harden),10,4
1,7:28.0,D. House misses 2-pt layup from 2 ft,,10,4
1,7:27.0,Offensive rebound by Team,,10,4
1,7:17.0,J. Harden misses 3-pt jump shot from 25 ft,,10,4
1,7:14.0,,Defensive rebound by A. Gordon,10,4
1,7:06.0,,D. Augustin misses 2-pt layup from 1 ft,10,4
1,7:03.0,Defensive rebound by C. Capela,,10,4
1,6:52.0,A. Rivers misses 3-pt jump shot from 25 ft,,10,4
1,6:49.0,,Defensive rebound by D. Augustin,10,4
1,6:44.0,,Turnover by D. Augustin (bad pass; steal by J. Harden),10,4
1,6:32.0,J. Harden makes 2-pt layup from 1 ft,,12,4
1,6:32.0,,Orlando full timeout,12,4
1,6:32.0,G. Green enters the game for A. Rivers,,12,4
1,6:16.0,,E. Fournier makes 2-pt jump shot from 10 ft (assist by N. Vučević),12,6
1,6:03.0,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),,14,6
1,5:35.0,,J. Isaac misses 2-pt jump shot from 19 ft,14,6
1,5:31.0,Defensive rebound by C. Capela,,14,6
1,5:18.0,D. House misses 2-pt dunk from 2 ft (block by J. Isaac),,14,6
1,5:15.0,,Defensive rebound by D. Augustin,14,6
1,5:13.0,,D. Augustin makes 2-pt layup from 1 ft,14,8
1,4:59.0,Shooting foul by A. Gordon (drawn by P. Tucker),,14,8
1,4:59.0,P. Tucker makes free throw 1 of 2,,15,8
1,4:59.0,J. Ennis enters the game for D. House,,15,8
1,4:59.0,,W. Iwundu enters the game for A. Gordon,15,8
1,4:59.0,P. Tucker makes free throw 2 of 2,,16,8
1,4:47.0,,W. Iwundu misses 3-pt jump shot from 26 ft,16,8
1,4:42.0,Defensive rebound by J. Ennis,,16,8
1,4:36.0,J. Ennis misses 2-pt layup from 2 ft,,16,8
1,4:33.0,,Defensive rebound by W. Iwundu,16,8
1,4:19.0,,Turnover by N. Vučević (lost ball; steal by P. Tucker),16,8
1,4:14.0,C. Capela makes 2-pt dunk from 1 ft (assist by G. Green),,18,8
1,3:58.0,,D. Augustin misses 3-pt jump shot from 25 ft,18,8
1,3:57.0,Defensive rebound by P. Tucker,,18,8
1,3:51.0,C. Capela misses 2-pt layup from 4 ft,,18,8
1,3:50.0,Offensive rebound by C. Capela,,18,8
1,3:49.0,C. Capela misses 2-pt hook shot from 1 ft,,18,8
1,3:48.0,,Defensive rebound by N. Vučević,18,8
1,3:42.0,,E. Fournier makes 2-pt layup from 2 ft (assist by N. Vučević),18,10
1,3:36.0,P. Tucker misses 3-pt jump shot from 26 ft,,18,10
1,3:33.0,,Defensive rebound by N. Vučević,18,10
1,3:26.0,,Shooting foul by G. Green (drawn by W. Iwundu),18,10
1,3:26.0,,W. Iwundu makes free throw 1 of 2,18,11
1,3:26.0,G. Clark enters the game for P. Tucker,,18,11
1,3:26.0,,I. Briscoe enters the game for D. Augustin,18,11
1,3:26.0,,T. Ross enters the game for E. Fournier,18,11
1,3:26.0,,W. Iwundu makes free throw 2 of 2,18,12
1,3:13.0,Turnover by J. Ennis (bad pass; steal by T. Ross),,18,12
1,3:05.0,,Def 3 sec tech foul by Team,18,12
1,3:05.0,,T. Ross misses technical free throw,18,12
1,3:05.0,,Offensive rebound by Team,18,12
1,2:55.0,,W. Iwundu misses 2-pt jump shot from 18 ft,18,12
1,2:52.0,Defensive rebound by C. Capela,,18,12
1,2:51.0,Personal foul by N. Vučević (drawn by J. Harden),,18,12
1,2:51.0,Houston full timeout,,18,12
1,2:51.0,M. Chriss enters the game for C. Capela,,18,12
1,2:51.0,,K. Birch enters the game for J. Isaac,18,12
1,2:51.0,,A. Gordon enters the game for N. Vučević,18,12
1,2:41.0,Turnover by J. Harden (bad pass; steal by W. Iwundu),,18,12
1,2:32.0,,W. Iwundu makes 2-pt dunk from 1 ft (assist by K. Birch),18,14
1,2:11.0,J. Harden makes 2-pt layup from 1 ft,,20,14
1,1:54.0,,Turnover by A. Gordon (bad pass),20,14
1,1:54.0,A. Rivers enters the game for G. Green,,20,14
1,1:44.0,Shooting foul by K. Birch (drawn by M. Chriss),,20,14
1,1:44.0,M. Chriss makes free throw 1 of 2,,21,14
1,1:44.0,M. Chriss makes free throw 2 of 2,,22,14
1,1:26.0,,T. Ross misses 2-pt jump shot from 20 ft,22,14
1,1:21.0,Defensive rebound by M. Chriss,,22,14
1,1:15.0,Shooting foul by W. Iwundu (drawn by J. Ennis),,22,14
1,1:15.0,J. Ennis misses free throw 1 of 2,,22,14
1,1:15.0,Offensive rebound by Team,,22,14
1,1:15.0,J. Ennis misses free throw 2 of 2,,22,14
1,1:12.0,,Defensive rebound by A. Gordon,22,14
1,0:58.0,,A. Gordon makes 2-pt layup from 6 ft,22,16
1,0:43.0,J. Ennis makes 2-pt layup from 2 ft (assist by A. Rivers),,24,16
1,0:30.0,,I. Briscoe misses 3-pt jump shot from 23 ft,24,16
1,0:26.0,Defensive rebound by G. Clark,,24,16
1,0:20.0,A. Rivers makes 2-pt layup from 2 ft,,26,16
1,0:09.0,,Personal foul by A. Rivers (drawn by I. Briscoe),26,16
1,0:00.0,,I. Briscoe makes 2-pt layup from 2 ft,26,18
2,11:39.0,,T. Ross misses 2-pt jump shot from 12 ft,26,18
2,11:36.0,,Offensive rebound by T. Ross,26,18
2,11:30.0,,T. Ross makes 3-pt jump shot from 26 ft (assist by I. Briscoe),26,21
2,11:10.0,G. Green misses 3-pt jump shot from 24 ft,,26,21
2,11:09.0,Offensive rebound by Team,,26,21
2,11:09.0,,Loose ball foul by I. Briscoe (drawn by J. Ennis),26,21
2,11:03.0,Turnover by M. Chriss (bad pass),,26,21
2,10:55.0,,T. Ross misses 2-pt jump shot from 19 ft,26,21
2,10:54.0,Defensive rebound by Team,,26,21
2,10:37.0,A. Rivers makes 3-pt jump shot from 26 ft,,29,21
2,10:24.0,,E. Fournier misses 2-pt layup from 2 ft,29,21
2,10:20.0,,Offensive rebound by K. Birch,29,21
2,10:20.0,,K. Birch makes 2-pt layup at rim,29,23
2,10:10.0,Offensive foul by M. Chriss (drawn by K. Birch),,29,23
2,10:10.0,Turnover by M. Chriss (offensive foul),,29,23
2,10:10.0,D. House enters the game for G. Clark,,29,23
2,10:10.0,P. Tucker enters the game for J. Ennis,,29,23
2,10:00.0,,Turnover by E. Fournier (lost ball; steal by A. Rivers),29,23
2,9:55.0,A. Rivers makes 2-pt dunk from 1 ft,,31,23
2,9:35.0,,I. Briscoe makes 3-pt jump shot from 25 ft (assist by E. Fournier),31,26
2,9:23.0,D. House misses 3-pt jump shot from 26 ft,,31,26
2,9:18.0,,Defensive rebound by A. Gordon,31,26
2,9:11.0,,K. Birch makes 2-pt layup from 1 ft (assist by A. Gordon),31,28
2,8:46.0,A. Rivers makes 3-pt jump shot from 27 ft (assist by D. House),,34,28
2,8:29.0,,K. Birch makes 2-pt jump shot from 6 ft (assist by A. Gordon),34,30
2,8:29.0,,Shooting foul by P. Tucker (drawn by K. Birch),34,30
2,8:29.0,C. Capela enters the game for M. Chriss,,34,30
