QUARTER,TIME_REMAINING,PORTLAND_ACTION,DENVER_ACTION,PORTLAND_SCORE,DENVER_SCORE
1,11:45.0,Offensive foul by A. Aminu (drawn by P. Millsap),,0,0
1,11:45.0,Turnover by A. Aminu (offensive foul),,0,0
1,11:28.0,,G. Harris makes 2-pt layup from 2 ft,0,2
1,11:28.0,,Shooting foul by E. Freedom (drawn by G. Harris),0,2
1,11:28.0,,G. Harris makes free throw 1 of 1,0,3
1,11:12.0,C. McCollum makes 2-pt layup from 2 ft,,2,3
1,10:52.0,,N. Jokić makes 2-pt hook shot from 2 ft,2,5
1,10:33.0,E. Freedom makes 2-pt jump shot from 13 ft (assist by D. Lillard),,4,5
1,10:13.0,,J. Murray misses 2-pt jump shot from 17 ft,4,5
1,10:11.0,Defensive rebound by D. Lillard,,4,5
1,10:00.0,E. Freedom misses 2-pt jump shot from 10 ft,,4,5
1,9:58.0,,Defensive rebound by T. Craig,4,5
1,9:56.0,,Shooting foul by C. McCollum (drawn by T. Craig),4,5
1,9:56.0,,T. Craig makes free throw 1 of 2,4,6
1,9:56.0,,T. Craig misses free throw 2 of 2,4,6
1,9:54.0,Defensive rebound by M. Harkless,,4,6
1,9:40.0,D. Lillard misses 2-pt layup from 4 ft (block by P. Millsap),,4,6
1,9:38.0,,Defensive rebound by J. Murray,4,6
1,9:31.0,,N. Jokić makes 3-pt jump shot from 25 ft (assist by J. Murray),4,9
1,9:08.0,C. McCollum makes 2-pt jump shot from 20 ft (assist by D. Lillard),,6,9
1,8:55.0,,Turnover by J. Murray (lost ball; steal by M. Harkless),6,9
1,8:52.0,Shooting foul by P. Millsap (drawn by M. Harkless),,6,9
1,8:52.0,A. Aminu makes free throw 1 of 2,,7,9
1,8:52.0,A. Aminu misses free throw 2 of 2,,7,9
1,8:49.0,,Defensive rebound by G. Harris,7,9
1,8:30.0,,N. Jokić makes 3-pt jump shot from 25 ft (assist by J. Murray),7,12
1,8:15.0,A. Aminu misses 3-pt jump shot from 25 ft,,7,12
1,8:10.0,,Defensive rebound by T. Craig,7,12
1,7:58.0,,P. Millsap misses 2-pt jump shot from 6 ft,7,12
1,7:57.0,Defensive rebound by A. Aminu,,7,12
1,7:52.0,Personal foul by T. Craig (drawn by D. Lillard),,7,12
1,7:48.0,M. Harkless misses 2-pt jump shot from 10 ft,,7,12
1,7:44.0,,Defensive rebound by P. Millsap,7,12
1,7:39.0,,G. Harris makes 2-pt dunk from 1 ft,7,14
1,7:39.0,Portland full timeout,,7,14
1,7:23.0,D. Lillard misses 3-pt jump shot from 25 ft,,7,14
1,7:18.0,Offensive rebound by E. Freedom,,7,14
1,7:18.0,E. Freedom misses 2-pt layup from 1 ft,,7,14
1,7:18.0,,Defensive rebound by N. Jokić,7,14
1,7:00.0,,J. Murray misses 3-pt jump shot from 24 ft,7,14
1,6:56.0,Defensive rebound by A. Aminu,,7,14
1,6:48.0,A. Aminu misses 3-pt jump shot from 22 ft,,7,14
1,6:46.0,Offensive rebound by M. Harkless,,7,14
1,6:38.0,A. Aminu makes 2-pt jump shot from 5 ft (assist by M. Harkless),,9,14
1,6:19.0,,G. Harris makes 2-pt layup from 3 ft,9,16
1,5:54.0,C. McCollum misses 3-pt jump shot from 25 ft,,9,16
1,5:51.0,,Defensive rebound by N. Jokić,9,16
1,5:45.0,,P. Millsap makes 2-pt dunk at rim (assist by T. Craig),9,18
1,5:34.0,A. Aminu misses 2-pt layup from 3 ft (block by P. Millsap),,9,18
1,5:34.0,,Defensive rebound by G. Harris,9,18
1,5:24.0,,G. Harris misses 2-pt layup from 2 ft,9,18
1,5:22.0,Defensive rebound by A. Aminu,,9,18
1,5:15.0,C. McCollum makes 2-pt jump shot from 19 ft,,11,18
1,4:52.0,,Personal foul by M. Harkless (drawn by J. Murray),11,18
1,4:52.0,Z. Collins enters the game for A. Aminu,,11,18
1,4:52.0,R. Hood enters the game for M. Harkless,,11,18
1,4:39.0,,P. Millsap makes 2-pt jump shot from 14 ft (assist by G. Harris),11,20
1,4:30.0,Personal take foul by N. Jokić (drawn by D. Lillard),,11,20
1,4:23.0,Z. Collins misses 3-pt jump shot from 25 ft,,11,20
1,4:19.0,Offensive rebound by E. Freedom,,11,20
1,4:17.0,E. Freedom makes 2-pt layup from 1 ft,,13,20
1,3:56.0,,P. Millsap misses 3-pt jump shot from 24 ft,13,20
1,3:53.0,Defensive rebound by C. McCollum,,13,20
1,3:47.0,C. McCollum misses 2-pt jump shot from 15 ft,,13,20
1,3:44.0,,Defensive rebound by G. Harris,13,20
1,3:36.0,,G. Harris misses 2-pt layup from 2 ft,13,20
1,3:36.0,Defensive rebound by Team,,13,20
1,3:24.0,R. Hood misses 3-pt jump shot from 22 ft,,13,20
1,3:21.0,,Defensive rebound by P. Millsap,13,20
