QUARTER,TIME_REMAINING,MINNESOTA_ACTION,GOLDEN STATE_ACTION,MINNESOTA_SCORE,GOLDEN STATE_SCORE
1,11:46.0,,D. Jones makes 2-pt dunk from 1 ft (assist by S. Curry),0,2
1,11:26.0,T. Gibson makes 3-pt jump shot from 23 ft (assist by J. Butler),,3,2
1,11:16.0,,Personal foul by T. Jones (drawn by S. Curry),3,2
1,11:12.0,,S. Curry makes 2-pt layup from 3 ft (assist by D. Green),3,4
1,10:55.0,T. Gibson misses 3-pt jump shot from 26 ft,,3,4
1,10:53.0,,Defensive rebound by K. Durant,3,4
1,10:44.0,,K. Durant makes 2-pt layup from 1 ft,3,6
1,10:31.0,A. Wiggins misses 2-pt jump shot from 18 ft,,3,6
1,10:30.0,,Defensive rebound by D. Green,3,6
1,10:21.0,,K. Thompson misses 3-pt jump shot from 23 ft,3,6
1,10:19.0,Defensive rebound by T. Jones,,3,6
1,10:13.0,J. Butler misses 2-pt jump shot from 17 ft,,3,6
1,10:12.0,,Defensive rebound by K. Durant,3,6
1,10:01.0,,K. Durant makes 2-pt layup from 2 ft,3,8
1,9:45.0,A. Wiggins makes 3-pt jump shot from 28 ft (assist by T. Gibson),,6,8
1,9:35.0,,K. Thompson makes 2-pt jump shot from 17 ft (assist by D. Green),6,10
1,9:21.0,A. Wiggins misses 3-pt jump shot from 26 ft,,6,10
1,9:19.0,,Defensive rebound by D. Green,6,10
1,9:13.0,,K. Thompson makes 3-pt jump shot from 33 ft (assist by D. Green),6,13
1,8:50.0,T. Jones misses 3-pt jump shot from 25 ft,,6,13
1,8:49.0,,Defensive rebound by Team,6,13
1,8:40.0,,Turnover by K. Thompson (traveling),6,13
1,8:24.0,J. Butler makes 2-pt hook shot from 4 ft,,8,13
1,8:14.0,,Personal foul by J. Butler (drawn by D. Green),8,13
1,8:14.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),8,16
1,8:00.0,Minnesota full timeout,,8,16
1,7:38.0,J. Butler misses 3-pt jump shot from 25 ft,,8,16
1,7:36.0,,Defensive rebound by K. Durant,8,16
1,7:26.0,,K. Durant makes 3-pt jump shot from 27 ft (assist by D. Green),8,19
1,7:06.0,T. Jones makes 3-pt jump shot from 23 ft (assist by K. Towns),,11,19
1,6:51.0,,S. Curry misses 2-pt layup from 2 ft,11,19
1,6:50.0,,Offensive rebound by D. Jones,11,19
1,6:50.0,,Shooting foul by A. Wiggins (drawn by D. Jones),11,19
1,6:50.0,,D. Jones makes free throw 1 of 2,11,20
1,6:50.0,,D. Jones makes free throw 2 of 2,11,21
1,6:34.0,J. Butler makes 2-pt jump shot from 11 ft,,13,21
1,6:22.0,,K. Durant makes 2-pt jump shot from 12 ft,13,23
1,6:04.0,K. Towns misses 3-pt jump shot from 29 ft,,13,23
