QUARTER,TIME_REMAINING,PHOENIX_ACTION,LA CLIPPERS_ACTION,PHOENIX_SCORE,LA CLIPPERS_SCORE
1,11:39.0,D. Ayton misses 2-pt jump shot from 13 ft,,0,0
1,11:35.0,,Defensive rebound by T. Harris,0,0
1,11:20.0,,A. Bradley misses 3-pt jump shot from 25 ft,0,0
1,11:16.0,,Offensive rebound by B. Marjanović,0,0
1,11:16.0,,B. Marjanović misses 2-pt layup at rim,0,0
1,11:16.0,Defensive rebound by D. Ayton,,0,0
1,11:07.0,M. Bridges misses 2-pt layup from 2 ft (block by D. Gallinari),,0,0
1,11:05.0,,Defensive rebound by S. Gilgeous-Alexander,0,0
1,11:02.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,0,2
1,10:51.0,D. Ayton misses 2-pt jump shot from 19 ft,,0,2
1,10:49.0,,Defensive rebound by D. Gallinari,0,2
1,10:40.0,,Turnover by B. Marjanović (lost ball; steal by T. Ariza),0,2
1,10:34.0,T. Warren makes 3-pt jump shot from 23 ft (assist by T. Ariza),,3,2
1,10:22.0,,S. Gilgeous-Alexander misses 2-pt layup from 1 ft,3,2
1,10:20.0,Defensive rebound by T. Ariza,,3,2
1,10:17.0,D. Booker misses 3-pt jump shot from 26 ft,,3,2
1,10:14.0,,Defensive rebound by A. Bradley,3,2
1,10:10.0,,Shooting foul by D. Booker (drawn by D. Gallinari),3,2
1,10:10.0,,D. Gallinari misses free throw 1 of 2,3,2
1,10:10.0,,Offensive rebound by Team,3,2
1,10:10.0,,D. Gallinari makes free throw 2 of 2,3,3
1,9:50.0,Turnover by M. Bridges (bad pass),,3,3
1,9:34.0,,S. Gilgeous-Alexander misses 2-pt layup from 2 ft,3,3
1,9:34.0,,Offensive rebound by Team,3,3
1,9:32.0,,Shooting foul by D. Ayton (drawn by D. Gallinari),3,3
1,9:32.0,,D. Gallinari makes free throw 1 of 2,3,4
1,9:32.0,,D. Gallinari makes free throw 2 of 2,3,5
1,9:15.0,D. Booker misses 2-pt jump shot from 16 ft,,3,5
1,9:12.0,,Defensive rebound by D. Gallinari,3,5
1,9:05.0,,S. Gilgeous-Alexander makes 3-pt jump shot from 24 ft (assist by D. Gallinari),3,8
1,8:57.0,T. Ariza misses 3-pt jump shot from 25 ft,,3,8
1,8:55.0,,Defensive rebound by B. Marjanović,3,8
1,8:44.0,,Turnover by S. Gilgeous-Alexander (bad pass; steal by D. Ayton),3,8
1,8:31.0,T. Warren misses 2-pt jump shot from 5 ft,,3,8
1,8:29.0,,Defensive rebound by D. Gallinari,3,8
1,8:26.0,,Turnover by D. Gallinari (bad pass; steal by T. Warren),3,8
1,8:21.0,T. Warren makes 2-pt layup from 1 ft,,5,8
1,8:01.0,,D. Gallinari misses 2-pt layup from 1 ft,5,8
1,7:55.0,,Offensive rebound by B. Marjanović,5,8
1,7:55.0,,B. Marjanović makes 2-pt layup from 1 ft,5,10
1,7:49.0,D. Booker makes 2-pt jump shot from 13 ft,,7,10
1,7:34.0,,A. Bradley misses 2-pt layup from 1 ft (block by D. Ayton),7,10
1,7:29.0,,Offensive rebound by B. Marjanović,7,10
1,7:29.0,,B. Marjanović makes 2-pt dunk from 1 ft,7,12
1,7:27.0,Offensive foul by D. Booker (drawn by A. Bradley),,7,12
1,7:27.0,Turnover by D. Booker (offensive foul),,7,12
1,7:07.0,,Turnover by T. Harris (lost ball; steal by M. Bridges),7,12
1,7:01.0,T. Warren misses 3-pt jump shot from 23 ft,,7,12
1,6:58.0,,Defensive rebound by S. Gilgeous-Alexander,7,12
1,6:50.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 9 ft,7,12
1,6:47.0,,Offensive rebound by B. Marjanović,7,12
1,6:46.0,,A. Bradley misses 3-pt jump shot from 25 ft,7,12
1,6:44.0,,Offensive rebound by B. Marjanović,7,12
1,6:44.0,,B. Marjanović misses 2-pt layup from 3 ft,7,12
1,6:43.0,,Offensive rebound by S. Gilgeous-Alexander,7,12
1,6:42.0,,S. Gilgeous-Alexander misses 2-pt layup from 2 ft,7,12
1,6:41.0,Defensive rebound by D. Ayton,,7,12
1,6:36.0,Turnover by T. Warren (bad pass),,7,12
1,6:36.0,,LA Clippers full timeout,7,12
1,6:27.0,,Shooting foul by T. Ariza (drawn by T. Harris),7,12
1,6:27.0,,T. Harris misses free throw 1 of 2,7,12
1,6:27.0,,Offensive rebound by Team,7,12
1,6:27.0,,T. Harris makes free throw 2 of 2,7,13
1,6:06.0,M. Bridges misses 2-pt layup from 2 ft,,7,13
1,6:04.0,Offensive rebound by D. Ayton,,7,13
1,5:55.0,T. Ariza misses 2-pt layup from 2 ft,,7,13
1,5:52.0,,Defensive rebound by B. Marjanović,7,13
1,5:44.0,,Turnover by S. Gilgeous-Alexander (bad pass; steal by T. Ariza),7,13
1,5:39.0,Shooting foul by A. Bradley (drawn by D. Booker),,7,13
1,5:39.0,D. Booker makes free throw 1 of 2,,8,13
1,5:39.0,J. Jackson enters the game for T. Ariza,,8,13
1,5:39.0,D. Booker makes free throw 2 of 2,,9,13
1,5:27.0,,D. Gallinari makes 3-pt jump shot from 26 ft (assist by S. Gilgeous-Alexander),9,16
1,5:10.0,D. Booker makes 2-pt jump shot from 12 ft,,11,16
1,4:55.0,,T. Harris misses 2-pt layup from 1 ft (block by D. Ayton),11,16
1,4:55.0,,Offensive rebound by B. Marjanović,11,16
1,4:55.0,,Shooting foul by M. Bridges (drawn by B. Marjanović),11,16
1,4:55.0,,B. Marjanović makes free throw 1 of 2,11,17
1,4:55.0,E. Okobo enters the game for M. Bridges,,11,17
1,4:55.0,,B. Marjanović makes free throw 2 of 2,11,18
1,4:32.0,E. Okobo misses 3-pt jump shot from 28 ft,,11,18
1,4:30.0,,Defensive rebound by B. Marjanović,11,18
1,4:11.0,,A. Bradley misses 2-pt jump shot from 18 ft (block by D. Ayton),11,18
1,4:08.0,Defensive rebound by J. Jackson,,11,18
1,4:05.0,J. Jackson misses 2-pt jump shot from 10 ft (block by A. Bradley),,11,18
1,4:03.0,,Defensive rebound by A. Bradley,11,18
1,4:02.0,,Turnover by A. Bradley (bad pass; steal by D. Booker),11,18
1,3:58.0,T. Warren misses 3-pt jump shot from 22 ft,,11,18
1,3:58.0,Offensive rebound by Team,,11,18
1,3:58.0,,Loose ball foul by A. Bradley (drawn by J. Jackson),11,18
1,3:58.0,,M. Harrell enters the game for A. Bradley,11,18
1,3:58.0,,L. Williams enters the game for B. Marjanović,11,18
1,3:47.0,D. Booker misses 2-pt jump shot from 18 ft,,11,18
1,3:42.0,,Defensive rebound by D. Gallinari,11,18
1,3:28.0,,T. Harris misses 2-pt layup from 2 ft,11,18
1,3:26.0,Defensive rebound by J. Jackson,,11,18
1,3:22.0,J. Jackson misses 2-pt layup from 2 ft,,11,18
1,3:18.0,Offensive rebound by J. Jackson,,11,18
1,3:18.0,J. Jackson makes 2-pt layup at rim,,13,18
1,3:18.0,Violation by Team (delay of game),,13,18
1,3:01.0,,T. Harris misses 2-pt layup from 1 ft (block by T. Warren),13,18
1,2:58.0,,Offensive rebound by S. Gilgeous-Alexander,13,18
1,2:56.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 20 ft,13,18
1,2:52.0,Defensive rebound by J. Jackson,,13,18
1,2:44.0,T. Warren misses 2-pt layup from 2 ft (block by S. Gilgeous-Alexander),,13,18
