QUARTER,TIME_REMAINING,DENVER_ACTION,GOLDEN STATE_ACTION,DENVER_SCORE,GOLDEN STATE_SCORE
1,11:46.0,,S. Curry makes 3-pt jump shot from 27 ft (assist by D. Green),0,3
1,11:27.0,N. Jokić misses 2-pt jump shot from 10 ft,,0,3
1,11:26.0,Offensive rebound by G. Harris,,0,3
1,11:18.0,G. Harris misses 2-pt jump shot from 20 ft,,0,3
1,11:16.0,Offensive rebound by N. Jokić,,0,3
1,11:16.0,Shooting foul by K. Durant (drawn by W. Barton),,0,3
1,11:16.0,Offensive rebound by Team,,0,3
1,11:16.0,W. Barton misses free throw 1 of 2,,0,3
1,11:16.0,W. Barton misses free throw 2 of 2,,0,3
1,11:14.0,Offensive rebound by P. Millsap,,0,3
1,11:12.0,P. Millsap makes 3-pt jump shot from 25 ft (assist by J. Murray),,3,3
1,11:12.0,Shooting foul by D. Green (drawn by P. Millsap),,3,3
1,11:12.0,P. Millsap makes free throw 1 of 1,,4,3
1,11:02.0,,K. Thompson misses 3-pt jump shot from 26 ft,4,3
1,11:00.0,Defensive rebound by W. Barton,,4,3
1,10:53.0,W. Barton makes 2-pt jump shot from 7 ft,,6,3
1,10:40.0,,S. Curry makes 2-pt jump shot from 20 ft (assist by K. Durant),6,5
1,10:30.0,G. Harris misses 2-pt jump shot from 11 ft (block by D. Cousins),,6,5
1,10:28.0,Offensive rebound by G. Harris,,6,5
1,10:26.0,J. Murray misses 2-pt jump shot from 18 ft (block by K. Durant),,6,5
1,10:24.0,,Defensive rebound by D. Green,6,5
1,10:22.0,,Turnover by D. Green (lost ball; steal by J. Murray),6,5
1,10:15.0,N. Jokić makes 2-pt jump shot from 6 ft (assist by W. Barton),,8,5
1,10:15.0,Shooting foul by D. Cousins (drawn by N. Jokić),,8,5
1,10:15.0,N. Jokić makes free throw 1 of 1,,9,5
1,10:05.0,,D. Cousins misses 3-pt jump shot from 27 ft,9,5
1,10:00.0,Defensive rebound by P. Millsap,,9,5
1,9:52.0,P. Millsap makes 3-pt jump shot from 24 ft (assist by N. Jokić),,12,5
1,9:37.0,,K. Durant makes 2-pt jump shot from 16 ft (assist by D. Green),12,7
1,9:19.0,P. Millsap misses 3-pt jump shot from 27 ft,,12,7
1,9:17.0,,Defensive rebound by Team,12,7
1,9:17.0,Loose ball foul by N. Jokić (drawn by K. Durant),,12,7
1,9:05.0,,K. Durant misses 2-pt jump shot from 12 ft,12,7
1,9:04.0,,Offensive rebound by D. Cousins,12,7
1,8:59.0,,D. Cousins misses 2-pt layup from 1 ft,12,7
1,8:58.0,Defensive rebound by P. Millsap,,12,7
1,8:45.0,P. Millsap makes 2-pt hook shot from 7 ft,,14,7
1,8:32.0,,Turnover by S. Curry (bad pass),14,7
1,8:24.0,Personal foul by S. Curry (drawn by J. Murray),,14,7
1,8:20.0,J. Murray misses 3-pt jump shot from 28 ft,,14,7
1,8:18.0,,Defensive rebound by K. Thompson,14,7
1,8:11.0,,D. Cousins makes 2-pt layup from 3 ft (assist by K. Durant),14,9
1,8:01.0,P. Millsap misses 2-pt layup from 2 ft,,14,9
1,8:00.0,Offensive rebound by P. Millsap,,14,9
1,8:00.0,P. Millsap misses 2-pt layup from 2 ft,,14,9
1,7:59.0,Offensive rebound by P. Millsap,,14,9
1,7:59.0,P. Millsap misses 2-pt layup at rim,,14,9
1,7:58.0,,Defensive rebound by D. Cousins,14,9
1,7:48.0,,S. Curry misses 3-pt jump shot from 27 ft,14,9
1,7:46.0,Defensive rebound by W. Barton,,14,9
1,7:37.0,Turnover by J. Murray (offensive foul),,14,9
1,7:37.0,Offensive foul by J. Murray (drawn by S. Curry),,14,9
1,7:24.0,,K. Durant makes 2-pt jump shot from 11 ft,14,11
1,7:12.0,P. Millsap makes 2-pt jump shot from 13 ft (assist by N. Jokić),,16,11
1,7:00.0,,Turnover by D. Cousins (lost ball; steal by G. Harris),16,11
1,6:54.0,G. Harris misses 2-pt layup from 3 ft (block by K. Durant),,16,11
1,6:53.0,Offensive rebound by Team,,16,11
1,6:53.0,,Golden State full timeout,16,11
1,6:41.0,Turnover by N. Jokić (lost ball; steal by D. Cousins),,16,11
1,6:37.0,,D. Cousins makes 2-pt layup from 1 ft,16,13
1,6:20.0,W. Barton makes 2-pt jump shot from 19 ft,,18,13
1,6:06.0,,K. Durant makes 3-pt jump shot from 27 ft (assist by D. Green),18,16
1,5:51.0,P. Millsap misses 3-pt jump shot from 26 ft (block by D. Green),,18,16
1,5:49.0,,Defensive rebound by S. Curry,18,16
1,5:46.0,,K. Thompson misses 3-pt jump shot from 24 ft,18,16
1,5:45.0,,Offensive rebound by D. Cousins,18,16
1,5:45.0,M. Plumlee enters the game for P. Millsap,,18,16
1,5:38.0,,Turnover by S. Curry (lost ball; steal by J. Murray),18,16
1,5:35.0,M. Plumlee makes 2-pt dunk from 1 ft (assist by J. Murray),,20,16
1,5:20.0,,D. Cousins makes 2-pt layup from 2 ft (assist by D. Green),20,18
1,5:03.0,W. Barton misses 2-pt jump shot from 16 ft,,20,18
1,5:02.0,,Defensive rebound by K. Thompson,20,18
1,4:49.0,,K. Thompson makes 2-pt jump shot from 16 ft (assist by K. Durant),20,20
1,4:33.0,G. Harris misses 2-pt jump shot from 19 ft,,20,20
1,4:32.0,,Defensive rebound by K. Durant,20,20
1,4:25.0,,K. Thompson misses 3-pt jump shot from 23 ft,20,20
1,4:23.0,Defensive rebound by W. Barton,,20,20
1,4:17.0,W. Barton misses 2-pt layup from 7 ft,,20,20
1,4:16.0,Offensive rebound by W. Barton,,20,20
1,4:14.0,W. Barton makes 2-pt layup at rim,,22,20
1,3:58.0,,S. Curry misses 3-pt jump shot from 26 ft,22,20
1,3:56.0,,Offensive rebound by D. Cousins,22,20
1,3:50.0,,D. Cousins makes 2-pt layup from 6 ft,22,22
1,3:34.0,N. Jokić makes 2-pt hook shot from 9 ft,,24,22
1,3:15.0,,D. Cousins makes 2-pt layup from 6 ft (assist by K. Durant),24,24
1,2:48.0,N. Jokić misses 3-pt jump shot from 29 ft,,24,24
1,2:46.0,,Defensive rebound by D. Green,24,24
1,2:33.0,,D. Cousins misses 3-pt jump shot from 26 ft,24,24
1,2:30.0,Defensive rebound by Team,,24,24
1,2:30.0,Denver full timeout,,24,24
1,2:30.0,M. Beasley enters the game for G. Harris,,24,24
1,2:30.0,P. Millsap enters the game for N. Jokić,,24,24
1,2:30.0,M. Morris enters the game for J. Murray,,24,24
1,2:30.0,,A. Iguodala enters the game for D. Cousins,24,24
1,2:30.0,,K. Looney enters the game for K. Durant,24,24
1,2:30.0,,A. McKinnie enters the game for K. Thompson,24,24
1,2:16.0,Turnover by W. Barton (bad pass; steal by S. Curry),,24,24
1,2:01.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by A. Iguodala),24,27
1,1:36.0,M. Plumlee misses 2-pt layup from 4 ft,,24,27
1,1:34.0,,Defensive rebound by A. Iguodala,24,27
1,1:26.0,,Turnover by S. Curry (bad pass; steal by M. Plumlee),24,27
1,1:21.0,Turnover by M. Plumlee (bad pass; steal by A. Iguodala),,24,27
1,1:15.0,,S. Curry misses 3-pt jump shot from 29 ft,24,27
1,1:13.0,Defensive rebound by P. Millsap,,24,27
1,0:51.0,M. Morris misses 2-pt jump shot from 9 ft (block by A. Iguodala),,24,27
1,0:50.0,Offensive rebound by Team,,24,27
1,0:49.0,M. Plumlee misses 2-pt jump shot from 21 ft,,24,27
1,0:48.0,Offensive rebound by Team,,24,27
1,0:48.0,Turnover by Team (shot clock),,24,27
1,0:40.0,,A. McKinnie makes 3-pt jump shot from 23 ft (assist by S. Curry),24,30
1,0:27.0,W. Barton misses 3-pt jump shot from 26 ft,,24,30
1,0:25.0,Offensive rebound by W. Barton,,24,30
1,0:22.0,W. Barton misses 2-pt jump shot from 8 ft,,24,30
1,0:21.0,,Defensive rebound by D. Green,24,30
1,0:04.0,,D. Green misses 2-pt jump shot from 9 ft (block by P. Millsap),24,30
1,0:03.0,Defensive rebound by P. Millsap,,24,30
1,0:02.0,Turnover by P. Millsap (lost ball; steal by K. Looney),,24,30
1,0:00.0,,K. Looney misses 2-pt jump shot from 22 ft,24,30
1,0:00.0,,Offensive rebound by Team,24,30
2,11:51.0,M. Morris makes 2-pt layup from 3 ft,,26,30
2,11:51.0,Shooting foul by Q. Cook (drawn by M. Morris),,26,30
2,11:51.0,M. Morris makes free throw 1 of 1,,27,30
