QUARTER,TIME_REMAINING,UTAH_ACTION,LA LAKERS_ACTION,UTAH_SCORE,LA LAKERS_SCORE
1,11:45.0,T. Sefolosha makes 2-pt layup from 2 ft (assist by J. Ingles),,2,0
1,11:21.0,,J. McGee makes 2-pt dunk from 1 ft,2,2
1,11:07.0,J. Ingles misses 3-pt jump shot from 25 ft,,2,2
1,11:05.0,,Defensive rebound by J. Jones,2,2
1,10:52.0,,Turnover by J. McGee (lost ball; steal by D. Mitchell),2,2
1,10:47.0,D. Mitchell makes 2-pt layup from 1 ft,,4,2
1,10:27.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,4,2
1,10:24.0,,Offensive rebound by M. Muscala,4,2
1,10:22.0,,Turnover by M. Muscala (bad pass; steal by T. Sefolosha),4,2
1,10:13.0,J. Ingles misses 3-pt jump shot from 26 ft,,4,2
1,10:09.0,,Defensive rebound by K. Caldwell-Pope,4,2
1,9:52.0,,A. Caruso misses 2-pt dunk from 2 ft,4,2
1,9:48.0,Defensive rebound by J. Ingles,,4,2
1,9:42.0,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Ingles),,6,2
1,9:30.0,,J. McGee makes 2-pt dunk from 1 ft (assist by A. Caruso),6,4
1,9:16.0,D. Mitchell misses 2-pt hook shot from 3 ft,,6,4
1,9:13.0,,Defensive rebound by J. Jones,6,4
1,9:10.0,,M. Muscala makes 2-pt jump shot from 18 ft (assist by J. Jones),6,6
1,9:00.0,Personal foul by J. Jones (drawn by R. Gobert),,6,6
1,8:45.0,J. Ingles misses 3-pt jump shot from 28 ft,,6,6
1,8:41.0,,Defensive rebound by J. Jones,6,6
1,8:29.0,,Shooting foul by D. Mitchell (drawn by J. McGee),6,6
1,8:29.0,,J. McGee makes free throw 1 of 2,6,7
1,8:29.0,,J. McGee makes free throw 2 of 2,6,8
1,8:14.0,D. Mitchell misses 3-pt jump shot from 26 ft,,6,8
1,8:09.0,,Defensive rebound by M. Muscala,6,8
1,8:01.0,,J. McGee makes 2-pt dunk from 1 ft,6,10
1,7:48.0,Shooting foul by J. Jones (drawn by J. Ingles),,6,10
1,7:48.0,J. Ingles misses free throw 1 of 2,,6,10
1,7:48.0,Offensive rebound by Team,,6,10
1,7:48.0,J. Ingles makes free throw 2 of 2,,7,10
1,7:33.0,,A. Caruso misses 2-pt layup from 3 ft,7,10
1,7:31.0,Defensive rebound by R. Gobert,,7,10
1,7:31.0,J. Crowder enters the game for T. Sefolosha,,7,10
1,7:31.0,,I. Bonga enters the game for J. Jones,7,10
1,7:23.0,Utah full timeout,,7,10
1,7:16.0,R. O'Neale makes 3-pt jump shot from 23 ft (assist by J. Crowder),,10,10
1,7:09.0,,Personal foul by R. O'Neale (drawn by K. Caldwell-Pope),10,10
1,7:00.0,,M. Muscala makes 3-pt jump shot from 27 ft (assist by A. Caruso),10,13
1,6:47.0,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Ingles),,12,13
