QUARTER,TIME_REMAINING,WASHINGTON_ACTION,LA LAKERS_ACTION,WASHINGTON_SCORE,LA LAKERS_SCORE
2,11:16.0,,Shooting foul by J. Green (drawn by M. Wagner),29,34
2,11:16.0,,M. Wagner misses free throw 1 of 2,29,34
2,11:16.0,,Offensive rebound by Team,29,34
2,11:16.0,,M. Wagner makes free throw 2 of 2,29,35
2,11:00.0,Shooting foul by M. Wagner (drawn by C. Randle),,29,35
2,11:00.0,C. Randle misses free throw 1 of 2,,29,35
2,11:00.0,Offensive rebound by Team,,29,35
2,11:00.0,C. Randle makes free throw 2 of 2,,30,35
2,10:49.0,,J. McGee makes 2-pt dunk from 1 ft (assist by L. Stephenson),30,37
2,10:49.0,,Shooting foul by J. Parker (drawn by J. McGee),30,37
2,10:49.0,,J. McGee misses free throw 1 of 1,30,37
2,10:46.0,Defensive rebound by J. Parker,,30,37
2,10:41.0,C. Randle makes 3-pt jump shot from 26 ft (assist by J. Parker),,33,37
2,10:26.0,,M. Wagner makes 2-pt dunk from 1 ft (assist by A. Caruso),33,39
2,10:13.0,J. McRae misses 2-pt jump shot from 21 ft,,33,39
2,10:10.0,,Defensive rebound by J. McGee,33,39
2,10:01.0,,Turnover by L. James (bad pass),33,39
2,9:51.0,J. Green misses 2-pt jump shot from 8 ft,,33,39
2,9:45.0,,Defensive rebound by J. McGee,33,39
2,9:34.0,,Turnover by M. Wagner (lost ball; steal by C. Randle),33,39
2,9:34.0,Personal take foul by M. Wagner (drawn by J. McRae),,33,39
2,9:34.0,,K. Kuzma enters the game for M. Wagner,33,39
2,9:20.0,Offensive foul by J. Green (drawn by A. Caruso),,33,39
2,9:20.0,Turnover by J. Green (offensive foul),,33,39
2,9:20.0,T. Satoranský enters the game for J. Green,,33,39
2,9:08.0,,K. Kuzma makes 2-pt layup from 2 ft (assist by L. James),33,41
2,9:08.0,Washington full timeout,,33,41
2,9:08.0,,R. Rondo enters the game for A. Caruso,33,41
2,8:46.0,J. McRae misses 3-pt jump shot from 27 ft,,33,41
2,8:43.0,,Defensive rebound by L. James,33,41
2,8:37.0,,R. Rondo misses 2-pt jump shot from 21 ft,33,41
2,8:32.0,Defensive rebound by B. Portis,,33,41
2,8:28.0,C. Randle makes 3-pt jump shot from 23 ft (assist by T. Satoranský),,36,41
2,8:11.0,,Personal foul by C. Randle (drawn by J. McGee),36,41
2,8:11.0,B. Beal enters the game for J. McRae,,36,41
2,8:03.0,,L. James makes 2-pt jump shot from 20 ft (assist by L. Stephenson),36,43
2,7:50.0,B. Portis makes 2-pt hook shot from 5 ft (assist by T. Satoranský),,38,43
2,7:36.0,,L. Stephenson misses 3-pt jump shot from 26 ft,38,43
2,7:34.0,Defensive rebound by Team,,38,43
2,7:34.0,,Loose ball foul by J. McGee (drawn by B. Portis),38,43
2,7:22.0,Shooting foul by J. McGee (drawn by B. Portis),,38,43
2,7:22.0,B. Portis makes free throw 1 of 2,,39,43
2,7:22.0,,K. Caldwell-Pope enters the game for J. McGee,39,43
2,7:22.0,,J. Williams enters the game for L. Stephenson,39,43
2,7:22.0,B. Portis makes free throw 2 of 2,,40,43
2,7:14.0,,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by L. James),40,46
2,7:00.0,T. Satoranský makes 2-pt layup from 2 ft (assist by B. Portis),,42,46
2,6:46.0,,K. Kuzma misses 2-pt layup from 4 ft (block by C. Randle),42,46
2,6:43.0,Defensive rebound by C. Randle,,42,46
2,6:37.0,T. Satoranský misses 3-pt jump shot from 23 ft,,42,46
2,6:33.0,,Defensive rebound by K. Kuzma,42,46
2,6:31.0,,Shooting foul by T. Satoranský (drawn by J. Williams),42,46
2,6:31.0,,J. Williams makes free throw 1 of 2,42,47
2,6:31.0,T. Bryant enters the game for C. Randle,,42,47
2,6:31.0,,J. Williams makes free throw 2 of 2,42,48
2,6:20.0,J. Parker misses 3-pt jump shot from 23 ft,,42,48
2,6:14.0,Offensive rebound by B. Portis,,42,48
2,6:14.0,B. Portis makes 2-pt layup at rim,,44,48
2,6:05.0,,Personal foul by B. Portis (drawn by K. Kuzma),44,48
2,6:05.0,,K. Kuzma makes free throw 1 of 2,44,49
2,6:05.0,,K. Kuzma makes free throw 2 of 2,44,50
2,5:44.0,T. Satoranský makes 2-pt layup from 2 ft,,46,50
2,5:27.0,,L. James makes 2-pt jump shot from 21 ft,46,52
2,5:13.0,Turnover by T. Satoranský (bad pass; steal by K. Kuzma),,46,52
2,5:10.0,,Shooting foul by B. Portis (drawn by K. Kuzma),46,52
2,5:10.0,,K. Kuzma makes free throw 1 of 2,46,53
2,5:10.0,,K. Kuzma makes free throw 2 of 2,46,54
2,4:52.0,Turnover by B. Portis (traveling),,46,54
2,4:52.0,T. Brown enters the game for B. Portis,,46,54
2,4:32.0,,K. Kuzma makes 3-pt jump shot from 26 ft (assist by L. James),46,57
2,4:27.0,Washington full timeout,,46,57
2,4:11.0,Shooting foul by J. Williams (drawn by B. Beal),,46,57
2,4:11.0,B. Beal misses free throw 1 of 2,,46,57
2,4:11.0,Offensive rebound by Team,,46,57
2,4:11.0,B. Beal makes free throw 2 of 2,,47,57
2,3:56.0,,Shooting foul by B. Beal (drawn by K. Caldwell-Pope),47,57
2,3:56.0,,K. Caldwell-Pope makes free throw 1 of 3,47,58
2,3:56.0,,K. Caldwell-Pope makes free throw 2 of 3,47,59
2,3:56.0,,K. Caldwell-Pope makes free throw 3 of 3,47,60
2,3:40.0,J. Parker misses 2-pt jump shot from 6 ft,,47,60
2,3:33.0,Offensive rebound by J. Parker,,47,60
2,3:33.0,J. Parker makes 2-pt layup at rim,,49,60
2,3:22.0,,L. James misses 3-pt jump shot from 24 ft,49,60
2,3:16.0,,Offensive rebound by J. Williams,49,60
2,3:16.0,,J. Williams misses 2-pt layup from 1 ft,49,60
2,3:15.0,,Offensive rebound by K. Caldwell-Pope,49,60
2,3:05.0,,L. James makes 2-pt layup from 2 ft (assist by R. Rondo),49,62
2,2:58.0,J. Parker makes 2-pt hook shot from 5 ft,,51,62
2,2:58.0,Shooting foul by J. Williams (drawn by J. Parker),,51,62
2,2:58.0,J. Parker makes free throw 1 of 1,,52,62
2,2:48.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,52,62
2,2:42.0,Defensive rebound by T. Bryant,,52,62
2,2:38.0,Offensive foul by B. Beal (drawn by J. Williams),,52,62
2,2:38.0,Turnover by B. Beal (offensive foul),,52,62
2,2:28.0,,Turnover by K. Caldwell-Pope (bad pass),52,62
2,2:11.0,T. Brown misses 2-pt jump shot from 5 ft,,52,62
2,2:09.0,,Defensive rebound by J. Williams,52,62
2,2:06.0,,L. James makes 2-pt dunk from 1 ft (assist by R. Rondo),52,64
2,1:47.0,T. Bryant misses 3-pt jump shot from 26 ft,,52,64
2,1:41.0,Offensive rebound by J. Parker,,52,64
2,1:41.0,J. Parker makes 2-pt dunk at rim,,54,64
2,1:34.0,,K. Kuzma makes 2-pt layup from 1 ft (assist by L. James),54,66
2,1:13.0,T. Brown misses 2-pt jump shot from 15 ft,,54,66
2,1:10.0,,Defensive rebound by L. James,54,66
2,1:10.0,J. McRae enters the game for J. Parker,,54,66
2,0:49.0,,R. Rondo misses 3-pt jump shot from 28 ft,54,66
2,0:47.0,Defensive rebound by T. Satoranský,,54,66
2,0:39.0,T. Bryant makes 2-pt dunk from 1 ft (assist by T. Satoranský),,56,66
2,0:24.0,,K. Kuzma misses 2-pt jump shot from 2 ft,56,66
2,0:23.0,,Offensive rebound by J. Williams,56,66
2,0:23.0,,Personal foul by T. Brown (drawn by J. Williams),56,66
2,0:23.0,,J. Williams misses free throw 1 of 2,56,66
2,0:23.0,,Offensive rebound by Team,56,66
2,0:23.0,,A. Caruso enters the game for L. James,56,66
2,0:23.0,,L. Stephenson enters the game for R. Rondo,56,66
2,0:23.0,,J. Williams makes free throw 2 of 2,56,67
2,0:04.0,T. Brown misses 3-pt jump shot from 25 ft,,56,67
2,0:01.0,,Defensive rebound by L. Stephenson,56,67
3,11:46.0,B. Beal misses 2-pt jump shot from 16 ft,,56,67
3,11:44.0,Offensive rebound by Team,,56,67
3,11:33.0,T. Brown makes 2-pt layup from 2 ft (assist by T. Satoranský),,58,67
3,11:18.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,58,67
3,11:15.0,,Offensive rebound by J. McGee,58,67
3,11:15.0,,J. McGee misses 2-pt layup at rim,58,67
3,11:15.0,,Offensive rebound by J. McGee,58,67
3,11:15.0,,Shooting foul by J. Green (drawn by J. McGee),58,67
3,11:15.0,,J. McGee makes free throw 1 of 2,58,68
3,11:15.0,,J. McGee makes free throw 2 of 2,58,69
3,11:08.0,Offensive foul by T. Bryant (drawn by R. Rondo),,58,69
3,11:08.0,Turnover by T. Bryant (offensive foul),,58,69
3,10:57.0,,L. James makes 3-pt jump shot from 27 ft,58,72
3,10:42.0,B. Beal misses 3-pt jump shot from 25 ft,,58,72
3,10:38.0,,Defensive rebound by K. Kuzma,58,72
3,10:34.0,,Offensive foul by K. Kuzma (drawn by J. Green),58,72
3,10:34.0,,Turnover by K. Kuzma (offensive foul),58,72
3,10:26.0,Turnover by T. Brown (out of bounds lost ball),,58,72
3,10:16.0,,R. Rondo makes 3-pt jump shot from 26 ft (assist by L. James),58,75
3,10:12.0,Washington full timeout,,58,75
3,10:03.0,J. Green makes 2-pt dunk from 1 ft (assist by T. Satoranský),,60,75
3,9:33.0,,L. James makes 2-pt jump shot from 17 ft,60,77
3,9:11.0,B. Beal misses 2-pt jump shot from 20 ft,,60,77
3,9:08.0,,Defensive rebound by L. James,60,77
3,9:02.0,,K. Kuzma makes 2-pt layup from 1 ft (assist by J. McGee),60,79
3,8:49.0,T. Brown misses 2-pt jump shot from 19 ft (block by J. McGee),,60,79
3,8:47.0,Offensive rebound by T. Bryant,,60,79
3,8:46.0,T. Brown makes 2-pt layup from 2 ft (assist by T. Satoranský),,62,79
3,8:46.0,Shooting foul by K. Kuzma (drawn by T. Brown),,62,79
3,8:46.0,T. Brown misses free throw 1 of 1,,62,79
3,8:44.0,,Defensive rebound by J. McGee,62,79
3,8:39.0,,L. James makes 2-pt layup from 1 ft (assist by R. Rondo),62,81
3,8:29.0,Shooting foul by L. James (drawn by B. Beal),,62,81
3,8:29.0,B. Beal makes free throw 1 of 2,,63,81
3,8:29.0,B. Beal makes free throw 2 of 2,,64,81
3,8:20.0,,L. James misses 3-pt jump shot from 28 ft,64,81
3,8:15.0,,Offensive rebound by J. McGee,64,81
3,8:03.0,,K. Caldwell-Pope misses 2-pt layup from 3 ft (block by B. Beal),64,81
3,8:03.0,,Offensive rebound by K. Caldwell-Pope,64,81
3,8:03.0,,Turnover by Team (shot clock),64,81
3,7:54.0,Turnover by T. Satoranský (bad pass; steal by K. Caldwell-Pope),,64,81
3,7:49.0,,J. McGee makes 2-pt dunk from 1 ft (assist by L. James),64,83
3,7:37.0,B. Beal makes 3-pt jump shot from 26 ft,,67,83
3,7:21.0,,K. Kuzma misses 2-pt layup from 3 ft,67,83
3,7:18.0,Defensive rebound by T. Bryant,,67,83
3,7:14.0,B. Beal makes 3-pt jump shot from 27 ft,,70,83
3,7:14.0,,LA Lakers full timeout,70,83
3,7:14.0,B. Portis enters the game for J. Green,,70,83
3,7:03.0,,K. Caldwell-Pope makes 3-pt jump shot from 27 ft (assist by R. Rondo),70,86
3,6:44.0,B. Beal makes 2-pt layup from 2 ft,,72,86
3,6:32.0,,Turnover by J. McGee (3 sec),72,86
3,6:19.0,Offensive foul by T. Bryant (drawn by J. McGee),,72,86
3,6:19.0,Turnover by T. Bryant (offensive foul),,72,86
3,6:04.0,,K. Kuzma misses 2-pt layup from 3 ft (block by B. Portis),72,86
3,6:01.0,Defensive rebound by B. Beal,,72,86
3,5:51.0,T. Bryant misses 3-pt jump shot from 25 ft,,72,86
3,5:47.0,,Defensive rebound by J. McGee,72,86
3,5:44.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,72,86
3,5:41.0,Defensive rebound by B. Beal,,72,86
3,5:27.0,Turnover by B. Portis (lost ball; steal by K. Caldwell-Pope),,72,86
3,5:20.0,,K. Kuzma misses 2-pt layup from 6 ft (block by T. Brown),72,86
3,5:20.0,Defensive rebound by Team,,72,86
3,5:20.0,,A. Caruso enters the game for K. Kuzma,72,86
3,5:08.0,Personal foul by R. Rondo (drawn by B. Beal),,72,86
3,5:04.0,Shooting foul by R. Rondo (drawn by B. Beal),,72,86
3,5:04.0,B. Beal makes free throw 1 of 3,,73,86
3,5:04.0,B. Beal makes free throw 2 of 3,,74,86
3,5:04.0,B. Beal makes free throw 3 of 3,,75,86
3,4:51.0,,K. Caldwell-Pope makes 3-pt jump shot from 23 ft (assist by L. James),75,89
3,4:36.0,T. Satoranský misses 3-pt jump shot from 23 ft,,75,89
3,4:32.0,,Defensive rebound by A. Caruso,75,89
3,4:27.0,,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,75,89
3,4:24.0,Defensive rebound by B. Beal,,75,89
3,4:19.0,B. Beal makes 2-pt jump shot from 9 ft,,77,89
3,4:18.0,,LA Lakers full timeout,77,89
3,4:18.0,J. McRae enters the game for T. Satoranský,,77,89
3,4:18.0,,L. Stephenson enters the game for L. James,77,89
3,4:18.0,,J. Williams enters the game for J. McGee,77,89
3,4:05.0,,Turnover by A. Caruso (lost ball; steal by B. Portis),77,89
3,4:04.0,Turnover by B. Portis (bad pass),,77,89
3,3:54.0,,Turnover by R. Rondo (bad pass),77,89
3,3:54.0,J. Parker enters the game for T. Bryant,,77,89
3,3:33.0,Shooting foul by J. Williams (drawn by B. Beal),,77,89
3,3:33.0,B. Beal misses free throw 1 of 2,,77,89
3,3:33.0,Offensive rebound by Team,,77,89
3,3:33.0,B. Beal misses free throw 2 of 2,,77,89
3,3:30.0,,Defensive rebound by A. Caruso,77,89
3,3:24.0,,Turnover by L. Stephenson (bad pass),77,89
3,3:14.0,J. McRae misses 3-pt jump shot from 23 ft,,77,89
3,3:09.0,Offensive rebound by B. Portis,,77,89
3,3:02.0,Turnover by B. Beal (bad pass; steal by R. Rondo),,77,89
3,2:57.0,,K. Caldwell-Pope makes 2-pt layup from 2 ft (assist by R. Rondo),77,91
3,2:45.0,B. Beal makes 2-pt jump shot from 4 ft,,79,91
3,2:31.0,,R. Rondo misses 3-pt jump shot from 27 ft,79,91
3,2:26.0,Defensive rebound by B. Portis,,79,91
3,2:17.0,T. Brown misses 2-pt jump shot from 4 ft,,79,91
3,2:14.0,,Defensive rebound by R. Rondo,79,91
3,2:12.0,,L. Stephenson makes 2-pt layup from 2 ft (assist by R. Rondo),79,93
3,1:52.0,B. Beal misses 2-pt jump shot from 16 ft,,79,93
3,1:49.0,,Defensive rebound by L. Stephenson,79,93
3,1:43.0,,R. Rondo makes 2-pt layup from 1 ft (assist by L. Stephenson),79,95
3,1:29.0,Personal foul by L. Stephenson (drawn by B. Portis),,79,95
3,1:29.0,B. Portis makes free throw 1 of 2,,80,95
3,1:29.0,C. Randle enters the game for B. Beal,,80,95
3,1:29.0,,M. Wagner enters the game for K. Caldwell-Pope,80,95
3,1:29.0,B. Portis makes free throw 2 of 2,,81,95
3,1:15.0,,Shooting foul by C. Randle (drawn by M. Wagner),81,95
3,1:15.0,,M. Wagner makes free throw 1 of 2,81,96
3,1:15.0,,M. Wagner makes free throw 2 of 2,81,97
3,1:07.0,J. Parker makes 2-pt layup from 2 ft,,83,97
3,0:56.0,,Turnover by M. Wagner (traveling),83,97
3,0:37.0,B. Portis misses 3-pt jump shot from 25 ft,,83,97
3,0:35.0,,Defensive rebound by L. Stephenson,83,97
3,0:34.0,,Turnover by L. Stephenson (bad pass),83,97
3,0:31.0,J. McRae misses 3-pt jump shot from 25 ft,,83,97
3,0:27.0,,Defensive rebound by R. Rondo,83,97
3,0:06.0,,A. Caruso misses 3-pt jump shot from 23 ft,83,97
3,0:02.0,Defensive rebound by B. Portis,,83,97
3,0:00.0,J. Parker misses 2-pt layup from 1 ft,,83,97
3,0:00.0,Offensive rebound by Team,,83,97
4,11:47.0,,L. James misses 2-pt jump shot from 16 ft,83,97
4,11:42.0,Defensive rebound by C. Randle,,83,97
4,11:37.0,J. Parker makes 2-pt hook shot from 6 ft (assist by C. Randle),,85,97
4,11:37.0,,Violation by Team (def goaltending),85,97
4,11:17.0,,A. Caruso makes 3-pt jump shot from 23 ft (assist by M. Wagner),85,100
4,10:56.0,J. McRae makes 2-pt jump shot from 20 ft (assist by B. Portis),,87,100
4,10:46.0,,Personal foul by T. Satoranský (drawn by J. McGee),87,100
4,10:38.0,,M. Wagner makes 2-pt layup from 2 ft (assist by L. James),87,102
4,10:26.0,Turnover by C. Randle (traveling),,87,102
4,10:05.0,,Turnover by M. Wagner (lost ball; steal by J. McRae),87,102
4,10:00.0,J. Parker misses 2-pt layup from 2 ft,,87,102
4,9:57.0,,Defensive rebound by J. McGee,87,102
4,9:55.0,,Offensive foul by L. Stephenson (drawn by T. Satoranský),87,102
4,9:55.0,,Turnover by L. Stephenson (offensive foul),87,102
4,9:39.0,J. McRae makes 2-pt jump shot from 15 ft (assist by B. Portis),,89,102
4,9:19.0,,L. James misses 3-pt jump shot from 26 ft,89,102
4,9:16.0,Defensive rebound by J. McRae,,89,102
4,9:11.0,J. McRae makes 2-pt layup from 2 ft,,91,102
4,8:59.0,,A. Caruso misses 3-pt jump shot from 26 ft,91,102
4,8:56.0,Defensive rebound by J. McRae,,91,102
4,8:44.0,C. Randle misses 3-pt jump shot from 28 ft,,91,102
4,8:40.0,,Defensive rebound by L. James,91,102
4,8:37.0,,Personal take foul by J. McRae (drawn by L. James),91,102
4,8:37.0,B. Beal enters the game for C. Randle,,91,102
4,8:29.0,,Personal foul by J. Parker (drawn by J. McGee),91,102
4,8:24.0,,M. Wagner makes 2-pt layup from 1 ft (assist by L. James),91,104
4,8:07.0,B. Portis misses 2-pt jump shot from 9 ft,,91,104
4,8:04.0,,Defensive rebound by J. McGee,91,104
4,7:49.0,,L. James makes 2-pt layup from 1 ft,91,106
4,7:48.0,Washington full timeout,,91,106
4,7:48.0,J. Green enters the game for J. McRae,,91,106
4,7:36.0,Shooting foul by J. McGee (drawn by B. Beal),,91,106
4,7:36.0,B. Beal makes free throw 1 of 2,,92,106
4,7:36.0,B. Beal makes free throw 2 of 2,,93,106
4,7:17.0,,Turnover by L. James (bad pass; steal by T. Satoranský),93,106
4,7:11.0,B. Beal misses 3-pt jump shot from 27 ft,,93,106
4,7:06.0,B. Portis makes 2-pt layup from 1 ft,,95,106
4,7:06.0,Offensive rebound by B. Portis,,95,106
4,6:57.0,,L. James misses 3-pt jump shot from 26 ft,95,106
4,6:55.0,Defensive rebound by T. Satoranský,,95,106
4,6:50.0,Turnover by B. Portis (bad pass; steal by J. McGee),,95,106
4,6:48.0,,Turnover by L. James (bad pass),95,106
4,6:48.0,,K. Caldwell-Pope enters the game for A. Caruso,95,106
4,6:48.0,,R. Rondo enters the game for L. Stephenson,95,106
4,6:37.0,J. Parker makes 2-pt jump shot from 12 ft (assist by T. Satoranský),,97,106
4,6:37.0,Shooting foul by M. Wagner (drawn by J. Parker),,97,106
4,6:37.0,,K. Kuzma enters the game for M. Wagner,97,106
4,6:37.0,J. Parker makes free throw 1 of 1,,98,106
4,6:21.0,,L. James makes 2-pt jump shot from 9 ft,98,108
4,6:09.0,B. Portis misses 3-pt jump shot from 26 ft,,98,108
4,6:06.0,,Defensive rebound by K. Kuzma,98,108
4,5:48.0,,J. McGee makes 2-pt dunk at rim (assist by L. James),98,110
