QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,TORONTO_ACTION,MILWAUKEE_SCORE,TORONTO_SCORE
1,11:45.0,G. Antetokounmpo makes 2-pt jump shot from 19 ft (assist by E. Bledsoe),,2,0
1,11:24.0,,Personal foul by G. Antetokounmpo (drawn by K. Lowry),2,0
1,11:15.0,,K. Leonard makes 2-pt jump shot from 15 ft,2,2
1,11:06.0,G. Antetokounmpo makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),,5,2
1,10:50.0,,S. Ibaka misses 3-pt jump shot from 24 ft,5,2
1,10:48.0,Defensive rebound by G. Antetokounmpo,,5,2
1,10:39.0,K. Middleton makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,8,2
1,10:11.0,,P. Siakam makes 3-pt jump shot from 23 ft (assist by S. Ibaka),8,5
1,9:58.0,B. Lopez makes 2-pt jump shot from 10 ft,,10,5
1,9:47.0,,S. Ibaka misses 3-pt jump shot from 25 ft,10,5
1,9:44.0,,Offensive rebound by P. Siakam,10,5
1,9:33.0,,K. Leonard makes 2-pt jump shot from 3 ft (assist by S. Ibaka),10,7
1,9:14.0,E. Bledsoe misses 2-pt jump shot from 15 ft,,10,7
1,9:12.0,,Defensive rebound by P. Siakam,10,7
1,9:06.0,,P. Siakam makes 2-pt layup from 4 ft,10,9
1,8:52.0,K. Middleton misses 3-pt jump shot from 26 ft,,10,9
1,8:49.0,,Defensive rebound by K. Lowry,10,9
1,8:44.0,,Turnover by P. Siakam (bad pass; steal by K. Middleton),10,9
1,8:40.0,Personal foul by K. Lowry (drawn by K. Middleton),,10,9
1,8:28.0,Turnover by K. Middleton (lost ball; steal by S. Ibaka),,10,9
1,8:23.0,,K. Lowry misses 3-pt jump shot from 25 ft,10,9
1,8:20.0,,Offensive rebound by D. Green,10,9
1,8:19.0,,S. Ibaka makes 2-pt jump shot from 7 ft (assist by D. Green),10,11
1,8:05.0,B. Lopez misses 3-pt jump shot from 26 ft,,10,11
1,8:03.0,,Defensive rebound by P. Siakam,10,11
1,7:55.0,,S. Ibaka misses 3-pt jump shot from 23 ft,10,11
1,7:52.0,Defensive rebound by G. Antetokounmpo,,10,11
1,7:37.0,B. Lopez makes 2-pt layup from 3 ft,,12,11
1,7:16.0,,D. Green makes 2-pt layup from 3 ft,12,13
1,7:05.0,B. Lopez makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,15,13
1,6:52.0,,S. Ibaka makes 3-pt jump shot from 25 ft (assist by P. Siakam),15,16
1,6:51.0,Milwaukee full timeout,,15,16
1,6:51.0,P. Connaughton enters the game for G. Antetokounmpo,,15,16
1,6:35.0,Turnover by B. Lopez (bad pass),,15,16
1,6:21.0,,Turnover by K. Lowry (bad pass),15,16
1,6:08.0,K. Middleton misses 2-pt jump shot from 17 ft,,15,16
1,6:03.0,,Defensive rebound by D. Green,15,16
1,5:56.0,,K. Leonard misses 2-pt jump shot from 22 ft,15,16
1,5:53.0,Defensive rebound by K. Middleton,,15,16
1,5:46.0,M. Brogdon misses 2-pt layup from 3 ft (block by K. Lowry),,15,16
1,5:46.0,,Defensive rebound by Team,15,16
1,5:46.0,E. İlyasova enters the game for M. Brogdon,,15,16
1,5:46.0,,F. VanVleet enters the game for P. Siakam,15,16
1,5:26.0,,S. Ibaka misses 2-pt layup from 5 ft (block by E. İlyasova),15,16
1,5:25.0,,Offensive rebound by K. Leonard,15,16
1,5:24.0,,K. Leonard makes 2-pt jump shot from 4 ft,15,18
1,5:02.0,Turnover by E. Bledsoe (bad pass; steal by S. Ibaka),,15,18
1,4:51.0,,K. Leonard makes 2-pt jump shot from 17 ft (assist by S. Ibaka),15,20
1,4:28.0,B. Lopez makes 3-pt jump shot from 23 ft (assist by K. Middleton),,18,20
1,4:05.0,,S. Ibaka makes 2-pt hook shot from 8 ft (assist by F. VanVleet),18,22
1,3:46.0,E. Bledsoe misses 2-pt layup from 5 ft (block by D. Green),,18,22
1,3:43.0,Offensive rebound by E. Bledsoe,,18,22
1,3:43.0,G. Antetokounmpo enters the game for B. Lopez,,18,22
1,3:41.0,P. Connaughton misses 3-pt jump shot from 33 ft,,18,22
1,3:41.0,,Defensive rebound by Team,18,22
1,3:29.0,,F. VanVleet makes 3-pt jump shot from 23 ft (assist by K. Leonard),18,25
1,3:04.0,P. Connaughton misses 3-pt jump shot from 23 ft,,18,25
1,3:03.0,Offensive rebound by Team,,18,25
1,3:03.0,Turnover by Team (shot clock),,18,25
1,3:03.0,T. Snell enters the game for K. Middleton,,18,25
1,2:48.0,,Toronto full timeout,18,25
1,2:48.0,M. Brogdon enters the game for E. Bledsoe,,18,25
1,2:48.0,,O. Anunoby enters the game for S. Ibaka,18,25
1,2:48.0,,P. Siakam enters the game for K. Leonard,18,25
1,2:46.0,,Turnover by S. Ibaka (lost ball; steal by E. İlyasova),18,25
1,2:29.0,G. Antetokounmpo misses 2-pt jump shot from 15 ft,,18,25
1,2:26.0,,Defensive rebound by K. Lowry,18,25
1,2:23.0,,Turnover by K. Lowry (lost ball; steal by P. Connaughton),18,25
1,2:21.0,Personal foul by F. VanVleet (drawn by P. Connaughton),,18,25
1,2:15.0,G. Antetokounmpo makes 2-pt jump shot from 4 ft (assist by T. Snell),,20,25
1,2:15.0,Shooting foul by F. VanVleet (drawn by G. Antetokounmpo),,20,25
1,2:15.0,G. Antetokounmpo misses free throw 1 of 1,,20,25
1,2:12.0,,Defensive rebound by D. Green,20,25
1,2:00.0,,P. Siakam makes 2-pt jump shot from 10 ft,20,27
1,1:47.0,E. İlyasova misses 2-pt layup from 7 ft (block by P. Siakam),,20,27
1,1:47.0,Offensive rebound by Team,,20,27
1,1:47.0,Shooting foul by D. Green (drawn by E. İlyasova),,20,27
1,1:47.0,S. Brown enters the game for P. Connaughton,,20,27
