QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,HOUSTON_ACTION,GOLDEN STATE_SCORE,HOUSTON_SCORE
1,11:45.0,Turnover by D. Green (bad pass),,0,0
1,11:30.0,,C. Paul makes 2-pt jump shot from 13 ft,0,2
1,11:13.0,K. Thompson misses 3-pt jump shot from 26 ft,,0,2
1,11:11.0,,Defensive rebound by J. Harden,0,2
1,11:05.0,,J. Harden misses 3-pt jump shot from 24 ft,0,2
1,11:01.0,,Offensive rebound by C. Capela,0,2
1,11:00.0,,C. Capela misses 2-pt layup from 1 ft,0,2
1,10:59.0,Defensive rebound by D. Green,,0,2
1,10:45.0,S. Curry makes 3-pt jump shot from 25 ft (assist by K. Thompson),,3,2
1,10:35.0,,E. Gordon makes 2-pt layup at rim (assist by C. Paul),3,4
1,10:25.0,K. Durant makes 3-pt jump shot from 26 ft (assist by D. Green),,6,4
1,10:02.0,,E. Gordon misses 3-pt jump shot from 25 ft,6,4
1,10:02.0,Defensive rebound by A. Iguodala,,6,4
1,9:55.0,D. Green makes 2-pt layup from 1 ft (assist by A. Iguodala),,8,4
1,9:47.0,,Turnover by E. Gordon (bad pass),8,4
1,9:38.0,S. Curry makes 2-pt layup from 1 ft,,10,4
1,9:12.0,,J. Harden misses 2-pt jump shot from 14 ft,10,4
1,9:10.0,,Offensive rebound by J. Harden,10,4
1,9:10.0,,J. Harden makes 2-pt layup at rim,10,6
1,8:55.0,K. Thompson makes 2-pt jump shot from 22 ft (assist by D. Green),,12,6
1,8:32.0,,P. Tucker misses 2-pt hook shot from 4 ft,12,6
1,8:29.0,Defensive rebound by K. Thompson,,12,6
1,8:23.0,S. Curry misses 3-pt jump shot from 27 ft,,12,6
1,8:23.0,,Defensive rebound by C. Capela,12,6
1,8:17.0,,E. Gordon misses 3-pt jump shot from 26 ft,12,6
1,8:15.0,Defensive rebound by K. Thompson,,12,6
1,8:01.0,K. Thompson misses 2-pt jump shot from 17 ft (block by C. Paul),,12,6
1,8:01.0,,Defensive rebound by C. Paul,12,6
1,7:59.0,,Offensive foul by C. Paul (drawn by K. Durant),12,6
1,7:59.0,,Turnover by C. Paul (offensive foul),12,6
1,7:39.0,S. Curry misses 2-pt layup from 2 ft,,12,6
1,7:36.0,Offensive rebound by D. Green,,12,6
1,7:36.0,D. Green makes 2-pt layup at rim,,14,6
1,7:32.0,,E. Gordon makes 2-pt layup from 2 ft (assist by J. Harden),14,8
1,7:14.0,K. Durant makes 2-pt jump shot from 15 ft,,16,8
1,7:07.0,,Personal foul by D. Green (drawn by J. Harden),16,8
1,6:55.0,,E. Gordon misses 3-pt jump shot from 24 ft,16,8
1,6:54.0,Defensive rebound by K. Durant,,16,8
1,6:43.0,Turnover by S. Curry (bad pass; steal by J. Harden),,16,8
1,6:37.0,,E. Gordon makes 3-pt jump shot from 27 ft (assist by C. Paul),16,11
1,6:22.0,K. Durant makes 2-pt jump shot from 12 ft,,18,11
1,6:03.0,,P. Tucker misses 2-pt hook shot from 6 ft,18,11
1,6:02.0,Defensive rebound by K. Durant,,18,11
1,5:52.0,K. Durant misses 3-pt jump shot from 26 ft,,18,11
1,5:51.0,,Defensive rebound by P. Tucker,18,11
1,5:46.0,,Turnover by E. Gordon (lost ball; steal by S. Curry),18,11
1,5:43.0,Personal take foul by E. Gordon (drawn by S. Curry),,18,11
1,5:43.0,,Houston full timeout,18,11
1,5:43.0,,A. Rivers enters the game for C. Paul,18,11
1,5:28.0,S. Curry makes 2-pt layup from 2 ft (assist by A. Iguodala),,20,11
1,5:04.0,,J. Harden makes 2-pt layup from 1 ft,20,13
1,4:50.0,D. Green misses 3-pt jump shot from 23 ft,,20,13
1,4:48.0,,Defensive rebound by C. Capela,20,13
1,4:36.0,,A. Rivers makes 2-pt jump shot from 4 ft,20,15
1,4:24.0,A. Iguodala makes 2-pt dunk from 2 ft (assist by K. Durant),,22,15
1,4:00.0,,J. Harden misses 3-pt jump shot from 27 ft,22,15
1,3:57.0,Defensive rebound by S. Curry,,22,15
1,3:57.0,,Loose ball foul by J. Harden (drawn by D. Green),22,15
1,3:57.0,K. Looney enters the game for A. Iguodala,,22,15
1,3:57.0,A. McKinnie enters the game for K. Thompson,,22,15
1,3:57.0,,G. Green enters the game for E. Gordon,22,15
1,3:35.0,Turnover by D. Green (bad pass; steal by C. Capela),,22,15
1,3:29.0,,J. Harden misses 2-pt layup from 5 ft,22,15
1,3:25.0,,Offensive rebound by C. Capela,22,15
1,3:25.0,,C. Capela makes 2-pt layup from 1 ft,22,17
1,3:17.0,S. Curry misses 2-pt jump shot from 22 ft,,22,17
1,3:12.0,,Defensive rebound by P. Tucker,22,17
1,3:03.0,,C. Capela makes 2-pt layup from 1 ft (assist by J. Harden),22,19
1,3:03.0,,Violation by Team (delay of game),22,19
1,2:50.0,Golden State full timeout,,22,19
1,2:50.0,,C. Paul enters the game for J. Harden,22,19
1,2:47.0,K. Durant misses 3-pt jump shot from 26 ft,,22,19
1,2:45.0,Offensive rebound by D. Green,,22,19
1,2:42.0,S. Curry misses 3-pt jump shot from 26 ft,,22,19
1,2:38.0,,Defensive rebound by C. Capela,22,19
1,2:28.0,,Shooting foul by K. Looney (drawn by C. Capela),22,19
1,2:28.0,,C. Capela misses free throw 1 of 2,22,19
1,2:28.0,,Offensive rebound by Team,22,19
1,2:28.0,A. Iguodala enters the game for K. Durant,,22,19
1,2:28.0,,I. Shumpert enters the game for P. Tucker,22,19
1,2:28.0,,C. Capela misses free throw 2 of 2,22,19
1,2:28.0,Defensive rebound by D. Green,,22,19
1,2:21.0,Personal foul by I. Shumpert (drawn by D. Green),,22,19
1,2:14.0,A. McKinnie misses 3-pt jump shot from 24 ft,,22,19
1,2:13.0,,Defensive rebound by A. Rivers,22,19
1,2:00.0,,C. Paul misses 2-pt jump shot from 5 ft,22,19
1,1:57.0,,Offensive rebound by C. Capela,22,19
1,1:57.0,,C. Capela makes 2-pt layup from 1 ft,22,21
1,1:43.0,K. Looney makes 2-pt jump shot from 15 ft (assist by A. Iguodala),,24,21
1,1:33.0,,A. Rivers misses 3-pt jump shot from 25 ft,24,21
1,1:29.0,Defensive rebound by A. McKinnie,,24,21
1,1:28.0,Personal foul by A. Rivers (drawn by S. Curry),,24,21
1,1:22.0,Shooting foul by G. Green (drawn by S. Curry),,24,21
1,1:22.0,S. Curry misses free throw 1 of 3,,24,21
1,1:22.0,Offensive rebound by Team,,24,21
1,1:22.0,S. Curry makes free throw 2 of 3,,25,21
1,1:22.0,S. Curry misses free throw 3 of 3,,25,21
1,1:22.0,,Defensive rebound by G. Green,25,21
1,1:04.0,,C. Paul makes 2-pt layup from 1 ft,25,23
1,0:55.0,A. Iguodala misses 2-pt dunk from 1 ft (block by C. Capela),,25,23
1,0:52.0,Offensive rebound by Team,,25,23
1,0:52.0,,Loose ball foul by C. Paul (drawn by D. Green),25,23
1,0:52.0,D. Green misses free throw 1 of 2,,25,23
1,0:52.0,Offensive rebound by Team,,25,23
1,0:52.0,D. Green makes free throw 2 of 2,,26,23
1,0:43.0,,G. Green misses 3-pt jump shot from 26 ft,26,23
1,0:39.0,Defensive rebound by D. Green,,26,23
1,0:37.0,S. Curry misses 3-pt jump shot from 28 ft,,26,23
1,0:34.0,,Defensive rebound by G. Green,26,23
1,0:14.0,,Personal foul by A. McKinnie (drawn by I. Shumpert),26,23
1,0:05.0,,Personal foul by A. Iguodala (drawn by C. Paul),26,23
1,0:05.0,,C. Paul makes free throw 1 of 2,26,24
1,0:05.0,K. Durant enters the game for K. Looney,,26,24
1,0:05.0,K. Thompson enters the game for A. McKinnie,,26,24
1,0:05.0,,J. Harden enters the game for C. Capela,26,24
1,0:05.0,,P. Tucker enters the game for G. Green,26,24
