QUARTER,TIME_REMAINING,DENVER_ACTION,HOUSTON_ACTION,DENVER_SCORE,HOUSTON_SCORE
1,11:47.0,,E. Gordon misses 3-pt jump shot from 26 ft,0,0
1,11:42.0,Defensive rebound by W. Barton,,0,0
1,11:27.0,G. Harris makes 3-pt jump shot from 23 ft (assist by N. Jokić),,3,0
1,11:15.0,,J. Harden makes 2-pt layup from 1 ft,3,2
1,10:53.0,P. Millsap makes 2-pt jump shot from 3 ft (assist by N. Jokić),,5,2
1,10:41.0,,E. Gordon misses 2-pt jump shot from 5 ft (block by N. Jokić),5,2
1,10:38.0,Defensive rebound by N. Jokić,,5,2
1,10:35.0,W. Barton misses 3-pt jump shot from 26 ft,,5,2
1,10:31.0,,Defensive rebound by C. Capela,5,2
1,10:18.0,,C. Paul misses 3-pt jump shot from 23 ft,5,2
1,10:14.0,Defensive rebound by J. Murray,,5,2
1,10:06.0,P. Millsap misses 2-pt jump shot from 8 ft (block by J. Harden),,5,2
1,10:06.0,Offensive rebound by Team,,5,2
1,9:57.0,G. Harris makes 3-pt jump shot from 23 ft (assist by N. Jokić),,8,2
1,9:34.0,,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),8,4
1,9:20.0,J. Murray makes 2-pt jump shot from 15 ft (assist by N. Jokić),,10,4
1,9:20.0,Shooting foul by C. Paul (drawn by J. Murray),,10,4
1,9:20.0,J. Murray makes free throw 1 of 1,,11,4
1,9:09.0,,E. Gordon makes 2-pt layup from 1 ft (assist by J. Harden),11,6
1,8:49.0,P. Millsap misses 2-pt jump shot from 8 ft,,11,6
1,8:47.0,,Defensive rebound by C. Capela,11,6
1,8:34.0,,E. Gordon makes 3-pt jump shot from 24 ft (assist by C. Paul),11,9
1,8:11.0,N. Jokić misses 2-pt jump shot from 19 ft,,11,9
1,8:09.0,,Defensive rebound by C. Paul,11,9
1,8:01.0,,J. Harden makes 2-pt jump shot from 11 ft,11,11
1,7:47.0,J. Murray makes 2-pt layup from 3 ft (assist by W. Barton),,13,11
1,7:36.0,,C. Capela misses 2-pt layup from 4 ft,13,11
1,7:34.0,Defensive rebound by J. Murray,,13,11
1,7:32.0,Turnover by G. Harris (out of bounds lost ball),,13,11
1,7:25.0,,Personal foul by J. Murray (drawn by C. Paul),13,11
1,7:15.0,,J. Harden misses 2-pt layup from 6 ft (block by N. Jokić),13,11
