QUARTER,TIME_REMAINING,DALLAS_ACTION,DETROIT_ACTION,DALLAS_SCORE,DETROIT_SCORE
1,11:45.0,,B. Griffin makes 2-pt layup from 3 ft (assist by R. Jackson),0,2
1,11:26.0,H. Barnes makes 2-pt jump shot from 21 ft (assist by J. Brunson),,2,2
1,11:12.0,,B. Griffin makes 3-pt jump shot from 26 ft (assist by R. Bullock),2,5
1,11:01.0,J. Brunson misses 2-pt jump shot from 10 ft,,2,5
1,10:57.0,,Defensive rebound by A. Drummond,2,5
1,10:40.0,,B. Griffin makes 2-pt layup from 2 ft,2,7
1,10:29.0,Personal foul by R. Bullock (drawn by H. Barnes),,2,7
1,10:14.0,J. Brunson makes 2-pt jump shot from 18 ft,,4,7
1,9:55.0,,A. Drummond makes 2-pt layup from 2 ft (assist by B. Griffin),4,9
1,9:39.0,J. Brunson misses 2-pt layup from 4 ft (block by A. Drummond),,4,9
1,9:36.0,Offensive rebound by S. Mejri,,4,9
1,9:36.0,S. Mejri misses 2-pt layup from 2 ft,,4,9
1,9:34.0,Offensive rebound by H. Barnes,,4,9
1,9:27.0,Turnover by D. Finney-Smith (bad pass; steal by R. Jackson),,4,9
1,9:24.0,,R. Jackson makes 2-pt layup from 1 ft,4,11
1,9:23.0,Dallas full timeout,,4,11
1,9:03.0,D. Finney-Smith misses 3-pt jump shot from 25 ft,,4,11
1,8:58.0,,Defensive rebound by B. Brown,4,11
1,8:41.0,,R. Jackson misses 2-pt layup from 2 ft,4,11
1,8:36.0,,Offensive rebound by A. Drummond,4,11
1,8:36.0,,A. Drummond misses 2-pt dunk from 1 ft (block by S. Mejri),4,11
1,8:35.0,Defensive rebound by M. Kleber,,4,11
1,8:24.0,Turnover by J. Brunson (bad pass),,4,11
1,8:03.0,,R. Bullock misses 3-pt jump shot from 26 ft,4,11
1,8:00.0,,Offensive rebound by A. Drummond,4,11
1,7:58.0,,Offensive foul by A. Drummond (drawn by S. Mejri),4,11
1,7:58.0,,Turnover by A. Drummond (offensive foul),4,11
1,7:44.0,H. Barnes misses 3-pt jump shot from 26 ft,,4,11
1,7:41.0,,Defensive rebound by A. Drummond,4,11
1,7:36.0,,R. Jackson misses 2-pt jump shot from 19 ft,4,11
1,7:32.0,Defensive rebound by M. Kleber,,4,11
1,7:21.0,H. Barnes makes 2-pt dunk from 1 ft (assist by D. Finney-Smith),,6,11
1,7:05.0,,B. Griffin misses 3-pt jump shot from 25 ft,6,11
1,7:02.0,Defensive rebound by S. Mejri,,6,11
1,6:51.0,H. Barnes misses 2-pt layup from 5 ft,,6,11
1,6:50.0,,Defensive rebound by A. Drummond,6,11
1,6:45.0,,A. Drummond makes 2-pt layup from 3 ft,6,13
1,6:21.0,M. Kleber misses 2-pt hook shot from 8 ft,,6,13
1,6:19.0,Offensive rebound by S. Mejri,,6,13
1,6:18.0,Personal foul by R. Jackson (drawn by D. Finney-Smith),,6,13
1,6:18.0,R. Broekhoff enters the game for D. Finney-Smith,,6,13
1,6:03.0,J. Brunson misses 2-pt jump shot from 11 ft (block by B. Brown),,6,13
1,6:03.0,Offensive rebound by Team,,6,13
1,6:03.0,Turnover by Team (shot clock),,6,13
1,5:53.0,,Turnover by R. Jackson (lost ball; steal by M. Kleber),6,13
1,5:32.0,M. Kleber makes 3-pt jump shot from 25 ft (assist by J. Brunson),,9,13
1,5:25.0,,Detroit full timeout,9,13
1,5:25.0,D. Powell enters the game for S. Mejri,,9,13
1,5:25.0,,L. Kennard enters the game for R. Bullock,9,13
1,5:14.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by B. Griffin),9,15
1,4:59.0,H. Barnes makes 2-pt jump shot from 14 ft,,11,15
1,4:47.0,,L. Kennard misses 3-pt jump shot from 26 ft,11,15
1,4:45.0,Defensive rebound by J. Brunson,,11,15
1,4:33.0,R. Broekhoff misses 3-pt jump shot from 23 ft,,11,15
1,4:29.0,,Defensive rebound by R. Jackson,11,15
1,4:12.0,,B. Brown misses 2-pt layup from 5 ft,11,15
1,4:11.0,Defensive rebound by M. Kleber,,11,15
1,4:08.0,Personal foul by R. Jackson (drawn by J. Brunson),,11,15
1,4:08.0,D. Harris enters the game for J. Brunson,,11,15
1,4:08.0,,J. Calderón enters the game for B. Brown,11,15
1,4:08.0,,S. Johnson enters the game for R. Jackson,11,15
1,3:58.0,D. Powell makes 2-pt dunk from 1 ft (assist by H. Barnes),,13,15
1,3:33.0,,B. Griffin misses 2-pt hook shot from 7 ft,13,15
1,3:31.0,Defensive rebound by R. Broekhoff,,13,15
1,3:29.0,R. Broekhoff makes 2-pt layup from 2 ft,,15,15
1,3:29.0,,Violation by Team (def goaltending),15,15
1,3:15.0,,B. Griffin misses 2-pt layup from 3 ft (block by D. Powell),15,15
1,3:15.0,Defensive rebound by Team,,15,15
1,3:00.0,R. Broekhoff misses 2-pt jump shot from 8 ft,,15,15
1,2:57.0,,Defensive rebound by A. Drummond,15,15
1,2:47.0,,S. Johnson misses 2-pt jump shot from 20 ft,15,15
1,2:46.0,Defensive rebound by R. Broekhoff,,15,15
1,2:37.0,R. Broekhoff makes 3-pt jump shot from 26 ft (assist by H. Barnes),,18,15
1,2:09.0,,S. Johnson misses 3-pt jump shot from 25 ft,18,15
1,2:06.0,Defensive rebound by M. Kleber,,18,15
1,1:59.0,Turnover by D. Harris (bad pass; steal by S. Johnson),,18,15
1,1:41.0,,B. Griffin misses 2-pt layup from 3 ft,18,15
1,1:37.0,Defensive rebound by D. Powell,,18,15
1,1:32.0,D. Harris misses 3-pt jump shot from 25 ft,,18,15
1,1:32.0,,Defensive rebound by L. Kennard,18,15
1,1:24.0,,Personal foul by M. Kleber (drawn by A. Drummond),18,15
1,1:24.0,,G. Robinson enters the game for B. Griffin,18,15
1,1:19.0,,Personal foul by R. Broekhoff (drawn by G. Robinson),18,15
