QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,ATLANTA_ACTION,PHILADELPHIA_SCORE,ATLANTA_SCORE
1,11:49.0,,J. Collins makes 3-pt jump shot from 25 ft (assist by T. Young),0,3
1,11:29.0,J. Butler makes 2-pt jump shot from 12 ft,,2,3
1,11:09.0,,D. Dedmon misses 3-pt jump shot from 24 ft,2,3
1,11:04.0,Defensive rebound by T. Harris,,2,3
1,11:00.0,B. Simmons misses 2-pt layup from 4 ft,,2,3
1,10:57.0,Offensive rebound by J. Butler,,2,3
1,10:57.0,Personal foul by K. Huerter (drawn by J. Butler),,2,3
1,10:49.0,T. Harris makes 2-pt jump shot from 12 ft,,4,3
1,10:37.0,,D. Dedmon makes 2-pt dunk at rim (assist by T. Prince),4,5
1,10:19.0,B. Simmons makes 2-pt layup from 2 ft,,6,5
1,10:09.0,,T. Prince makes 3-pt jump shot from 28 ft (assist by T. Young),6,8
1,9:58.0,J. Redick makes 2-pt jump shot from 21 ft (assist by B. Simmons),,8,8
1,9:45.0,,T. Young makes 2-pt layup from 10 ft,8,10
1,9:25.0,T. Harris makes 2-pt jump shot from 7 ft (assist by J. Embiid),,10,10
1,9:10.0,,T. Young makes 3-pt jump shot from 25 ft,10,13
1,8:55.0,Shooting foul by D. Dedmon (drawn by J. Embiid),,10,13
1,8:55.0,J. Embiid misses free throw 1 of 2,,10,13
1,8:55.0,Offensive rebound by Team,,10,13
1,8:55.0,J. Embiid makes free throw 2 of 2,,11,13
1,8:47.0,,Shooting foul by T. Harris (drawn by T. Young),11,13
1,8:47.0,,T. Young makes free throw 1 of 2,11,14
1,8:47.0,,T. Young makes free throw 2 of 2,11,15
1,8:36.0,Personal foul by K. Huerter (drawn by J. Embiid),,11,15
1,8:36.0,,D. Bembry enters the game for K. Huerter,11,15
1,8:30.0,J. Embiid misses 2-pt dunk from 1 ft,,11,15
1,8:27.0,,Defensive rebound by D. Dedmon,11,15
1,8:22.0,,D. Dedmon makes 2-pt layup at rim (assist by T. Prince),11,17
1,8:06.0,Shooting foul by D. Dedmon (drawn by J. Embiid),,11,17
1,8:06.0,J. Embiid makes free throw 1 of 2,,12,17
1,8:06.0,,A. Len enters the game for D. Dedmon,12,17
1,8:06.0,J. Embiid makes free throw 2 of 2,,13,17
1,7:54.0,,T. Prince misses 3-pt jump shot from 25 ft,13,17
1,7:50.0,Defensive rebound by T. Harris,,13,17
1,7:36.0,B. Simmons makes 2-pt layup from 2 ft,,15,17
1,7:27.0,,A. Len misses 3-pt jump shot from 24 ft,15,17
1,7:22.0,,Offensive rebound by T. Young,15,17
1,7:20.0,,D. Bembry misses 2-pt layup from 5 ft,15,17
1,7:17.0,,Offensive rebound by D. Bembry,15,17
