QUARTER,TIME_REMAINING,PHOENIX_ACTION,LA LAKERS_ACTION,PHOENIX_SCORE,LA LAKERS_SCORE
1,11:38.0,D. Ayton misses 2-pt jump shot from 20 ft,,0,0
1,11:35.0,,Defensive rebound by L. Ball,0,0
1,11:24.0,,Personal foul by M. Bridges (drawn by B. Ingram),0,0
1,11:10.0,,L. James misses 3-pt jump shot from 29 ft,0,0
1,11:05.0,Defensive rebound by D. Ayton,,0,0
1,11:01.0,Turnover by J. Jackson (bad pass; steal by L. Ball),,0,0
1,10:58.0,,K. Kuzma makes 2-pt layup from 1 ft (assist by L. Ball),0,2
1,10:51.0,T. Ariza misses 2-pt layup from 1 ft (block by L. James),,0,2
1,10:51.0,Offensive rebound by J. Jackson,,0,2
1,10:47.0,J. Jackson misses 2-pt jump shot from 5 ft,,0,2
1,10:42.0,Offensive rebound by D. Ayton,,0,2
1,10:39.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by D. Ayton),,3,2
1,10:24.0,,Turnover by L. James (bad pass),3,2
1,10:13.0,Turnover by J. Jackson (step out of bounds),,3,2
1,10:00.0,,K. Kuzma misses 3-pt jump shot from 25 ft,3,2
1,9:58.0,Defensive rebound by M. Bridges,,3,2
1,9:49.0,D. Ayton misses 2-pt layup from 4 ft,,3,2
1,9:47.0,,Defensive rebound by J. McGee,3,2
1,9:46.0,,Turnover by L. James (bad pass),3,2
1,9:36.0,T. Ariza makes 3-pt jump shot from 27 ft (assist by D. Booker),,6,2
1,9:23.0,,Turnover by B. Ingram (bad pass; steal by J. Jackson),6,2
1,9:20.0,J. Jackson makes 2-pt dunk from 1 ft,,8,2
1,9:03.0,,J. McGee misses 2-pt jump shot from 13 ft,8,2
1,9:03.0,,Offensive rebound by B. Ingram,8,2
1,9:03.0,,Personal foul by T. Ariza (drawn by B. Ingram),8,2
1,8:58.0,,Turnover by L. Ball (bad pass; steal by T. Ariza),8,2
1,8:55.0,T. Ariza makes 2-pt dunk from 2 ft,,10,2
1,8:55.0,,LA Lakers full timeout,10,2
1,8:43.0,,B. Ingram misses 2-pt jump shot from 18 ft,10,2
1,8:41.0,Defensive rebound by D. Ayton,,10,2
1,8:39.0,Turnover by D. Ayton (bad pass; steal by L. Ball),,10,2
1,8:34.0,,J. McGee misses 2-pt jump shot from 9 ft,10,2
1,8:31.0,Defensive rebound by J. Jackson,,10,2
1,8:12.0,T. Ariza misses 3-pt jump shot from 26 ft,,10,2
1,8:09.0,,Defensive rebound by K. Kuzma,10,2
1,8:01.0,,B. Ingram makes 2-pt dunk from 2 ft (assist by L. James),10,4
1,7:49.0,D. Booker makes 2-pt jump shot from 19 ft,,12,4
1,7:32.0,,L. Ball misses 3-pt jump shot from 27 ft,12,4
1,7:29.0,,Offensive rebound by J. McGee,12,4
1,7:21.0,,B. Ingram misses 2-pt jump shot from 5 ft,12,4
1,7:19.0,Defensive rebound by J. Jackson,,12,4
1,7:14.0,J. Jackson makes 2-pt layup from 2 ft,,14,4
1,7:14.0,E. Okobo enters the game for M. Bridges,,14,4
1,7:14.0,,T. Chandler enters the game for J. McGee,14,4
1,7:05.0,,Turnover by B. Ingram (bad pass; steal by T. Ariza),14,4
1,6:59.0,D. Ayton makes 2-pt dunk from 2 ft (assist by J. Jackson),,16,4
1,6:48.0,,Shooting foul by D. Ayton (drawn by B. Ingram),16,4
1,6:48.0,,B. Ingram makes free throw 1 of 2,16,5
1,6:48.0,,B. Ingram misses free throw 2 of 2,16,5
1,6:45.0,Defensive rebound by T. Ariza,,16,5
1,6:32.0,D. Booker makes 2-pt jump shot from 1 ft,,18,5
1,6:26.0,,Turnover by L. Ball (bad pass; steal by J. Jackson),18,5
1,6:18.0,D. Booker makes 2-pt jump shot from 14 ft,,20,5
1,6:09.0,,B. Ingram makes 2-pt jump shot from 7 ft,20,7
1,6:09.0,,Shooting foul by D. Ayton (drawn by B. Ingram),20,7
1,6:09.0,,B. Ingram makes free throw 1 of 1,20,8
1,5:55.0,E. Okobo misses 2-pt jump shot from 20 ft,,20,8
1,5:52.0,Offensive rebound by D. Ayton,,20,8
1,5:49.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by D. Ayton),,23,8
1,5:39.0,,L. James misses 3-pt jump shot from 26 ft,23,8
1,5:36.0,Defensive rebound by J. Jackson,,23,8
1,5:27.0,Shooting foul by T. Chandler (drawn by J. Jackson),,23,8
1,5:27.0,J. Jackson makes free throw 1 of 2,,24,8
1,5:27.0,,J. Hart enters the game for B. Ingram,24,8
1,5:27.0,J. Jackson makes free throw 2 of 2,,25,8
1,5:04.0,,T. Chandler misses 2-pt hook shot from 5 ft,25,8
1,5:02.0,Defensive rebound by T. Ariza,,25,8
1,4:53.0,D. Booker misses 2-pt layup from 2 ft (block by J. Hart),,25,8
1,4:53.0,,Defensive rebound by T. Chandler,25,8
1,4:32.0,,K. Kuzma makes 2-pt layup from 4 ft,25,10
1,4:25.0,Phoenix full timeout,,25,10
1,4:25.0,R. Holmes enters the game for D. Ayton,,25,10
1,4:19.0,D. Booker misses 3-pt jump shot from 25 ft,,25,10
1,4:16.0,,Defensive rebound by L. Ball,25,10
