QUARTER,TIME_REMAINING,UTAH_ACTION,DALLAS_ACTION,UTAH_SCORE,DALLAS_SCORE
1,11:44.0,J. Crowder misses 3-pt jump shot from 25 ft,,0,0
1,11:42.0,,Defensive rebound by D. Jordan,0,0
1,11:32.0,,H. Barnes misses 3-pt jump shot from 26 ft,0,0
1,11:28.0,Defensive rebound by R. Gobert,,0,0
1,11:17.0,R. Rubio misses 2-pt layup from 1 ft,,0,0
1,11:16.0,,Defensive rebound by D. Jordan,0,0
1,11:08.0,,D. Smith misses 2-pt jump shot from 17 ft,0,0
1,11:05.0,Defensive rebound by R. Gobert,,0,0
1,10:49.0,R. Gobert misses 2-pt jump shot from 11 ft (block by D. Jordan),,0,0
1,10:46.0,,Defensive rebound by D. Jordan,0,0
1,10:36.0,,W. Matthews misses 2-pt jump shot from 11 ft (block by D. Mitchell),0,0
1,10:34.0,,Offensive rebound by W. Matthews,0,0
1,10:32.0,,W. Matthews misses 2-pt layup from 3 ft,0,0
1,10:30.0,Defensive rebound by R. Gobert,,0,0
1,10:23.0,D. Mitchell makes 2-pt layup at rim,,2,0
1,10:05.0,,L. Dončić makes 2-pt layup from 1 ft (assist by W. Matthews),2,2
1,9:47.0,J. Ingles misses 2-pt jump shot from 8 ft,,2,2
1,9:46.0,Offensive rebound by R. Gobert,,2,2
1,9:45.0,R. Gobert makes 2-pt layup from 1 ft,,4,2
1,9:21.0,,D. Jordan misses 2-pt jump shot from 20 ft,4,2
1,9:18.0,Defensive rebound by J. Ingles,,4,2
1,9:09.0,J. Crowder makes 2-pt layup from 1 ft (assist by J. Ingles),,6,2
1,8:55.0,,Turnover by D. Smith (bad pass),6,2
1,8:47.0,D. Mitchell misses 3-pt jump shot from 26 ft,,6,2
1,8:44.0,,Defensive rebound by L. Dončić,6,2
1,8:34.0,,D. Smith misses 2-pt jump shot from 11 ft,6,2
1,8:32.0,Defensive rebound by R. Gobert,,6,2
1,8:25.0,Turnover by R. Rubio (bad pass; steal by H. Barnes),,6,2
1,8:20.0,,L. Dončić misses 2-pt layup from 2 ft,6,2
1,8:19.0,Defensive rebound by J. Ingles,,6,2
1,8:15.0,R. Rubio makes 3-pt jump shot from 23 ft (assist by J. Ingles),,9,2
1,8:13.0,,Dallas full timeout,9,2
1,7:52.0,,H. Barnes misses 2-pt jump shot from 10 ft,9,2
1,7:49.0,Defensive rebound by J. Ingles,,9,2
1,7:42.0,R. Gobert makes 2-pt dunk at rim (assist by J. Ingles),,11,2
1,7:27.0,,Shooting foul by R. Gobert (drawn by D. Jordan),11,2
1,7:27.0,,D. Jordan makes free throw 1 of 2,11,3
1,7:27.0,,D. Jordan makes free throw 2 of 2,11,4
1,7:04.0,J. Ingles misses 3-pt jump shot from 26 ft,,11,4
1,7:00.0,,Defensive rebound by D. Jordan,11,4
1,6:51.0,,W. Matthews misses 2-pt jump shot from 12 ft,11,4
1,6:49.0,Defensive rebound by R. Rubio,,11,4
1,6:41.0,R. Rubio misses 2-pt jump shot from 9 ft,,11,4
1,6:39.0,Offensive rebound by R. Gobert,,11,4
1,6:38.0,R. Gobert misses 2-pt layup from 1 ft,,11,4
1,6:36.0,Offensive rebound by R. Gobert,,11,4
1,6:32.0,R. Rubio misses 3-pt jump shot from 25 ft,,11,4
1,6:32.0,,Defensive rebound by L. Dončić,11,4
1,6:23.0,,Turnover by L. Dončić (bad pass; steal by R. Rubio),11,4
1,6:19.0,J. Crowder misses 2-pt layup from 1 ft,,11,4
1,6:18.0,Offensive rebound by D. Mitchell,,11,4
1,6:17.0,D. Mitchell makes 2-pt layup from 1 ft,,13,4
1,6:03.0,,Personal foul by J. Ingles (drawn by L. Dončić),13,4
1,6:03.0,R. O'Neale enters the game for J. Ingles,,13,4
1,5:54.0,,D. Smith makes 2-pt layup from 2 ft (assist by L. Dončić),13,6
1,5:43.0,Turnover by R. O'Neale (step out of bounds),,13,6
1,5:27.0,,D. Smith misses 2-pt layup from 1 ft,13,6
1,5:26.0,Defensive rebound by J. Crowder,,13,6
1,5:19.0,R. O'Neale makes 3-pt jump shot from 24 ft (assist by J. Crowder),,16,6
1,5:02.0,,D. Smith makes 2-pt layup from 1 ft (assist by D. Jordan),16,8
1,4:53.0,J. Crowder makes 2-pt layup from 1 ft (assist by R. Rubio),,18,8
1,4:41.0,,W. Matthews misses 2-pt jump shot from 9 ft,18,8
1,4:41.0,,Offensive rebound by Team,18,8
1,4:41.0,Loose ball foul by J. Crowder (drawn by W. Matthews),,18,8
1,4:41.0,,J. Barea enters the game for H. Barnes,18,8
1,4:41.0,,M. Kleber enters the game for D. Smith,18,8
1,4:31.0,,W. Matthews misses 2-pt layup from 2 ft (block by R. Gobert),18,8
1,4:26.0,,Offensive rebound by L. Dončić,18,8
1,4:26.0,,W. Matthews makes 3-pt jump shot from 23 ft (assist by L. Dončić),18,11
1,4:17.0,D. Mitchell misses 2-pt jump shot from 10 ft,,18,11
1,4:14.0,,Defensive rebound by D. Jordan,18,11
1,4:08.0,,Personal foul by R. O'Neale (drawn by L. Dončić),18,11
1,4:08.0,Technical foul by R. O'Neale,,18,11
1,4:08.0,,W. Matthews makes technical free throw,18,12
1,4:08.0,D. Exum enters the game for J. Crowder,,18,12
1,4:08.0,G. Niang enters the game for R. Rubio,,18,12
1,3:55.0,,Shooting foul by D. Mitchell (drawn by J. Barea),18,12
1,3:55.0,,J. Barea misses free throw 1 of 2,18,12
1,3:55.0,,Offensive rebound by Team,18,12
1,3:55.0,,J. Barea misses free throw 2 of 2,18,12
1,3:52.0,Defensive rebound by D. Exum,,18,12
1,3:38.0,D. Mitchell misses 2-pt jump shot from 14 ft,,18,12
1,3:35.0,,Defensive rebound by D. Jordan,18,12
1,3:28.0,,W. Matthews misses 3-pt jump shot from 23 ft,18,12
1,3:28.0,,Offensive rebound by D. Jordan,18,12
1,3:24.0,,L. Dončić misses 3-pt jump shot from 25 ft,18,12
1,3:21.0,Defensive rebound by D. Exum,,18,12
1,3:15.0,Offensive foul by R. Gobert (drawn by W. Matthews),,18,12
1,3:15.0,Turnover by R. Gobert (offensive foul),,18,12
1,3:15.0,E. Udoh enters the game for R. Gobert,,18,12
1,3:15.0,,D. Finney-Smith enters the game for W. Matthews,18,12
1,2:56.0,,Turnover by L. Dončić (bad pass; steal by D. Mitchell),18,12
1,2:39.0,D. Mitchell misses 3-pt jump shot from 25 ft,,18,12
1,2:35.0,,Defensive rebound by M. Kleber,18,12
1,2:30.0,,D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by J. Barea),18,15
1,2:30.0,Utah full timeout,,18,15
1,2:30.0,G. Allen enters the game for D. Mitchell,,18,15
1,2:30.0,J. Ingles enters the game for R. O'Neale,,18,15
1,2:30.0,,J. Brunson enters the game for L. Dončić,18,15
1,2:30.0,,D. Powell enters the game for D. Jordan,18,15
1,2:14.0,J. Ingles makes 3-pt jump shot from 24 ft,,21,15
1,2:05.0,,Personal foul by G. Niang (drawn by M. Kleber),21,15
1,2:05.0,,M. Kleber misses free throw 1 of 2,21,15
1,2:05.0,,Offensive rebound by Team,21,15
1,2:05.0,,M. Kleber makes free throw 2 of 2,21,16
1,1:43.0,Shooting foul by M. Kleber (drawn by G. Niang),,21,16
1,1:43.0,G. Niang makes free throw 1 of 2,,22,16
1,1:43.0,G. Niang makes free throw 2 of 2,,23,16
1,1:21.0,,M. Kleber misses 3-pt jump shot from 24 ft,23,16
1,1:18.0,Defensive rebound by J. Ingles,,23,16
1,1:08.0,Turnover by D. Exum (traveling),,23,16
1,0:53.0,,J. Brunson misses 2-pt jump shot from 18 ft,23,16
1,0:51.0,Defensive rebound by J. Ingles,,23,16
1,0:40.0,Def 3 sec tech foul by Team,,23,16
1,0:40.0,J. Ingles makes technical free throw,,24,16
1,0:34.0,G. Niang makes 2-pt layup from 1 ft (assist by J. Ingles),,26,16
1,0:12.0,,J. Barea misses 2-pt layup from 5 ft,26,16
1,0:09.0,,Offensive rebound by J. Barea,26,16
1,0:01.0,,M. Kleber makes 3-pt jump shot from 23 ft (assist by J. Barea),26,19
2,11:45.0,,D. Finney-Smith misses 3-pt jump shot from 23 ft,26,19
2,11:42.0,Defensive rebound by E. Udoh,,26,19
2,11:28.0,Turnover by J. Ingles (traveling),,26,19
2,11:17.0,,J. Barea misses 3-pt jump shot from 25 ft,26,19
2,11:14.0,Defensive rebound by G. Niang,,26,19
2,11:02.0,G. Niang makes 2-pt hook shot from 9 ft,,28,19
2,10:41.0,,J. Brunson makes 2-pt jump shot from 10 ft,28,21
2,10:32.0,Personal foul by D. Finney-Smith (drawn by J. Ingles),,28,21
2,10:17.0,G. Niang makes 3-pt jump shot from 23 ft (assist by E. Udoh),,31,21
2,10:00.0,,D. Powell misses 2-pt layup from 2 ft,31,21
2,9:59.0,Defensive rebound by G. Allen,,31,21
2,9:53.0,G. Allen makes 2-pt layup from 1 ft,,33,21
2,9:53.0,,Dallas full timeout,33,21
2,9:38.0,,M. Kleber makes 2-pt jump shot from 12 ft (assist by J. Barea),33,23
2,9:26.0,Turnover by J. Ingles (bad pass),,33,23
2,9:17.0,,M. Kleber makes 2-pt layup from 4 ft (assist by J. Brunson),33,25
2,9:17.0,,Shooting foul by G. Niang (drawn by M. Kleber),33,25
2,9:17.0,,M. Kleber makes free throw 1 of 1,33,26
2,9:03.0,Turnover by J. Ingles (bad pass; steal by D. Powell),,33,26
