QUARTER,TIME_REMAINING,MINNESOTA_ACTION,LA LAKERS_ACTION,MINNESOTA_SCORE,LA LAKERS_SCORE
1,11:42.0,A. Wiggins misses 2-pt jump shot from 15 ft,,0,0
1,11:39.0,,Defensive rebound by K. Caldwell-Pope,0,0
1,11:28.0,,Offensive foul by I. Zubac (drawn by D. Rose),0,0
1,11:28.0,,Turnover by I. Zubac (offensive foul),0,0
1,11:11.0,K. Towns makes 2-pt hook shot from 7 ft,,2,0
1,10:55.0,,I. Zubac makes 2-pt layup from 1 ft (assist by R. Rondo),2,2
1,10:45.0,K. Towns makes 3-pt jump shot from 25 ft (assist by D. Rose),,5,2
1,10:31.0,,I. Zubac misses 2-pt layup from 3 ft,5,2
1,10:28.0,Defensive rebound by A. Wiggins,,5,2
1,10:14.0,J. Okogie misses 3-pt jump shot from 25 ft,,5,2
1,10:10.0,,Defensive rebound by I. Zubac,5,2
1,9:55.0,,K. Kuzma misses 2-pt jump shot from 5 ft,5,2
1,9:51.0,Defensive rebound by K. Towns,,5,2
1,9:49.0,Turnover by K. Towns (bad pass; steal by R. Rondo),,5,2
1,9:46.0,,K. Kuzma misses 3-pt jump shot from 25 ft,5,2
1,9:42.0,,Offensive rebound by R. Rondo,5,2
1,9:40.0,,R. Rondo misses 2-pt layup from 3 ft,5,2
1,9:37.0,Defensive rebound by T. Gibson,,5,2
1,9:32.0,A. Wiggins makes 2-pt layup from 2 ft (assist by D. Rose),,7,2
1,9:17.0,,Shooting foul by K. Towns (drawn by B. Ingram),7,2
1,9:17.0,,B. Ingram makes free throw 1 of 2,7,3
1,9:17.0,,B. Ingram makes free throw 2 of 2,7,4
1,9:01.0,A. Wiggins misses 2-pt layup from 3 ft,,7,4
1,8:58.0,Offensive rebound by K. Towns,,7,4
1,8:58.0,K. Towns makes 2-pt layup at rim,,9,4
1,8:47.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,9,4
1,8:42.0,Defensive rebound by D. Rose,,9,4
1,8:34.0,D. Rose makes 2-pt layup from 2 ft,,11,4
