QUARTER,TIME_REMAINING,PHOENIX_ACTION,SAN ANTONIO_ACTION,PHOENIX_SCORE,SAN ANTONIO_SCORE
1,11:42.0,,B. Forbes makes 3-pt jump shot from 27 ft (assist by D. DeRozan),0,3
1,11:17.0,T. Warren misses 3-pt jump shot from 26 ft,,0,3
1,11:14.0,,Defensive rebound by B. Forbes,0,3
1,11:09.0,,R. Gay misses 3-pt jump shot from 28 ft,0,3
1,11:06.0,Defensive rebound by J. Jackson,,0,3
1,11:00.0,Personal foul by R. Gay (drawn by J. Jackson),,0,3
1,10:49.0,D. Ayton misses 2-pt jump shot from 17 ft,,0,3
1,10:46.0,,Defensive rebound by B. Forbes,0,3
1,10:35.0,,L. Aldridge misses 2-pt jump shot from 21 ft,0,3
1,10:32.0,Defensive rebound by D. Melton,,0,3
1,10:18.0,D. Melton makes 3-pt jump shot from 25 ft (assist by D. Ayton),,3,3
1,10:10.0,,Personal foul by M. Bridges (drawn by D. DeRozan),3,3
1,9:52.0,,R. Gay makes 2-pt layup from 8 ft (assist by D. White),3,5
1,9:42.0,M. Bridges misses 3-pt jump shot from 26 ft,,3,5
1,9:39.0,,Defensive rebound by D. DeRozan,3,5
1,9:33.0,,Personal foul by D. Ayton (drawn by L. Aldridge),3,5
1,9:24.0,,D. DeRozan makes 2-pt layup from 7 ft,3,7
1,9:12.0,J. Jackson misses 2-pt jump shot from 9 ft,,3,7
1,9:10.0,Offensive rebound by D. Ayton,,3,7
1,9:09.0,D. Ayton misses 2-pt layup at rim,,3,7
1,9:07.0,,Defensive rebound by L. Aldridge,3,7
1,9:00.0,,B. Forbes makes 3-pt jump shot from 27 ft (assist by D. DeRozan),3,10
1,9:00.0,Phoenix full timeout,,3,10
1,8:46.0,D. Melton makes 3-pt jump shot from 25 ft (assist by T. Warren),,6,10
1,8:36.0,,Turnover by L. Aldridge (bad pass; steal by J. Jackson),6,10
1,8:23.0,Turnover by J. Jackson (lost ball; steal by D. White),,6,10
1,8:19.0,,Shooting foul by D. Melton (drawn by B. Forbes),6,10
1,8:19.0,,B. Forbes makes free throw 1 of 3,6,11
1,8:19.0,,B. Forbes makes free throw 2 of 3,6,12
1,8:19.0,,B. Forbes makes free throw 3 of 3,6,13
1,8:06.0,T. Warren makes 3-pt jump shot from 22 ft (assist by D. Melton),,9,13
1,7:49.0,,B. Forbes makes 2-pt jump shot from 3 ft (assist by D. DeRozan),9,15
1,7:33.0,Turnover by M. Bridges (bad pass),,9,15
1,7:25.0,,Personal foul by T. Warren (drawn by L. Aldridge),9,15
1,7:17.0,,D. White misses 2-pt jump shot from 21 ft,9,15
1,7:14.0,Defensive rebound by D. Ayton,,9,15
1,7:07.0,M. Bridges misses 2-pt jump shot from 11 ft,,9,15
1,7:03.0,,Defensive rebound by D. DeRozan,9,15
1,6:54.0,,D. White misses 3-pt jump shot from 26 ft,9,15
1,6:51.0,Defensive rebound by D. Melton,,9,15
1,6:41.0,T. Warren makes 2-pt jump shot from 14 ft (assist by D. Ayton),,11,15
1,6:24.0,,Turnover by L. Aldridge (bad pass),11,15
1,6:24.0,J. Evans enters the game for D. Melton,,11,15
1,6:24.0,,P. Mills enters the game for D. White,11,15
1,6:09.0,J. Evans misses 2-pt jump shot from 9 ft,,11,15
1,6:05.0,Offensive rebound by D. Ayton,,11,15
1,6:00.0,J. Jackson misses 2-pt layup from 6 ft (block by R. Gay),,11,15
1,6:00.0,,Defensive rebound by R. Gay,11,15
1,5:46.0,,R. Gay makes 2-pt layup from 2 ft,11,17
1,5:44.0,Personal foul by R. Gay (drawn by T. Warren),,11,17
1,5:44.0,,M. Belinelli enters the game for B. Forbes,11,17
1,5:33.0,T. Warren makes 2-pt jump shot from 17 ft,,13,17
1,5:13.0,,L. Aldridge misses 2-pt hook shot from 7 ft,13,17
1,5:09.0,Defensive rebound by D. Ayton,,13,17
1,4:59.0,T. Warren makes 2-pt jump shot from 8 ft,,15,17
1,4:58.0,,San Antonio full timeout,15,17
1,4:58.0,T. Daniels enters the game for T. Warren,,15,17
1,4:58.0,,D. Cunningham enters the game for R. Gay,15,17
1,4:45.0,,L. Aldridge misses 2-pt jump shot from 22 ft,15,17
1,4:42.0,Defensive rebound by D. Ayton,,15,17
1,4:30.0,J. Jackson misses 2-pt jump shot from 6 ft,,15,17
1,4:27.0,,Defensive rebound by L. Aldridge,15,17
1,4:18.0,,L. Aldridge makes 2-pt layup from 9 ft,15,19
1,4:01.0,D. Ayton makes 2-pt jump shot from 17 ft,,17,19
1,3:44.0,,D. DeRozan misses 2-pt jump shot from 11 ft,17,19
1,3:40.0,Defensive rebound by M. Bridges,,17,19
1,3:34.0,J. Jackson misses 2-pt hook shot from 7 ft,,17,19
1,3:29.0,,Defensive rebound by D. Cunningham,17,19
1,3:25.0,,L. Aldridge misses 2-pt layup from 5 ft,17,19
1,3:25.0,,Offensive rebound by L. Aldridge,17,19
1,3:14.0,,M. Belinelli misses 2-pt layup from 6 ft,17,19
1,3:14.0,Defensive rebound by Team,,17,19
1,3:14.0,R. Holmes enters the game for D. Ayton,,17,19
1,3:14.0,,J. Poeltl enters the game for L. Aldridge,17,19
