QUARTER,TIME_REMAINING,CLEVELAND_ACTION,MILWAUKEE_ACTION,CLEVELAND_SCORE,MILWAUKEE_SCORE
1,11:44.0,,K. Middleton misses 2-pt jump shot from 22 ft,0,0
1,11:41.0,Defensive rebound by C. Osman,,0,0
1,11:24.0,R. Hood misses 3-pt jump shot from 26 ft,,0,0
1,11:20.0,,Defensive rebound by E. Bledsoe,0,0
1,11:15.0,,E. Bledsoe misses 2-pt jump shot from 5 ft,0,0
1,11:12.0,Defensive rebound by C. Osman,,0,0
1,11:01.0,C. Sexton misses 2-pt jump shot from 21 ft,,0,0
1,10:59.0,,Defensive rebound by E. Bledsoe,0,0
1,10:48.0,,Turnover by K. Middleton (bad pass; steal by R. Hood),0,0
1,10:42.0,C. Osman misses 2-pt layup from 4 ft (block by E. İlyasova),,0,0
1,10:42.0,Offensive rebound by T. Thompson,,0,0
1,10:31.0,R. Hood misses 2-pt jump shot from 21 ft,,0,0
1,10:28.0,,Defensive rebound by E. Bledsoe,0,0
1,10:18.0,,K. Middleton misses 2-pt jump shot from 3 ft,0,0
1,10:17.0,,Offensive rebound by E. İlyasova,0,0
1,10:17.0,,E. İlyasova misses 2-pt layup at rim,0,0
1,10:17.0,,Offensive rebound by E. İlyasova,0,0
1,10:17.0,,E. İlyasova misses 2-pt layup at rim,0,0
1,10:17.0,,Offensive rebound by Team,0,0
1,10:12.0,,B. Lopez makes 2-pt hook shot from 8 ft (assist by M. Brogdon),0,2
1,9:56.0,C. Osman makes 2-pt jump shot from 18 ft,,2,2
1,9:47.0,,E. İlyasova makes 2-pt layup from 3 ft (assist by K. Middleton),2,4
1,9:29.0,T. Thompson makes 2-pt dunk from 2 ft (assist by C. Sexton),,4,4
1,9:16.0,,B. Lopez makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),4,7
1,9:03.0,C. Sexton misses 2-pt hook shot from 8 ft,,4,7
1,9:00.0,,Defensive rebound by K. Middleton,4,7
1,8:55.0,,K. Middleton misses 2-pt hook shot from 4 ft,4,7
1,8:52.0,Defensive rebound by C. Osman,,4,7
1,8:50.0,Personal foul by E. İlyasova (drawn by C. Osman),,4,7
1,8:41.0,A. Burks misses 2-pt jump shot from 16 ft,,4,7
1,8:38.0,,Defensive rebound by E. İlyasova,4,7
1,8:32.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,4,7
