QUARTER,TIME_REMAINING,MIAMI_ACTION,GOLDEN STATE_ACTION,MIAMI_SCORE,GOLDEN STATE_SCORE
1,11:44.0,Turnover by D. Waiters (bad pass),,0,0
1,11:30.0,,K. Durant makes 2-pt dunk from 1 ft (assist by D. Green),0,2
1,11:17.0,J. Richardson misses 3-pt jump shot from 28 ft,,0,2
1,11:15.0,Offensive rebound by K. Olynyk,,0,2
1,11:04.0,Turnover by K. Olynyk (bad pass; steal by S. Curry),,0,2
1,10:59.0,,K. Durant misses 3-pt jump shot from 28 ft,0,2
1,10:55.0,Defensive rebound by D. Waiters,,0,2
1,10:44.0,J. Winslow misses 3-pt jump shot from 27 ft,,0,2
1,10:42.0,,Defensive rebound by D. Green,0,2
1,10:29.0,,K. Durant makes 2-pt jump shot from 13 ft,0,4
1,10:18.0,Personal foul by D. Cousins (drawn by H. Whiteside),,0,4
1,10:18.0,,Personal foul by H. Whiteside (drawn by D. Cousins),0,4
1,10:18.0,Turnover by J. Richardson (bad pass; steal by D. Cousins),,0,4
1,10:05.0,,Turnover by S. Curry (bad pass; steal by D. Waiters),0,4
1,9:54.0,J. Richardson makes 2-pt jump shot from 12 ft,,2,4
1,9:47.0,,Personal foul by H. Whiteside (drawn by D. Cousins),2,4
1,9:39.0,,S. Curry misses 2-pt jump shot from 19 ft,2,4
1,9:38.0,Defensive rebound by H. Whiteside,,2,4
1,9:25.0,J. Richardson makes 3-pt jump shot from 22 ft (assist by D. Waiters),,5,4
1,9:08.0,,K. Thompson makes 2-pt jump shot from 21 ft,5,6
1,8:53.0,J. Richardson misses 2-pt jump shot from 19 ft,,5,6
1,8:52.0,Offensive rebound by H. Whiteside,,5,6
1,8:52.0,H. Whiteside misses 2-pt layup at rim,,5,6
1,8:51.0,Offensive rebound by H. Whiteside,,5,6
1,8:51.0,H. Whiteside makes 2-pt layup at rim,,7,6
1,8:40.0,,S. Curry misses 3-pt jump shot from 23 ft,7,6
1,8:38.0,Defensive rebound by K. Olynyk,,7,6
1,8:26.0,D. Waiters makes 3-pt jump shot from 26 ft (assist by J. Winslow),,10,6
1,8:13.0,,D. Cousins misses 3-pt jump shot from 26 ft,10,6
1,8:11.0,Defensive rebound by K. Olynyk,,10,6
1,7:53.0,J. Winslow makes 2-pt jump shot from 13 ft (assist by H. Whiteside),,12,6
1,7:39.0,,Turnover by K. Durant (bad pass),12,6
1,7:30.0,J. Winslow makes 2-pt jump shot from 8 ft (assist by H. Whiteside),,14,6
1,7:21.0,,K. Thompson misses 2-pt layup from 3 ft (block by D. Waiters),14,6
1,7:19.0,Defensive rebound by K. Olynyk,,14,6
1,7:14.0,K. Olynyk misses 3-pt jump shot from 27 ft,,14,6
1,7:12.0,,Defensive rebound by K. Durant,14,6
1,7:07.0,,Turnover by D. Green (out of bounds lost ball),14,6
1,6:50.0,J. Richardson makes 3-pt jump shot from 26 ft (assist by K. Olynyk),,17,6
1,6:43.0,,Golden State full timeout,17,6
1,6:35.0,,S. Curry misses 2-pt jump shot from 19 ft,17,6
1,6:34.0,Defensive rebound by J. Winslow,,17,6
1,6:16.0,Personal foul by K. Thompson (drawn by J. Richardson),,17,6
1,6:05.0,D. Waiters misses 2-pt layup from 2 ft,,17,6
1,6:04.0,Offensive rebound by H. Whiteside,,17,6
1,6:04.0,H. Whiteside makes 2-pt layup at rim,,19,6
1,5:54.0,,K. Thompson misses 3-pt jump shot from 27 ft,19,6
1,5:51.0,Defensive rebound by H. Whiteside,,19,6
1,5:46.0,J. Richardson makes 3-pt jump shot from 25 ft (assist by J. Winslow),,22,6
1,5:27.0,,D. Cousins misses 3-pt jump shot from 26 ft,22,6
1,5:25.0,Defensive rebound by J. Winslow,,22,6
1,5:17.0,H. Whiteside makes 2-pt dunk from 1 ft (assist by K. Olynyk),,24,6
1,5:05.0,,Shooting foul by K. Olynyk (drawn by D. Green),24,6
1,5:05.0,,D. Green makes free throw 1 of 2,24,7
1,5:05.0,D. Wade enters the game for J. Richardson,,24,7
1,5:05.0,,K. Looney enters the game for D. Cousins,24,7
1,5:05.0,,D. Green misses free throw 2 of 2,24,7
1,5:03.0,Defensive rebound by H. Whiteside,,24,7
1,4:43.0,H. Whiteside misses 2-pt hook shot from 11 ft,,24,7
1,4:42.0,Offensive rebound by J. Winslow,,24,7
1,4:42.0,J. Winslow misses 2-pt layup at rim,,24,7
1,4:41.0,Offensive rebound by J. Winslow,,24,7
1,4:41.0,J. Winslow misses 2-pt layup at rim,,24,7
1,4:40.0,Offensive rebound by H. Whiteside,,24,7
1,4:39.0,H. Whiteside misses 2-pt layup from 1 ft,,24,7
1,4:38.0,Offensive rebound by H. Whiteside,,24,7
1,4:38.0,H. Whiteside makes 2-pt layup at rim,,26,7
1,4:24.0,,S. Curry makes 3-pt jump shot from 30 ft (assist by D. Green),26,10
1,4:13.0,Personal foul by K. Looney (drawn by D. Wade),,26,10
1,4:13.0,,J. Jerebko enters the game for D. Green,26,10
1,4:13.0,,S. Livingston enters the game for K. Thompson,26,10
1,4:07.0,D. Waiters misses 2-pt jump shot from 14 ft,,26,10
1,4:06.0,,Defensive rebound by S. Curry,26,10
1,4:00.0,,Shooting foul by J. Winslow (drawn by J. Jerebko),26,10
